序号	键值	数值
1176	PersonalHallowUpSkillItem	item100600000002
1177	HallowEquipRecoveryRatio	1,10,50
1178	HallowEquipRecoveryCost	item100600000004,1
1179	HallowEquipRecoveryGain	item100600000001
1180	HallowHelpTipsCdTime	10
1181	ExpConvertHallowPointRate	1
1182	HolyPowerPersonConvertLimit	100000
1183	RuneMaxGrade	10
1184	BafishRankBasePoint	3000
1185	FishingMemberShopId	910
1186	FishingMemberHangUpMaxTime	480
1187	FishingMemberFishMinTime	7
1188	FishingMemberFishMaxTime	9
1189	FishingMemberFishOpenTime	2019-09-23-00:00:00
1190	PersonalHallowChargedGuild	10000
1191	PraiseRewardItemList	item1000,10000;item107999900001,10;item103010121003,2
1192	PraiseRewardOpenFuncList	4001;4002;4003
1193	ShareRewardItemList	
1194	SoldierProjectNameMaxLength	10
1195	SoldierProjectMaxCount	3
1196	SoldierProjectCellCount	4
1197	SoulbaptizeScore	61
1198	LuckyItemScore	62
1199	SoldierSoldierScore	62
1200	FirstSoldier	item105000000061
1201	SoldierAttributeShow	1;3;4;11;12;13;21;22;23;24;25;26;29;30;31;32;33;34;35;51;52;66;67;75;79;83;105;112;173;174;206
1202	SoldierModelZoomFactor	1.5
1203	SoldierModelShowZoom	1.7
1204	SoldierModelShowOffset	0,-1.3,0
1205	ICanThirdpayRechargeID	9001
1206	ICanThirdpayDiamondRatio	0.026
1207	MasqueradeTaskAnswerTime	10
1208	SmeltCostExtraItemLevel	2
1209	IsOpen70Anniversary	0
1210	BookWeddingDelayTime	600
1211	WeddingNewcomerEnterLastTime	15
1212	WeddingInvitationCDTime	10
1213	WeddingCollectBlessingItemIDList	item100430000201,item100430000202,item100430000203,item100430000204
1214	WeddingGiftMoneyInputMaxValue	30
1215	WeddingGiftMoneySelectItemInfo	1,100;2,200;3,300;4,400;5,600;6,1500
1216	WeddingStoryID	s_wedding01
1217	WeddingReplayScene	44
1218	wedding_invitation_item	item100430000001
1219	wedding_table_drop_id	50601
1220	wedding_drop_box_info	30;10;box_weddingsweet_001;50605;Box
1221	WeddingInvitationItemTipsShowTime	1800
1222	WeddingReserveSucceedEffectID	10244
1223	wedding_drop_box_begin_time	15
1224	Wedding_LookOnArea	12.7,3.8,13.0;6
1225	wedding_cake_fight_ready_pos	-10.2,1.7,-10.5,10,12
1226	wedding_cake_fight_rate	2,1
1227	wedding_show_location_icon	map_pored
1228	wedding_fireworkd_info	npc_weddingfireworks_001,3,Fireworks
1229	WeddingGotoNPCLinkInfo	ClickNpc:4;npc_weddingentrance
1230	wedding_check_social_action	1,6
1231	wedding_dance_red_bag_id	item100430001101
1232	wedding_fireworks_effect	10189
1233	wedding_fireworks_destory_time	3
1234	wedding_fireworks_number_effect	90080,90081,90082,90083,90084,90085,90086,90087,90088
1235	wedding_get_dance_exp_limit	100
1236	wedding_exchange_cake_fight_exp_limit	20
1237	wedding_cake_victory_reward	item100430000002,3;item100430000003,1
1238	wedding_cake_fail_reward	item100430000002,1;item100430000003,1
1239	wedding_owner_victory_reward	item100430000002,3;item100430000003,1
1240	wedding_owner_fail_reward	item100430000002,1;item100430000003,1
1241	wedding_cake_fight_rest_zone	
1242	wedding_get_dance_exp_time_1	5
1243	wedding_get_dance_exp_time_2	3
1244	wedding_get_dance_exp_rate	40
1245	wedding_cake_fight_red_bag	item100430001101
1246	wedding_cake_fight_cake_change_body_time	15
1247	wedding_cake_fight_rest_zone_npc	npc_weddingmelon_001,10.7,3.8,13.140
1248	wedding_cake_fight_cake_not_move_buff	commonbuff::buff_Common_Stakes
1249	wedding_cake_fight_eliminate_buff	skill990110::buff_count
1250	WeddingGotoCBNpcLinkInfo	ClickNpc:44;npc_weddingpresent
1251	WeddingTableNpcCanUseEffectID	40000215
1252	WeddingGotoCreateNPCLinkInfo	ClickNpc:2;npc_10075
1253	GuildHallowTransPointItem	item100600000001
1254	MarkExpItemAddExp	item171000101001,5;item171000101002,30;item171000101003,100
1255	MarkExpReturnProportion	1
1256	BadgeNonePicture	icon_wenzhang;bg_opposite_wenzhang
1257	BadgeHouseNeedHallowLevel	1
1258	BadgeClearResolveReturnProportion	50
1259	BadgeBagGainWay	177
1260	BadgeForgingNpcId	npc_10514
1261	BadgeForgingNpcPos	0,0,0
1262	BadgeForgingNpcScale	1
1263	BadgeBegShortNum	160,170,180,190,200
1264	BadgeBegShortNoitce	BadgeBeg_Short_Noitce
1265	BadgeMaxHole	10
1266	ExchangeEquipLowBasePrice	5000
1267	ExchangeEquipLowPriceMulti	100
1268	RageCountDown	30
1269	InscriptionResolveReturnSpirit	0.5
1270	StartraceShopRefreshSpend	26,30;26,30;26,30
1271	StartraceNextCountDown	15
1272	StartraceDefeatCountDown	15
1273	StartraceShoprefreshBuffNum	5
1274	StarTraceLeaveTime	15
1275	StarTraceTradingPanelLinkParam	TradingPanel;3;913
1276	StarTraceContinueTime	15
1277	StepStepTaskMaxStamina	100
1278	StepStepTaskSpeedUp	commonbuff::buff_stepsteptask_spd
1279	StepStepTaskLowStamina	20
1280	StepStepTaskRecoverStamina	40
1281	StepStepTaskInteractiveCd	5
1282	StepStepTaskLoseStamina	20
1283	StepStepTaskLoseStaminaTimeInterval	5
1284	StepStepTaskCameraCloseTime	5
1285	StepStepTaskFinishAll	MSG_StepStepTask_FinishAll
1286	StepStepTaskComeOn_1	MSG_StepStepTask_ComeOn_1
1287	StepStepTaskComeOn_2	MSG_StepStepTask_ComeOn_2
1288	StepStepTaskLowStaminaMessage	MSG_StepStepTask_LowStamina
1289	StepStepTaskAddFriendPoint	50
1290	InscriptionShow	1
1291	SceneCameraFocusOn	1
1292	PriceCuttingKoiBoxLotteryEffect	0
1293	PriceCuttingKoiBoxPageGetItemLink	LinkBAActivity:6804;37
1294	PlayerReturnTimeTrigger	14
1295	NewPlayerBindGrade	50
1296	SnowFightPlayerPropId	410000004
1297	ItemConvertSnowmanExp	item100510000001,1
1298	SnowFightPlayerNum	10
1299	ExpConvertSnowmanReward	1;1,10000
1300	SnowFightNormalSkill	skill990200
1301	SnowFightFixedSkill	skill990201,skill990202,skill990203
1302	SnowmanMonsterId	Snowmanboss001,snowking
1303	SnowmanBoxId	box_snowmanboss_001
1304	SnowmanDropBoxId	50672
1305	KillSnowmanReward	50673
1306	TakepartinKillSnowmanLimitTimes	10
1307	KillSnowmanLimitTimes	5
1308	SnowFightDashBlizzard	50,2,10194,1,5
1309	SnowFightPoisonRing	0,0,0,0;10265;12;60;0.5
1310	SnowFightDashMaxTime	363
1311	SnowFightDashAttendRewardNum	4000
1312	SnowFightRareSnowGoblingNum	SnowmanMon002,20
1313	SnowFightDashCountdownClosePanel	10
1314	SnowFightDashRewardClosePanel	8
1315	BackPlayerExpPromotePercentage	0.85
1316	FuncEntranceExchangeTipsTime	1576717200
1317	FuncEntranceExchangeTipsLevel	200
1318	WorldBossHPModulusMax	10000
1319	WorldBossHPModulusMin	0.005
1320	WorldBossATTModulusMax	30
1321	WorldBossATTModulusMin	0.2
1322	GuildAreaBossHPModulusMax	40000
1323	GuildAreaBossHPModulusMin	0.005
1324	GuildAreaBossATTModulusMax	30
1325	GuildAreaBossATTModulusMin	0.2
1326	DisasterInvadeBossHPModulusMax	100000
1327	DisasterInvadeBossHPModulusMin	0.005
1328	DisasterInvadeBossATTModulusMax	30
1329	DisasterInvadeBossATTModulusMin	0.2
1330	DisasterInvadeFinalBossHPModulusMax	13800
1331	DisasterInvadeFinalBossHPModulusMin	0.005
1332	DisasterInvadeFinalBossATTModulusMax	30
1333	DisasterInvadeFinalBossATTModulusMin	0.2
1334	GuildWarBossHPModulusMax	5000000
1335	GuildWarBossHPModulusMin	0.005
1336	GuildWarBossATTModulusMax	30
1337	GuildWarBossATTModulusMin	0.2
1338	SubSpaceBossHPModulusMax	200000
1339	SubSpaceBossHPModulusMin	0.005
1340	SubSpaceBossATTModulusMax	30
1341	SubSpaceBossATTModulusMin	0.2
1342	FishingCompetitionBossHPModulusMax	10000
1343	FishingCompetitionBossHPModulusMin	0.005
1344	FishingCompetitionBossATTModulusMax	30
1345	FishingCompetitionBossATTModulusMin	0.2
1346	HolyBattleBossHPMaxRatio	5000000
1347	HolyBattleBossHPMinRatio	0.005
1348	HolyBattleBossATTMaxRatio	30
1349	HolyBattleBossATTMinRatio	0.2
1350	SealbottleBossHPModulusMax	10000
1351	SealbottleBossHPModulusMin	0.005
1352	SealbottleBossATTModulusMax	30
1353	SealbottleBossATTModulusMin	0.2
1354	MonsterSiegeHPMaxRatio	10000
1355	MonsterSiegeHPMinRatio	0.005
1356	MonsterSiegeATTMaxRatio	30
1357	MonsterSiegeATTMinRatio	0.2
1358	DisasterInvadeEncourageMax	5
1359	DisasterInvadeCountdown	5
1360	DisasterInvadeGuildAttendReward	item3001,8000;item1003,200;item1028,60
1361	DisasterInvadeTeamAttendReward	item8100800000002,1;item1028,100
1362	DisasterInvadeFightTime	90
1363	DisasterInvadeWaitTime	60
1364	DisasterInvadeBackCoordinate	-9,-2,-70
1365	DisasterInvadeBossKillBuff	dg_n10000_devil_soul::buff_odic_killer
1366	RuneResolveReturnSpirit	0.5
1367	RuneRefineGrade	6
1368	TalentItemID	item10000000001
1369	WorldMapLockTipsSwitch	1
1370	SceneBgmMixConfig	0;2,132;60,90
1371	TransferItemLimit	item101200001000,1
1372	NewQuickTransferReward	item101200001000,1
1373	FlopCardComboContinueTime	2
1374	PlayerReturnBuff	activity_buff::buff_return_game
1375	ReturnEnvelopeLink	LinkUI:BusinessActivityPanel;265;11002;45
1376	PlayerReturnActivityContinueTime	168
1377	DisasterInvadeGuildAttendRewardShow	11
1378	DisasterInvadeTeamAttendRewardShow	31
1379	PlayerReturnTimeStrike	14
1380	AntiAddictionTimeConfig	0,20;21,24
1381	AntiAddictionLoginTimeLimit	86400
1382	AntiAddictionWeekDate	5;6;0
1383	AntiAddictionAge	18
1384	AntiAddictionRefreshTime	5
1385	AntiAddictionHolidayRefreshTime	86400
1386	AntiAddictionHolidayDate	1,1;1,24;1,25;1,26;1,27;1,28;1,29;1,30;4,4;4,5;4,6;5,1;5,2;5,3;5,4;5,5;5,19;6,12;6,13;6,14;9,19;9,20;9,21;10,1;10,2;10,3;10,4;10,5;10,6;10,7
1387	AntiAddictionNotRealNameTime	0
1388	AntiAddictionNotRealNameChannels	0
1389	EnterOfflineTime	10000
1390	InheritPassWordForDay	30
1391	SmallBagSceneId	1;42;1150
1392	SmallBagOldAccountLevel	20
1393	SmallBagTaskLimit	11100200
1394	SmallBagNpcLimit	npc_100812
1395	JPUserAgreementFile	jp_user_agreement
1396	JPPrivacyPolicyFile	jp_user_privacypolicy
1397	MapRebornRandomRadius	2.5
1398	FuryRGInterval	1000
1399	FuryRDInterval	1000
1400	MidsummerLinkFuncID	3001
1401	EveryDaySignIn	
1402	CumulativeOnline	
1403	OnlineTime	
1404	HeroStarIntegral	4
1405	HeroStarMonthCard	2
1406	HeroStarpoints	item1031,60
1407	SoldierSwitchWaitTime	1
1408	UpdateBannerPictures	
1409	UpdateBannerShowDownloadSize	20
1410	SoldierLotteryEffectLanguage	SoldierSpeak_1;SoldierSpeak_2;SoldierSpeak_3
1411	MercenaryContractIds	item105000000029;item8105000000029
1412	StarSoulSpirtProtect	110
1413	JPNRechargelawFile	jp_user_rechargelaw
1414	JPNSettlementlawFile	jp_user_settlementlaw
1415	ControlTimeTipsProp	54,56,58,60,62,64
1416	SzellpeakBookCountdown	20
1417	SzellpeakCardWaitTime	0.1
1418	SzellpeakCardMoveTime	0.2
1419	LelvelGiftBuy	30,Language1;35,Language2;40,Language3;45,Language4
1420	LelvelGiftLinkUI	LinkUI:BusinessActivityPanel;265;45
1421	FirstTenLotteryDrop	47013
1422	FirstTenLotteryText	Soldier_Lottery03
1423	FirstTenLotteryText2	FirstTenLotteryButtonText
1424	YooZooCustomerServiceMail	support_jp@yoozoo.com
1425	AutoRecoverTaskID	10100180
1426	FashionMallModel	1.15;0.1,-0.25;180
1427	SzellpeakBookCloseCountdown	20
1428	SzellpeakBookNextPageCountdown	20
1429	SzellpeakBookOpenCardsCountdown	60
1430	TitleHeroAvatarConfigs	hero101:1;-0.1,-0.15,0.55;0,0,0|hero102:1;-0.09,-0.02,0.18;0,0,0|hero103:1;-0.12,-0.12,0.52;0,0,0|hero104:1;-0.09,-0.06,0.34;0,0,0|hero105:1;-0.07,-0.08,0.58;0,0,0|hero106:0.8;-0.07,-0.08,0.58;0,0,0|hero107:1;-0.12,-0.12,0.52;0,0,0|hero108:1;-0.09,-0.06,0.34;0,0,0
1431	AstrolabeTrailPosArrayCount	60
1432	ArenaDefaultSoldier	12,24,36,60
1433	LightGameCountDown	10
1434	LightGameClickLimit	0.5
1435	ContractCurrencyItem	item100900001001
1436	MauDungeonLeaveTime	10
1437	ContractFiveDungeonRedBackgroundLevel	10
1438	ContractTenDungeonRedBackgroundLevel	10
1439	ContractTenDungeonEnvoyLevel	76
1440	StarChildPlaceCoolDown	40
1441	DiggingTreasurePuzzleRowCol	2,3
1442	DiggingTreasureGateOpenTime	2
1443	DiggingTreasureGotPuzzleFlyTime	1
1444	DiggingTreasureAutoOpenWaitTime	0.7
1445	DiggingTreasureGotItemFlyWaitTime	0.7
1446	DiggingTreasureDefaultCavePic	texture_treasure_timbaba
1447	SeverBossHPIn	0.01
1448	SeverBossHPOut	0.005
1449	Android10UseLocalVideoServer	1
1450	OneTouchDrawingChallengeTimes	9:00;23:00
1451	MonopolyMountModel	ride_124,0
1452	MonopolyMountIdle	1
1453	MonopolyMountMove	9
1454	MonopolyHeroFly	24
1455	MonopolyHeroLand	16
1456	StarLightRankSettlementTime	5,24:00
1457	StarLightShowTime	1200
1458	StarLightRankSignTime	540
1459	StarLightStartRaceVoteTime	60
1460	StarLightQuizPlayerLevel	30
1461	StarLightBattleList	1,8;4,5;2,7;3,6
1462	StarlightBattleWaitScene	81
1463	StarlightBattleFightScene	1081
1464	SailCost	1
1465	StarlightBattleFightVictoryShow	5
1466	SailMapScaling	0.6
1467	SailMaxTraderAngerValue	100
1468	SailTraderMoodIconMap	emo_smile,0;emo_supercilious,20;emo_angry,50
1469	SailTraderAngerIconName	emo_angry
1470	StarLightVoteCurrency	1
1471	StarLightVoteBoxAward	item106210200002,1
1472	StarChildChangeHeal	0.5
1473	AdventureMoneyItem	item102020061008
1474	ShopSellPageNeedTipsRare	4
1475	SailShipSpeed	60
1476	SailBargainProtectTimes	1
1477	SailBargainAddProtectTimes	1
1478	SailBarEventNum	4
1479	SailBarAddMaterials	1
1480	SailBasicMaterial	10
1481	SailDairyAddMaterial	10
1482	SailPortInfoCacheNum	8
1483	SailBasicWarehouse	50
1484	SailBasicMoney	10000
1485	SailFirstPoint	1001
1486	AutoAddTalentCDTime	10
1487	AdventureBookEquipLevels	10;20;30;40;50;60;70;80;90;100;110
1488	SailEventPro	5000
1489	TeamNameLen	10
1490	EpicNPC	npc_003_mohade2
1491	EpicNPCTalk	EpicNPCTalk001;EpicNPCTalk002;EpicNPCTalk003;EpicNPCTalk004
1492	EpicNPCTalkTime	3
1493	StarChildProfect	10
1494	TreasureTips	Tips_Treasure
1495	LowValueEquipParam	Rare:3;ItemLevel:350
1496	EpicBattleTime	300
1497	EpicLeaveTime	12
1498	EpicUnlockEffect	13100001
1499	EpicMissionEffect	10324
1500	SubspaceBattleScoreDifficulty	10000
1501	SubspaceBattleScoreTime	2000
1502	SubspaceBattleScoreDamage	1000
1503	SubspaceBattleScoreBear	1000
1504	SubspaceBattleScoreHeal	1000
1505	SubspaceBattleScorePower	5e-6
1506	SubSpaceBattleLeaveTime	5
1507	SubSpaceBattleBossAppear	110005
1508	SubSpaceBattleBossDisappear	110006
1509	SubSpaceBattleBossDisappearTime	0.2
1510	SailMaxMaterials	20
1511	ZoneShowMaxFormerNameNum	5
1512	ZoneShowPetModelId	npc_zonepet
1513	ZoneShowTagNum	10
1514	ZonePetTalkShowTime	3
1515	ZonePresentationNum	20
1516	ZoneLableMaxNum	30
1517	ZoneSelectLableMaxNum	3
1518	ZoneLableLikeUserMaxNum	100
1519	ZoneLableLikeMaxNum	100
1520	ZoneAddTagContentNum	4
1521	ZoneHideMyActivitiesNum	50
1522	ZoneHideTheirActivitiesNum	50
1523	ZoneOpenMyPage	0
1524	ZoneOpenTheirPage	1
1525	ZoneOtherToggleList	0,1,3
1526	ZoneSettingDefaultOption	7
1527	ZoneLeaveMessageMaxTextNum	30
1528	ZoneLikeMaxNum	200
1529	ZoneTranspondWordMaxNum	30
1530	ZoneReleaseNewsWordMaxNum	30
1531	ZoneTranspondMaxNum	50
1532	ZoneReleaseNewsMaxNum	50
1533	ZoneReleaseNewsAllMaxNum	100
1534	ZoneGroundLikeConst	1
1535	ZoneTranspondConst	0
1536	ZoneCommentConst	1
1537	ZoneShowLikeUserMaxNum	3
1538	ZoneShowCommentMaxNum	3
1539	ZoneAttentionMaxNum	1000
1540	ZoneFansMaxNum	1000
1541	ZoneReplyNewsMaxNum	50
1542	ZoneActivitiesEmojiMagnification	0.8
1543	ZoneLeaveMessageEmojiMagnification	0.8
1544	ZoneMessageEmojiMagnification	0.6
1545	ZoneTranspondEmojiMagnification	0.6
1546	ZoneTakePhotoSwitch	1
1547	ZonePhotoAlbumSwitch	1
1548	ZoneAlbumCropSzie	400,320
1549	ZoneHeadSCropzie	300,300
1550	ZoneStateCropSzie	300,300
1551	ZoneActivitiesShowPhotoNum	2
1552	ZonePortraitMaxNum	3
1553	ZoneMinimumPhoto	80,80
1554	StarLightSignUpAward	item106210200002,1;item1000,1000000
1555	StarLightSignUpRank	100
1556	FishingSeason	8
1557	MainUINormalScaleValue	0.75,0.75,1
1558	FishingCompetitionShopID	924
1559	PCModeNormalStyle	1
1560	LinkUIFishingCompetitionMoney	LinkUI:FishingCompetitionClubPanle;2
1561	LinkUIFishingCompetitionBait	LinkUI:OpenServerActivityPanel;2889;12
1562	HuntPVPChallengeDifficulty	1;2;2
1563	HuntPVPChallengeFakeScoreRate	0.6
1564	HuntPVPUIBossHeadEffect	10324
1565	HuntPVPKillScore	10
1566	HuntPVPAssistScore	1
1567	HuntPVPChallengeKeepTime	3600
1568	HuntPVPFalseBossLastKillNotice	Msg_Guildarea_FalseBoss_LastKill_Notice
1569	HuntPVPRealBossLastKillNotice	Msg_Guildarea_RealBoss_LastKill_Notice
1570	HuntPVPDamageScorePercent	0.2
1571	MazePVEChallengeKeepTime	3600
1572	WeekOfCarnivalShowItemIcon	item91000000692
1573	FishingCompetitionRankShowNum	100
1574	FishingCompetitionFishShowTime	3
1575	MaxCookingFoodBuffNum	1
1576	MaxCookingMealBuffNum	1
1577	CookingExploreThinkEffect	41100032
1578	CookingExploreFindEffect	41100033
1579	CookingActionIdle	
1580	CookingActionDoing	
1581	CookingActionFinish	
1582	CookingFinishEffect	
1583	CookingFinishEffectDelay	
1584	CookingTripFormulaId	6
1585	CookingRecipeLevelList	5,10,15,20,25
1586	SubspaceBattleTeam	1999
1587	FishingChestUpdateTime	5
1588	FishingDevilUpdateTime	5
1589	FishingBossUpdateTime	5
1590	RobotWork	1
1591	FishingCompetitionBossRewardTimes	9
1592	FishingDevilUnopenedRecoveryTime	1770
1593	FishingDevilOpenedRecoveryTime	1770
1594	FishingChestRecoveryTime	900
1595	FishingCompetitionBossEffect	
1596	HuntPVPBossHPMaxRatio	500000
1597	HuntPVPBossHPMINRatio	0.005
1598	HuntPVPBossATTMaxRatio	30
1599	HuntPVPBossATTMinRatio	0.2
1600	MazePVEBossHPMaxRatio	500000
1601	MazePVEBossHPMINRatio	0.005
1602	MazePVEBossATTMaxRatio	30
1603	MazePVEBossATTMinRatio	0.2
1604	HuntPVPSceneEffPosition	53,17.98, 2.82, -37.2,10213;54,24.2, 4.8, -45.7,10213;55,-59.3, 6.6, 24.9,10213;56,84.7, 2.4, -13.8,10213;57,-35.5, -4.5, -24.2,10213
1605	MazePVPBossBDTime	210
1606	AutoSkillNotSelectIDList	skill1317;skill1507;skill11023_1;skill11404_1
1607	IsOpenXIanYu360RealName	1
1608	ExpBackItem	item100000000106,1
1609	TalentExpBackItem	item100000000106,1
1610	ExpTransformTime	5:00
1611	ExpVolumeProportion	1
1612	TalentExpTopLimit	99999999
1613	BlockrateCoefficientA1	0
1614	BlockrateCoefficientB1	0.0002
1615	BlockrateCoefficientA2	1000
1616	BlockrateCoefficientB2	2e-5
1617	BlockrateCoefficientA3	10000
1618	BlockrateCoefficientB3	1e-9
1619	BlockratioCoefficientA1	10000
1620	BlockratioCoefficientB1	0
1621	BlockratioCoefficientA2	50000
1622	BlockratioCoefficientB2	1e-5
1623	BlockratioCoefficientA3	50000
1624	BlockratioCoefficientB3	1e-9
1625	PetArrayTripFormulaId	6
1626	SaintRelicRadarChartShowInfo	100,bg_cj_green_line,bg_cj_green;500,bg_cj_blue_line,bg_cj_blue;2000,bg_cj_purple_line,bg_cj_purple;10000,bg_cj_yellow_line,bg_cj_yellow
1627	ResonanceCoefficient	1
1628	SaintRelicQualityInfo	UI_SaintRelic_Quality_2,2;UI_SaintRelic_Quality_3,3;UI_SaintRelic_Quality_4,4;UI_SaintRelic_Quality_5,5
1629	SaintRelicSmeltingNeed	50
1630	SaintRelicAppearTime	0.9
1631	DuelBattleNoticeConsume	3,100
1632	DuelBattleInviteTime	15
1633	HolyBattleDefaultMaxPlayer	40
1634	HolyBattleRoundParam	0.25
1635	HolyBattleMinPlayerNum	10
1636	HolyBattleEpicPriceDeadDropChance	10000
1637	HolyBattleKeyDeadDropChance	10000
1638	HolyBattleEpicPriceDeadDropNum	10
1639	HolyBattleWaitTime	300
1640	HolyBattleEndingTime	30
1641	HolyBattleFirstKeyNum	20
1642	HolyBattleSecondKeyNum	10
1643	HolyBattleKeepTime	3600
1644	HolyBattleKeyNpc	holybattle_key
1645	HolyBattleNormalPrice	item106030101239
1646	HolyBattleEpicPrice	item106030101240
1647	HolyBattleReviveCD	15
1648	HolyBattleBuffLifeTime	60
1649	HolyBattleSafePlaceTime	120
1650	HolyBattleDeadDropChest	holybattle_box04
1651	HolyBattleDeadDropRange	5
1652	HolyBattleTeamTogether	1
1653	HideMiniMapSceneIDs	66,67,68,69
1654	HolyBattleSkipChestOpenBuff	dg_bf441_1_holyfall::buff_open_rightnow
1655	HolyBattleTrackArrowKeyDelyShowTime	15
1656	TrackArrowShowMiniDis	8
1657	HolyBattleTrackArrowEffectID	4200023
1658	DuelBattleLeaveTime	20
1659	SoulMedalDungeon	301,3
1660	SoulMedalDungeonScene	1998
1661	SoulMedalDungeonAwayTime	10
1662	SoulMedalDismantling	8000
1663	ExptalentProportion	0.05
1664	SoulMedalGainWay	23;1502::item175100000002;2041
1665	LostSpaceResetStart	1;0,0,0
1666	LostSpaceResetFinish	1;5,0,0
1667	MonsterViolentTime	20
1668	MonsterViolentWord	MonsterViolent_Language
1669	MonsterViolentIcon	MonsterViolent_Icon
1670	GuildSkillResetExpend	item1014,600
1671	GuildSkillResetReturn	item1003,10000;item1000,10000
1672	GuildLeagueArtillery	ghls_icon_artillery
1673	GuildLeagueCrystal	ghls_icon_crystal
1674	GuildLeagueEnergy	ghls_icon_energy
1675	LostSpaceSoldierModelZoom	2
1676	SoulMedalBagLimit	370,10
1677	SoulMedalBattleLimitList	1998
1678	ShowLanzuanPrivilege	10005
1679	BeforehandFirstTaskId	810110
1680	AdvanceCreateTeamNameLength	6
1681	AdvanceCreateTeamDescLength	10
1682	AdvanceCreateTeamCodeLength	6
1683	SoulEquipBagNum	300
1684	SoulEquipBagShotNoticeNum	260,270,280,290,300
1685	SoulEquipBagShotNotice	SoulEquip_Short_Notice
1686	SoulEquipBagGainWay	458
1687	SoulEquipRemakeOpenLevel	12
1688	SoulEquipProtectLevel	6,9,12,15
1689	SoulEquipQuickUpgradeLevel	3,6,9,12,15
1690	SoulEquipRandomUpgradeLevel	3,6,9,12,15
1691	SoulEquipResolveSetList	1001,1002,1003,1004,1005,1006
1692	SoulEquipResolvePropList	40,41,42
1693	JobRecommendAccountNum	100
1694	JobRecommendTopThreshold	2000
1695	JobRecommendBotThreshold	2000
1696	BeforehandrewardLev	30
1697	AcrossTheServerLevel	67
1698	AcrossLeaveTime	3600
1699	AcrossOffLineTime	600
1700	AcrossRoleLevel	67
1701	AcrossSceneId	23
1702	AcrossTheServerBag	100
1703	AcrossEnterWaitTime	15
1704	AcrossTheServerBagShow	0,1,9,15
1705	AcrossServerBagNum	5,10,15
1706	GroupStageInterval	30
1707	WaitingTalentInterval	5
1708	KingToweStrongestTeamAutoLeaveTime	20
1709	ChampionCarnivalDuring	7
1710	IsStrongestTeamOpen	1
1711	StrongestTeamStopCompensate1	item171002010002,20;item200000830001,12;item200000831003,3;item1014,500;item102020061001,20;item171000101021,20;item171002010001,10;item8103010111017,10;item107999900002,3;item100000000006,20
1712	StrongestTeamStopCompensate2	item171002010002,10;item102020061001,20;item200000830001,2;item171000101021,20;item171002010001,10;item8103010111017,10;item107999900002,3;item100000000006,20;item1014,200
1713	StrongestTeamCheck	0
1714	EnergyBattleChooseWaiting	5
1715	EnergyBattleInvertChooseWaiting	5
1716	EnergyBattleLeaveTime	10
1717	ScoreFightGuildItemId	item171003000001
1718	ScoreFightPlayerItemId	item171003000002
1719	EnergyBattleCoefficient1	300
1720	EnergyBattleCoefficient2	230
1721	EnergyBattleCoefficient3	80
1722	EnergyBattleCoefficient4	0.0002
1723	Msg_EnergyBattle_NotChoose_Notice	Msg_EnergyBattle_NotChoose_Notice
1724	TwelveStarsRefreshTime	1,5,0
1725	TwelveStarsBoxOpenTime	2
1726	TwelveStarsSelectBuffNum	3
1727	TwelveStarsReadyTime	10
1728	TwelveStarsRankTitleInfo	TwelveStarsRankPanel_Name,135;TwelveStarsRankPanel_LayerName,135;TwelveStarsRankPanel_Time,100;TwelveStarsRankPanel_CombatPower,100
1729	FairyNpcGetUIAvatarZoom	0.7
1730	KeyPointMinPeople	6
1731	KeyPointMaxPeople	20
1732	PointOccupationMaxTime	30
1733	PointOccupationMinTime	15
1734	CrystalRefreshTime	30
1735	CollectCrystalTime	5
1736	BuffRefreshTime	30
1737	OccupationCreditTime	10
1738	EachPersonAccelerateOccupation	0.1
1739	KeyPointRisenTime	10
1740	SPointCreditNum	250
1741	APointCreditNum	175
1742	AllPointCreditNum	250
1743	CollectCrystalCreditNum	135
1744	EachPersonHelpOccupationCreditNum	5
1745	EachPersonHelpOccupationCreditNumMax	100
1746	KeyPointKillCreditNum	5
1747	KeyPointHelpKillCreditNum	1
1748	KeyPointHelpKillCreditNumMinuteMax	7
1749	KeyPointVictoryCreditNum	15000
1750	KeyPointWinRewardShow	item100700000051,1
1751	KeyPointLoseRewardShow	item100700000052,1
1752	KeyPointSignUpTime	570
1753	KeyPointReadyTime	30
1754	KeyPointBattleTime	1200
1755	KeyPointPopUpStayTime	15
1756	CrossCampPvpShow	0,1,9,15,52
1757	StrongholdEffSymbolRed	0.31,0,0.01,1
1758	StrongholdEffCursorRed	0.82,0.37,0.24,1
1759	StrongholdEffSymbolBlue	0,0.15,0.48,1
1760	StrongholdEffCursorBlue	0.23,0.36,1,1
1761	CrossCampSeasonTime	5,0,0;4,59,59
1762	CampVoteEachGetMinMaxNum	10000,1000000
1763	CampVoteEachGetRegulation	10000
1764	CampVotePeopleNum	0,9999
1765	CampVoteCurrencyConversion	100
1766	CampVoteCurrencyTax	10
1767	CampTaskRandomDrawNum	4
1768	CampLeaderTaskRandomDrawNum	4
1769	CrossCampSignUpCost	3,10
1770	CrossCampEnterSceneTask	820020
1771	CrossCampVigourDailyLimit	37600
1772	CampLeaderSpecialRewards	item141000002138,1
1773	SoulStageDamageRuleA1	2000
1774	SoulStageDamageRuleA2	30
1775	SoulStageDamageRuleA3	100
1776	SoulStageDamageRuleA4	3000
