目标ID	归属大类	大类文本	大类图片	大类解锁等级	大类背景图	子标签	子标签文本	归属难度	难度文本	难度解锁等级	目标名称	目标图标	图标类型	坐标点	推荐等级	奖励道具	目标任务1
155	4	HeroRoadType_04	btn_hr_05	0	texture_heroroad02_temp	0		3	HeroRoadTargeLevel_33	40	TargetName_155	ach4_gloomypw01	3	155,-161	30	item5001,30;item1014,40;item10000000001,20000	2042903,2043102,2043202
156	4	HeroRoadType_04	btn_hr_05	0	texture_heroroad02_temp	0		3	HeroRoadTargeLevel_33	40	TargetName_156	ach1_friend01	3	285,-168	30	item5001,30;item1014,40;item1000,500000	2043303,2043403,2043503
215	4	HeroRoadType_04	btn_hr_05	0	texture_heroroad02_temp	0		3	HeroRoadTargeLevel_33	40	TargetName_215	ach1_worldtask3	3	410,-138	30	item5001,30;item1014,40;item100500000001,5	2044001,2044003
157	4	HeroRoadType_04	btn_hr_05	0	texture_heroroad02_temp	0		4	HeroRoadTargeLevel_34	50	TargetName_157	ach3_strengthen01	3	110,130	40	item5001,50;item1014,50;item8103010121004,2	2040104,2040201,2040202
158	4	HeroRoadType_04	btn_hr_05	0	texture_heroroad02_temp	0		4	HeroRoadTargeLevel_34	50	TargetName_158	ach3_forge01	3	240,167	40	item5001,50;item1014,50;item103010131001,30	2040304,2040402,2040503
159	4	HeroRoadType_04	btn_hr_05	0	texture_heroroad02_temp	0		4	HeroRoadTargeLevel_34	50	TargetName_159	ach5_worldtask01	3	370,170	40	item5001,50;item1014,50;item100200000301,3	2040604,2040607,2040609
160	4	HeroRoadType_04	btn_hr_05	0	texture_heroroad02_temp	0		4	HeroRoadTargeLevel_34	50	TargetName_160	ach3_refine01	3	500,130	40	item5001,50;item1014,50;item1003,300	2040704
161	4	HeroRoadType_04	btn_hr_05	0	texture_heroroad02_temp	0		4	HeroRoadTargeLevel_34	50	TargetName_161	ach3_forge01	3	510,-15	40	item5001,50;item1014,50;item8103010121006,2	2040904,2041004
162	4	HeroRoadType_04	btn_hr_05	0	texture_heroroad02_temp	0		4	HeroRoadTargeLevel_34	50	TargetName_162	ach3_forge01	3	385,-10	40	item5001,50;item1014,50;item8103010111018,1	2041103,2041203,2041105
163	4	HeroRoadType_04	btn_hr_05	0	texture_heroroad02_temp	0		4	HeroRoadTargeLevel_34	50	TargetName_163	ach7_baby01	3	260,12	40	item5001,50;item1014,50;item8101020501022,1	2041602,2041603,2041703
164	4	HeroRoadType_04	btn_hr_05	0	texture_heroroad02_temp	0		4	HeroRoadTargeLevel_34	50	TargetName_164	ach3_gem01	3	135,2	40	item5001,50;item1014,50;item107200043001,2	2041804,2041904,2042102
165	4	HeroRoadType_04	btn_hr_05	0	texture_heroroad02_temp	0		4	HeroRoadTargeLevel_34	50	TargetName_165	ach3_attachmagic01	3	52,-90	40	item5001,50;item1014,50;item100000000000,1	2043604,2043702
166	4	HeroRoadType_04	btn_hr_05	0	texture_heroroad02_temp	0		4	HeroRoadTargeLevel_34	50	TargetName_166	ach4_gloomypw01	3	155,-161	40	item5001,50;item1014,50;item10000000001,50000	2042904,2043103,2043203
167	4	HeroRoadType_04	btn_hr_05	0	texture_heroroad02_temp	0		4	HeroRoadTargeLevel_34	50	TargetName_167	ach1_friend01	3	285,-168	40	item5001,50;item1014,50;item100000000000,1	2043304,2043404,2043502
216	4	HeroRoadType_04	btn_hr_05	0	texture_heroroad02_temp	0		4	HeroRoadTargeLevel_34	50	TargetName_216	ach6_skill01	3	410,-138	40	item5001,50;item1014,50;item1019,50	2044101,2044201,2044202
217	4	HeroRoadType_04	btn_hr_05	0	texture_heroroad02_temp	0		5	HeroRoadTargeLevel_35	60	TargetName_217	ach3_strengthen01	3	110,130	50	item5001,70;item1014,60;item103010111104,3	2040105,2040307,2040308
218	4	HeroRoadType_04	btn_hr_05	0	texture_heroroad02_temp	0		5	HeroRoadTargeLevel_35	60	TargetName_218	ach3_forge01	3	240,167	50	item5001,70;item1014,60;item8103015110413,30	2041005,2041106,2041107
219	4	HeroRoadType_04	btn_hr_05	0	texture_heroroad02_temp	0		5	HeroRoadTargeLevel_35	60	TargetName_219	ach7_baby01	3	370,170	50	item5001,70;item1014,60;item8101020501022,2	2041604,2041605
220	4	HeroRoadType_04	btn_hr_05	0	texture_heroroad02_temp	0		5	HeroRoadTargeLevel_35	60	TargetName_220	ach3_gem01	3	500,130	50	item5001,70;item1014,60;item107300000002,3	2041805,2041905,2042103
221	4	HeroRoadType_04	btn_hr_05	0	texture_heroroad02_temp	0		5	HeroRoadTargeLevel_35	60	TargetName_221	ach3_attachmagic01	3	500,-15	50	item5001,70;item1014,60;item100000000000,2	2043605,2043703
222	4	HeroRoadType_04	btn_hr_05	0	texture_heroroad02_temp	0		5	HeroRoadTargeLevel_35	60	TargetName_222	ach1_growup01	3	360,0	50	item5001,70;item1014,60;item105000000031,15	2043804,2043904,2043905
223	4	HeroRoadType_04	btn_hr_05	0	texture_heroroad02_temp	0		5	HeroRoadTargeLevel_35	60	TargetName_223	ach1_worldtask3	3	220,18	50	item5001,70;item1014,60;item100500000001,10	2044002,2044004
224	4	HeroRoadType_04	btn_hr_05	0	texture_heroroad02_temp	0		5	HeroRoadTargeLevel_35	60	TargetName_224	ach6_skill01	3	110,-150	50	item5001,70;item1014,60;item1019,100	2044102,2044103,2044104
225	4	HeroRoadType_04	btn_hr_05	0	texture_heroroad02_temp	0		5	HeroRoadTargeLevel_35	60	TargetName_225	ach1_weapon	3	250,-168	50	item5001,70;item1014,60;item100600000004,1	2044301,2044302,2044303
226	4	HeroRoadType_04	btn_hr_05	0	texture_heroroad02_temp	0		5	HeroRoadTargeLevel_35	60	TargetName_226	ach7_mount01	3	400,-138	50	item5001,70;item1014,60;item171000101021,20	2044401,2044402,2044403
