流水id	技能宝石	进阶等级	最大等级	收集属性倍率	镶嵌属性倍率	收集额外属性	镶嵌额外属性	技能效果评分	突破所需材料	进阶需求货币数量
462	30302001	6	140	0.000000	2.000000	1,476;24,159	4,118;1,1184;24,394;21,394	240		
463	30303001	0	20	0.000000	1.000000	4,20;23,67	4,32;1,324;23,108;22,108	120	item17902030303001,10	item1000,100000
464	30303001	1	40	0.000000	1.170000	4,24;23,80	4,38;1,387;23,129;22,129	140	item17902030303001,20	item1000,150000
465	30303001	2	60	0.000000	1.330000	4,28;23,94	4,47;1,471;23,157;22,157	160	item17902030303001,40	item1000,200000
466	30303001	3	80	0.000000	1.500000	4,34;23,112	4,58;1,587;23,195;22,195	180	item17902030303001,70	item1000,250000
467	30303001	4	100	0.000000	1.670000	4,38;23,124	4,74;1,741;23,247;22,247	200	item17902030303001,110	item1000,300000
468	30303001	5	120	0.000000	1.830000	4,42;23,140	4,93;1,937;23,312;22,312	220	item17902030303001,160	item1000,350000
469	30303001	6	140	0.000000	2.000000	4,48;23,159	4,118;1,1184;23,394;22,394	240		
470	30304001	0	20	0.000000	1.000000	1,200;24,67	3,32;1,324;24,108;25,108	120	item17902030304001,10	item1000,100000
471	30304001	1	40	0.000000	1.170000	1,240;24,80	3,38;1,387;24,129;25,129	140	item17902030304001,20	item1000,150000
472	30304001	2	60	0.000000	1.330000	1,280;24,94	3,47;1,471;24,157;25,157	160	item17902030304001,40	item1000,200000
473	30304001	3	80	0.000000	1.500000	1,334;24,112	3,58;1,587;24,195;25,195	180	item17902030304001,70	item1000,250000
474	30304001	4	100	0.000000	1.670000	1,372;24,124	3,74;1,741;24,247;25,247	200	item17902030304001,110	item1000,300000
475	30304001	5	120	0.000000	1.830000	1,420;24,140	3,93;1,937;24,312;25,312	220	item17902030304001,160	item1000,350000
476	30304001	6	140	0.000000	2.000000	1,476;24,159	3,118;1,1184;24,394;25,394	240		
477	30305001	0	20	0.000000	1.000000	4,20;26,67	4,32;1,324;23,108;26,108	120	item17902030305001,10	item1000,100000
478	30305001	1	40	0.000000	1.170000	4,24;26,80	4,38;1,387;23,129;26,129	140	item17902030305001,20	item1000,150000
479	30305001	2	60	0.000000	1.330000	4,28;26,94	4,47;1,471;23,157;26,157	160	item17902030305001,40	item1000,200000
480	30305001	3	80	0.000000	1.500000	4,34;26,112	4,58;1,587;23,195;26,195	180	item17902030305001,70	item1000,250000
481	30305001	4	100	0.000000	1.670000	4,38;26,124	4,74;1,741;23,247;26,247	200	item17902030305001,110	item1000,300000
482	30305001	5	120	0.000000	1.830000	4,42;26,140	4,93;1,937;23,312;26,312	220	item17902030305001,160	item1000,350000
483	30305001	6	140	0.000000	2.000000	4,48;26,159	4,118;1,1184;23,394;26,394	240		
484	30306001	0	20	0.000000	1.000000	4,20;21,67	3,32;4,32;24,108;21,108	120	item17902030306001,10	item1000,100000
485	30306001	1	40	0.000000	1.170000	4,24;21,80	3,38;4,38;24,129;21,129	140	item17902030306001,20	item1000,150000
486	30306001	2	60	0.000000	1.330000	4,28;21,94	3,47;4,47;24,157;21,157	160	item17902030306001,40	item1000,200000
487	30306001	3	80	0.000000	1.500000	4,34;21,112	3,58;4,58;24,195;21,195	180	item17902030306001,70	item1000,250000
488	30306001	4	100	0.000000	1.670000	4,38;21,124	3,74;4,74;24,247;21,247	200	item17902030306001,110	item1000,300000
489	30306001	5	120	0.000000	1.830000	4,42;21,140	3,93;4,93;24,312;21,312	220	item17902030306001,160	item1000,350000
490	30306001	6	140	0.000000	2.000000	4,48;21,159	3,118;4,118;24,394;21,394	240		
491	30307001	0	20	0.000000	1.000000	3,20;22,67	3,32;1,324;25,108;22,108	120	item17902030307001,10	item1000,100000
492	30307001	1	40	0.000000	1.170000	3,24;22,80	3,38;1,387;25,129;22,129	140	item17902030307001,20	item1000,150000
493	30307001	2	60	0.000000	1.330000	3,28;22,94	3,47;1,471;25,157;22,157	160	item17902030307001,40	item1000,200000
494	30307001	3	80	0.000000	1.500000	3,34;22,112	3,58;1,587;25,195;22,195	180	item17902030307001,70	item1000,250000
495	30307001	4	100	0.000000	1.670000	3,38;22,124	3,74;1,741;25,247;22,247	200	item17902030307001,110	item1000,300000
496	30307001	5	120	0.000000	1.830000	3,42;22,140	3,93;1,937;25,312;22,312	220	item17902030307001,160	item1000,350000
497	30307001	6	140	0.000000	2.000000	3,48;22,159	3,118;1,1184;25,394;22,394	240		
498	30308001	0	20	0.000000	1.000000	3,20;25,67	3,32;1,324;25,108;22,108	120	item17902030308001,10	item1000,100000
499	30308001	1	40	0.000000	1.170000	3,24;25,80	3,38;1,387;25,129;22,129	140	item17902030308001,20	item1000,150000
500	30308001	2	60	0.000000	1.330000	3,28;25,94	3,47;1,471;25,157;22,157	160	item17902030308001,40	item1000,200000
501	30308001	3	80	0.000000	1.500000	3,34;25,112	3,58;1,587;25,195;22,195	180	item17902030308001,70	item1000,250000
502	30308001	4	100	0.000000	1.670000	3,38;25,124	3,74;1,741;25,247;22,247	200	item17902030308001,110	item1000,300000
503	30308001	5	120	0.000000	1.830000	3,42;25,140	3,93;1,937;25,312;22,312	220	item17902030308001,160	item1000,350000
504	30308001	6	140	0.000000	2.000000	3,48;25,159	3,118;1,1184;25,394;22,394	240		
505	30401001	0	20	0.000000	1.000000	1,200;26,67	4,32;1,324;26,108;21,108	120	item17902030401001,10	item1000,100000
506	30401001	1	40	0.000000	1.170000	1,240;26,80	4,38;1,387;26,129;21,129	140	item17902030401001,20	item1000,150000
507	30401001	2	60	0.000000	1.330000	1,280;26,94	4,47;1,471;26,157;21,157	160	item17902030401001,40	item1000,200000
508	30401001	3	80	0.000000	1.500000	1,334;26,112	4,58;1,587;26,195;21,195	180	item17902030401001,70	item1000,250000
509	30401001	4	100	0.000000	1.670000	1,372;26,124	4,74;1,741;26,247;21,247	200	item17902030401001,110	item1000,300000
510	30401001	5	120	0.000000	1.830000	1,420;26,140	4,93;1,937;26,312;21,312	220	item17902030401001,160	item1000,350000
511	30401001	6	140	0.000000	2.000000	1,476;26,159	4,118;1,1184;26,394;21,394	240		
512	30402001	0	20	0.000000	1.000000	1,200;24,67	4,32;1,324;24,108;21,108	120	item17902030402001,10	item1000,100000
513	30402001	1	40	0.000000	1.170000	1,240;24,80	4,38;1,387;24,129;21,129	140	item17902030402001,20	item1000,150000
514	30402001	2	60	0.000000	1.330000	1,280;24,94	4,47;1,471;24,157;21,157	160	item17902030402001,40	item1000,200000
515	30402001	3	80	0.000000	1.500000	1,334;24,112	4,58;1,587;24,195;21,195	180	item17902030402001,70	item1000,250000
516	30402001	4	100	0.000000	1.670000	1,372;24,124	4,74;1,741;24,247;21,247	200	item17902030402001,110	item1000,300000
517	30402001	5	120	0.000000	1.830000	1,420;24,140	4,93;1,937;24,312;21,312	220	item17902030402001,160	item1000,350000
518	30402001	6	140	0.000000	2.000000	1,476;24,159	4,118;1,1184;24,394;21,394	240		
519	30403001	0	20	0.000000	1.000000	4,20;23,67	4,32;1,324;23,108;22,108	120	item17902030403001,10	item1000,100000
520	30403001	1	40	0.000000	1.170000	4,24;23,80	4,38;1,387;23,129;22,129	140	item17902030403001,20	item1000,150000
521	30403001	2	60	0.000000	1.330000	4,28;23,94	4,47;1,471;23,157;22,157	160	item17902030403001,40	item1000,200000
522	30403001	3	80	0.000000	1.500000	4,34;23,112	4,58;1,587;23,195;22,195	180	item17902030403001,70	item1000,250000
523	30403001	4	100	0.000000	1.670000	4,38;23,124	4,74;1,741;23,247;22,247	200	item17902030403001,110	item1000,300000
524	30403001	5	120	0.000000	1.830000	4,42;23,140	4,93;1,937;23,312;22,312	220	item17902030403001,160	item1000,350000
525	30403001	6	140	0.000000	2.000000	4,48;23,159	4,118;1,1184;23,394;22,394	240		
526	30404001	0	20	0.000000	1.000000	1,200;24,67	3,32;1,324;24,108;25,108	120	item17902030404001,10	item1000,100000
527	30404001	1	40	0.000000	1.170000	1,240;24,80	3,38;1,387;24,129;25,129	140	item17902030404001,20	item1000,150000
528	30404001	2	60	0.000000	1.330000	1,280;24,94	3,47;1,471;24,157;25,157	160	item17902030404001,40	item1000,200000
529	30404001	3	80	0.000000	1.500000	1,334;24,112	3,58;1,587;24,195;25,195	180	item17902030404001,70	item1000,250000
530	30404001	4	100	0.000000	1.670000	1,372;24,124	3,74;1,741;24,247;25,247	200	item17902030404001,110	item1000,300000
531	30404001	5	120	0.000000	1.830000	1,420;24,140	3,93;1,937;24,312;25,312	220	item17902030404001,160	item1000,350000
532	30404001	6	140	0.000000	2.000000	1,476;24,159	3,118;1,1184;24,394;25,394	240		
533	30405001	0	20	0.000000	1.000000	4,20;26,67	4,32;1,324;23,108;26,108	120	item17902030405001,10	item1000,100000
534	30405001	1	40	0.000000	1.170000	4,24;26,80	4,38;1,387;23,129;26,129	140	item17902030405001,20	item1000,150000
535	30405001	2	60	0.000000	1.330000	4,28;26,94	4,47;1,471;23,157;26,157	160	item17902030405001,40	item1000,200000
536	30405001	3	80	0.000000	1.500000	4,34;26,112	4,58;1,587;23,195;26,195	180	item17902030405001,70	item1000,250000
537	30405001	4	100	0.000000	1.670000	4,38;26,124	4,74;1,741;23,247;26,247	200	item17902030405001,110	item1000,300000
538	30405001	5	120	0.000000	1.830000	4,42;26,140	4,93;1,937;23,312;26,312	220	item17902030405001,160	item1000,350000
539	30405001	6	140	0.000000	2.000000	4,48;26,159	4,118;1,1184;23,394;26,394	240		
540	30406001	0	20	0.000000	1.000000	4,20;21,67	3,32;4,32;24,108;21,108	120	item17902030406001,10	item1000,100000
541	30406001	1	40	0.000000	1.170000	4,24;21,80	3,38;4,38;24,129;21,129	140	item17902030406001,20	item1000,150000
542	30406001	2	60	0.000000	1.330000	4,28;21,94	3,47;4,47;24,157;21,157	160	item17902030406001,40	item1000,200000
543	30406001	3	80	0.000000	1.500000	4,34;21,112	3,58;4,58;24,195;21,195	180	item17902030406001,70	item1000,250000
544	30406001	4	100	0.000000	1.670000	4,38;21,124	3,74;4,74;24,247;21,247	200	item17902030406001,110	item1000,300000
545	30406001	5	120	0.000000	1.830000	4,42;21,140	3,93;4,93;24,312;21,312	220	item17902030406001,160	item1000,350000
546	30406001	6	140	0.000000	2.000000	4,48;21,159	3,118;4,118;24,394;21,394	240		
547	30407001	0	20	0.000000	1.000000	3,20;22,67	3,32;1,324;25,108;22,108	120	item17902030407001,10	item1000,100000
548	30407001	1	40	0.000000	1.170000	3,24;22,80	3,38;1,387;25,129;22,129	140	item17902030407001,20	item1000,150000
549	30407001	2	60	0.000000	1.330000	3,28;22,94	3,47;1,471;25,157;22,157	160	item17902030407001,40	item1000,200000
550	30407001	3	80	0.000000	1.500000	3,34;22,112	3,58;1,587;25,195;22,195	180	item17902030407001,70	item1000,250000
551	30407001	4	100	0.000000	1.670000	3,38;22,124	3,74;1,741;25,247;22,247	200	item17902030407001,110	item1000,300000
552	30407001	5	120	0.000000	1.830000	3,42;22,140	3,93;1,937;25,312;22,312	220	item17902030407001,160	item1000,350000
553	30407001	6	140	0.000000	2.000000	3,48;22,159	3,118;1,1184;25,394;22,394	240		
554	30408001	0	20	0.000000	1.000000	3,20;25,67	3,32;1,324;25,108;22,108	120	item17902030408001,10	item1000,100000
555	30408001	1	40	0.000000	1.170000	3,24;25,80	3,38;1,387;25,129;22,129	140	item17902030408001,20	item1000,150000
556	30408001	2	60	0.000000	1.330000	3,28;25,94	3,47;1,471;25,157;22,157	160	item17902030408001,40	item1000,200000
557	30408001	3	80	0.000000	1.500000	3,34;25,112	3,58;1,587;25,195;22,195	180	item17902030408001,70	item1000,250000
558	30408001	4	100	0.000000	1.670000	3,38;25,124	3,74;1,741;25,247;22,247	200	item17902030408001,110	item1000,300000
559	30408001	5	120	0.000000	1.830000	3,42;25,140	3,93;1,937;25,312;22,312	220	item17902030408001,160	item1000,350000
560	30408001	6	140	0.000000	2.000000	3,48;25,159	3,118;1,1184;25,394;22,394	240		
561	30501001	0	20	0.000000	1.000000	1,200;26,67	4,32;1,324;26,108;21,108	120	item17902030501001,10	item1000,100000
562	30501001	1	40	0.000000	1.170000	1,240;26,80	4,38;1,387;26,129;21,129	140	item17902030501001,20	item1000,150000
563	30501001	2	60	0.000000	1.330000	1,280;26,94	4,47;1,471;26,157;21,157	160	item17902030501001,40	item1000,200000
564	30501001	3	80	0.000000	1.500000	1,334;26,112	4,58;1,587;26,195;21,195	180	item17902030501001,70	item1000,250000
565	30501001	4	100	0.000000	1.670000	1,372;26,124	4,74;1,741;26,247;21,247	200	item17902030501001,110	item1000,300000
566	30501001	5	120	0.000000	1.830000	1,420;26,140	4,93;1,937;26,312;21,312	220	item17902030501001,160	item1000,350000
567	30501001	6	140	0.000000	2.000000	1,476;26,159	4,118;1,1184;26,394;21,394	240		
568	30502001	0	20	0.000000	1.000000	1,200;24,67	4,32;1,324;24,108;21,108	120	item17902030502001,10	item1000,100000
569	30502001	1	40	0.000000	1.170000	1,240;24,80	4,38;1,387;24,129;21,129	140	item17902030502001,20	item1000,150000
570	30502001	2	60	0.000000	1.330000	1,280;24,94	4,47;1,471;24,157;21,157	160	item17902030502001,40	item1000,200000
571	30502001	3	80	0.000000	1.500000	1,334;24,112	4,58;1,587;24,195;21,195	180	item17902030502001,70	item1000,250000
572	30502001	4	100	0.000000	1.670000	1,372;24,124	4,74;1,741;24,247;21,247	200	item17902030502001,110	item1000,300000
573	30502001	5	120	0.000000	1.830000	1,420;24,140	4,93;1,937;24,312;21,312	220	item17902030502001,160	item1000,350000
574	30502001	6	140	0.000000	2.000000	1,476;24,159	4,118;1,1184;24,394;21,394	240		
575	30503001	0	20	0.000000	1.000000	4,20;23,67	4,32;1,324;23,108;22,108	120	item17902030503001,10	item1000,100000
576	30503001	1	40	0.000000	1.170000	4,24;23,80	4,38;1,387;23,129;22,129	140	item17902030503001,20	item1000,150000
577	30503001	2	60	0.000000	1.330000	4,28;23,94	4,47;1,471;23,157;22,157	160	item17902030503001,40	item1000,200000
578	30503001	3	80	0.000000	1.500000	4,34;23,112	4,58;1,587;23,195;22,195	180	item17902030503001,70	item1000,250000
579	30503001	4	100	0.000000	1.670000	4,38;23,124	4,74;1,741;23,247;22,247	200	item17902030503001,110	item1000,300000
580	30503001	5	120	0.000000	1.830000	4,42;23,140	4,93;1,937;23,312;22,312	220	item17902030503001,160	item1000,350000
581	30503001	6	140	0.000000	2.000000	4,48;23,159	4,118;1,1184;23,394;22,394	240		
582	30504001	0	20	0.000000	1.000000	1,200;24,67	3,32;1,324;24,108;25,108	120	item17902030504001,10	item1000,100000
583	30504001	1	40	0.000000	1.170000	1,240;24,80	3,38;1,387;24,129;25,129	140	item17902030504001,20	item1000,150000
584	30504001	2	60	0.000000	1.330000	1,280;24,94	3,47;1,471;24,157;25,157	160	item17902030504001,40	item1000,200000
585	30504001	3	80	0.000000	1.500000	1,334;24,112	3,58;1,587;24,195;25,195	180	item17902030504001,70	item1000,250000
586	30504001	4	100	0.000000	1.670000	1,372;24,124	3,74;1,741;24,247;25,247	200	item17902030504001,110	item1000,300000
587	30504001	5	120	0.000000	1.830000	1,420;24,140	3,93;1,937;24,312;25,312	220	item17902030504001,160	item1000,350000
588	30504001	6	140	0.000000	2.000000	1,476;24,159	3,118;1,1184;24,394;25,394	240		
589	30505001	0	20	0.000000	1.000000	4,20;26,67	4,32;1,324;23,108;26,108	120	item17902030505001,10	item1000,100000
590	30505001	1	40	0.000000	1.170000	4,24;26,80	4,38;1,387;23,129;26,129	140	item17902030505001,20	item1000,150000
591	30505001	2	60	0.000000	1.330000	4,28;26,94	4,47;1,471;23,157;26,157	160	item17902030505001,40	item1000,200000
592	30505001	3	80	0.000000	1.500000	4,34;26,112	4,58;1,587;23,195;26,195	180	item17902030505001,70	item1000,250000
593	30505001	4	100	0.000000	1.670000	4,38;26,124	4,74;1,741;23,247;26,247	200	item17902030505001,110	item1000,300000
594	30505001	5	120	0.000000	1.830000	4,42;26,140	4,93;1,937;23,312;26,312	220	item17902030505001,160	item1000,350000
595	30505001	6	140	0.000000	2.000000	4,48;26,159	4,118;1,1184;23,394;26,394	240		
596	30506001	0	20	0.000000	1.000000	4,20;21,67	3,32;4,32;24,108;21,108	120	item17902030506001,10	item1000,100000
597	30506001	1	40	0.000000	1.170000	4,24;21,80	3,38;4,38;24,129;21,129	140	item17902030506001,20	item1000,150000
598	30506001	2	60	0.000000	1.330000	4,28;21,94	3,47;4,47;24,157;21,157	160	item17902030506001,40	item1000,200000
599	30506001	3	80	0.000000	1.500000	4,34;21,112	3,58;4,58;24,195;21,195	180	item17902030506001,70	item1000,250000
600	30506001	4	100	0.000000	1.670000	4,38;21,124	3,74;4,74;24,247;21,247	200	item17902030506001,110	item1000,300000
601	30506001	5	120	0.000000	1.830000	4,42;21,140	3,93;4,93;24,312;21,312	220	item17902030506001,160	item1000,350000
602	30506001	6	140	0.000000	2.000000	4,48;21,159	3,118;4,118;24,394;21,394	240		
603	30507001	0	20	0.000000	1.000000	3,20;22,67	3,32;1,324;25,108;22,108	120	item17902030507001,10	item1000,100000
604	30507001	1	40	0.000000	1.170000	3,24;22,80	3,38;1,387;25,129;22,129	140	item17902030507001,20	item1000,150000
605	30507001	2	60	0.000000	1.330000	3,28;22,94	3,47;1,471;25,157;22,157	160	item17902030507001,40	item1000,200000
606	30507001	3	80	0.000000	1.500000	3,34;22,112	3,58;1,587;25,195;22,195	180	item17902030507001,70	item1000,250000
607	30507001	4	100	0.000000	1.670000	3,38;22,124	3,74;1,741;25,247;22,247	200	item17902030507001,110	item1000,300000
608	30507001	5	120	0.000000	1.830000	3,42;22,140	3,93;1,937;25,312;22,312	220	item17902030507001,160	item1000,350000
609	30507001	6	140	0.000000	2.000000	3,48;22,159	3,118;1,1184;25,394;22,394	240		
610	30508001	0	20	0.000000	1.000000	3,20;25,67	3,32;1,324;25,108;22,108	120	item17902030508001,10	item1000,100000
611	30508001	1	40	0.000000	1.170000	3,24;25,80	3,38;1,387;25,129;22,129	140	item17902030508001,20	item1000,150000
612	30508001	2	60	0.000000	1.330000	3,28;25,94	3,47;1,471;25,157;22,157	160	item17902030508001,40	item1000,200000
613	30508001	3	80	0.000000	1.500000	3,34;25,112	3,58;1,587;25,195;22,195	180	item17902030508001,70	item1000,250000
614	30508001	4	100	0.000000	1.670000	3,38;25,124	3,74;1,741;25,247;22,247	200	item17902030508001,110	item1000,300000
615	30508001	5	120	0.000000	1.830000	3,42;25,140	3,93;1,937;25,312;22,312	220	item17902030508001,160	item1000,350000
616	30508001	6	140	0.000000	2.000000	3,48;25,159	3,118;1,1184;25,394;22,394	240		
617	30601001	0	20	0.000000	1.000000	1,200;26,67	4,32;1,324;26,108;21,108	120	item17902030601001,10	item1000,100000
618	30601001	1	40	0.000000	1.170000	1,240;26,80	4,38;1,387;26,129;21,129	140	item17902030601001,20	item1000,150000
619	30601001	2	60	0.000000	1.330000	1,280;26,94	4,47;1,471;26,157;21,157	160	item17902030601001,40	item1000,200000
620	30601001	3	80	0.000000	1.500000	1,334;26,112	4,58;1,587;26,195;21,195	180	item17902030601001,70	item1000,250000
621	30601001	4	100	0.000000	1.670000	1,372;26,124	4,74;1,741;26,247;21,247	200	item17902030601001,110	item1000,300000
622	30601001	5	120	0.000000	1.830000	1,420;26,140	4,93;1,937;26,312;21,312	220	item17902030601001,160	item1000,350000
623	30601001	6	140	0.000000	2.000000	1,476;26,159	4,118;1,1184;26,394;21,394	240		
624	30602001	0	20	0.000000	1.000000	1,200;24,67	4,32;1,324;24,108;21,108	120	item17902030602001,10	item1000,100000
625	30602001	1	40	0.000000	1.170000	1,240;24,80	4,38;1,387;24,129;21,129	140	item17902030602001,20	item1000,150000
626	30602001	2	60	0.000000	1.330000	1,280;24,94	4,47;1,471;24,157;21,157	160	item17902030602001,40	item1000,200000
627	30602001	3	80	0.000000	1.500000	1,334;24,112	4,58;1,587;24,195;21,195	180	item17902030602001,70	item1000,250000
628	30602001	4	100	0.000000	1.670000	1,372;24,124	4,74;1,741;24,247;21,247	200	item17902030602001,110	item1000,300000
629	30602001	5	120	0.000000	1.830000	1,420;24,140	4,93;1,937;24,312;21,312	220	item17902030602001,160	item1000,350000
630	30602001	6	140	0.000000	2.000000	1,476;24,159	4,118;1,1184;24,394;21,394	240		
631	30603001	0	20	0.000000	1.000000	4,20;23,67	4,32;1,324;23,108;22,108	120	item17902030603001,10	item1000,100000
632	30603001	1	40	0.000000	1.170000	4,24;23,80	4,38;1,387;23,129;22,129	140	item17902030603001,20	item1000,150000
633	30603001	2	60	0.000000	1.330000	4,28;23,94	4,47;1,471;23,157;22,157	160	item17902030603001,40	item1000,200000
634	30603001	3	80	0.000000	1.500000	4,34;23,112	4,58;1,587;23,195;22,195	180	item17902030603001,70	item1000,250000
635	30603001	4	100	0.000000	1.670000	4,38;23,124	4,74;1,741;23,247;22,247	200	item17902030603001,110	item1000,300000
636	30603001	5	120	0.000000	1.830000	4,42;23,140	4,93;1,937;23,312;22,312	220	item17902030603001,160	item1000,350000
637	30603001	6	140	0.000000	2.000000	4,48;23,159	4,118;1,1184;23,394;22,394	240		
638	30604001	0	20	0.000000	1.000000	1,200;24,67	3,32;1,324;24,108;25,108	120	item17902030604001,10	item1000,100000
639	30604001	1	40	0.000000	1.170000	1,240;24,80	3,38;1,387;24,129;25,129	140	item17902030604001,20	item1000,150000
640	30604001	2	60	0.000000	1.330000	1,280;24,94	3,47;1,471;24,157;25,157	160	item17902030604001,40	item1000,200000
641	30604001	3	80	0.000000	1.500000	1,334;24,112	3,58;1,587;24,195;25,195	180	item17902030604001,70	item1000,250000
642	30604001	4	100	0.000000	1.670000	1,372;24,124	3,74;1,741;24,247;25,247	200	item17902030604001,110	item1000,300000
643	30604001	5	120	0.000000	1.830000	1,420;24,140	3,93;1,937;24,312;25,312	220	item17902030604001,160	item1000,350000
644	30604001	6	140	0.000000	2.000000	1,476;24,159	3,118;1,1184;24,394;25,394	240		
645	30605001	0	20	0.000000	1.000000	4,20;26,67	4,32;1,324;23,108;26,108	120	item17902030605001,10	item1000,100000
646	30605001	1	40	0.000000	1.170000	4,24;26,80	4,38;1,387;23,129;26,129	140	item17902030605001,20	item1000,150000
647	30605001	2	60	0.000000	1.330000	4,28;26,94	4,47;1,471;23,157;26,157	160	item17902030605001,40	item1000,200000
648	30605001	3	80	0.000000	1.500000	4,34;26,112	4,58;1,587;23,195;26,195	180	item17902030605001,70	item1000,250000
649	30605001	4	100	0.000000	1.670000	4,38;26,124	4,74;1,741;23,247;26,247	200	item17902030605001,110	item1000,300000
650	30605001	5	120	0.000000	1.830000	4,42;26,140	4,93;1,937;23,312;26,312	220	item17902030605001,160	item1000,350000
651	30605001	6	140	0.000000	2.000000	4,48;26,159	4,118;1,1184;23,394;26,394	240		
652	30606001	0	20	0.000000	1.000000	4,20;21,67	3,32;4,32;24,108;21,108	120	item17902030606001,10	item1000,100000
653	30606001	1	40	0.000000	1.170000	4,24;21,80	3,38;4,38;24,129;21,129	140	item17902030606001,20	item1000,150000
654	30606001	2	60	0.000000	1.330000	4,28;21,94	3,47;4,47;24,157;21,157	160	item17902030606001,40	item1000,200000
655	30606001	3	80	0.000000	1.500000	4,34;21,112	3,58;4,58;24,195;21,195	180	item17902030606001,70	item1000,250000
656	30606001	4	100	0.000000	1.670000	4,38;21,124	3,74;4,74;24,247;21,247	200	item17902030606001,110	item1000,300000
657	30606001	5	120	0.000000	1.830000	4,42;21,140	3,93;4,93;24,312;21,312	220	item17902030606001,160	item1000,350000
658	30606001	6	140	0.000000	2.000000	4,48;21,159	3,118;4,118;24,394;21,394	240		
659	30607001	0	20	0.000000	1.000000	3,20;22,67	3,32;1,324;25,108;22,108	120	item17902030607001,10	item1000,100000
660	30607001	1	40	0.000000	1.170000	3,24;22,80	3,38;1,387;25,129;22,129	140	item17902030607001,20	item1000,150000
661	30607001	2	60	0.000000	1.330000	3,28;22,94	3,47;1,471;25,157;22,157	160	item17902030607001,40	item1000,200000
662	30607001	3	80	0.000000	1.500000	3,34;22,112	3,58;1,587;25,195;22,195	180	item17902030607001,70	item1000,250000
663	30607001	4	100	0.000000	1.670000	3,38;22,124	3,74;1,741;25,247;22,247	200	item17902030607001,110	item1000,300000
664	30607001	5	120	0.000000	1.830000	3,42;22,140	3,93;1,937;25,312;22,312	220	item17902030607001,160	item1000,350000
665	30607001	6	140	0.000000	2.000000	3,48;22,159	3,118;1,1184;25,394;22,394	240		
666	30608001	0	20	0.000000	1.000000	3,20;25,67	3,32;1,324;25,108;22,108	120	item17902030608001,10	item1000,100000
667	30608001	1	40	0.000000	1.170000	3,24;25,80	3,38;1,387;25,129;22,129	140	item17902030608001,20	item1000,150000
668	30608001	2	60	0.000000	1.330000	3,28;25,94	3,47;1,471;25,157;22,157	160	item17902030608001,40	item1000,200000
669	30608001	3	80	0.000000	1.500000	3,34;25,112	3,58;1,587;25,195;22,195	180	item17902030608001,70	item1000,250000
670	30608001	4	100	0.000000	1.670000	3,38;25,124	3,74;1,741;25,247;22,247	200	item17902030608001,110	item1000,300000
671	30608001	5	120	0.000000	1.830000	3,42;25,140	3,93;1,937;25,312;22,312	220	item17902030608001,160	item1000,350000
672	30608001	6	140	0.000000	2.000000	3,48;25,159	3,118;1,1184;25,394;22,394	240		
673	40101001	0	20	0.000000	1.000000	1,450;26,150	4,70;1,700;26,233;21,233	300	item17902040101001,10	item1000,250000
674	40101001	1	40	0.000000	1.170000	1,510;26,170	4,80;1,800;26,266;21,266	350	item17902040101001,20	item1000,500000
675	40101001	2	60	0.000000	1.330000	1,590;26,197	4,93;1,938;26,312;21,312	400	item17902040101001,40	item1000,750000
676	40101001	3	80	0.000000	1.500000	1,654;26,218	4,113;1,1133;26,377;21,377	450	item17902040101001,70	item1000,1000000
677	40101001	4	100	0.000000	1.670000	1,744;26,248	4,139;1,1396;26,465;21,465	500	item17902040101001,110	item1000,1250000
678	40101001	5	120	0.000000	1.830000	1,862;26,288	4,173;1,1734;26,578;21,578	550	item17902040101001,160	item1000,1500000
679	40101001	6	140	0.000000	2.000000	1,1010;26,337	4,216;1,2164;26,721;21,721	600		
680	40102001	0	20	0.000000	1.000000	1,450;24,150	4,70;1,700;24,233;21,233	300	item17902040102001,10	item1000,250000
681	40102001	1	40	0.000000	1.170000	1,510;24,170	4,80;1,800;24,266;21,266	350	item17902040102001,20	item1000,500000
682	40102001	2	60	0.000000	1.330000	1,590;24,197	4,93;1,938;24,312;21,312	400	item17902040102001,40	item1000,750000
683	40102001	3	80	0.000000	1.500000	1,654;24,218	4,113;1,1133;24,377;21,377	450	item17902040102001,70	item1000,1000000
684	40102001	4	100	0.000000	1.670000	1,744;24,248	4,139;1,1396;24,465;21,465	500	item17902040102001,110	item1000,1250000
685	40102001	5	120	0.000000	1.830000	1,862;24,288	4,173;1,1734;24,578;21,578	550	item17902040102001,160	item1000,1500000
686	40102001	6	140	0.000000	2.000000	1,1010;24,337	4,216;1,2164;24,721;21,721	600		
687	40103001	0	20	0.000000	1.000000	4,45;23,150	4,70;1,700;23,233;22,233	300	item17902040103001,10	item1000,250000
688	40103001	1	40	0.000000	1.170000	4,51;23,170	4,80;1,800;23,266;22,266	350	item17902040103001,20	item1000,500000
689	40103001	2	60	0.000000	1.330000	4,59;23,197	4,93;1,938;23,312;22,312	400	item17902040103001,40	item1000,750000
690	40103001	3	80	0.000000	1.500000	4,66;23,218	4,113;1,1133;23,377;22,377	450	item17902040103001,70	item1000,1000000
691	40103001	4	100	0.000000	1.670000	4,75;23,248	4,139;1,1396;23,465;22,465	500	item17902040103001,110	item1000,1250000
692	40103001	5	120	0.000000	1.830000	4,87;23,288	4,173;1,1734;23,578;22,578	550	item17902040103001,160	item1000,1500000
