流水	装备ID	等级	属性
1500	331	11	3,429;21,472;25,475
1501	331	12	3,475;21,521;25,524
1502	331	13	3,521;21,570;25,573
1503	331	14	3,567;21,619;25,622
1504	331	15	3,613;21,668;25,671
1505	331	16	3,668;21,729;25,732
1506	331	17	3,723;21,790;25,793
1507	331	18	3,778;21,851;25,854
1508	331	19	3,833;21,912;25,915
1509	331	20	3,888;21,973;25,976
1510	331	21	3,955;21,1046;25,1049
1511	331	22	3,1022;21,1119;25,1122
1512	331	23	3,1089;21,1192;25,1195
1513	331	24	3,1156;21,1265;25,1268
1514	331	25	3,1223;21,1338;25,1341
1515	331	26	3,1336;21,1461;25,1467
1516	331	27	3,1449;21,1584;25,1593
1517	331	28	3,1562;21,1707;25,1719
1518	331	29	3,1675;21,1830;25,1845
1519	331	30	3,1788;21,1953;25,1971
1520	332	0	1,428;21,104;24,80
1521	332	1	1,511;21,122;24,95
1522	332	2	1,594;21,140;24,110
1523	332	3	1,677;21,158;24,125
1524	332	4	1,760;21,176;24,140
1525	332	5	1,843;21,194;24,155
1526	332	6	1,969;21,224;24,176
1527	332	7	1,1095;21,254;24,197
1528	332	8	1,1221;21,284;24,218
1529	332	9	1,1347;21,314;24,239
1530	332	10	1,1473;21,344;24,260
1531	332	11	1,1642;21,384;24,290
1532	332	12	1,1811;21,424;24,320
1533	332	13	1,1980;21,464;24,350
1534	332	14	1,2149;21,504;24,380
1535	332	15	1,2318;21,544;24,410
1536	332	16	1,2530;21,596;24,450
1537	332	17	1,2742;21,648;24,490
1538	332	18	1,2954;21,700;24,530
1539	332	19	1,3166;21,752;24,570
1540	332	20	1,3378;21,804;24,610
1541	332	21	1,3633;21,865;24,656
1542	332	22	1,3888;21,926;24,702
1543	332	23	1,4143;21,987;24,748
1544	332	24	1,4398;21,1048;24,794
1545	332	25	1,4653;21,1109;24,840
1546	332	26	1,5081;21,1213;24,920
1547	332	27	1,5509;21,1317;24,1000
1548	332	28	1,5937;21,1421;24,1080
1549	332	29	1,6365;21,1525;24,1160
1550	332	30	1,6793;21,1629;24,1240
1551	333	0	4,40;23,92;26,55
1552	333	1	4,46;23,110;26,64
1553	333	2	4,52;23,128;26,73
1554	333	3	4,58;23,146;26,82
1555	333	4	4,64;23,164;26,91
1556	333	5	4,70;23,182;26,100
1557	333	6	4,79;23,209;26,115
1558	333	7	4,88;23,236;26,130
1559	333	8	4,97;23,263;26,145
1560	333	9	4,106;23,290;26,160
1561	333	10	4,115;23,317;26,175
1562	333	11	4,130;23,353;26,196
1563	333	12	4,145;23,389;26,217
1564	333	13	4,160;23,425;26,238
1565	333	14	4,175;23,461;26,259
1566	333	15	4,190;23,497;26,280
1567	333	16	4,208;23,543;26,307
1568	333	17	4,226;23,589;26,334
1569	333	18	4,244;23,635;26,361
1570	333	19	4,262;23,681;26,388
1571	333	20	4,280;23,727;26,415
1572	333	21	4,301;23,782;26,448
1573	333	22	4,322;23,837;26,481
1574	333	23	4,343;23,892;26,514
1575	333	24	4,364;23,947;26,547
1576	333	25	4,385;23,1002;26,580
1577	333	26	4,425;23,1094;26,635
1578	333	27	4,465;23,1186;26,690
1579	333	28	4,505;23,1278;26,745
1580	333	29	4,545;23,1370;26,800
1581	333	30	4,585;23,1462;26,855
1582	334	0	4,52;24,117;26,83
1583	334	1	4,61;24,138;26,98
1584	334	2	4,70;24,159;26,113
1585	334	3	4,79;24,180;26,128
1586	334	4	4,88;24,201;26,143
1587	334	5	4,97;24,222;26,158
1588	334	6	4,112;24,255;26,182
1589	334	7	4,127;24,288;26,206
1590	334	8	4,142;24,321;26,230
1591	334	9	4,157;24,354;26,254
1592	334	10	4,172;24,387;26,278
1593	334	11	4,193;24,433;26,308
1594	334	12	4,214;24,479;26,338
1595	334	13	4,235;24,525;26,368
1596	334	14	4,256;24,571;26,398
1597	334	15	4,277;24,617;26,428
1598	334	16	4,301;24,675;26,468
1599	334	17	4,325;24,733;26,508
1600	334	18	4,349;24,791;26,548
1601	334	19	4,373;24,849;26,588
1602	334	20	4,397;24,907;26,628
1603	334	21	4,427;24,977;26,677
1604	334	22	4,457;24,1047;26,726
1605	334	23	4,487;24,1117;26,775
1606	334	24	4,517;24,1187;26,824
1607	334	25	4,547;24,1257;26,873
1608	334	26	4,599;24,1374;26,956
1609	334	27	4,651;24,1491;26,1039
1610	334	28	4,703;24,1608;26,1122
1611	334	29	4,755;24,1725;26,1205
1612	334	30	4,807;24,1842;26,1288
1613	335	0	1,751;22,73;23,52
1614	335	1	1,898;22,85;23,61
1615	335	2	1,1045;22,97;23,70
1616	335	3	1,1192;22,109;23,79
1617	335	4	1,1339;22,121;23,88
1618	335	5	1,1486;22,133;23,97
1619	335	6	1,1710;22,154;23,112
1620	335	7	1,1934;22,175;23,127
1621	335	8	1,2158;22,196;23,142
1622	335	9	1,2382;22,217;23,157
1623	335	10	1,2606;22,238;23,172
1624	335	11	1,2904;22,265;23,193
1625	335	12	1,3202;22,292;23,214
1626	335	13	1,3500;22,319;23,235
1627	335	14	1,3798;22,346;23,256
1628	335	15	1,4096;22,373;23,277
1629	335	16	1,4471;22,409;23,301
1630	335	17	1,4846;22,445;23,325
1631	335	18	1,5221;22,481;23,349
1632	335	19	1,5596;22,517;23,373
1633	335	20	1,5971;22,553;23,397
1634	335	21	1,6420;22,596;23,427
1635	335	22	1,6869;22,639;23,457
1636	335	23	1,7318;22,682;23,487
1637	335	24	1,7767;22,725;23,517
1638	335	25	1,8216;22,768;23,547
1639	335	26	1,8967;22,841;23,599
1640	335	27	1,9718;22,914;23,651
1641	335	28	1,10469;22,987;23,703
1642	335	29	1,11220;22,1060;23,755
1643	335	30	1,11971;22,1133;23,807
1644	336	0	4,27;22,113;25,40
1645	336	1	4,30;22,134;25,46
1646	336	2	4,33;22,155;25,52
1647	336	3	4,36;22,176;25,58
1648	336	4	4,39;22,197;25,64
1649	336	5	4,42;22,218;25,70
1650	336	6	4,48;22,251;25,82
1651	336	7	4,54;22,284;25,94
1652	336	8	4,60;22,317;25,106
1653	336	9	4,66;22,350;25,118
1654	336	10	4,72;22,383;25,130
1655	336	11	4,81;22,429;25,145
1656	336	12	4,90;22,475;25,160
1657	336	13	4,99;22,521;25,175
1658	336	14	4,108;22,567;25,190
1659	336	15	4,117;22,613;25,205
1660	336	16	4,129;22,668;25,223
1661	336	17	4,141;22,723;25,241
1662	336	18	4,153;22,778;25,259
1663	336	19	4,165;22,833;25,277
1664	336	20	4,177;22,888;25,295
1665	336	21	4,192;22,955;25,319
1666	336	22	4,207;22,1022;25,343
1667	336	23	4,222;22,1089;25,367
1668	336	24	4,237;22,1156;25,391
1669	336	25	4,252;22,1223;25,415
1670	336	26	4,279;22,1336;25,455
1671	336	27	4,306;22,1449;25,495
1672	336	28	4,333;22,1562;25,535
1673	336	29	4,360;22,1675;25,575
1674	336	30	4,387;22,1788;25,615
1675	341	0	3,104;21,110;25,157
1676	341	1	3,122;21,131;25,187
1677	341	2	3,140;21,152;25,217
1678	341	3	3,158;21,173;25,247
1679	341	4	3,176;21,194;25,277
1680	341	5	3,194;21,215;25,307
1681	341	6	3,224;21,248;25,353
1682	341	7	3,254;21,281;25,399
1683	341	8	3,284;21,314;25,445
1684	341	9	3,314;21,347;25,491
1685	341	10	3,344;21,380;25,537
1686	341	11	3,384;21,423;25,598
1687	341	12	3,424;21,466;25,659
1688	341	13	3,464;21,509;25,720
1689	341	14	3,504;21,552;25,781
1690	341	15	3,544;21,595;25,842
1691	341	16	3,596;21,650;25,919
1692	341	17	3,648;21,705;25,996
1693	341	18	3,700;21,760;25,1073
1694	341	19	3,752;21,815;25,1150
1695	341	20	3,804;21,870;25,1227
1696	341	21	3,865;21,937;25,1319
1697	341	22	3,926;21,1004;25,1411
1698	341	23	3,987;21,1071;25,1503
1699	341	24	3,1048;21,1138;25,1595
1700	341	25	3,1109;21,1205;25,1687
1701	341	26	3,1213;21,1315;25,1844
1702	341	27	3,1317;21,1425;25,2001
1703	341	28	3,1421;21,1535;25,2158
1704	341	29	3,1525;21,1645;25,2315
1705	341	30	3,1629;21,1755;25,2472
1706	342	0	1,462;21,95;24,86
1707	342	1	1,554;21,113;24,101
1708	342	2	1,646;21,131;24,116
1709	342	3	1,738;21,149;24,131
1710	342	4	1,830;21,167;24,146
1711	342	5	1,922;21,185;24,161
1712	342	6	1,1060;21,212;24,185
1713	342	7	1,1198;21,239;24,209
1714	342	8	1,1336;21,266;24,233
1715	342	9	1,1474;21,293;24,257
1716	342	10	1,1612;21,320;24,281
1717	342	11	1,1796;21,356;24,314
1718	342	12	1,1980;21,392;24,347
1719	342	13	1,2164;21,428;24,380
1720	342	14	1,2348;21,464;24,413
1721	342	15	1,2532;21,500;24,446
1722	342	16	1,2763;21,546;24,489
1723	342	17	1,2994;21,592;24,532
1724	342	18	1,3225;21,638;24,575
1725	342	19	1,3456;21,684;24,618
1726	342	20	1,3687;21,730;24,661
1727	342	21	1,3964;21,785;24,713
1728	342	22	1,4241;21,840;24,765
1729	342	23	1,4518;21,895;24,817
1730	342	24	1,4795;21,950;24,869
1731	342	25	1,5072;21,1005;24,921
1732	342	26	1,5534;21,1100;24,1007
1733	342	27	1,5996;21,1195;24,1093
1734	342	28	1,6458;21,1290;24,1179
1735	342	29	1,6920;21,1385;24,1265
1736	342	30	1,7382;21,1480;24,1351
1737	343	0	4,40;23,64;26,73
1738	343	1	4,46;23,76;26,85
1739	343	2	4,52;23,88;26,97
1740	343	3	4,58;23,100;26,109
1741	343	4	4,64;23,112;26,121
1742	343	5	4,70;23,124;26,133
1743	343	6	4,79;23,142;26,154
1744	343	7	4,88;23,160;26,175
1745	343	8	4,97;23,178;26,196
1746	343	9	4,106;23,196;26,217
1747	343	10	4,115;23,214;26,238
1748	343	11	4,130;23,238;26,265
1749	343	12	4,145;23,262;26,292
1750	343	13	4,160;23,286;26,319
1751	343	14	4,175;23,310;26,346
1752	343	15	4,190;23,334;26,373
1753	343	16	4,208;23,364;26,409
1754	343	17	4,226;23,394;26,445
1755	343	18	4,244;23,424;26,481
1756	343	19	4,262;23,454;26,517
1757	343	20	4,280;23,484;26,553
1758	343	21	4,301;23,520;26,596
1759	343	22	4,322;23,556;26,639
1760	343	23	4,343;23,592;26,682
1761	343	24	4,364;23,628;26,725
1762	343	25	4,385;23,664;26,768
1763	343	26	4,425;23,728;26,841
1764	343	27	4,465;23,792;26,914
1765	343	28	4,505;23,856;26,987
1766	343	29	4,545;23,920;26,1060
1767	343	30	4,585;23,984;26,1133
1768	344	0	4,52;24,129;26,107
1769	344	1	4,61;24,153;26,128
1770	344	2	4,70;24,177;26,149
1771	344	3	4,79;24,201;26,170
1772	344	4	4,88;24,225;26,191
1773	344	5	4,97;24,249;26,212
1774	344	6	4,112;24,285;26,242
1775	344	7	4,127;24,321;26,272
1776	344	8	4,142;24,357;26,302
1777	344	9	4,157;24,393;26,332
1778	344	10	4,172;24,429;26,362
1779	344	11	4,193;24,481;26,405
1780	344	12	4,214;24,533;26,448
1781	344	13	4,235;24,585;26,491
1782	344	14	4,256;24,637;26,534
1783	344	15	4,277;24,689;26,577
1784	344	16	4,301;24,753;26,629
1785	344	17	4,325;24,817;26,681
1786	344	18	4,349;24,881;26,733
1787	344	19	4,373;24,945;26,785
1788	344	20	4,397;24,1009;26,837
1789	344	21	4,427;24,1086;26,901
1790	344	22	4,457;24,1163;26,965
1791	344	23	4,487;24,1240;26,1029
1792	344	24	4,517;24,1317;26,1093
1793	344	25	4,547;24,1394;26,1157
1794	344	26	4,599;24,1523;26,1264
1795	344	27	4,651;24,1652;26,1371
1796	344	28	4,703;24,1781;26,1478
1797	344	29	4,755;24,1910;26,1585
1798	344	30	4,807;24,2039;26,1692
1799	345	0	1,810;22,58;23,36
1800	345	1	1,970;22,67;23,42
1801	345	2	1,1130;22,76;23,48
1802	345	3	1,1290;22,85;23,54
1803	345	4	1,1450;22,94;23,60
1804	345	5	1,1610;22,103;23,66
1805	345	6	1,1853;22,118;23,75
1806	345	7	1,2096;22,133;23,84
1807	345	8	1,2339;22,148;23,93
1808	345	9	1,2582;22,163;23,102
1809	345	10	1,2825;22,178;23,111
1810	345	11	1,3148;22,199;23,126
1811	345	12	1,3471;22,220;23,141
1812	345	13	1,3794;22,241;23,156
1813	345	14	1,4117;22,262;23,171
1814	345	15	1,4440;22,283;23,186
1815	345	16	1,4843;22,310;23,204
1816	345	17	1,5246;22,337;23,222
1817	345	18	1,5649;22,364;23,240
1818	345	19	1,6052;22,391;23,258
1819	345	20	1,6455;22,418;23,276
1820	345	21	1,6941;22,451;23,297
1821	345	22	1,7427;22,484;23,318
1822	345	23	1,7913;22,517;23,339
1823	345	24	1,8399;22,550;23,360
1824	345	25	1,8885;22,583;23,381
1825	345	26	1,9695;22,641;23,417
1826	345	27	1,10505;22,699;23,453
1827	345	28	1,11315;22,757;23,489
1828	345	29	1,12125;22,815;23,525
1829	345	30	1,12935;22,873;23,561
1830	346	0	4,27;22,89;25,52
1831	346	1	4,30;22,104;25,61
1832	346	2	4,33;22,119;25,70
1833	346	3	4,36;22,134;25,79
1834	346	4	4,39;22,149;25,88
1835	346	5	4,42;22,164;25,97
1836	346	6	4,48;22,188;25,112
1837	346	7	4,54;22,212;25,127
1838	346	8	4,60;22,236;25,142
1839	346	9	4,66;22,260;25,157
1840	346	10	4,72;22,284;25,172
1841	346	11	4,81;22,317;25,190
1842	346	12	4,90;22,350;25,208
1843	346	13	4,99;22,383;25,226
1844	346	14	4,108;22,416;25,244
1845	346	15	4,117;22,449;25,262
1846	346	16	4,129;22,492;25,286
1847	346	17	4,141;22,535;25,310
1848	346	18	4,153;22,578;25,334
1849	346	19	4,165;22,621;25,358
1850	346	20	4,177;22,664;25,382
1851	346	21	4,192;22,716;25,412
1852	346	22	4,207;22,768;25,442
1853	346	23	4,222;22,820;25,472
1854	346	24	4,237;22,872;25,502
1855	346	25	4,252;22,924;25,532
1856	346	26	4,279;22,1013;25,584
1857	346	27	4,306;22,1102;25,636
1858	346	28	4,333;22,1191;25,688
1859	346	29	4,360;22,1280;25,740
1860	346	30	4,387;22,1369;25,792
1861	351	0	3,120;21,101;25,187
1862	351	1	3,141;21,119;25,223
1863	351	2	3,162;21,137;25,259
1864	351	3	3,183;21,155;25,295
1865	351	4	3,204;21,173;25,331
1866	351	5	3,225;21,191;25,367
1867	351	6	3,258;21,218;25,422
1868	351	7	3,291;21,245;25,477
1869	351	8	3,324;21,272;25,532
1870	351	9	3,357;21,299;25,587
1871	351	10	3,390;21,326;25,642
1872	351	11	3,436;21,366;25,715
1873	351	12	3,482;21,406;25,788
1874	351	13	3,528;21,446;25,861
1875	351	14	3,574;21,486;25,934
1876	351	15	3,620;21,526;25,1007
1877	351	16	3,678;21,575;25,1099
1878	351	17	3,736;21,624;25,1191
1879	351	18	3,794;21,673;25,1283
1880	351	19	3,852;21,722;25,1375
1881	351	20	3,910;21,771;25,1467
1882	351	21	3,980;21,829;25,1577
1883	351	22	3,1050;21,887;25,1687
1884	351	23	3,1120;21,945;25,1797
1885	351	24	3,1190;21,1003;25,1907
1886	351	25	3,1260;21,1061;25,2017
1887	351	26	3,1380;21,1162;25,2204
1888	351	27	3,1500;21,1263;25,2391
1889	351	28	3,1620;21,1364;25,2578
1890	351	29	3,1740;21,1465;25,2765
1891	351	30	3,1860;21,1566;25,2952
1892	352	0	1,443;21,86;24,61
1893	352	1	1,529;21,101;24,73
1894	352	2	1,615;21,116;24,85
1895	352	3	1,701;21,131;24,97
1896	352	4	1,787;21,146;24,109
1897	352	5	1,873;21,161;24,121
1898	352	6	1,1005;21,185;24,139
1899	352	7	1,1137;21,209;24,157
1900	352	8	1,1269;21,233;24,175
1901	352	9	1,1401;21,257;24,193
1902	352	10	1,1533;21,281;24,211
1903	352	11	1,1708;21,314;24,235
1904	352	12	1,1883;21,347;24,259
1905	352	13	1,2058;21,380;24,283
1906	352	14	1,2233;21,413;24,307
1907	352	15	1,2408;21,446;24,331
1908	352	16	1,2629;21,489;24,361
1909	352	17	1,2850;21,532;24,391
1910	352	18	1,3071;21,575;24,421
1911	352	19	1,3292;21,618;24,451
1912	352	20	1,3513;21,661;24,481
1913	352	21	1,3777;21,713;24,517
1914	352	22	1,4041;21,765;24,553
1915	352	23	1,4305;21,817;24,589
1916	352	24	1,4569;21,869;24,625
1917	352	25	1,4833;21,921;24,661
1918	352	26	1,5276;21,1007;24,722
1919	352	27	1,5719;21,1093;24,783
1920	352	28	1,6162;21,1179;24,844
1921	352	29	1,6605;21,1265;24,905
1922	352	30	1,7048;21,1351;24,966
1923	353	0	4,36;23,132;26,46
1924	353	1	4,42;23,156;26,55
1925	353	2	4,48;23,180;26,64
1926	353	3	4,54;23,204;26,73
1927	353	4	4,60;23,228;26,82
1928	353	5	4,66;23,252;26,91
1929	353	6	4,75;23,288;26,103
1930	353	7	4,84;23,324;26,115
1931	353	8	4,93;23,360;26,127
1932	353	9	4,102;23,396;26,139
1933	353	10	4,111;23,432;26,151
1934	353	11	4,123;23,484;26,169
1935	353	12	4,135;23,536;26,187
1936	353	13	4,147;23,588;26,205
1937	353	14	4,159;23,640;26,223
1938	353	15	4,171;23,692;26,241
1939	353	16	4,189;23,756;26,262
1940	353	17	4,207;23,820;26,283
1941	353	18	4,225;23,884;26,304
1942	353	19	4,243;23,948;26,325
1943	353	20	4,261;23,1012;26,346
1944	353	21	4,282;23,1089;26,373
1945	353	22	4,303;23,1166;26,400
1946	353	23	4,324;23,1243;26,427
1947	353	24	4,345;23,1320;26,454
1948	353	25	4,366;23,1397;26,481
1949	353	26	4,402;23,1529;26,527
1950	353	27	4,438;23,1661;26,573
1951	353	28	4,474;23,1793;26,619
1952	353	29	4,510;23,1925;26,665
1953	353	30	4,546;23,2057;26,711
1954	354	0	4,49;24,92;26,67
1955	354	1	4,58;24,110;26,79
1956	354	2	4,67;24,128;26,91
1957	354	3	4,76;24,146;26,103
1958	354	4	4,85;24,164;26,115
1959	354	5	4,94;24,182;26,127
1960	354	6	4,109;24,209;26,145
1961	354	7	4,124;24,236;26,163
1962	354	8	4,139;24,263;26,181
1963	354	9	4,154;24,290;26,199
1964	354	10	4,169;24,317;26,217
1965	354	11	4,187;24,353;26,244
1966	354	12	4,205;24,389;26,271
1967	354	13	4,223;24,425;26,298
1968	354	14	4,241;24,461;26,325
1969	354	15	4,259;24,497;26,352
1970	354	16	4,283;24,543;26,385
1971	354	17	4,307;24,589;26,418
1972	354	18	4,331;24,635;26,451
1973	354	19	4,355;24,681;26,484
1974	354	20	4,379;24,727;26,517
1975	354	21	4,409;24,782;26,557
1976	354	22	4,439;24,837;26,597
1977	354	23	4,469;24,892;26,637
1978	354	24	4,499;24,947;26,677
1979	354	25	4,529;24,1002;26,717
1980	354	26	4,578;24,1094;26,784
1981	354	27	4,627;24,1186;26,851
1982	354	28	4,676;24,1278;26,918
1983	354	29	4,725;24,1370;26,985
1984	354	30	4,774;24,1462;26,1052
1985	355	0	1,776;22,58;23,77
1986	355	1	1,930;22,67;23,92
1987	355	2	1,1084;22,76;23,107
1988	355	3	1,1238;22,85;23,122
1989	355	4	1,1392;22,94;23,137
1990	355	5	1,1546;22,103;23,152
1991	355	6	1,1777;22,118;23,173
1992	355	7	1,2008;22,133;23,194
1993	355	8	1,2239;22,148;23,215
1994	355	9	1,2470;22,163;23,236
1995	355	10	1,2701;22,178;23,257
1996	355	11	1,3009;22,199;23,287
1997	355	12	1,3317;22,220;23,317
1998	355	13	1,3625;22,241;23,347
1999	355	14	1,3933;22,262;23,377
2000	355	15	1,4241;22,283;23,407
2001	355	16	1,4629;22,310;23,443
2002	355	17	1,5017;22,337;23,479
2003	355	18	1,5405;22,364;23,515
2004	355	19	1,5793;22,391;23,551
2005	355	20	1,6181;22,418;23,587
2006	355	21	1,6646;22,451;23,633
2007	355	22	1,7111;22,484;23,679
2008	355	23	1,7576;22,517;23,725
2009	355	24	1,8041;22,550;23,771
2010	355	25	1,8506;22,583;23,817
2011	355	26	1,9282;22,641;23,894
2012	355	27	1,10058;22,699;23,971
2013	355	28	1,10834;22,757;23,1048
2014	355	29	1,11610;22,815;23,1125
2015	355	30	1,12386;22,873;23,1202
2016	356	0	4,27;22,89;25,61
2017	356	1	4,30;22,104;25,73
2018	356	2	4,33;22,119;25,85
2019	356	3	4,36;22,134;25,97
2020	356	4	4,39;22,149;25,109
2021	356	5	4,42;22,164;25,121
2022	356	6	4,48;22,188;25,139
2023	356	7	4,54;22,212;25,157
2024	356	8	4,60;22,236;25,175
2025	356	9	4,66;22,260;25,193
2026	356	10	4,72;22,284;25,211
2027	356	11	4,81;22,317;25,235
2028	356	12	4,90;22,350;25,259
2029	356	13	4,99;22,383;25,283
2030	356	14	4,108;22,416;25,307
2031	356	15	4,117;22,449;25,331
2032	356	16	4,129;22,492;25,361
2033	356	17	4,141;22,535;25,391
2034	356	18	4,153;22,578;25,421
2035	356	19	4,165;22,621;25,451
2036	356	20	4,177;22,664;25,481
2037	356	21	4,192;22,716;25,517
2038	356	22	4,207;22,768;25,553
2039	356	23	4,222;22,820;25,589
2040	356	24	4,237;22,872;25,625
2041	356	25	4,252;22,924;25,661
2042	356	26	4,279;22,1013;25,722
2043	356	27	4,306;22,1102;25,783
2044	356	28	4,333;22,1191;25,844
2045	356	29	4,360;22,1280;25,905
2046	356	30	4,387;22,1369;25,966
2047	361	0	3,89;21,89;25,107
2048	361	1	3,104;21,104;25,128
2049	361	2	3,119;21,119;25,149
2050	361	3	3,134;21,134;25,170
2051	361	4	3,149;21,149;25,191
2052	361	5	3,164;21,164;25,212
2053	361	6	3,188;21,188;25,242
2054	361	7	3,212;21,212;25,272
2055	361	8	3,236;21,236;25,302
2056	361	9	3,260;21,260;25,332
2057	361	10	3,284;21,284;25,362
2058	361	11	3,317;21,317;25,405
2059	361	12	3,350;21,350;25,448
2060	361	13	3,383;21,383;25,491
2061	361	14	3,416;21,416;25,534
2062	361	15	3,449;21,449;25,577
2063	361	16	3,492;21,492;25,629
2064	361	17	3,535;21,535;25,681
2065	361	18	3,578;21,578;25,733
2066	361	19	3,621;21,621;25,785
2067	361	20	3,664;21,664;25,837
2068	361	21	3,716;21,716;25,901
2069	361	22	3,768;21,768;25,965
2070	361	23	3,820;21,820;25,1029
2071	361	24	3,872;21,872;25,1093
2072	361	25	3,924;21,924;25,1157
2073	361	26	3,1013;21,1013;25,1264
2074	361	27	3,1102;21,1102;25,1371
2075	361	28	3,1191;21,1191;25,1478
2076	361	29	3,1280;21,1280;25,1585
2077	361	30	3,1369;21,1369;25,1692
2078	362	0	1,489;21,77;24,95
2079	362	1	1,584;21,92;24,113
2080	362	2	1,679;21,107;24,131
2081	362	3	1,774;21,122;24,149
2082	362	4	1,869;21,137;24,167
2083	362	5	1,964;21,152;24,185
2084	362	6	1,1108;21,173;24,212
2085	362	7	1,1252;21,194;24,239
2086	362	8	1,1396;21,215;24,266
2087	362	9	1,1540;21,236;24,293
2088	362	10	1,1684;21,257;24,320
2089	362	11	1,1878;21,287;24,356
2090	362	12	1,2072;21,317;24,392
2091	362	13	1,2266;21,347;24,428
2092	362	14	1,2460;21,377;24,464
2093	362	15	1,2654;21,407;24,500
2094	362	16	1,2897;21,443;24,546
2095	362	17	1,3140;21,479;24,592
2096	362	18	1,3383;21,515;24,638
2097	362	19	1,3626;21,551;24,684
2098	362	20	1,3869;21,587;24,730
2099	362	21	1,4161;21,633;24,788
2100	362	22	1,4453;21,679;24,846
2101	362	23	1,4745;21,725;24,904
2102	362	24	1,5037;21,771;24,962
2103	362	25	1,5329;21,817;24,1020
2104	362	26	1,5818;21,894;24,1115
2105	362	27	1,6307;21,971;24,1210
2106	362	28	1,6796;21,1048;24,1305
2107	362	29	1,7285;21,1125;24,1400
2108	362	30	1,7774;21,1202;24,1495
2109	363	0	4,40;23,104;26,64
2110	363	1	4,46;23,122;26,76
2111	363	2	4,52;23,140;26,88
2112	363	3	4,58;23,158;26,100
2113	363	4	4,64;23,176;26,112
2114	363	5	4,70;23,194;26,124
2115	363	6	4,82;23,224;26,142
2116	363	7	4,94;23,254;26,160
2117	363	8	4,106;23,284;26,178
2118	363	9	4,118;23,314;26,196
2119	363	10	4,130;23,344;26,214
2120	363	11	4,145;23,384;26,238
2121	363	12	4,160;23,424;26,262
2122	363	13	4,175;23,464;26,286
2123	363	14	4,190;23,504;26,310
2124	363	15	4,205;23,544;26,334
2125	363	16	4,223;23,596;26,364
2126	363	17	4,241;23,648;26,394
2127	363	18	4,259;23,700;26,424
2128	363	19	4,277;23,752;26,454
2129	363	20	4,295;23,804;26,484
2130	363	21	4,319;23,865;26,520
2131	363	22	4,343;23,926;26,556
2132	363	23	4,367;23,987;26,592
2133	363	24	4,391;23,1048;26,628
2134	363	25	4,415;23,1109;26,664
2135	363	26	4,455;23,1213;26,728
2136	363	27	4,495;23,1317;26,792
2137	363	28	4,535;23,1421;26,856
2138	363	29	4,575;23,1525;26,920
2139	363	30	4,615;23,1629;26,984
2140	364	0	4,55;24,141;26,95
2141	364	1	4,64;24,168;26,113
2142	364	2	4,73;24,195;26,131
2143	364	3	4,82;24,222;26,149
2144	364	4	4,91;24,249;26,167
2145	364	5	4,100;24,276;26,185
2146	364	6	4,115;24,319;26,212
2147	364	7	4,130;24,362;26,239
2148	364	8	4,145;24,405;26,266
2149	364	9	4,160;24,448;26,293
2150	364	10	4,175;24,491;26,320
2151	364	11	4,196;24,546;26,356
2152	364	12	4,217;24,601;26,392
2153	364	13	4,238;24,656;26,428
2154	364	14	4,259;24,711;26,464
2155	364	15	4,280;24,766;26,500
2156	364	16	4,307;24,836;26,546
2157	364	17	4,334;24,906;26,592
2158	364	18	4,361;24,976;26,638
2159	364	19	4,388;24,1046;26,684
2160	364	20	4,415;24,1116;26,730
2161	364	21	4,448;24,1202;26,785
2162	364	22	4,481;24,1288;26,840
2163	364	23	4,514;24,1374;26,895
2164	364	24	4,547;24,1460;26,950
2165	364	25	4,580;24,1546;26,1005
2166	364	26	4,635;24,1687;26,1100
2167	364	27	4,690;24,1828;26,1195
2168	364	28	4,745;24,1969;26,1290
2169	364	29	4,800;24,2110;26,1385
2170	364	30	4,855;24,2251;26,1480
2171	365	0	1,859;22,73;23,61
2172	365	1	1,1028;22,85;23,73
2173	365	2	1,1197;22,97;23,85
2174	365	3	1,1366;22,109;23,97
2175	365	4	1,1535;22,121;23,109
2176	365	5	1,1704;22,133;23,121
2177	365	6	1,1959;22,154;23,139
2178	365	7	1,2214;22,175;23,157
2179	365	8	1,2469;22,196;23,175
2180	365	9	1,2724;22,217;23,193
2181	365	10	1,2979;22,238;23,211
2182	365	11	1,3320;22,265;23,235
2183	365	12	1,3661;22,292;23,259
2184	365	13	1,4002;22,319;23,283
2185	365	14	1,4343;22,346;23,307
2186	365	15	1,4684;22,373;23,331
2187	365	16	1,5112;22,409;23,361
2188	365	17	1,5540;22,445;23,391
2189	365	18	1,5968;22,481;23,421
2190	365	19	1,6396;22,517;23,451
2191	365	20	1,6824;22,553;23,481
2192	365	21	1,7338;22,596;23,517
2193	365	22	1,7852;22,639;23,553
2194	365	23	1,8366;22,682;23,589
2195	365	24	1,8880;22,725;23,625
2196	365	25	1,9394;22,768;23,661
2197	365	26	1,10253;22,841;23,722
2198	365	27	1,11112;22,914;23,783
2199	365	28	1,11971;22,987;23,844
2200	365	29	1,12830;22,1060;23,905
2201	365	30	1,13689;22,1133;23,966
2202	366	0	4,30;22,113;25,33
2203	366	1	4,36;22,134;25,39
2204	366	2	4,42;22,155;25,45
2205	366	3	4,48;22,176;25,51
2206	366	4	4,54;22,197;25,57
2207	366	5	4,60;22,218;25,63
2208	366	6	4,69;22,251;25,72
2209	366	7	4,78;22,284;25,81
2210	366	8	4,87;22,317;25,90
