流水	装备id	进阶品阶	需求角色等级	进阶增加属性	进阶消耗材料	进阶消耗银币
8176	equip303070442006	14	90	4,347;23,858;26,530	item103015110413,1800;item103015110302,220;item103015110415,140;item103015110412,1	4500000
8177	equip303070443001	1	48	4,14;23,37;26,26	item103015110413,30;item103015110302,2	50000
8178	equip303070443001	2	48	4,28;23,75;26,52	item103015110413,50;item103015110302,8	100000
8179	equip303070443001	3	48	4,44;23,121;26,84	item103015110413,70;item103015110302,15	150000
8180	equip303070443001	4	48	4,64;23,174;26,120	item103015110413,100;item103015110302,30	200000
8181	equip303070443001	5	55	4,87;23,235;26,163	item103015110413,150;item103015110302,42;item103015110412,1	250000
8182	equip303070443001	6	60	4,112;23,303;26,210	item103015110413,200;item103015110302,48;item103015110412,1	500000
8183	equip303070443001	7	65	4,137;23,371;26,257	item103015110413,300;item103015110302,48;item103015110415,10;item103015110412,1	1000000
8184	equip303070443001	8	70	4,165;23,447;26,310	item103015110413,400;item103015110302,60;item103015110415,20;item103015110412,1	1500000
8185	equip303070443001	9	75	4,193;23,523;26,362	item103015110413,500;item103015110302,75;item103015110415,30;item103015110412,1	2000000
8186	equip303070443001	10	80	4,224;23,607;26,420	item103015110413,750;item103015110302,100;item103015110415,50;item103015110412,1	2500000
8187	equip303070443001	11	85	4,258;23,698;26,483	item103015110413,1000;item103015110302,125;item103015110415,70;item103015110412,1	3000000
8188	equip303070443001	12	90	4,295;23,796;26,552	item103015110413,1250;item103015110302,150;item103015110415,90;item103015110412,1	3500000
8189	equip303070443001	13	90	4,334;23,903;26,625	item103015110413,1500;item103015110302,175;item103015110415,110;item103015110412,1	4000000
8190	equip303070443001	14	90	4,376;23,1017;26,704	item103015110413,1800;item103015110302,220;item103015110415,140;item103015110412,1	4500000
8191	equip303070443002	1	48	4,13;23,42;26,20	item103015110413,30;item103015110302,2	50000
8192	equip303070443002	2	48	4,26;23,84;26,41	item103015110413,50;item103015110302,8	100000
8193	equip303070443002	3	48	4,41;23,134;26,66	item103015110413,70;item103015110302,15	150000
8194	equip303070443002	4	48	4,60;23,193;26,95	item103015110413,100;item103015110302,30	200000
8195	equip303070443002	5	55	4,80;23,261;26,129	item103015110413,150;item103015110302,42;item103015110412,1	250000
8196	equip303070443002	6	60	4,104;23,337;26,166	item103015110413,200;item103015110302,48;item103015110412,1	500000
8197	equip303070443002	7	65	4,127;23,413;26,204	item103015110413,300;item103015110302,48;item103015110415,10;item103015110412,1	1000000
8198	equip303070443002	8	70	4,153;23,497;26,246	item103015110413,400;item103015110302,60;item103015110415,20;item103015110412,1	1500000
8199	equip303070443002	9	75	4,180;23,581;26,287	item103015110413,500;item103015110302,75;item103015110415,30;item103015110412,1	2000000
8200	equip303070443002	10	80	4,208;23,674;26,333	item103015110413,750;item103015110302,100;item103015110415,50;item103015110412,1	2500000
8201	equip303070443002	11	85	4,240;23,775;26,383	item103015110413,1000;item103015110302,125;item103015110415,70;item103015110412,1	3000000
8202	equip303070443002	12	90	4,274;23,885;26,437	item103015110413,1250;item103015110302,150;item103015110415,90;item103015110412,1	3500000
8203	equip303070443002	13	90	4,310;23,1003;26,496	item103015110413,1500;item103015110302,175;item103015110415,110;item103015110412,1	4000000
8204	equip303070443002	14	90	4,349;23,1129;26,558	item103015110413,1800;item103015110302,220;item103015110415,140;item103015110412,1	4500000
8205	equip303070443003	1	48	4,12;23,29;26,18	item103015110413,30;item103015110302,2	50000
8206	equip303070443003	2	48	4,25;23,59;26,36	item103015110413,50;item103015110302,8	100000
8207	equip303070443003	3	48	4,41;23,94;26,57	item103015110413,70;item103015110302,15	150000
8208	equip303070443003	4	48	4,59;23,135;26,83	item103015110413,100;item103015110302,30	200000
8209	equip303070443003	5	55	4,79;23,182;26,112	item103015110413,150;item103015110302,42;item103015110412,1	250000
8210	equip303070443003	6	60	4,102;23,236;26,144	item103015110413,200;item103015110302,48;item103015110412,1	500000
8211	equip303070443003	7	65	4,125;23,289;26,177	item103015110413,300;item103015110302,48;item103015110415,10;item103015110412,1	1000000
8212	equip303070443003	8	70	4,151;23,348;26,213	item103015110413,400;item103015110302,60;item103015110415,20;item103015110412,1	1500000
8213	equip303070443003	9	75	4,177;23,407;26,249	item103015110413,500;item103015110302,75;item103015110415,30;item103015110412,1	2000000
8214	equip303070443003	10	80	4,205;23,472;26,289	item103015110413,750;item103015110302,100;item103015110415,50;item103015110412,1	2500000
8215	equip303070443003	11	85	4,236;23,542;26,333	item103015110413,1000;item103015110302,125;item103015110415,70;item103015110412,1	3000000
8216	equip303070443003	12	90	4,269;23,619;26,380	item103015110413,1250;item103015110302,150;item103015110415,90;item103015110412,1	3500000
8217	equip303070443003	13	90	4,305;23,702;26,430	item103015110413,1500;item103015110302,175;item103015110415,110;item103015110412,1	4000000
8218	equip303070443003	14	90	4,344;23,790;26,485	item103015110413,1800;item103015110302,220;item103015110415,140;item103015110412,1	4500000
8219	equip303070443004	1	48	4,12;23,21;26,23	item103015110413,30;item103015110302,2	50000
8220	equip303070443004	2	48	4,25;23,42;26,47	item103015110413,50;item103015110302,8	100000
8221	equip303070443004	3	48	4,41;23,67;26,75	item103015110413,70;item103015110302,15	150000
8222	equip303070443004	4	48	4,59;23,96;26,108	item103015110413,100;item103015110302,30	200000
8223	equip303070443004	5	55	4,79;23,130;26,146	item103015110413,150;item103015110302,42;item103015110412,1	250000
8224	equip303070443004	6	60	4,103;23,168;26,188	item103015110413,200;item103015110302,48;item103015110412,1	500000
8225	equip303070443004	7	65	4,126;23,206;26,230	item103015110413,300;item103015110302,48;item103015110415,10;item103015110412,1	1000000
8226	equip303070443004	8	70	4,152;23,248;26,277	item103015110413,400;item103015110302,60;item103015110415,20;item103015110412,1	1500000
8227	equip303070443004	9	75	4,178;23,290;26,324	item103015110413,500;item103015110302,75;item103015110415,30;item103015110412,1	2000000
8228	equip303070443004	10	80	4,206;23,336;26,376	item103015110413,750;item103015110302,100;item103015110415,50;item103015110412,1	2500000
8229	equip303070443004	11	85	4,237;23,387;26,433	item103015110413,1000;item103015110302,125;item103015110415,70;item103015110412,1	3000000
8230	equip303070443004	12	90	4,270;23,442;26,494	item103015110413,1250;item103015110302,150;item103015110415,90;item103015110412,1	3500000
8231	equip303070443004	13	90	4,307;23,500;26,560	item103015110413,1500;item103015110302,175;item103015110415,110;item103015110412,1	4000000
8232	equip303070443004	14	90	4,345;23,564;26,631	item103015110413,1800;item103015110302,220;item103015110415,140;item103015110412,1	4500000
8233	equip303070443005	1	48	4,12;23,42;26,15	item103015110413,30;item103015110302,2	50000
8234	equip303070443005	2	48	4,24;23,84;26,30	item103015110413,50;item103015110302,8	100000
8235	equip303070443005	3	48	4,38;23,134;26,49	item103015110413,70;item103015110302,15	150000
8236	equip303070443005	4	48	4,55;23,193;26,70	item103015110413,100;item103015110302,30	200000
8237	equip303070443005	5	55	4,75;23,261;26,95	item103015110413,150;item103015110302,42;item103015110412,1	250000
8238	equip303070443005	6	60	4,97;23,337;26,123	item103015110413,200;item103015110302,48;item103015110412,1	500000
8239	equip303070443005	7	65	4,119;23,413;26,150	item103015110413,300;item103015110302,48;item103015110415,10;item103015110412,1	1000000
8240	equip303070443005	8	70	4,143;23,497;26,181	item103015110413,400;item103015110302,60;item103015110415,20;item103015110412,1	1500000
8241	equip303070443005	9	75	4,167;23,581;26,212	item103015110413,500;item103015110302,75;item103015110415,30;item103015110412,1	2000000
8242	equip303070443005	10	80	4,194;23,674;26,246	item103015110413,750;item103015110302,100;item103015110415,50;item103015110412,1	2500000
8243	equip303070443005	11	85	4,223;23,775;26,283	item103015110413,1000;item103015110302,125;item103015110415,70;item103015110412,1	3000000
8244	equip303070443005	12	90	4,255;23,885;26,323	item103015110413,1250;item103015110302,150;item103015110415,90;item103015110412,1	3500000
8245	equip303070443005	13	90	4,289;23,1003;26,366	item103015110413,1500;item103015110302,175;item103015110415,110;item103015110412,1	4000000
8246	equip303070443005	14	90	4,325;23,1129;26,412	item103015110413,1800;item103015110302,220;item103015110415,140;item103015110412,1	4500000
8247	equip303070443006	1	48	4,13;23,33;26,20	item103015110413,30;item103015110302,2	50000
8248	equip303070443006	2	48	4,27;23,67;26,41	item103015110413,50;item103015110302,8	100000
8249	equip303070443006	3	48	4,43;23,108;26,66	item103015110413,70;item103015110302,15	150000
8250	equip303070443006	4	48	4,62;23,155;26,95	item103015110413,100;item103015110302,30	200000
8251	equip303070443006	5	55	4,84;23,209;26,129	item103015110413,150;item103015110302,42;item103015110412,1	250000
8252	equip303070443006	6	60	4,109;23,270;26,166	item103015110413,200;item103015110302,48;item103015110412,1	500000
8253	equip303070443006	7	65	4,133;23,330;26,204	item103015110413,300;item103015110302,48;item103015110415,10;item103015110412,1	1000000
8254	equip303070443006	8	70	4,161;23,398;26,246	item103015110413,400;item103015110302,60;item103015110415,20;item103015110412,1	1500000
8255	equip303070443006	9	75	4,188;23,465;26,287	item103015110413,500;item103015110302,75;item103015110415,30;item103015110412,1	2000000
8256	equip303070443006	10	80	4,218;23,540;26,333	item103015110413,750;item103015110302,100;item103015110415,50;item103015110412,1	2500000
8257	equip303070443006	11	85	4,251;23,621;26,383	item103015110413,1000;item103015110302,125;item103015110415,70;item103015110412,1	3000000
8258	equip303070443006	12	90	4,286;23,708;26,437	item103015110413,1250;item103015110302,150;item103015110415,90;item103015110412,1	3500000
8259	equip303070443006	13	90	4,324;23,803;26,496	item103015110413,1500;item103015110302,175;item103015110415,110;item103015110412,1	4000000
8260	equip303070443006	14	90	4,365;23,904;26,558	item103015110413,1800;item103015110302,220;item103015110415,140;item103015110412,1	4500000
8261	equip304070441001	1	48	4,17;24,41;26,34	item103015110413,30;item103015110303,3	50000
8262	equip304070441001	2	48	4,34;24,82;26,69	item103015110413,50;item103015110303,7	100000
8263	equip304070441001	3	48	4,54;24,132;26,110	item103015110413,70;item103015110303,15	150000
8264	equip304070441001	4	48	4,78;24,190;26,158	item103015110413,100;item103015110303,28	200000
8265	equip304070441001	5	55	4,105;24,256;26,214	item103015110413,150;item103015110303,40;item103015110412,1	250000
8266	equip304070441001	6	60	4,136;24,330;26,276	item103015110413,200;item103015110303,40;item103015110412,1	500000
8267	equip304070441001	7	65	4,166;24,405;26,338	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
8268	equip304070441001	8	70	4,200;24,487;26,407	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
8269	equip304070441001	9	75	4,234;24,570;26,476	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
8270	equip304070441001	10	80	4,272;24,661;26,552	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
8271	equip304070441001	11	85	4,312;24,760;26,635	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
8272	equip304070441001	12	90	4,357;24,868;26,725	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
8273	equip304070441001	13	90	4,404;24,984;26,822	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
8274	equip304070441001	14	90	4,455;24,1108;26,925	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
8275	equip304070441002	1	48	4,15;24,30;26,27	item103015110413,30;item103015110303,3	50000
8276	equip304070441002	2	48	4,31;24,61;26,54	item103015110413,50;item103015110303,7	100000
8277	equip304070441002	3	48	4,50;24,97;26,87	item103015110413,70;item103015110303,15	150000
8278	equip304070441002	4	48	4,72;24,140;26,126	item103015110413,100;item103015110303,28	200000
8279	equip304070441002	5	55	4,98;24,189;26,169	item103015110413,150;item103015110303,40;item103015110412,1	250000
8280	equip304070441002	6	60	4,126;24,244;26,219	item103015110413,200;item103015110303,40;item103015110412,1	500000
8281	equip304070441002	7	65	4,155;24,299;26,268	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
8282	equip304070441002	8	70	4,187;24,361;26,323	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
8283	equip304070441002	9	75	4,218;24,422;26,378	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
8284	equip304070441002	10	80	4,253;24,489;26,438	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
8285	equip304070441002	11	85	4,291;24,563;26,504	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
8286	equip304070441002	12	90	4,332;24,642;26,575	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
8287	equip304070441002	13	90	4,377;24,728;26,652	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
8288	equip304070441002	14	90	4,424;24,820;26,734	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
8289	equip304070441003	1	48	4,15;24,34;26,23	item103015110413,30;item103015110303,3	50000
8290	equip304070441003	2	48	4,31;24,68;26,47	item103015110413,50;item103015110303,7	100000
8291	equip304070441003	3	48	4,49;24,109;26,76	item103015110413,70;item103015110303,15	150000
8292	equip304070441003	4	48	4,71;24,157;26,109	item103015110413,100;item103015110303,28	200000
8293	equip304070441003	5	55	4,96;24,212;26,147	item103015110413,150;item103015110303,40;item103015110412,1	250000
8294	equip304070441003	6	60	4,124;24,273;26,190	item103015110413,200;item103015110303,40;item103015110412,1	500000
8295	equip304070441003	7	65	4,152;24,335;26,233	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
8296	equip304070441003	8	70	4,184;24,403;26,281	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
8297	equip304070441003	9	75	4,215;24,471;26,329	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
8298	equip304070441003	10	80	4,249;24,547;26,381	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
8299	equip304070441003	11	85	4,287;24,629;26,438	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
8300	equip304070441003	12	90	4,327;24,718;26,500	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
8301	equip304070441003	13	90	4,371;24,813;26,567	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
8302	equip304070441003	14	90	4,418;24,916;26,639	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
8303	equip304070441004	1	48	4,15;24,37;26,31	item103015110413,30;item103015110303,3	50000
8304	equip304070441004	2	48	4,31;24,75;26,62	item103015110413,50;item103015110303,7	100000
8305	equip304070441004	3	48	4,50;24,120;26,99	item103015110413,70;item103015110303,15	150000
8306	equip304070441004	4	48	4,71;24,173;26,142	item103015110413,100;item103015110303,28	200000
8307	equip304070441004	5	55	4,97;24,234;26,192	item103015110413,150;item103015110303,40;item103015110412,1	250000
8308	equip304070441004	6	60	4,125;24,302;26,248	item103015110413,200;item103015110303,40;item103015110412,1	500000
8309	equip304070441004	7	65	4,153;24,369;26,303	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
8310	equip304070441004	8	70	4,184;24,445;26,365	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
8311	equip304070441004	9	75	4,215;24,520;26,427	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
8312	equip304070441004	10	80	4,250;24,604;26,496	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
8313	equip304070441004	11	85	4,287;24,694;26,570	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
8314	equip304070441004	12	90	4,328;24,792;26,651	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
8315	equip304070441004	13	90	4,372;24,898;26,737	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
8316	equip304070441004	14	90	4,419;24,1011;26,830	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
8317	equip304070441005	1	48	4,14;24,26;26,20	item103015110413,30;item103015110303,3	50000
8318	equip304070441005	2	48	4,29;24,53;26,40	item103015110413,50;item103015110303,7	100000
8319	equip304070441005	3	48	4,47;24,86;26,64	item103015110413,70;item103015110303,15	150000
8320	equip304070441005	4	48	4,67;24,123;26,92	item103015110413,100;item103015110303,28	200000
8321	equip304070441005	5	55	4,91;24,167;26,125	item103015110413,150;item103015110303,40;item103015110412,1	250000
8322	equip304070441005	6	60	4,117;24,215;26,161	item103015110413,200;item103015110303,40;item103015110412,1	500000
8323	equip304070441005	7	65	4,144;24,264;26,197	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
8324	equip304070441005	8	70	4,173;24,318;26,238	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
8325	equip304070441005	9	75	4,202;24,371;26,278	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
8326	equip304070441005	10	80	4,235;24,431;26,323	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
8327	equip304070441005	11	85	4,270;24,495;26,371	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
8328	equip304070441005	12	90	4,308;24,565;26,424	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
8329	equip304070441005	13	90	4,349;24,641;26,480	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
8330	equip304070441005	14	90	4,393;24,722;26,541	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
8331	equip304070441006	1	48	4,16;24,41;26,27	item103015110413,30;item103015110303,3	50000
8332	equip304070441006	2	48	4,33;24,82;26,54	item103015110413,50;item103015110303,7	100000
8333	equip304070441006	3	48	4,52;24,132;26,87	item103015110413,70;item103015110303,15	150000
8334	equip304070441006	4	48	4,76;24,190;26,126	item103015110413,100;item103015110303,28	200000
8335	equip304070441006	5	55	4,102;24,256;26,169	item103015110413,150;item103015110303,40;item103015110412,1	250000
8336	equip304070441006	6	60	4,132;24,330;26,219	item103015110413,200;item103015110303,40;item103015110412,1	500000
8337	equip304070441006	7	65	4,162;24,405;26,268	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
8338	equip304070441006	8	70	4,195;24,487;26,323	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
8339	equip304070441006	9	75	4,228;24,570;26,378	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
8340	equip304070441006	10	80	4,264;24,661;26,438	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
8341	equip304070441006	11	85	4,304;24,760;26,504	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
8342	equip304070441006	12	90	4,347;24,868;26,575	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
8343	equip304070441006	13	90	4,393;24,984;26,652	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
8344	equip304070441006	14	90	4,443;24,1108;26,734	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
8345	equip304070442001	1	48	4,17;24,43;26,36	item103015110413,30;item103015110303,3	50000
8346	equip304070442001	2	48	4,35;24,87;26,72	item103015110413,50;item103015110303,7	100000
8347	equip304070442001	3	48	4,57;24,139;26,116	item103015110413,70;item103015110303,15	150000
8348	equip304070442001	4	48	4,82;24,200;26,167	item103015110413,100;item103015110303,28	200000
8349	equip304070442001	5	55	4,111;24,270;26,225	item103015110413,150;item103015110303,40;item103015110412,1	250000
8350	equip304070442001	6	60	4,143;24,349;26,291	item103015110413,200;item103015110303,40;item103015110412,1	500000
8351	equip304070442001	7	65	4,175;24,427;26,357	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
8352	equip304070442001	8	70	4,211;24,515;26,430	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
8353	equip304070442001	9	75	4,247;24,602;26,503	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
8354	equip304070442001	10	80	4,287;24,698;26,583	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
8355	equip304070442001	11	85	4,330;24,803;26,670	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
8356	equip304070442001	12	90	4,376;24,916;26,765	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
8357	equip304070442001	13	90	4,427;24,1038;26,867	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
8358	equip304070442001	14	90	4,481;24,1169;26,976	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
8359	equip304070442002	1	48	4,16;24,32;26,28	item103015110413,30;item103015110303,3	50000
8360	equip304070442002	2	48	4,33;24,64;26,57	item103015110413,50;item103015110303,7	100000
8361	equip304070442002	3	48	4,53;24,103;26,92	item103015110413,70;item103015110303,15	150000
8362	equip304070442002	4	48	4,77;24,148;26,133	item103015110413,100;item103015110303,28	200000
8363	equip304070442002	5	55	4,103;24,200;26,179	item103015110413,150;item103015110303,40;item103015110412,1	250000
8364	equip304070442002	6	60	4,134;24,258;26,231	item103015110413,200;item103015110303,40;item103015110412,1	500000
8365	equip304070442002	7	65	4,164;24,316;26,283	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
8366	equip304070442002	8	70	4,197;24,381;26,341	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
8367	equip304070442002	9	75	4,231;24,445;26,399	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
8368	equip304070442002	10	80	4,268;24,516;26,463	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
8369	equip304070442002	11	85	4,308;24,594;26,532	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
8370	equip304070442002	12	90	4,351;24,678;26,607	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
8371	equip304070442002	13	90	4,398;24,768;26,689	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
8372	equip304070442002	14	90	4,448;24,865;26,775	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
8373	equip304070442003	1	48	4,16;24,36;26,25	item103015110413,30;item103015110303,3	50000
8374	equip304070442003	2	48	4,32;24,72;26,50	item103015110413,50;item103015110303,7	100000
8375	equip304070442003	3	48	4,52;24,115;26,80	item103015110413,70;item103015110303,15	150000
8376	equip304070442003	4	48	4,75;24,166;26,115	item103015110413,100;item103015110303,28	200000
8377	equip304070442003	5	55	4,101;24,223;26,155	item103015110413,150;item103015110303,40;item103015110412,1	250000
8378	equip304070442003	6	60	4,131;24,288;26,201	item103015110413,200;item103015110303,40;item103015110412,1	500000
8379	equip304070442003	7	65	4,161;24,353;26,246	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
8380	equip304070442003	8	70	4,194;24,425;26,296	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
8381	equip304070442003	9	75	4,227;24,498;26,347	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
8382	equip304070442003	10	80	4,263;24,577;26,402	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
8383	equip304070442003	11	85	4,302;24,664;26,462	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
8384	equip304070442003	12	90	4,345;24,758;26,528	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
8385	equip304070442003	13	90	4,391;24,859;26,598	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
8386	equip304070442003	14	90	4,440;24,967;26,674	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
8387	equip304070442004	1	48	4,16;24,39;26,32	item103015110413,30;item103015110303,3	50000
8388	equip304070442004	2	48	4,33;24,79;26,65	item103015110413,50;item103015110303,7	100000
8389	equip304070442004	3	48	4,52;24,127;26,104	item103015110413,70;item103015110303,15	150000
8390	equip304070442004	4	48	4,75;24,183;26,150	item103015110413,100;item103015110303,28	200000
8391	equip304070442004	5	55	4,102;24,247;26,202	item103015110413,150;item103015110303,40;item103015110412,1	250000
8392	equip304070442004	6	60	4,132;24,318;26,261	item103015110413,200;item103015110303,40;item103015110412,1	500000
8393	equip304070442004	7	65	4,161;24,390;26,320	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
8394	equip304070442004	8	70	4,194;24,470;26,385	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
8395	equip304070442004	9	75	4,227;24,549;26,451	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
8396	equip304070442004	10	80	4,264;24,637;26,523	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
8397	equip304070442004	11	85	4,303;24,733;26,601	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
8398	equip304070442004	12	90	4,346;24,836;26,686	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
8399	equip304070442004	13	90	4,392;24,948;26,778	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
8400	equip304070442004	14	90	4,442;24,1067;26,876	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
8401	equip304070442005	1	48	4,15;24,28;26,21	item103015110413,30;item103015110303,3	50000
8402	equip304070442005	2	48	4,31;24,56;26,42	item103015110413,50;item103015110303,7	100000
8403	equip304070442005	3	48	4,49;24,91;26,68	item103015110413,70;item103015110303,15	150000
8404	equip304070442005	4	48	4,71;24,130;26,98	item103015110413,100;item103015110303,28	200000
8405	equip304070442005	5	55	4,96;24,176;26,132	item103015110413,150;item103015110303,40;item103015110412,1	250000
8406	equip304070442005	6	60	4,124;24,227;26,170	item103015110413,200;item103015110303,40;item103015110412,1	500000
8407	equip304070442005	7	65	4,151;24,278;26,209	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
8408	equip304070442005	8	70	4,182;24,335;26,251	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
8409	equip304070442005	9	75	4,213;24,392;26,294	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
8410	equip304070442005	10	80	4,248;24,455;26,341	item103015110413,750;item103015110303,100;item103015110416,50;item103015110412,1	2500000
8411	equip304070442005	11	85	4,285;24,523;26,392	item103015110413,1000;item103015110303,130;item103015110416,60;item103015110412,1	3000000
8412	equip304070442005	12	90	4,325;24,597;26,448	item103015110413,1250;item103015110303,160;item103015110416,70;item103015110412,1	3500000
8413	equip304070442005	13	90	4,368;24,677;26,508	item103015110413,1500;item103015110303,190;item103015110416,80;item103015110412,1	4000000
8414	equip304070442005	14	90	4,415;24,762;26,572	item103015110413,1800;item103015110303,230;item103015110416,100;item103015110412,1	4500000
8415	equip304070442006	1	48	4,17;24,43;26,28	item103015110413,30;item103015110303,3	50000
8416	equip304070442006	2	48	4,35;24,87;26,57	item103015110413,50;item103015110303,7	100000
8417	equip304070442006	3	48	4,56;24,139;26,92	item103015110413,70;item103015110303,15	150000
8418	equip304070442006	4	48	4,80;24,200;26,133	item103015110413,100;item103015110303,28	200000
8419	equip304070442006	5	55	4,108;24,270;26,179	item103015110413,150;item103015110303,40;item103015110412,1	250000
8420	equip304070442006	6	60	4,140;24,349;26,231	item103015110413,200;item103015110303,40;item103015110412,1	500000
8421	equip304070442006	7	65	4,171;24,427;26,283	item103015110413,300;item103015110303,42;item103015110416,10;item103015110412,1	1000000
8422	equip304070442006	8	70	4,206;24,515;26,341	item103015110413,400;item103015110303,55;item103015110416,20;item103015110412,1	1500000
8423	equip304070442006	9	75	4,241;24,602;26,399	item103015110413,500;item103015110303,70;item103015110416,40;item103015110412,1	2000000
