流水ID	遗物ID	等级	星级	升级类型	特殊属性库id(前端用)	消耗道具	消耗碎片	消耗任意品质碎片	模型NPCID	模型特效
1523	4020	34	5	2	4020034	item171002000003,1			npc_relic_420	5900420
1524	4020	35	5	2	4020035	item171002000003,1			npc_relic_420	5900420
1525	4020	36	6	3	4020036	item171002000003,2	9004020,30	2,300;3,300	npc_relic_420	5900420
1526	4020	37	6	4	4020037		9004020,50	2,400;3,400	npc_relic_420	5900420
1527	5001	1	1	1	5001001		9005001,40		npc_relic_501	5900501
1528	5001	2	1	2	5001002	item171002000001,5			npc_relic_501	5900501
1529	5001	3	1	2	5001003	item171002000001,5			npc_relic_501	5900501
1530	5001	4	1	2	5001004	item171002000001,5			npc_relic_501	5900501
1531	5001	5	1	2	5001005	item171002000001,5			npc_relic_501	5900501
1532	5001	6	1	2	5001006	item171002000001,5			npc_relic_501	5900501
1533	5001	7	1	2	5001007	item171002000001,5			npc_relic_501	5900501
1534	5001	8	2	3	5001008	item171002000001,50			npc_relic_501	5900501
1535	5001	9	2	2	5001009	item171002000001,10			npc_relic_501	5900501
1536	5001	10	2	2	5001010	item171002000001,10			npc_relic_501	5900501
1537	5001	11	2	2	5001011	item171002000001,10			npc_relic_501	5900501
1538	5001	12	2	2	5001012	item171002000001,10			npc_relic_501	5900501
1539	5001	13	2	2	5001013	item171002000001,10			npc_relic_501	5900501
1540	5001	14	2	2	5001014	item171002000001,10			npc_relic_501	5900501
1541	5001	15	3	3	5001015	item171002000001,100			npc_relic_501	5900501
1542	5001	16	3	2	5001016	item171002000001,15			npc_relic_501	5900501
1543	5001	17	3	2	5001017	item171002000001,15			npc_relic_501	5900501
1544	5001	18	3	2	5001018	item171002000001,15			npc_relic_501	5900501
1545	5001	19	3	2	5001019	item171002000001,15			npc_relic_501	5900501
1546	5001	20	3	2	5001020	item171002000001,15			npc_relic_501	5900501
1547	5001	21	3	2	5001021	item171002000001,15			npc_relic_501	5900501
1548	5001	22	4	3	5001022	item171002000002,15	9005001,10	3,200;4,100	npc_relic_501	5900501
1549	5001	23	4	2	5001023	item171002000002,5			npc_relic_501	5900501
1550	5001	24	4	2	5001024	item171002000002,5			npc_relic_501	5900501
1551	5001	25	4	2	5001025	item171002000002,5			npc_relic_501	5900501
1552	5001	26	4	2	5001026	item171002000002,5			npc_relic_501	5900501
1553	5001	27	4	2	5001027	item171002000002,5			npc_relic_501	5900501
1554	5001	28	4	2	5001028	item171002000002,5			npc_relic_501	5900501
1555	5001	29	5	3	5001029	item171002000002,20	9005001,20	3,400;4,200	npc_relic_501	5900501
1556	5001	30	5	2	5001030	item171002000003,2			npc_relic_501	5900501
1557	5001	31	5	2	5001031	item171002000003,2			npc_relic_501	5900501
1558	5001	32	5	2	5001032	item171002000003,2			npc_relic_501	5900501
1559	5001	33	5	2	5001033	item171002000003,2			npc_relic_501	5900501
1560	5001	34	5	2	5001034	item171002000003,2			npc_relic_501	5900501
1561	5001	35	5	2	5001035	item171002000003,2			npc_relic_501	5900501
1562	5001	36	6	3	5001036	item171002000003,5	9005001,30	3,600;4,300	npc_relic_501	5900501
1563	5001	37	6	4	5001037		9005001,50	3,800;4,400	npc_relic_501	5900501
1564	5002	1	1	1	5002001		9005002,40		npc_relic_502	5900502
1565	5002	2	1	2	5002002	item171002000001,5			npc_relic_502	5900502
1566	5002	3	1	2	5002003	item171002000001,5			npc_relic_502	5900502
1567	5002	4	1	2	5002004	item171002000001,5			npc_relic_502	5900502
1568	5002	5	1	2	5002005	item171002000001,5			npc_relic_502	5900502
1569	5002	6	1	2	5002006	item171002000001,5			npc_relic_502	5900502
1570	5002	7	1	2	5002007	item171002000001,5			npc_relic_502	5900502
1571	5002	8	2	3	5002008	item171002000001,50			npc_relic_502	5900502
1572	5002	9	2	2	5002009	item171002000001,10			npc_relic_502	5900502
1573	5002	10	2	2	5002010	item171002000001,10			npc_relic_502	5900502
1574	5002	11	2	2	5002011	item171002000001,10			npc_relic_502	5900502
1575	5002	12	2	2	5002012	item171002000001,10			npc_relic_502	5900502
1576	5002	13	2	2	5002013	item171002000001,10			npc_relic_502	5900502
1577	5002	14	2	2	5002014	item171002000001,10			npc_relic_502	5900502
1578	5002	15	3	3	5002015	item171002000001,100			npc_relic_502	5900502
1579	5002	16	3	2	5002016	item171002000001,15			npc_relic_502	5900502
1580	5002	17	3	2	5002017	item171002000001,15			npc_relic_502	5900502
1581	5002	18	3	2	5002018	item171002000001,15			npc_relic_502	5900502
1582	5002	19	3	2	5002019	item171002000001,15			npc_relic_502	5900502
1583	5002	20	3	2	5002020	item171002000001,15			npc_relic_502	5900502
1584	5002	21	3	2	5002021	item171002000001,15			npc_relic_502	5900502
1585	5002	22	4	3	5002022	item171002000002,15	9005002,10	3,200;4,100	npc_relic_502	5900502
1586	5002	23	4	2	5002023	item171002000002,5			npc_relic_502	5900502
1587	5002	24	4	2	5002024	item171002000002,5			npc_relic_502	5900502
1588	5002	25	4	2	5002025	item171002000002,5			npc_relic_502	5900502
1589	5002	26	4	2	5002026	item171002000002,5			npc_relic_502	5900502
1590	5002	27	4	2	5002027	item171002000002,5			npc_relic_502	5900502
1591	5002	28	4	2	5002028	item171002000002,5			npc_relic_502	5900502
1592	5002	29	5	3	5002029	item171002000002,20	9005002,20	3,400;4,200	npc_relic_502	5900502
1593	5002	30	5	2	5002030	item171002000003,2			npc_relic_502	5900502
1594	5002	31	5	2	5002031	item171002000003,2			npc_relic_502	5900502
1595	5002	32	5	2	5002032	item171002000003,2			npc_relic_502	5900502
1596	5002	33	5	2	5002033	item171002000003,2			npc_relic_502	5900502
1597	5002	34	5	2	5002034	item171002000003,2			npc_relic_502	5900502
1598	5002	35	5	2	5002035	item171002000003,2			npc_relic_502	5900502
1599	5002	36	6	3	5002036	item171002000003,5	9005002,30	3,600;4,300	npc_relic_502	5900502
1600	5002	37	6	4	5002037		9005002,50	3,800;4,400	npc_relic_502	5900502
1601	5003	1	1	1	5003001		9005003,40		npc_relic_503	5900503
1602	5003	2	1	2	5003002	item171002000001,5			npc_relic_503	5900503
1603	5003	3	1	2	5003003	item171002000001,5			npc_relic_503	5900503
1604	5003	4	1	2	5003004	item171002000001,5			npc_relic_503	5900503
1605	5003	5	1	2	5003005	item171002000001,5			npc_relic_503	5900503
1606	5003	6	1	2	5003006	item171002000001,5			npc_relic_503	5900503
1607	5003	7	1	2	5003007	item171002000001,5			npc_relic_503	5900503
1608	5003	8	2	3	5003008	item171002000001,50			npc_relic_503	5900503
1609	5003	9	2	2	5003009	item171002000001,10			npc_relic_503	5900503
1610	5003	10	2	2	5003010	item171002000001,10			npc_relic_503	5900503
1611	5003	11	2	2	5003011	item171002000001,10			npc_relic_503	5900503
1612	5003	12	2	2	5003012	item171002000001,10			npc_relic_503	5900503
1613	5003	13	2	2	5003013	item171002000001,10			npc_relic_503	5900503
1614	5003	14	2	2	5003014	item171002000001,10			npc_relic_503	5900503
1615	5003	15	3	3	5003015	item171002000001,100			npc_relic_503	5900503
1616	5003	16	3	2	5003016	item171002000001,15			npc_relic_503	5900503
1617	5003	17	3	2	5003017	item171002000001,15			npc_relic_503	5900503
1618	5003	18	3	2	5003018	item171002000001,15			npc_relic_503	5900503
1619	5003	19	3	2	5003019	item171002000001,15			npc_relic_503	5900503
1620	5003	20	3	2	5003020	item171002000001,15			npc_relic_503	5900503
1621	5003	21	3	2	5003021	item171002000001,15			npc_relic_503	5900503
1622	5003	22	4	3	5003022	item171002000002,15	9005003,10	3,200;4,100	npc_relic_503	5900503
1623	5003	23	4	2	5003023	item171002000002,5			npc_relic_503	5900503
1624	5003	24	4	2	5003024	item171002000002,5			npc_relic_503	5900503
1625	5003	25	4	2	5003025	item171002000002,5			npc_relic_503	5900503
1626	5003	26	4	2	5003026	item171002000002,5			npc_relic_503	5900503
1627	5003	27	4	2	5003027	item171002000002,5			npc_relic_503	5900503
1628	5003	28	4	2	5003028	item171002000002,5			npc_relic_503	5900503
1629	5003	29	5	3	5003029	item171002000002,20	9005003,20	3,400;4,200	npc_relic_503	5900503
1630	5003	30	5	2	5003030	item171002000003,2			npc_relic_503	5900503
1631	5003	31	5	2	5003031	item171002000003,2			npc_relic_503	5900503
1632	5003	32	5	2	5003032	item171002000003,2			npc_relic_503	5900503
1633	5003	33	5	2	5003033	item171002000003,2			npc_relic_503	5900503
1634	5003	34	5	2	5003034	item171002000003,2			npc_relic_503	5900503
1635	5003	35	5	2	5003035	item171002000003,2			npc_relic_503	5900503
1636	5003	36	6	3	5003036	item171002000003,5	9005003,30	3,600;4,300	npc_relic_503	5900503
1637	5003	37	6	4	5003037		9005003,50	3,800;4,400	npc_relic_503	5900503
1638	5004	1	1	1	5004001		9005004,40		npc_relic_504	5900504
1639	5004	2	1	2	5004002	item171002000001,5			npc_relic_504	5900504
1640	5004	3	1	2	5004003	item171002000001,5			npc_relic_504	5900504
1641	5004	4	1	2	5004004	item171002000001,5			npc_relic_504	5900504
1642	5004	5	1	2	5004005	item171002000001,5			npc_relic_504	5900504
1643	5004	6	1	2	5004006	item171002000001,5			npc_relic_504	5900504
1644	5004	7	1	2	5004007	item171002000001,5			npc_relic_504	5900504
1645	5004	8	2	3	5004008	item171002000001,50			npc_relic_504	5900504
1646	5004	9	2	2	5004009	item171002000001,10			npc_relic_504	5900504
1647	5004	10	2	2	5004010	item171002000001,10			npc_relic_504	5900504
1648	5004	11	2	2	5004011	item171002000001,10			npc_relic_504	5900504
1649	5004	12	2	2	5004012	item171002000001,10			npc_relic_504	5900504
1650	5004	13	2	2	5004013	item171002000001,10			npc_relic_504	5900504
1651	5004	14	2	2	5004014	item171002000001,10			npc_relic_504	5900504
1652	5004	15	3	3	5004015	item171002000001,100			npc_relic_504	5900504
1653	5004	16	3	2	5004016	item171002000001,15			npc_relic_504	5900504
1654	5004	17	3	2	5004017	item171002000001,15			npc_relic_504	5900504
1655	5004	18	3	2	5004018	item171002000001,15			npc_relic_504	5900504
1656	5004	19	3	2	5004019	item171002000001,15			npc_relic_504	5900504
1657	5004	20	3	2	5004020	item171002000001,15			npc_relic_504	5900504
1658	5004	21	3	2	5004021	item171002000001,15			npc_relic_504	5900504
1659	5004	22	4	3	5004022	item171002000002,15	9005004,10	3,200;4,100	npc_relic_504	5900504
1660	5004	23	4	2	5004023	item171002000002,5			npc_relic_504	5900504
1661	5004	24	4	2	5004024	item171002000002,5			npc_relic_504	5900504
1662	5004	25	4	2	5004025	item171002000002,5			npc_relic_504	5900504
1663	5004	26	4	2	5004026	item171002000002,5			npc_relic_504	5900504
1664	5004	27	4	2	5004027	item171002000002,5			npc_relic_504	5900504
1665	5004	28	4	2	5004028	item171002000002,5			npc_relic_504	5900504
1666	5004	29	5	3	5004029	item171002000002,20	9005004,20	3,400;4,200	npc_relic_504	5900504
1667	5004	30	5	2	5004030	item171002000003,2			npc_relic_504	5900504
1668	5004	31	5	2	5004031	item171002000003,2			npc_relic_504	5900504
1669	5004	32	5	2	5004032	item171002000003,2			npc_relic_504	5900504
1670	5004	33	5	2	5004033	item171002000003,2			npc_relic_504	5900504
1671	5004	34	5	2	5004034	item171002000003,2			npc_relic_504	5900504
1672	5004	35	5	2	5004035	item171002000003,2			npc_relic_504	5900504
1673	5004	36	6	3	5004036	item171002000003,5	9005004,30	3,600;4,300	npc_relic_504	5900504
1674	5004	37	6	4	5004037		9005004,50	3,800;4,400	npc_relic_504	5900504
1675	5005	1	1	1	5005001		9005005,40		npc_relic_505	5900505
1676	5005	2	1	2	5005002	item171002000001,5			npc_relic_505	5900505
1677	5005	3	1	2	5005003	item171002000001,5			npc_relic_505	5900505
1678	5005	4	1	2	5005004	item171002000001,5			npc_relic_505	5900505
1679	5005	5	1	2	5005005	item171002000001,5			npc_relic_505	5900505
1680	5005	6	1	2	5005006	item171002000001,5			npc_relic_505	5900505
1681	5005	7	1	2	5005007	item171002000001,5			npc_relic_505	5900505
1682	5005	8	2	3	5005008	item171002000001,50			npc_relic_505	5900505
1683	5005	9	2	2	5005009	item171002000001,10			npc_relic_505	5900505
1684	5005	10	2	2	5005010	item171002000001,10			npc_relic_505	5900505
1685	5005	11	2	2	5005011	item171002000001,10			npc_relic_505	5900505
1686	5005	12	2	2	5005012	item171002000001,10			npc_relic_505	5900505
1687	5005	13	2	2	5005013	item171002000001,10			npc_relic_505	5900505
1688	5005	14	2	2	5005014	item171002000001,10			npc_relic_505	5900505
1689	5005	15	3	3	5005015	item171002000001,100			npc_relic_505	5900505
1690	5005	16	3	2	5005016	item171002000001,15			npc_relic_505	5900505
1691	5005	17	3	2	5005017	item171002000001,15			npc_relic_505	5900505
1692	5005	18	3	2	5005018	item171002000001,15			npc_relic_505	5900505
1693	5005	19	3	2	5005019	item171002000001,15			npc_relic_505	5900505
1694	5005	20	3	2	5005020	item171002000001,15			npc_relic_505	5900505
1695	5005	21	3	2	5005021	item171002000001,15			npc_relic_505	5900505
1696	5005	22	4	3	5005022	item171002000002,15	9005005,10	3,200;4,100	npc_relic_505	5900505
1697	5005	23	4	2	5005023	item171002000002,5			npc_relic_505	5900505
1698	5005	24	4	2	5005024	item171002000002,5			npc_relic_505	5900505
1699	5005	25	4	2	5005025	item171002000002,5			npc_relic_505	5900505
1700	5005	26	4	2	5005026	item171002000002,5			npc_relic_505	5900505
1701	5005	27	4	2	5005027	item171002000002,5			npc_relic_505	5900505
1702	5005	28	4	2	5005028	item171002000002,5			npc_relic_505	5900505
1703	5005	29	5	3	5005029	item171002000002,20	9005005,20	3,400;4,200	npc_relic_505	5900505
1704	5005	30	5	2	5005030	item171002000003,2			npc_relic_505	5900505
1705	5005	31	5	2	5005031	item171002000003,2			npc_relic_505	5900505
1706	5005	32	5	2	5005032	item171002000003,2			npc_relic_505	5900505
1707	5005	33	5	2	5005033	item171002000003,2			npc_relic_505	5900505
1708	5005	34	5	2	5005034	item171002000003,2			npc_relic_505	5900505
1709	5005	35	5	2	5005035	item171002000003,2			npc_relic_505	5900505
1710	5005	36	6	3	5005036	item171002000003,5	9005005,30	3,600;4,300	npc_relic_505	5900505
1711	5005	37	6	4	5005037		9005005,50	3,800;4,400	npc_relic_505	5900505
1712	5006	1	1	1	5006001		9005006,40		npc_relic_506	5900506
1713	5006	2	1	2	5006002	item171002000001,5			npc_relic_506	5900506
1714	5006	3	1	2	5006003	item171002000001,5			npc_relic_506	5900506
1715	5006	4	1	2	5006004	item171002000001,5			npc_relic_506	5900506
1716	5006	5	1	2	5006005	item171002000001,5			npc_relic_506	5900506
1717	5006	6	1	2	5006006	item171002000001,5			npc_relic_506	5900506
1718	5006	7	1	2	5006007	item171002000001,5			npc_relic_506	5900506
1719	5006	8	2	3	5006008	item171002000001,50			npc_relic_506	5900506
1720	5006	9	2	2	5006009	item171002000001,10			npc_relic_506	5900506
1721	5006	10	2	2	5006010	item171002000001,10			npc_relic_506	5900506
1722	5006	11	2	2	5006011	item171002000001,10			npc_relic_506	5900506
1723	5006	12	2	2	5006012	item171002000001,10			npc_relic_506	5900506
1724	5006	13	2	2	5006013	item171002000001,10			npc_relic_506	5900506
1725	5006	14	2	2	5006014	item171002000001,10			npc_relic_506	5900506
1726	5006	15	3	3	5006015	item171002000001,100			npc_relic_506	5900506
1727	5006	16	3	2	5006016	item171002000001,15			npc_relic_506	5900506
1728	5006	17	3	2	5006017	item171002000001,15			npc_relic_506	5900506
1729	5006	18	3	2	5006018	item171002000001,15			npc_relic_506	5900506
1730	5006	19	3	2	5006019	item171002000001,15			npc_relic_506	5900506
1731	5006	20	3	2	5006020	item171002000001,15			npc_relic_506	5900506
1732	5006	21	3	2	5006021	item171002000001,15			npc_relic_506	5900506
1733	5006	22	4	3	5006022	item171002000002,15	9005006,10	3,200;4,100	npc_relic_506	5900506
1734	5006	23	4	2	5006023	item171002000002,5			npc_relic_506	5900506
1735	5006	24	4	2	5006024	item171002000002,5			npc_relic_506	5900506
1736	5006	25	4	2	5006025	item171002000002,5			npc_relic_506	5900506
1737	5006	26	4	2	5006026	item171002000002,5			npc_relic_506	5900506
1738	5006	27	4	2	5006027	item171002000002,5			npc_relic_506	5900506
1739	5006	28	4	2	5006028	item171002000002,5			npc_relic_506	5900506
1740	5006	29	5	3	5006029	item171002000002,20	9005006,20	3,400;4,200	npc_relic_506	5900506
1741	5006	30	5	2	5006030	item171002000003,2			npc_relic_506	5900506
1742	5006	31	5	2	5006031	item171002000003,2			npc_relic_506	5900506
1743	5006	32	5	2	5006032	item171002000003,2			npc_relic_506	5900506
1744	5006	33	5	2	5006033	item171002000003,2			npc_relic_506	5900506
1745	5006	34	5	2	5006034	item171002000003,2			npc_relic_506	5900506
1746	5006	35	5	2	5006035	item171002000003,2			npc_relic_506	5900506
1747	5006	36	6	3	5006036	item171002000003,5	9005006,30	3,600;4,300	npc_relic_506	5900506
1748	5006	37	6	4	5006037		9005006,50	3,800;4,400	npc_relic_506	5900506
1749	5007	1	1	1	5007001		9005007,40		npc_relic_507	5900507
1750	5007	2	1	2	5007002	item171002000001,5			npc_relic_507	5900507
1751	5007	3	1	2	5007003	item171002000001,5			npc_relic_507	5900507
1752	5007	4	1	2	5007004	item171002000001,5			npc_relic_507	5900507
1753	5007	5	1	2	5007005	item171002000001,5			npc_relic_507	5900507
1754	5007	6	1	2	5007006	item171002000001,5			npc_relic_507	5900507
1755	5007	7	1	2	5007007	item171002000001,5			npc_relic_507	5900507
1756	5007	8	2	3	5007008	item171002000001,50			npc_relic_507	5900507
1757	5007	9	2	2	5007009	item171002000001,10			npc_relic_507	5900507
1758	5007	10	2	2	5007010	item171002000001,10			npc_relic_507	5900507
1759	5007	11	2	2	5007011	item171002000001,10			npc_relic_507	5900507
1760	5007	12	2	2	5007012	item171002000001,10			npc_relic_507	5900507
1761	5007	13	2	2	5007013	item171002000001,10			npc_relic_507	5900507
1762	5007	14	2	2	5007014	item171002000001,10			npc_relic_507	5900507
1763	5007	15	3	3	5007015	item171002000001,100			npc_relic_507	5900507
1764	5007	16	3	2	5007016	item171002000001,15			npc_relic_507	5900507
1765	5007	17	3	2	5007017	item171002000001,15			npc_relic_507	5900507
1766	5007	18	3	2	5007018	item171002000001,15			npc_relic_507	5900507
1767	5007	19	3	2	5007019	item171002000001,15			npc_relic_507	5900507
1768	5007	20	3	2	5007020	item171002000001,15			npc_relic_507	5900507
1769	5007	21	3	2	5007021	item171002000001,15			npc_relic_507	5900507
1770	5007	22	4	3	5007022	item171002000002,15	9005007,10	3,200;4,100	npc_relic_507	5900507
1771	5007	23	4	2	5007023	item171002000002,5			npc_relic_507	5900507
1772	5007	24	4	2	5007024	item171002000002,5			npc_relic_507	5900507
1773	5007	25	4	2	5007025	item171002000002,5			npc_relic_507	5900507
1774	5007	26	4	2	5007026	item171002000002,5			npc_relic_507	5900507
1775	5007	27	4	2	5007027	item171002000002,5			npc_relic_507	5900507
1776	5007	28	4	2	5007028	item171002000002,5			npc_relic_507	5900507
1777	5007	29	5	3	5007029	item171002000002,20	9005007,20	3,400;4,200	npc_relic_507	5900507
1778	5007	30	5	2	5007030	item171002000003,2			npc_relic_507	5900507
1779	5007	31	5	2	5007031	item171002000003,2			npc_relic_507	5900507
1780	5007	32	5	2	5007032	item171002000003,2			npc_relic_507	5900507
1781	5007	33	5	2	5007033	item171002000003,2			npc_relic_507	5900507
1782	5007	34	5	2	5007034	item171002000003,2			npc_relic_507	5900507
1783	5007	35	5	2	5007035	item171002000003,2			npc_relic_507	5900507
1784	5007	36	6	3	5007036	item171002000003,5	9005007,30	3,600;4,300	npc_relic_507	5900507
1785	5007	37	6	4	5007037		9005007,50	3,800;4,400	npc_relic_507	5900507
1786	5008	1	1	1	5008001		9005008,40		npc_relic_508	5900508
1787	5008	2	1	2	5008002	item171002000001,5			npc_relic_508	5900508
1788	5008	3	1	2	5008003	item171002000001,5			npc_relic_508	5900508
1789	5008	4	1	2	5008004	item171002000001,5			npc_relic_508	5900508
1790	5008	5	1	2	5008005	item171002000001,5			npc_relic_508	5900508
1791	5008	6	1	2	5008006	item171002000001,5			npc_relic_508	5900508
1792	5008	7	1	2	5008007	item171002000001,5			npc_relic_508	5900508
1793	5008	8	2	3	5008008	item171002000001,50			npc_relic_508	5900508
1794	5008	9	2	2	5008009	item171002000001,10			npc_relic_508	5900508
1795	5008	10	2	2	5008010	item171002000001,10			npc_relic_508	5900508
1796	5008	11	2	2	5008011	item171002000001,10			npc_relic_508	5900508
1797	5008	12	2	2	5008012	item171002000001,10			npc_relic_508	5900508
1798	5008	13	2	2	5008013	item171002000001,10			npc_relic_508	5900508
1799	5008	14	2	2	5008014	item171002000001,10			npc_relic_508	5900508
1800	5008	15	3	3	5008015	item171002000001,100			npc_relic_508	5900508
1801	5008	16	3	2	5008016	item171002000001,15			npc_relic_508	5900508
1802	5008	17	3	2	5008017	item171002000001,15			npc_relic_508	5900508
1803	5008	18	3	2	5008018	item171002000001,15			npc_relic_508	5900508
1804	5008	19	3	2	5008019	item171002000001,15			npc_relic_508	5900508
1805	5008	20	3	2	5008020	item171002000001,15			npc_relic_508	5900508
1806	5008	21	3	2	5008021	item171002000001,15			npc_relic_508	5900508
1807	5008	22	4	3	5008022	item171002000002,15	9005008,10	3,200;4,100	npc_relic_508	5900508
1808	5008	23	4	2	5008023	item171002000002,5			npc_relic_508	5900508
1809	5008	24	4	2	5008024	item171002000002,5			npc_relic_508	5900508
1810	5008	25	4	2	5008025	item171002000002,5			npc_relic_508	5900508
1811	5008	26	4	2	5008026	item171002000002,5			npc_relic_508	5900508
1812	5008	27	4	2	5008027	item171002000002,5			npc_relic_508	5900508
1813	5008	28	4	2	5008028	item171002000002,5			npc_relic_508	5900508
1814	5008	29	5	3	5008029	item171002000002,20	9005008,20	3,400;4,200	npc_relic_508	5900508
1815	5008	30	5	2	5008030	item171002000003,2			npc_relic_508	5900508
1816	5008	31	5	2	5008031	item171002000003,2			npc_relic_508	5900508
1817	5008	32	5	2	5008032	item171002000003,2			npc_relic_508	5900508
1818	5008	33	5	2	5008033	item171002000003,2			npc_relic_508	5900508
1819	5008	34	5	2	5008034	item171002000003,2			npc_relic_508	5900508
1820	5008	35	5	2	5008035	item171002000003,2			npc_relic_508	5900508
1821	5008	36	6	3	5008036	item171002000003,5	9005008,30	3,600;4,300	npc_relic_508	5900508
1822	5008	37	6	4	5008037		9005008,50	3,800;4,400	npc_relic_508	5900508
1823	5009	1	1	1	5009001		9005009,40		npc_relic_509	5900509
1824	5009	2	1	2	5009002	item171002000001,5			npc_relic_509	5900509
1825	5009	3	1	2	5009003	item171002000001,5			npc_relic_509	5900509
1826	5009	4	1	2	5009004	item171002000001,5			npc_relic_509	5900509
1827	5009	5	1	2	5009005	item171002000001,5			npc_relic_509	5900509
1828	5009	6	1	2	5009006	item171002000001,5			npc_relic_509	5900509
1829	5009	7	1	2	5009007	item171002000001,5			npc_relic_509	5900509
1830	5009	8	2	3	5009008	item171002000001,50			npc_relic_509	5900509
1831	5009	9	2	2	5009009	item171002000001,10			npc_relic_509	5900509
1832	5009	10	2	2	5009010	item171002000001,10			npc_relic_509	5900509
1833	5009	11	2	2	5009011	item171002000001,10			npc_relic_509	5900509
1834	5009	12	2	2	5009012	item171002000001,10			npc_relic_509	5900509
1835	5009	13	2	2	5009013	item171002000001,10			npc_relic_509	5900509
1836	5009	14	2	2	5009014	item171002000001,10			npc_relic_509	5900509
1837	5009	15	3	3	5009015	item171002000001,100			npc_relic_509	5900509
1838	5009	16	3	2	5009016	item171002000001,15			npc_relic_509	5900509
1839	5009	17	3	2	5009017	item171002000001,15			npc_relic_509	5900509
1840	5009	18	3	2	5009018	item171002000001,15			npc_relic_509	5900509
1841	5009	19	3	2	5009019	item171002000001,15			npc_relic_509	5900509
1842	5009	20	3	2	5009020	item171002000001,15			npc_relic_509	5900509
1843	5009	21	3	2	5009021	item171002000001,15			npc_relic_509	5900509
1844	5009	22	4	3	5009022	item171002000002,15	9005009,10	3,200;4,100	npc_relic_509	5900509
1845	5009	23	4	2	5009023	item171002000002,5			npc_relic_509	5900509
1846	5009	24	4	2	5009024	item171002000002,5			npc_relic_509	5900509
1847	5009	25	4	2	5009025	item171002000002,5			npc_relic_509	5900509
1848	5009	26	4	2	5009026	item171002000002,5			npc_relic_509	5900509
1849	5009	27	4	2	5009027	item171002000002,5			npc_relic_509	5900509
1850	5009	28	4	2	5009028	item171002000002,5			npc_relic_509	5900509
1851	5009	29	5	3	5009029	item171002000002,20	9005009,20	3,400;4,200	npc_relic_509	5900509
1852	5009	30	5	2	5009030	item171002000003,2			npc_relic_509	5900509
1853	5009	31	5	2	5009031	item171002000003,2			npc_relic_509	5900509
1854	5009	32	5	2	5009032	item171002000003,2			npc_relic_509	5900509
1855	5009	33	5	2	5009033	item171002000003,2			npc_relic_509	5900509
1856	5009	34	5	2	5009034	item171002000003,2			npc_relic_509	5900509
1857	5009	35	5	2	5009035	item171002000003,2			npc_relic_509	5900509
1858	5009	36	6	3	5009036	item171002000003,5	9005009,30	3,600;4,300	npc_relic_509	5900509
1859	5009	37	6	4	5009037		9005009,50	3,800;4,400	npc_relic_509	5900509
1860	5010	1	1	1	5010001		9005010,40		npc_relic_510	5900510
1861	5010	2	1	2	5010002	item171002000001,5			npc_relic_510	5900510
1862	5010	3	1	2	5010003	item171002000001,5			npc_relic_510	5900510
1863	5010	4	1	2	5010004	item171002000001,5			npc_relic_510	5900510
1864	5010	5	1	2	5010005	item171002000001,5			npc_relic_510	5900510
1865	5010	6	1	2	5010006	item171002000001,5			npc_relic_510	5900510
1866	5010	7	1	2	5010007	item171002000001,5			npc_relic_510	5900510
1867	5010	8	2	3	5010008	item171002000001,50			npc_relic_510	5900510
1868	5010	9	2	2	5010009	item171002000001,10			npc_relic_510	5900510
1869	5010	10	2	2	5010010	item171002000001,10			npc_relic_510	5900510
1870	5010	11	2	2	5010011	item171002000001,10			npc_relic_510	5900510
1871	5010	12	2	2	5010012	item171002000001,10			npc_relic_510	5900510
1872	5010	13	2	2	5010013	item171002000001,10			npc_relic_510	5900510
1873	5010	14	2	2	5010014	item171002000001,10			npc_relic_510	5900510
1874	5010	15	3	3	5010015	item171002000001,100			npc_relic_510	5900510
1875	5010	16	3	2	5010016	item171002000001,15			npc_relic_510	5900510
1876	5010	17	3	2	5010017	item171002000001,15			npc_relic_510	5900510
1877	5010	18	3	2	5010018	item171002000001,15			npc_relic_510	5900510
1878	5010	19	3	2	5010019	item171002000001,15			npc_relic_510	5900510
1879	5010	20	3	2	5010020	item171002000001,15			npc_relic_510	5900510
1880	5010	21	3	2	5010021	item171002000001,15			npc_relic_510	5900510
1881	5010	22	4	3	5010022	item171002000002,15	9005010,10	3,200;4,100	npc_relic_510	5900510
1882	5010	23	4	2	5010023	item171002000002,5			npc_relic_510	5900510
1883	5010	24	4	2	5010024	item171002000002,5			npc_relic_510	5900510
1884	5010	25	4	2	5010025	item171002000002,5			npc_relic_510	5900510
1885	5010	26	4	2	5010026	item171002000002,5			npc_relic_510	5900510
1886	5010	27	4	2	5010027	item171002000002,5			npc_relic_510	5900510
1887	5010	28	4	2	5010028	item171002000002,5			npc_relic_510	5900510
1888	5010	29	5	3	5010029	item171002000002,20	9005010,20	3,400;4,200	npc_relic_510	5900510
1889	5010	30	5	2	5010030	item171002000003,2			npc_relic_510	5900510
1890	5010	31	5	2	5010031	item171002000003,2			npc_relic_510	5900510
1891	5010	32	5	2	5010032	item171002000003,2			npc_relic_510	5900510
1892	5010	33	5	2	5010033	item171002000003,2			npc_relic_510	5900510
1893	5010	34	5	2	5010034	item171002000003,2			npc_relic_510	5900510
1894	5010	35	5	2	5010035	item171002000003,2			npc_relic_510	5900510
1895	5010	36	6	3	5010036	item171002000003,5	9005010,30	3,600;4,300	npc_relic_510	5900510
