流水号	主任务ID	子任务序号	子任务类型	行为类型	替换bgm	目标对象	目标线索	行为目标	战力限制	目的地提示	是否显示Content	是否显示战斗标志	目标场景	行为场景	目标坐标	是否启用停止范围	寻路停止范围	触发类型	长、宽、旋转	触发范围	需求数量	提交NPC	提交场景	提交npc坐标	自动提交任务	自动继续	完成提示显示	完成特效提示	判断进度条显示	是否显示流光特效	任务栏显示奖励掉落包	奖励显示	任务道具奖励	世界任务灰色数值奖励	世界任务灰色道具奖励	世界任务超出数量奖励	是否可放弃	显示图片	失败条件类型	失败条件参数	进行中标题	进行中内容	进行中故事	提交时标题	提交时内容	提示时故事	触发引导ID	任务邮件	隔天任务邮件	是否为界面内的	是否记录任务进度
2435	510670	0	8	5	0	ConsFate		LinkUI:ConstellationFatePanel	0		1		0	0		0	0	0		0.000000	1		-1		1	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510670	ExecuteTaskContent510670	ExecuteTaskStory510670	SubmitTaskName510670	SubmitTaskContent510670	SubmitTaskStory510670	1			1	1
2436	510680	0	8	1	0	AnyTreasureTask		npc_10077	0		1		2	2	-29.5, 3.9, 36.1	0	0	0		3.000000	1		-1		1	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510680	ExecuteTaskContent510680	ExecuteTaskStory510680	SubmitTaskName510680	SubmitTaskContent510680	SubmitTaskStory510680					0
2437	510690	0	8	1	0	AnyFairyTask		npc_100802	0		1		2	2	-38.7, 3.8, -0.1	0	0	0		3.000000	1		-1		1	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510690	ExecuteTaskContent510690	ExecuteTaskStory510690	SubmitTaskName510690	SubmitTaskContent510690	SubmitTaskStory510690					0
2438	510710	0	1	1	0	npc_10044		npc_10044	0		1		2	2		0	0	0		3.000000	1	npc_10044	2		0	0	0	1	0	0							0				ExecuteTaskName510710	ExecuteTaskContent510710	ExecuteTaskStory510710	SubmitTaskName510710	SubmitTaskContent510710	SubmitTaskStory510710					0
2439	510710	1	55	5	0	1011002;1012002		LinkUI:SkillPanel;1	0		1		0	0		0	0	0		3.000000	1		-1		0	0	0	1	0	0		item160000110201,1	item160000110201,1				0				ExecuteTaskName510711	ExecuteTaskContent510711	ExecuteTaskStory510711	SubmitTaskName510711	SubmitTaskContent510711	SubmitTaskStory510711				1	0
2440	510710	2	8	5	0	InlayRune			0		1		0	0		0	0	0		3.000000	1		-1		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510712	ExecuteTaskContent510712	ExecuteTaskStory510712	SubmitTaskName510712	SubmitTaskContent510712	SubmitTaskStory510712	1				0
2441	510720	0	1	1	0	npc_10044		npc_10044	0		1		2	2		0	0	0		3.000000	1	npc_10044	2		0	0	0	1	0	0							0				ExecuteTaskName510720	ExecuteTaskContent510720	ExecuteTaskStory510720	SubmitTaskName510720	SubmitTaskContent510720	SubmitTaskStory510720					0
2442	510720	1	55	5	0	1021002;1022002		LinkUI:SkillPanel;1	0		1		0	0		0	0	0		3.000000	1		-1		0	0	0	1	0	0		item160000110201,1	item160000110201,1				0				ExecuteTaskName510721	ExecuteTaskContent510721	ExecuteTaskStory510721	SubmitTaskName510721	SubmitTaskContent510721	SubmitTaskStory510721				1	0
2443	510720	2	8	5	0	InlayRune			0		1		0	0		0	0	0		3.000000	1		-1		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510722	ExecuteTaskContent510722	ExecuteTaskStory510722	SubmitTaskName510722	SubmitTaskContent510722	SubmitTaskStory510722	1				0
2444	510730	0	1	1	0	npc_10044		npc_10044	0		1		2	2		0	0	0		3.000000	1	npc_10044	2		0	0	0	1	0	0							0				ExecuteTaskName510730	ExecuteTaskContent510730	ExecuteTaskStory510730	SubmitTaskName510730	SubmitTaskContent510730	SubmitTaskStory510730					0
2445	510730	1	55	5	0	1031002;1032002		LinkUI:SkillPanel;1	0		1		0	0		0	0	0		3.000000	1		-1		0	0	0	1	0	0		item160000110201,1	item160000110201,1				0				ExecuteTaskName510731	ExecuteTaskContent510731	ExecuteTaskStory510731	SubmitTaskName510731	SubmitTaskContent510731	SubmitTaskStory510731				1	0
2446	510730	2	8	5	0	InlayRune			0		1		0	0		0	0	0		3.000000	1		-1		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510732	ExecuteTaskContent510732	ExecuteTaskStory510732	SubmitTaskName510732	SubmitTaskContent510732	SubmitTaskStory510732	1				0
2447	510740	0	1	1	0	npc_10044		npc_10044	0		1		2	2		0	0	0		3.000000	1	npc_10044	2		0	0	0	1	0	0							0				ExecuteTaskName510740	ExecuteTaskContent510740	ExecuteTaskStory510740	SubmitTaskName510740	SubmitTaskContent510740	SubmitTaskStory510740					0
2448	510740	1	55	5	0	1041002;1042002		LinkUI:SkillPanel;1	0		1		0	0		0	0	0		3.000000	1		-1		0	0	0	1	0	0		item160000110201,1	item160000110201,1				0				ExecuteTaskName510741	ExecuteTaskContent510741	ExecuteTaskStory510741	SubmitTaskName510741	SubmitTaskContent510741	SubmitTaskStory510741				1	0
2449	510740	2	8	5	0	InlayRune			0		1		0	0		0	0	0		3.000000	1		-1		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510742	ExecuteTaskContent510742	ExecuteTaskStory510742	SubmitTaskName510742	SubmitTaskContent510742	SubmitTaskStory510742	1				0
2450	510750	0	1	1	0	npc_10044		npc_10044	0		1		2	2		0	0	0		3.000000	1	npc_10044	2		0	0	0	1	0	0							0				ExecuteTaskName510750	ExecuteTaskContent510750	ExecuteTaskStory510750	SubmitTaskName510750	SubmitTaskContent510750	SubmitTaskStory510750					0
2451	510750	1	55	5	0	1051002;1052002		LinkUI:SkillPanel;1	0		1		0	0		0	0	0		3.000000	1		-1		0	0	0	1	0	0		item160000110201,1	item160000110201,1				0				ExecuteTaskName510751	ExecuteTaskContent510751	ExecuteTaskStory510751	SubmitTaskName510751	SubmitTaskContent510751	SubmitTaskStory510751				1	0
2452	510750	2	8	5	0	InlayRune			0		1		0	0		0	0	0		3.000000	1		-1		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510752	ExecuteTaskContent510752	ExecuteTaskStory510752	SubmitTaskName510752	SubmitTaskContent510752	SubmitTaskStory510752	1				0
2453	510760	0	1	1	0	npc_10044		npc_10044	0		1		2	2		0	0	0		3.000000	1	npc_10044	2		0	0	0	1	0	0							0				ExecuteTaskName510760	ExecuteTaskContent510760	ExecuteTaskStory510760	SubmitTaskName510760	SubmitTaskContent510760	SubmitTaskStory510760					0
2454	510760	1	55	5	0	1061002;1062002		LinkUI:SkillPanel;1	0		1		0	0		0	0	0		3.000000	1		-1		0	0	0	1	0	0		item160000110201,1	item160000110201,1				0				ExecuteTaskName510761	ExecuteTaskContent510761	ExecuteTaskStory510761	SubmitTaskName510761	SubmitTaskContent510761	SubmitTaskStory510761				1	0
2455	510760	2	8	5	0	InlayRune			0		1		0	0		0	0	0		3.000000	1		-1		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510762	ExecuteTaskContent510762	ExecuteTaskStory510762	SubmitTaskName510762	SubmitTaskContent510762	SubmitTaskStory510762	1				0
2456	510800	0	8	5	0	SoulStar		LinkUI:SoulStarCubePanel	0		1		0	0		0	0	0		3.000000	2		-1		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510800	ExecuteTaskContent510800	ExecuteTaskStory510800	SubmitTaskName510800	SubmitTaskContent510800	SubmitTaskStory510800	1				1
2457	510810	0	8	5	0	Advanced		LinkUI:StrengthenPanel;3	0		1		0	0		0	0	0		3.000000	1		-1		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510810	ExecuteTaskContent510810	ExecuteTaskStory510810	SubmitTaskName510810	SubmitTaskContent510810	SubmitTaskStory510810	1			1	0
2458	510820	0	4	5	0	door_30031		LinkUI:DungeonInfoPanel;300	0		1	1	1800	0		0	0	0		3.000000	1		-1		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510820	ExecuteTaskContent510820	ExecuteTaskStory510820	SubmitTaskName510820	SubmitTaskContent510820	SubmitTaskStory510820	1				0
2459	510830	0	6	4	0	-22.7,-0.9,-43.5		-22.7,-0.9,-43.5	0		1		41	0	-22.7,-0.9,-43.5	0	0	0		3.000000	1		41		0	0	0	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510830	ExecuteTaskContent510830	ExecuteTaskStory510830	SubmitTaskName510830	SubmitTaskContent510830	SubmitTaskStory510830	1				1
2460	510830	1	8	5	0	HomeLandSeed_4001		HomelandScene	0		1		41	0		0	0	0		3.000000	5		41		0	0	0	1	0	0							0				ExecuteTaskName510831	ExecuteTaskContent510831	ExecuteTaskStory510831	SubmitTaskName510831	SubmitTaskContent510831	SubmitTaskStory510831	1				1
2461	510830	2	8	5	0	HomeLandHarvestSeed_4001		HomelandScene	0		1		41	0		0	0	0		3.000000	5		41		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510832	ExecuteTaskContent510832	ExecuteTaskStory510832	SubmitTaskName510832	SubmitTaskContent510832	SubmitTaskStory510832	1				1
2462	510830	3	8	5	0	HomeLandFeed		HomelandScene	0		1		41	0		0	0	0		3.000000	5		41		0	0	0	1	0	0							0				ExecuteTaskName510833	ExecuteTaskContent510833	ExecuteTaskStory510833	SubmitTaskName510833	SubmitTaskContent510833	SubmitTaskStory510833	1				1
2463	510830	4	8	5	0	HomeLandHarvestAnimal		HomelandScene	0		1		41	0		0	0	0		3.000000	5		41		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510834	ExecuteTaskContent510834	ExecuteTaskStory510834	SubmitTaskName510834	SubmitTaskContent510834	SubmitTaskStory510834	1				1
2464	510830	5	8	5	0	HomeLandMoveBuilding		HomelandScene	0		1		41	0		0	0	0		3.000000	1		41		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510835	ExecuteTaskContent510835	ExecuteTaskStory510835	SubmitTaskName510835	SubmitTaskContent510835	SubmitTaskStory510835	1				1
2465	510830	6	8	5	0	HomeLandOrder		HomelandScene	0		1		41	0		0	0	0		3.000000	1		41		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510836	ExecuteTaskContent510836	ExecuteTaskStory510836	SubmitTaskName510836	SubmitTaskContent510836	SubmitTaskStory510836	1				1
2466	510840	0	1	1	0	npc_10078		npc_10078	0		1		2	2		0	0	0		3.000000	1	npc_10078	2		0	0	0	1	0	0		item100500000001,1	item100500000001,1				0				ExecuteTaskName510840	ExecuteTaskContent510840	ExecuteTaskStory510840	SubmitTaskName510840	SubmitTaskContent510840	SubmitTaskStory510840					1
2467	510840	1	8	5	0	Stroll			0		1		0	0		0	0	0		3.000000	1		-1		0	0	1	1	0	0		item100500000001,10	item100500000001,10				0				ExecuteTaskName510841	ExecuteTaskContent510841	ExecuteTaskStory510841	SubmitTaskName510841	SubmitTaskContent510841	SubmitTaskStory510841	1				1
2468	510850	0	1	1	0	npc_10041		npc_10041	0		1		2	2		0	0	0		3.000000	1	npc_10041	2		0	0	0	1	0	0		item200000102001,1	item200000102001,1				0				ExecuteTaskName510850	ExecuteTaskContent510850	ExecuteTaskStory510850	SubmitTaskName510850	SubmitTaskContent510850	SubmitTaskStory510850					0
2469	510850	1	8	5	0	ActivatePeakBook			0		1		0	0		0	0	0		3.000000	1		-1		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510851	ExecuteTaskContent510851	ExecuteTaskStory510851	SubmitTaskName510851	SubmitTaskContent510851	SubmitTaskStory510851	1				0
2470	510860	0	1	1	0	npc_10027		npc_10027	0		1		3	3		0	0	0		3.000000	1	npc_10027	3		0	0	0	1	0	0		item105000000030,6	item105000000030,6				0				ExecuteTaskName510860	ExecuteTaskContent510860	ExecuteTaskStory510860	SubmitTaskName510860	SubmitTaskContent510860	SubmitTaskStory510860					1
2471	510860	1	8	5	0	SoldierAdvance		LinkUI:MercenaryPanel	0		1		0	0		0	0	0		0.000000	1		0		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510861	ExecuteTaskContent510861	ExecuteTaskStory510861	SubmitTaskName510861	SubmitTaskContent510861	SubmitTaskStory510861	1				1
2472	510870	0	1	1	0	npc_10085		npc_10085	0		1		3	3		0	0	0		3.000000	1	npc_10085	3		0	0	0	1	0	0		item105000000001,1	item105000000001,1				0				ExecuteTaskName510870	ExecuteTaskContent510870	ExecuteTaskStory510870	SubmitTaskName510870	SubmitTaskContent510870	SubmitTaskStory510870					1
2473	510870	1	8	5	0	SoldierEquipLuckyItem		LinkUI:MercenaryPanel	0		1		0	0		0	0	0		0.000000	1		0		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510871	ExecuteTaskContent510871	ExecuteTaskStory510871	SubmitTaskName510871	SubmitTaskContent510871	SubmitTaskStory510871	1				1
2474	510880	0	1	1	0	npc_10077		npc_10077	0		1		2	2		0	0	0		3.000000	1	npc_10077	2		0	0	0	1	0	0		item105000000068,1	item105000000068,1				0				ExecuteTaskName510880	ExecuteTaskContent510880	ExecuteTaskStory510880	SubmitTaskName510880	SubmitTaskContent510880	SubmitTaskStory510880					1
2475	510880	1	8	5	0	SoldierSkillLevelUp		LinkUI:MercenaryPanel	0		1		0	0		0	0	0		0.000000	1		0		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510881	ExecuteTaskContent510881	ExecuteTaskStory510881	SubmitTaskName510881	SubmitTaskContent510881	SubmitTaskStory510881	1				1
2476	510890	0	1	1	0	npc_10159		npc_10159	0		1		2	2		0	0	0		3.000000	1	npc_10159	2		0	0	0	1	0	0		item105000000028,3	item105000000028,3				0				ExecuteTaskName510890	ExecuteTaskContent510890	ExecuteTaskStory510890	SubmitTaskName510890	SubmitTaskContent510890	SubmitTaskStory510890					1
2477	510890	1	8	5	0	SoldierBaptizeProp		LinkUI:MercenaryPanel	0		1		0	0		0	0	0		0.000000	1		0		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510891	ExecuteTaskContent510891	ExecuteTaskStory510891	SubmitTaskName510891	SubmitTaskContent510891	SubmitTaskStory510891	1				1
2478	510900	0	8	5	0	SoldierTeleUp		LinkUI:MercenaryPanel	0		1		0	0		0	0	0		0.000000	1		0		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510900	ExecuteTaskContent510900	ExecuteTaskStory510900	SubmitTaskName510900	SubmitTaskContent510900	SubmitTaskStory510900	1				0
2479	510910	0	1	1	0	npc_10514		npc_10514	0		1		40	40		0	0	0		3.000000	1	npc_10514	40		0	0	0	1	0	0		item171000101021,5	item171000101021,5				0				ExecuteTaskName510910	ExecuteTaskContent510910	ExecuteTaskStory510910	SubmitTaskName510910	SubmitTaskContent510910	SubmitTaskStory510910					0
2480	510910	1	8	5	0	BadgeMake		LinkUI:GuildBadgePanel;0	0		1		0	0		0	0	0		0.000000	1		0		0	0	1	1	0	0		item171000101021,5	item171000101021,5				0				ExecuteTaskName510911	ExecuteTaskContent510911	ExecuteTaskStory510911	SubmitTaskName510911	SubmitTaskContent510911	SubmitTaskStory510911	1				0
2481	510910	2	8	5	0	BadgeEquip		LinkUI:GuildBadgePanel;1	0		1		0	0		0	0	0		0.000000	1		0		0	0	1	1	0	0		item171000101012,2	item171000101012,2				0				ExecuteTaskName510912	ExecuteTaskContent510912	ExecuteTaskStory510912	SubmitTaskName510912	SubmitTaskContent510912	SubmitTaskStory510912	1				0
2482	510910	3	8	5	0	BadgeBaptize		LinkUI:GuildBadgePanel;1	0		1		0	0		0	0	0		0.000000	1		0		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510913	ExecuteTaskContent510913	ExecuteTaskStory510913	SubmitTaskName510913	SubmitTaskContent510913	SubmitTaskStory510913	1				0
2483	510910	4	8	5	0	MarkEquip		LinkUI:GuildBadgePanel;1	0		1		0	0		0	0	0		0.000000	1		0		0	0	1	1	0	0		item171000101001,1	item171000101001,1				0				ExecuteTaskName510914	ExecuteTaskContent510914	ExecuteTaskStory510914	SubmitTaskName510914	SubmitTaskContent510914	SubmitTaskStory510914	1				0
2484	510910	5	8	5	0	MarkLevelUp		LinkUI:GuildBadgePanel;1	0		1		0	0		0	0	0		0.000000	1		0		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510915	ExecuteTaskContent510915	ExecuteTaskStory510915	SubmitTaskName510915	SubmitTaskContent510915	SubmitTaskStory510915	1				0
2485	510920	0	8	5	0	EngraveInscription		LinkUI:StrengthenPanel;5	0		1		0	0		0	0	0		0.000000	1		0		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510920	ExecuteTaskContent510920	ExecuteTaskStory510920	SubmitTaskName510920	SubmitTaskContent510920	SubmitTaskStory510920					0
2486	510940	0	8	1	0	SnowFightEnter		npc_snowfight	0		1		0	2		0	0	0		3.000000	1		0		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510940	ExecuteTaskContent510940	ExecuteTaskStory510940	SubmitTaskName510940	SubmitTaskContent510940	SubmitTaskStory510940					0
2487	510950	0	8	5	0	FightPetEquipToy		LinkUI:PetPanel	0		1		0	0		0	0	0		0.000000	1		0		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510950	ExecuteTaskContent510950	ExecuteTaskStory510950	SubmitTaskName510950	SubmitTaskContent510950	SubmitTaskStory510950	1				0
2488	510960	0	8	5	0	FightPetPersonalityShape		LinkUI:PetPanel	0		1		0	0		0	0	0		0.000000	1		0		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510960	ExecuteTaskContent510960	ExecuteTaskStory510960	SubmitTaskName510960	SubmitTaskContent510960	SubmitTaskStory510960					0
2489	510970	0	8	5	0	StarChildLvUp			0		1		0	0		0	0	0		0.000000	1		0		0	0	0	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510970	ExecuteTaskContent510970	ExecuteTaskStory510970	SubmitTaskName510970	SubmitTaskContent510970	SubmitTaskStory510970	1				0
2490	510970	1	8	5	0	StarChildTalentLvUp		LinkUI:StarChildPanel;1	0		1		0	0		0	0	0		0.000000	1		0		0	0	0	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510971	ExecuteTaskContent510971	ExecuteTaskStory510971	SubmitTaskName510971	SubmitTaskContent510971	SubmitTaskStory510971					0
2491	510970	2	8	5	0	StarSoulEquip		LinkUI:StarChildPanel;2	0		1		0	0		0	0	0		0.000000	1		0		0	0	0	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510972	ExecuteTaskContent510972	ExecuteTaskStory510972	SubmitTaskName510972	SubmitTaskContent510972	SubmitTaskStory510972					0
2492	510970	3	8	5	0	StarSoulTalentLvUp		LinkUI:StarChildPanel;2	0		1		0	0		0	0	0		0.000000	1		0		0	0	0	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510973	ExecuteTaskContent510973	ExecuteTaskStory510973	SubmitTaskName510973	SubmitTaskContent510973	SubmitTaskStory510973					0
2493	510970	4	8	5	0	StarSoulUpgrade		LinkUI:StarChildPanel;2	0		1		0	0		0	0	0		0.000000	1		0		0	0	0	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510974	ExecuteTaskContent510974	ExecuteTaskStory510974	SubmitTaskName510974	SubmitTaskContent510974	SubmitTaskStory510974					0
2494	510970	5	8	5	0	StarSoulLvUp		LinkUI:StarChildPanel;2	0		1		0	0		0	0	0		0.000000	1		0		0	0	0	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510975	ExecuteTaskContent510975	ExecuteTaskStory510975	SubmitTaskName510975	SubmitTaskContent510975	SubmitTaskStory510975	1				0
2495	510970	6	8	5	0	StarChildTransfer			0		1		0	0		0	0	0		0.000000	1		0		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510976	ExecuteTaskContent510976	ExecuteTaskStory510976	SubmitTaskName510976	SubmitTaskContent510976	SubmitTaskStory510976	1				0
2496	510980	0	50	5	0	100		LinkUI:DungeonInfoPanel;100	0		1		1103	0		0	0	0		3.000000	1		-1		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510980	ExecuteTaskContent510980	ExecuteTaskStory510980	SubmitTaskName510980	SubmitTaskContent510980	SubmitTaskStory510980	1				0
2497	510990	0	50	5	0	101		LinkUI:DungeonInfoPanel;101	0		1		1104	0		0	0	0		3.000000	1		-1		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName510990	ExecuteTaskContent510990	ExecuteTaskStory510990	SubmitTaskName510990	SubmitTaskContent510990	SubmitTaskStory510990	1				0
2498	511000	0	50	5	0	102		LinkUI:DungeonInfoPanel;102	0		1		1102	0		0	0	0		3.000000	1		-1		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName511000	ExecuteTaskContent511000	ExecuteTaskStory511000	SubmitTaskName511000	SubmitTaskContent511000	SubmitTaskStory511000	1				0
2499	511010	0	50	5	0	103		LinkUI:DungeonInfoPanel;103	0		1		1105	0		0	0	0		3.000000	1		-1		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName511010	ExecuteTaskContent511010	ExecuteTaskStory511010	SubmitTaskName511010	SubmitTaskContent511010	SubmitTaskStory511010	1				0
2500	511020	0	50	5	0	104		LinkUI:DungeonInfoPanel;104	0		1		1108	0		0	0	0		3.000000	1		-1		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName511020	ExecuteTaskContent511020	ExecuteTaskStory511020	SubmitTaskName511020	SubmitTaskContent511020	SubmitTaskStory511020	1				0
2501	511030	0	50	5	0	105		LinkUI:DungeonInfoPanel;105	0		1		1111	0		0	0	0		3.000000	1		-1		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName511030	ExecuteTaskContent511030	ExecuteTaskStory511030	SubmitTaskName511030	SubmitTaskContent511030	SubmitTaskStory511030	1				0
2502	511040	0	50	5	0	108		LinkUI:DungeonInfoPanel;108	0		1		1113	0		0	0	0		3.000000	1		-1		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName511040	ExecuteTaskContent511040	ExecuteTaskStory511040	SubmitTaskName511040	SubmitTaskContent511040	SubmitTaskStory511040	1				0
2503	511110	0	8	5	0	JewelryEngrave		LinkUI:StrengthenPanel;7;7	0		1		0	0		0	0	0		0.000000	1		0		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName511110	ExecuteTaskContent511110	ExecuteTaskStory511110	SubmitTaskName511110	SubmitTaskContent511110	SubmitTaskStory511110					0
2504	511111	0	4	5	0	monster36800000		LinkUI:SoulMedalDungeonEnterPanel;1	0		1		1998	0		0	0	0		3.000000	1		0		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName511111	ExecuteTaskContent511111	ExecuteTaskStory511111	SubmitTaskName511111	SubmitTaskContent511111	SubmitTaskStory511111					0
2505	511112	0	8	5	0	MoltenLevelEquip		LinkUI:StrengthenPanel;9	0		1		0	0		0	0	0		0.000000	1		0		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName511112	ExecuteTaskContent511112	ExecuteTaskStory511112	SubmitTaskName511112	SubmitTaskContent511112	SubmitTaskStory511112					0
2506	511113	0	1	1	0	npc_forging_002		npc_forging_002	0				2	2	11.5, 0.0, -13.4	0	0	0		3.000000	1		-1		1	0	0	1	0	2		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName5111130	ExecuteTaskContent5111130	ExecuteTaskStory5111130	SubmitTaskName5111130	SubmitTaskContent5111130	SubmitTaskStory5111130					0
2507	511113	1	8	1	0	BackMagic		npc_forging_002	0		1		2	2	11.5, 0.0, -13.4	0	0	0		3.000000	1		-1		0	0	1	1	0	2		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName5111131	ExecuteTaskContent5111131	ExecuteTaskStory5111131	SubmitTaskName5111131	SubmitTaskContent5111131	SubmitTaskStory5111131	1				1
2508	511114	0	8	1	0	EquipWeapon			0		1		2	2	11.5, 0.0, -13.4	0	0	0		3.000000	1		-1		0	0	1	1	0	2		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName5111140	ExecuteTaskContent5111140	ExecuteTaskStory5111140	SubmitTaskName5111140	SubmitTaskContent5111140	SubmitTaskStory5111140	1				1
2509	511115	0	8	1	0	MagicExchange			0		1		2	2	11.5, 0.0, -13.4	0	0	0		3.000000	1		-1		0	0	1	1	0	2		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName5111150	ExecuteTaskContent5111150	ExecuteTaskStory5111150	SubmitTaskName5111150	SubmitTaskContent5111150	SubmitTaskStory5111150	1				1
2510	511116	0	8	1	0	BackBaptizeAnyEquip		npc_forging_002	0		1		2	2	11.5, 0.0, -13.4	0	0	0		3.000000	1		-1		0	0	1	1	0	2		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName5111160	ExecuteTaskContent5111160	ExecuteTaskStory5111160	SubmitTaskName5111160	SubmitTaskContent5111160	SubmitTaskStory5111160	1				1
2511	511117	0	8	1	0	BackSmeltingAnyEquip		npc_forging_002	0		1		2	2	11.5, 0.0, -13.4	0	0	0		3.000000	1		-1		0	0	1	1	0	2		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName5111170	ExecuteTaskContent5111170	ExecuteTaskStory5111170	SubmitTaskName5111170	SubmitTaskContent5111170	SubmitTaskStory5111170	1				1
2512	512000	0	50	5	0	401		LinkUI:DungeonInfoPanel;401	0		1		1090	0		0	0	0		3.000000	1		-1		0	0	1	1	0	0		item1000,50000;item10000000002,200	item1000,50000;item10000000002,200				0				ExecuteTaskName512000	ExecuteTaskContent512000	ExecuteTaskStory512000	SubmitTaskName512000	SubmitTaskContent512000	SubmitTaskStory512000	1				0
