流水ID	NPC	等级	经验	阶段文本	相识历程文本	比较喜欢礼物	喜欢礼物	邮件回礼奖励	谢礼文本	每日好感交互类型	交互增加好感度	每日好感度上限	羁绊类型	羁绊效果	羁绊名称	羁绊说明
228	npc_10085	7	160000	Relationship_Name_7	Relationship_Des_7	item107999900001;item107999900002;item107999900003	item106210100016	item107999900001,700	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	1	item10000000000,1	BondNameDes4_npc_10085	BondDes4_npc_10085
229	npc_10085	8	280000	Relationship_Name_8	Relationship_Des_8	item107999900001;item107999900002;item107999900003	item106210100016	item107300000002,114	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	0		BondNameDes_None	BondDes_None
230	npc_10085	9	440000	Relationship_Name_9	Relationship_Des_9	item107999900001;item107999900002;item107999900003	item106210100016	item107999900002,214	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	1	item10000000000,1	BondNameDes5_npc_10085	BondDes5_npc_10085
231	npc_10085	10	640000	Relationship_Name_10	Relationship_Des_10	item107999900001;item107999900002;item107999900003	item106210100016	item8103010111020,2	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	1	item10000000000,3	BondNameDes6_npc_10085	BondDes6_npc_10085
232	npc_10023	0	0				item106210100004					2000	0			
233	npc_10023	1	500	Relationship_Name_1	Relationship_Des_1	item103010121003;item103010121004;item103010121005	item106210100004	item1000,500000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	2000	1	item10000000002,20000	BondNameDes1_npc_10023	BondDes1_npc_10023
234	npc_10023	2	1000	Relationship_Name_2	Relationship_Des_2	item103010121003;item103010121004;item103010121005	item106210100004	item107200042001,3	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	2000	0		BondNameDes_Hello	BondDes_Hello
235	npc_10023	3	2000	Relationship_Name_3	Relationship_Des_3	item103010121003;item103010121004;item103010121005	item106210100004	item107200042001,5	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	2000	1	item10000000002,40000	BondNameDes2_npc_10023	BondDes2_npc_10023
236	npc_10023	4	5000	Relationship_Name_4	Relationship_Des_4	item103010121003;item103010121004;item103010121005	item106210100004	item1000,2000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	5000	0		BondNameDes_Gift1	BondDes_Gift1
237	npc_10023	5	10000	Relationship_Name_5	Relationship_Des_5	item103010121003;item103010121004;item103010121005	item106210100004	item1000,3000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	5000	1	item10000000002,60000	BondNameDes3_npc_10023	BondDes3_npc_10023
238	npc_10023	6	20000	Relationship_Name_6	Relationship_Des_6	item103010121003;item103010121004;item103010121005	item106210100004	item107999900002,20	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes_Gift2	BondDes_Gift2
239	npc_10023	7	40000	Relationship_Name_7	Relationship_Des_7	item103010121003;item103010121004;item103010121005	item106210100004	item8103010111018,8	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	1	item10000000002,80000	BondNameDes4_npc_10023	BondDes4_npc_10023
240	npc_10023	8	70000	Relationship_Name_8	Relationship_Des_8	item103010121003;item103010121004;item103010121005	item106210100004	item101040101015,140	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes_None	BondDes_None
241	npc_10023	9	110000	Relationship_Name_9	Relationship_Des_9	item103010121003;item103010121004;item103010121005	item106210100004	item107999900001,300	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	1	item10000000002,100000	BondNameDes5_npc_10023	BondDes5_npc_10023
242	npc_10023	10	160000	Relationship_Name_10	Relationship_Des_10	item103010121003;item103010121004;item103010121005	item106210100004	item107300000001,125	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	1	item10000000002,250000	BondNameDes6_npc_10023	BondDes6_npc_10023
243	npc_10027	0	0				item106210100005					3000	0			
244	npc_10027	1	500	Relationship_Name_1	Relationship_Des_1	item103010111016;item103010111017;item103010111018	item106210100005	item8103010121003,10	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	3000	2	0,26,50	BondNameDes1_npc_10027	BondDes1_npc_10027
245	npc_10027	2	2000	Relationship_Name_2	Relationship_Des_2	item103010111016;item103010111017;item103010111018	item106210100005	item101040101015,10	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	0		BondNameDes_Hello	BondDes_Hello
246	npc_10027	3	4000	Relationship_Name_3	Relationship_Des_3	item103010111016;item103010111017;item103010111018	item106210100005	item107300000001,10	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	2	0,26,75	BondNameDes2_npc_10027	BondDes2_npc_10027
247	npc_10027	4	10000	Relationship_Name_4	Relationship_Des_4	item103010111016;item103010111017;item103010111018	item106210100005	item107999900001,59	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	0		BondNameDes_Gift1	BondDes_Gift1
248	npc_10027	5	20000	Relationship_Name_5	Relationship_Des_5	item103010111016;item103010111017;item103010111018	item106210100005	item101040101015,90	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	2	0,26,100	BondNameDes3_npc_10027	BondDes3_npc_10027
249	npc_10027	6	40000	Relationship_Name_6	Relationship_Des_6	item103010111016;item103010111017;item103010111018	item106210100005	item8103010111019,2	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_Gift2	BondDes_Gift2
250	npc_10027	7	80000	Relationship_Name_7	Relationship_Des_7	item103010111016;item103010111017;item103010111018	item106210100005	item101040101015,200	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,26,125	BondNameDes4_npc_10027	BondDes4_npc_10027
251	npc_10027	8	140000	Relationship_Name_8	Relationship_Des_8	item103010111016;item103010111017;item103010111018	item106210100005	item107200051001,12	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_None	BondDes_None
252	npc_10027	9	220000	Relationship_Name_9	Relationship_Des_9	item103010111016;item103010111017;item103010111018	item106210100005	item107300000002,64	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,26,150	BondNameDes5_npc_10027	BondDes5_npc_10027
253	npc_10027	10	320000	Relationship_Name_10	Relationship_Des_10	item103010111016;item103010111017;item103010111018	item106210100005	item8103010111019,5	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,35,200	BondNameDes6_npc_10027	BondDes6_npc_10027
254	npc_10028	0	0				item106210100007					3000	0			
255	npc_10028	1	500	Relationship_Name_1	Relationship_Des_1	item103010131001	item106210100007	item1000,500000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	3000	2	0,23,50	BondNameDes1_npc_10028	BondDes1_npc_10028
256	npc_10028	2	2000	Relationship_Name_2	Relationship_Des_2	item103010131001	item106210100007	item1000,1000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	0		BondNameDes_Hello	BondDes_Hello
257	npc_10028	3	4000	Relationship_Name_3	Relationship_Des_3	item103010131001	item106210100007	item103010131001,8	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	2	0,23,75	BondNameDes2_npc_10028	BondDes2_npc_10028
258	npc_10028	4	10000	Relationship_Name_4	Relationship_Des_4	item103010131001	item106210100007	item101040101015,35	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	0		BondNameDes_Gift1	BondDes_Gift1
259	npc_10028	5	20000	Relationship_Name_5	Relationship_Des_5	item103010131001	item106210100007	item8103010111018,8	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	2	0,23,100	BondNameDes3_npc_10028	BondDes3_npc_10028
260	npc_10028	6	40000	Relationship_Name_6	Relationship_Des_6	item103010131001	item106210100007	item8170000120010,320	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_Gift2	BondDes_Gift2
261	npc_10028	7	80000	Relationship_Name_7	Relationship_Des_7	item103010131001	item106210100007	item103010131001,80	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,23,125	BondNameDes4_npc_10028	BondDes4_npc_10028
262	npc_10028	8	140000	Relationship_Name_8	Relationship_Des_8	item103010131001	item106210100007	item8103010121005,33	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_None	BondDes_None
263	npc_10028	9	220000	Relationship_Name_9	Relationship_Des_9	item103010131001	item106210100007	item101040101015,320	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,23,150	BondNameDes5_npc_10028	BondDes5_npc_10028
264	npc_10028	10	320000	Relationship_Name_10	Relationship_Des_10	item103010131001	item106210100007	item8103010121005,63	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,32,200	BondNameDes6_npc_10028	BondDes6_npc_10028
265	npc_002_mohade	0	0				item106210100014					4000	0			
266	npc_002_mohade	1	500	Relationship_Name_1	Relationship_Des_1	item103010121003;item103010121004;item103010121005	item106210100014	item1000,500000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	4000	1	item10000000000,1	BondNameDes1_npc_002_mohade	BondDes1_npc_002_mohade
267	npc_002_mohade	2	4000	Relationship_Name_2	Relationship_Des_2	item103010121003;item103010121004;item103010121005	item106210100014	item101040101015,20	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	4000	0		BondNameDes_Hello	BondDes_Hello
268	npc_002_mohade	3	8000	Relationship_Name_3	Relationship_Des_3	item103010121003;item103010121004;item103010121005	item106210100014	item107300000001,15	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	4000	1	item10000000000,1	BondNameDes2_npc_002_mohade	BondDes2_npc_002_mohade
269	npc_002_mohade	4	20000	Relationship_Name_4	Relationship_Des_4	item103010121003;item103010121004;item103010121005	item106210100014	item107999900001,134	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	8000	0		BondNameDes_Gift1	BondDes_Gift1
270	npc_002_mohade	5	40000	Relationship_Name_5	Relationship_Des_5	item103010121003;item103010121004;item103010121005	item106210100014	item8103010111018,12	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	8000	1	item10000000000,2	BondNameDes3_npc_002_mohade	BondDes3_npc_002_mohade
271	npc_002_mohade	6	80000	Relationship_Name_6	Relationship_Des_6	item103010121003;item103010121004;item103010121005	item106210100014	item107200051001,14	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	0		BondNameDes_Gift2	BondDes_Gift2
272	npc_002_mohade	7	160000	Relationship_Name_7	Relationship_Des_7	item103010121003;item103010121004;item103010121005	item106210100014	item107200051001,19	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	1	item10000000000,2	BondNameDes4_npc_002_mohade	BondDes4_npc_002_mohade
273	npc_002_mohade	8	280000	Relationship_Name_8	Relationship_Des_8	item103010121003;item103010121004;item103010121005	item106210100014	item107200052001,13	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	0		BondNameDes_None	BondDes_None
274	npc_002_mohade	9	440000	Relationship_Name_9	Relationship_Des_9	item103010121003;item103010121004;item103010121005	item106210100014	item107200052001,15	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	1	item10000000000,2	BondNameDes5_npc_002_mohade	BondDes5_npc_002_mohade
275	npc_002_mohade	10	640000	Relationship_Name_10	Relationship_Des_10	item103010121003;item103010121004;item103010121005	item106210100014	item107200053001,12	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	16000	1	item10000000000,4	BondNameDes6_npc_002_mohade	BondDes6_npc_002_mohade
276	npc_10501	0	0				item106210100011					2000	0			
277	npc_10501	1	500	Relationship_Name_1	Relationship_Des_1	item102010411001;item103010411001	item106210100011	item8170000120010,10	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	2000	1	item10000000002,50000	BondNameDes1_npc_10501	BondDes1_npc_10501
278	npc_10501	2	1000	Relationship_Name_2	Relationship_Des_2	item102010411001;item103010411001	item106210100011	item8103010121003,10	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	2000	0		BondNameDes_Hello	BondDes_Hello
279	npc_10501	3	2000	Relationship_Name_3	Relationship_Des_3	item102010411001;item103010411001	item106210100011	item1000,1000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	2000	1	item10000000002,75000	BondNameDes2_npc_10501	BondDes2_npc_10501
280	npc_10501	4	5000	Relationship_Name_4	Relationship_Des_4	item102010411001;item103010411001	item106210100011	item1000,2000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	5000	0		BondNameDes_Gift1	BondDes_Gift1
281	npc_10501	5	10000	Relationship_Name_5	Relationship_Des_5	item102010411001;item103010411001	item106210100011	item8103010111018,3	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	5000	1	item10000000002,100000	BondNameDes3_npc_10501	BondDes3_npc_10501
282	npc_10501	6	20000	Relationship_Name_6	Relationship_Des_6	item102010411001;item103010411001	item106210100011	item8103010111018,5	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes_Gift2	BondDes_Gift2
283	npc_10501	7	40000	Relationship_Name_7	Relationship_Des_7	item102010411001;item103010411001	item106210100011	item107999900001,167	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	1	item10000000002,125000	BondNameDes4_npc_10501	BondDes4_npc_10501
284	npc_10501	8	70000	Relationship_Name_8	Relationship_Des_8	item102010411001;item103010411001	item106210100011	item107999900001,234	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes_None	BondDes_None
285	npc_10501	9	110000	Relationship_Name_9	Relationship_Des_9	item102010411001;item103010411001	item106210100011	item101040101015,180	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	1	item10000000002,150000	BondNameDes5_npc_10501	BondDes5_npc_10501
286	npc_10501	10	160000	Relationship_Name_10	Relationship_Des_10	item102010411001;item103010411001	item106210100011	item107300000001,125	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	1	item10000000002,500000	BondNameDes6_npc_10501	BondDes6_npc_10501
287	npc_10502	0	0				item106210100020					3000	0			
288	npc_10502	1	500	Relationship_Name_1	Relationship_Des_1	item103010111011;item103010111012;item103010111013	item106210100020	item1000,500000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	3000	2	0,21,50	BondNameDes1_npc_10502	BondDes1_npc_10502
289	npc_10502	2	2000	Relationship_Name_2	Relationship_Des_2	item103010111011;item103010111012;item103010111013	item106210100020	item1000,1000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	0		BondNameDes_Hello	BondDes_Hello
290	npc_10502	3	4000	Relationship_Name_3	Relationship_Des_3	item103010111011;item103010111012;item103010111013	item106210100020	item101040101015,20	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	2	0,21,75	BondNameDes2_npc_10502	BondDes2_npc_10502
291	npc_10502	4	10000	Relationship_Name_4	Relationship_Des_4	item103010111011;item103010111012;item103010111013	item106210100020	item107999900001,59	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	0		BondNameDes_Gift1	BondDes_Gift1
292	npc_10502	5	20000	Relationship_Name_5	Relationship_Des_5	item103010111011;item103010111012;item103010111013	item106210100020	item103010131001,36	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	2	0,21,100	BondNameDes3_npc_10502	BondDes3_npc_10502
293	npc_10502	6	40000	Relationship_Name_6	Relationship_Des_6	item103010111011;item103010111012;item103010111013	item106210100020	item8170000120010,320	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_Gift2	BondDes_Gift2
294	npc_10502	7	80000	Relationship_Name_7	Relationship_Des_7	item103010111011;item103010111012;item103010111013	item106210100020	item101040101015,200	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,21,125	BondNameDes4_npc_10502	BondDes4_npc_10502
295	npc_10502	8	140000	Relationship_Name_8	Relationship_Des_8	item103010111011;item103010111012;item103010111013	item106210100020	item107999900002,87	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_None	BondDes_None
296	npc_10502	9	220000	Relationship_Name_9	Relationship_Des_9	item103010111011;item103010111012;item103010111013	item106210100020	item107300000002,64	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,21,150	BondNameDes5_npc_10502	BondDes5_npc_10502
297	npc_10502	10	320000	Relationship_Name_10	Relationship_Des_10	item103010111011;item103010111012;item103010111013	item106210100020	item107200052001,12	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,30,200	BondNameDes6_npc_10502	BondDes6_npc_10502
298	npc_10503	0	0				item106210100009					3000	0			
299	npc_10503	1	500	Relationship_Name_1	Relationship_Des_1	item103010111016;item103010111017;item103010111018	item106210100009	item8170000120010,10	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	3000	2	0,24,50	BondNameDes1_npc_10503	BondDes1_npc_10503
300	npc_10503	2	2000	Relationship_Name_2	Relationship_Des_2	item103010111016;item103010111017;item103010111018	item106210100009	item101040101015,10	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	0		BondNameDes_Hello	BondDes_Hello
301	npc_10503	3	4000	Relationship_Name_3	Relationship_Des_3	item103010111016;item103010111017;item103010111018	item106210100009	item107300000001,10	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	2	0,24,75	BondNameDes2_npc_10503	BondDes2_npc_10503
302	npc_10503	4	10000	Relationship_Name_4	Relationship_Des_4	item103010111016;item103010111017;item103010111018	item106210100009	item8103010121004,18	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	0		BondNameDes_Gift1	BondDes_Gift1
303	npc_10503	5	20000	Relationship_Name_5	Relationship_Des_5	item103010111016;item103010111017;item103010111018	item106210100009	item103010131001,36	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	2	0,24,100	BondNameDes3_npc_10503	BondDes3_npc_10503
304	npc_10503	6	40000	Relationship_Name_6	Relationship_Des_6	item103010111016;item103010111017;item103010111018	item106210100009	item107999900002,54	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_Gift2	BondDes_Gift2
305	npc_10503	7	80000	Relationship_Name_7	Relationship_Des_7	item103010111016;item103010111017;item103010111018	item106210100009	item101040101015,200	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,24,125	BondNameDes4_npc_10503	BondDes4_npc_10503
306	npc_10503	8	140000	Relationship_Name_8	Relationship_Des_8	item103010111016;item103010111017;item103010111018	item106210100009	item107300000001,130	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_None	BondDes_None
307	npc_10503	9	220000	Relationship_Name_9	Relationship_Des_9	item103010111016;item103010111017;item103010111018	item106210100009	item107300000002,64	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,24,150	BondNameDes5_npc_10503	BondDes5_npc_10503
308	npc_10503	10	320000	Relationship_Name_10	Relationship_Des_10	item103010111016;item103010111017;item103010111018	item106210100009	item107300000002,100	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,33,200	BondNameDes6_npc_10503	BondDes6_npc_10503
309	npc_10508	0	0				item106210100009					3000	0			
310	npc_10508	1	500	Relationship_Name_1	Relationship_Des_1	item103010111006;item103010111007;item103010111008	item106210100009	item107999900001,9	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	3000	2	0,25,50	BondNameDes1_npc_10508	BondDes1_npc_10508
311	npc_10508	2	2000	Relationship_Name_2	Relationship_Des_2	item103010111006;item103010111007;item103010111008	item106210100009	item1000,1000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	0		BondNameDes_Hello	BondDes_Hello
312	npc_10508	3	4000	Relationship_Name_3	Relationship_Des_3	item103010111006;item103010111007;item103010111008	item106210100009	item103010131001,8	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	2	0,25,75	BondNameDes2_npc_10508	BondDes2_npc_10508
313	npc_10508	4	10000	Relationship_Name_4	Relationship_Des_4	item103010111006;item103010111007;item103010111008	item106210100009	item107999900001,59	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	0		BondNameDes_Gift1	BondDes_Gift1
314	npc_10508	5	20000	Relationship_Name_5	Relationship_Des_5	item103010111006;item103010111007;item103010111008	item106210100009	item8103010111018,8	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	2	0,25,100	BondNameDes3_npc_10508	BondDes3_npc_10508
315	npc_10508	6	40000	Relationship_Name_6	Relationship_Des_6	item103010111006;item103010111007;item103010111008	item106210100009	item1000,16000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_Gift2	BondDes_Gift2
316	npc_10508	7	80000	Relationship_Name_7	Relationship_Des_7	item103010111006;item103010111007;item103010111008	item106210100009	item103010131001,80	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,25,125	BondNameDes4_npc_10508	BondDes4_npc_10508
317	npc_10508	8	140000	Relationship_Name_8	Relationship_Des_8	item103010111006;item103010111007;item103010111008	item106210100009	item107999900002,87	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_None	BondDes_None
318	npc_10508	9	220000	Relationship_Name_9	Relationship_Des_9	item103010111006;item103010111007;item103010111008	item106210100009	item107999900002,107	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,25,150	BondNameDes5_npc_10508	BondDes5_npc_10508
319	npc_10508	10	320000	Relationship_Name_10	Relationship_Des_10	item103010111006;item103010111007;item103010111008	item106210100009	item8103010111019,5	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,34,200	BondNameDes6_npc_10508	BondDes6_npc_10508
320	npc_10509	0	0				item106210100017					3000	0			
321	npc_10509	1	500	Relationship_Name_1	Relationship_Des_1	item103010111006;item103010111007;item103010111008	item106210100017	item8103010121003,10	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	3000	2	0,22,50	BondNameDes1_npc_10509	BondDes1_npc_10509
322	npc_10509	2	2000	Relationship_Name_2	Relationship_Des_2	item103010111006;item103010111007;item103010111008	item106210100017	item8170000120010,20	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	0		BondNameDes_Hello	BondDes_Hello
323	npc_10509	3	4000	Relationship_Name_3	Relationship_Des_3	item103010111006;item103010111007;item103010111008	item106210100017	item8103010121004,10	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	3000	2	0,22,75	BondNameDes2_npc_10509	BondDes2_npc_10509
324	npc_10509	4	10000	Relationship_Name_4	Relationship_Des_4	item103010111006;item103010111007;item103010111008	item106210100017	item8170000120010,70	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	0		BondNameDes_Gift1	BondDes_Gift1
325	npc_10509	5	20000	Relationship_Name_5	Relationship_Des_5	item103010111006;item103010111007;item103010111008	item106210100017	item107200042001,45	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	6000	2	0,22,100	BondNameDes3_npc_10509	BondDes3_npc_10509
326	npc_10509	6	40000	Relationship_Name_6	Relationship_Des_6	item103010111006;item103010111007;item103010111008	item106210100017	item8103010111019,2	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_Gift2	BondDes_Gift2
327	npc_10509	7	80000	Relationship_Name_7	Relationship_Des_7	item103010111006;item103010111007;item103010111008	item106210100017	item107300000002,40	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,22,125	BondNameDes4_npc_10509	BondDes4_npc_10509
328	npc_10509	8	140000	Relationship_Name_8	Relationship_Des_8	item103010111006;item103010111007;item103010111008	item106210100017	item101040101015,260	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	0		BondNameDes_None	BondDes_None
329	npc_10509	9	220000	Relationship_Name_9	Relationship_Des_9	item103010111006;item103010111007;item103010111008	item106210100017	item8103010121005,40	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,22,150	BondNameDes5_npc_10509	BondDes5_npc_10509
330	npc_10509	10	320000	Relationship_Name_10	Relationship_Des_10	item103010111006;item103010111007;item103010111008	item106210100017	item8103010111019,5	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	12000	2	0,31,200	BondNameDes6_npc_10509	BondDes6_npc_10509
331	npc_10190	0	0				item106210100015					2000	0			
332	npc_10190	1	500	Relationship_Name_1	Relationship_Des_1	item170000104010;item170000104020;item170000104030	item106210100015	item1000,500000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	0	2000	2	0,22,25	BondNameDes1_npc_10190	BondDes1_npc_10190
333	npc_10190	2	1000	Relationship_Name_2	Relationship_Des_2	item170000104010;item170000104020;item170000104030	item106210100015	item107999900001,9	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	2000	0		BondNameDes_Hello	BondDes_Hello
334	npc_10190	3	2000	Relationship_Name_3	Relationship_Des_3	item170000104010;item170000104020;item170000104030	item106210100015	item1000,1000000	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	2000	2	0,22,50	BondNameDes2_npc_10190	BondDes2_npc_10190
335	npc_10190	4	5000	Relationship_Name_4	Relationship_Des_4	item170000104010;item170000104020;item170000104030	item106210100015	item107300000001,10	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	5000	0		BondNameDes_Gift1	BondDes_Gift1
336	npc_10190	5	10000	Relationship_Name_5	Relationship_Des_5	item170000104010;item170000104020;item170000104030	item106210100015	item8103010121004,15	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	50	5000	2	0,22,75	BondNameDes3_npc_10190	BondDes3_npc_10190
337	npc_10190	6	20000	Relationship_Name_6	Relationship_Des_6	item170000104010;item170000104020;item170000104030	item106210100015	item107200043001,12	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes_Gift2	BondDes_Gift2
338	npc_10190	7	40000	Relationship_Name_7	Relationship_Des_7	item170000104010;item170000104020;item170000104030	item106210100015	item107999900002,34	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	2	0,22,100	BondNameDes4_npc_10190	BondDes4_npc_10190
339	npc_10190	8	70000	Relationship_Name_8	Relationship_Des_8	item170000104010;item170000104020;item170000104030	item106210100015	item8103010121004,70	GoodThankDes_1000,BetterThankDes_1000,BestThankDes_1000	1	100	10000	0		BondNameDes_None	BondDes_None
