升级前武器ID	升级后武器ID	星光武器阶段	升级所需玩家等级限制	职业ID	主界面展示模型	男角色佩戴展示模型（高模）	男角色佩戴展示模型（低模）	女角色佩戴展示模型（高模）	女角色佩戴展示模型（低模）	高模特效	低模特效	升级到当前级消耗道具	升级到当前级消耗货币	属性加成	buff加成
equip301100652004	equip301100653004	3	70	4	17	c008h_weapon901_t3	c008_weapon901_t3	c004h_weapon901_t3	c004_weapon901_t3	13000018	13000063	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000108	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301100653004	equip301100654004	4	75	4	18	c008h_weapon901_t4	c008_weapon901_t4	c004h_weapon901_t4	c004_weapon901_t4	13000019	13000064	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000109	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301100654004	equip301100655004	5	80	4	19	c008h_weapon901_t5	c008_weapon901_t5	c004h_weapon901_t5	c004_weapon901_t5	13000020	13000065	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000110	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301100541005	equip301100651005	1	60	5	15	c005h_weapon901_t1	c005_weapon901_t1			13000021;13000026	13000021;13000026	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000111	buff6_wp_shine::buff101_lv1
equip301100651005	equip301100652005	2	60	5	16	c005h_weapon901_t2	c005_weapon901_t2			13000022;13000027	13000022;13000027	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000112	buff6_wp_shine::buff101_lv2
equip301100652005	equip301100653005	3	70	5	17	c005h_weapon901_t3	c005_weapon901_t3			13000023;13000028	13000023;13000028	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000113	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301100653005	equip301100654005	4	75	5	18	c005h_weapon901_t4	c005_weapon901_t4			13000024;13000029	13000024;13000029	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000114	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301100654005	equip301100655005	5	80	5	19	c005h_weapon901_t5	c005_weapon901_t5			13000025;13000030	13000025;13000030	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000115	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301100541006	equip301100651006	1	60	6	15	c006h_weapon901_t1	c006_weapon901_t1			13000046;13000051	13000031;13000036	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000116	buff6_wp_shine::buff101_lv1
equip301100651006	equip301100652006	2	60	6	16	c006h_weapon901_t2	c006_weapon901_t2			13000047;13000052	13000032;13000037	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000117	buff6_wp_shine::buff101_lv2
equip301100652006	equip301100653006	3	70	6	17	c006h_weapon901_t3	c006_weapon901_t3			13000048;13000053	13000033;13000038	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000118	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301100653006	equip301100654006	4	75	6	18	c006h_weapon901_t4	c006_weapon901_t4			13000049;13000054	13000034;13000039	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000119	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301100654006	equip301100655006	5	80	6	19	c006h_weapon901_t5	c006_weapon901_t5			13000050;13000055	13000035;13000040	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000120	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301110541001	equip301110651001	1	60	1	15	c001h_weapon901_t1	c001_weapon901_t1			13000056	13000001	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000091	buff6_wp_shine::buff101_lv1
equip301110651001	equip301110652001	2	60	1	16	c001h_weapon901_t2	c001_weapon901_t2			13000057	13000002	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000092	buff6_wp_shine::buff101_lv2
equip301110652001	equip301110653001	3	70	1	17	c001h_weapon901_t3	c001_weapon901_t3			13000058	13000003	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000093	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301110653001	equip301110654001	4	75	1	18	c001h_weapon901_t4	c001_weapon901_t4			13000059	13000004	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000094	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301110654001	equip301110655001	5	80	1	19	c001h_weapon901_t5	c001_weapon901_t5			13000060	13000005	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000095	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301110541002	equip301110651002	1	60	2	15			c002h_weapon901_t1	c002_weapon901_t1	13000041;13000076;13000077;13000086	13000096;13000006;13000091	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000096	buff6_wp_shine::buff101_lv1
equip301110651002	equip301110652002	2	60	2	16			c002h_weapon901_t2	c002_weapon901_t2	13000042;13000078;13000079;13000087	13000097;13000007;13000092	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000097	buff6_wp_shine::buff101_lv2
equip301110652002	equip301110653002	3	70	2	17			c002h_weapon901_t3	c002_weapon901_t3	13000043;13000080;13000081;13000088	13000098;13000008;13000093	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000098	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301110653002	equip301110654002	4	75	2	18			c002h_weapon901_t4	c002_weapon901_t4	13000044;13000082;13000083;13000089	13000099;13000009;13000094	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000099	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301110654002	equip301110655002	5	80	2	19			c002h_weapon901_t5	c002_weapon901_t5	13000045;13000084;13000085;13000090	13000100;13000010;13000095	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000100	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301110541003	equip301110651003	1	60	3	15	c007h_weapon901_t1	c007_weapon901_t1	c003h_weapon901_t1	c003_weapon901_t1	13000011	13000071	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000101	buff6_wp_shine::buff101_lv1
equip301110651003	equip301110652003	2	60	3	16	c007h_weapon901_t2	c007_weapon901_t2	c003h_weapon901_t2	c003_weapon901_t2	13000012	13000072	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000102	buff6_wp_shine::buff101_lv2
equip301110652003	equip301110653003	3	70	3	17	c007h_weapon901_t3	c007_weapon901_t3	c003h_weapon901_t3	c003_weapon901_t3	13000013	13000073	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000103	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301110653003	equip301110654003	4	75	3	18	c007h_weapon901_t4	c007_weapon901_t4	c003h_weapon901_t4	c003_weapon901_t4	13000014	13000074	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000104	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301110654003	equip301110655003	5	80	3	19	c007h_weapon901_t5	c007_weapon901_t5	c003h_weapon901_t5	c003_weapon901_t5	13000015	13000075	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000105	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301110541004	equip301110651004	1	60	4	15	c008h_weapon901_t1	c008_weapon901_t1	c004h_weapon901_t1	c004_weapon901_t1	13000016	13000061	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000106	buff6_wp_shine::buff101_lv1
equip301110651004	equip301110652004	2	60	4	16	c008h_weapon901_t2	c008_weapon901_t2	c004h_weapon901_t2	c004_weapon901_t2	13000017	13000062	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000107	buff6_wp_shine::buff101_lv2
equip301110652004	equip301110653004	3	70	4	17	c008h_weapon901_t3	c008_weapon901_t3	c004h_weapon901_t3	c004_weapon901_t3	13000018	13000063	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000108	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301110653004	equip301110654004	4	75	4	18	c008h_weapon901_t4	c008_weapon901_t4	c004h_weapon901_t4	c004_weapon901_t4	13000019	13000064	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000109	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301110654004	equip301110655004	5	80	4	19	c008h_weapon901_t5	c008_weapon901_t5	c004h_weapon901_t5	c004_weapon901_t5	13000020	13000065	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000110	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301110541005	equip301110651005	1	60	5	15	c005h_weapon901_t1	c005_weapon901_t1			13000021;13000026	13000021;13000026	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000111	buff6_wp_shine::buff101_lv1
equip301110651005	equip301110652005	2	60	5	16	c005h_weapon901_t2	c005_weapon901_t2			13000022;13000027	13000022;13000027	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000112	buff6_wp_shine::buff101_lv2
equip301110652005	equip301110653005	3	70	5	17	c005h_weapon901_t3	c005_weapon901_t3			13000023;13000028	13000023;13000028	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000113	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301110653005	equip301110654005	4	75	5	18	c005h_weapon901_t4	c005_weapon901_t4			13000024;13000029	13000024;13000029	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000114	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301110654005	equip301110655005	5	80	5	19	c005h_weapon901_t5	c005_weapon901_t5			13000025;13000030	13000025;13000030	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000115	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301110541006	equip301110651006	1	60	6	15	c006h_weapon901_t1	c006_weapon901_t1			13000046;13000051	13000031;13000036	item102020060003,20;item103015110401,50;item103015110302,100;item103015110303,100	1,50000000	1410000116	buff6_wp_shine::buff101_lv1
equip301110651006	equip301110652006	2	60	6	16	c006h_weapon901_t2	c006_weapon901_t2			13000047;13000052	13000032;13000037	item102020060003,4;item103015110401,24;item103015110302,30;item103015110303,30	1,25000000	1410000117	buff6_wp_shine::buff101_lv2
equip301110652006	equip301110653006	3	70	6	17	c006h_weapon901_t3	c006_weapon901_t3			13000048;13000053	13000033;13000038	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,35000000	1410000118	buff6_wp_shine::buff101_lv3;buff6_wp_shine::buff100_lv1
equip301110653006	equip301110654006	4	75	6	18	c006h_weapon901_t4	c006_weapon901_t4			13000049;13000054	13000034;13000039	item102020060003,6;item103015110401,32;item103015110415,20;item103015110416,20	1,50000000	1410000119	buff6_wp_shine::buff101_lv4;buff6_wp_shine::buff100_lv2
equip301110654006	equip301110655006	5	80	6	19	c006h_weapon901_t5	c006_weapon901_t5			13000050;13000055	13000035;13000040	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,65000000	1410000120	buff6_wp_shine::buff101_lv5;buff6_wp_shine::buff100_lv3
equip301040655001	equip301040656001	6	85	1	23	c001h_weapon901_t6	c001_weapon901_t6			13000102	13000101	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000121	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301040655002	equip301040656002	6	85	2	23			c002h_weapon901_t6	c002_weapon901_t6	13000106;13000107;13000108;13000109	13000103;13000104;13000105	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000122	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301040655003	equip301040656003	6	85	3	23	c007h_weapon901_t6	c007_weapon901_t6	c003h_weapon901_t6	c003_weapon901_t6	13000111	13000110	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000123	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301040655004	equip301040656004	6	85	4	23	c008h_weapon901_t6	c008_weapon901_t6	c004h_weapon901_t6	c004_weapon901_t6	13000113	13000112	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000124	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301040655005	equip301040656005	6	85	5	23	c005h_weapon901_t6	c005_weapon901_t6			13000115;13000114	13000115;13000114	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000125	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301040655006	equip301040656006	6	85	6	23	c006h_weapon901_t6	c006_weapon901_t6			13000119;13000118	13000117;13000116	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000126	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301050655001	equip301050656001	6	85	1	23	c001h_weapon901_t6	c001_weapon901_t6			13000102	13000101	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000127	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301050655002	equip301050656002	6	85	2	23			c002h_weapon901_t6	c002_weapon901_t6	13000106;13000107;13000108;13000109	13000103;13000104;13000105	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000128	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301050655003	equip301050656003	6	85	3	23	c007h_weapon901_t6	c007_weapon901_t6	c003h_weapon901_t6	c003_weapon901_t6	13000111	13000110	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000129	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301050655004	equip301050656004	6	85	4	23	c008h_weapon901_t6	c008_weapon901_t6	c004h_weapon901_t6	c004_weapon901_t6	13000113	13000112	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000130	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301050655005	equip301050656005	6	85	5	23	c005h_weapon901_t6	c005_weapon901_t6			13000115;13000114	13000115;13000114	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000131	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301050655006	equip301050656006	6	85	6	23	c006h_weapon901_t6	c006_weapon901_t6			13000119;13000118	13000117;13000116	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000132	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301060655001	equip301060656001	6	85	1	23	c001h_weapon901_t6	c001_weapon901_t6			13000102	13000101	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000133	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301060655002	equip301060656002	6	85	2	23			c002h_weapon901_t6	c002_weapon901_t6	13000106;13000107;13000108;13000109	13000103;13000104;13000105	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000134	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301060655003	equip301060656003	6	85	3	23	c007h_weapon901_t6	c007_weapon901_t6	c003h_weapon901_t6	c003_weapon901_t6	13000111	13000110	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000135	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301060655004	equip301060656004	6	85	4	23	c008h_weapon901_t6	c008_weapon901_t6	c004h_weapon901_t6	c004_weapon901_t6	13000113	13000112	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000136	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301060655005	equip301060656005	6	85	5	23	c005h_weapon901_t6	c005_weapon901_t6			13000115;13000114	13000115;13000114	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000137	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301060655006	equip301060656006	6	85	6	23	c006h_weapon901_t6	c006_weapon901_t6			13000119;13000118	13000117;13000116	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000138	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301070655001	equip301070656001	6	85	1	23	c001h_weapon901_t6	c001_weapon901_t6			13000102	13000101	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000139	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301070655002	equip301070656002	6	85	2	23			c002h_weapon901_t6	c002_weapon901_t6	13000106;13000107;13000108;13000109	13000103;13000104;13000105	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000140	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301070655003	equip301070656003	6	85	3	23	c007h_weapon901_t6	c007_weapon901_t6	c003h_weapon901_t6	c003_weapon901_t6	13000111	13000110	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000141	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301070655004	equip301070656004	6	85	4	23	c008h_weapon901_t6	c008_weapon901_t6	c004h_weapon901_t6	c004_weapon901_t6	13000113	13000112	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000142	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301070655005	equip301070656005	6	85	5	23	c005h_weapon901_t6	c005_weapon901_t6			13000115;13000114	13000115;13000114	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000143	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301070655006	equip301070656006	6	85	6	23	c006h_weapon901_t6	c006_weapon901_t6			13000119;13000118	13000117;13000116	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000144	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301080655001	equip301080656001	6	85	1	23	c001h_weapon901_t6	c001_weapon901_t6			13000102	13000101	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000145	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301080655002	equip301080656002	6	85	2	23			c002h_weapon901_t6	c002_weapon901_t6	13000106;13000107;13000108;13000109	13000103;13000104;13000105	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000146	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301080655003	equip301080656003	6	85	3	23	c007h_weapon901_t6	c007_weapon901_t6	c003h_weapon901_t6	c003_weapon901_t6	13000111	13000110	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000147	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301080655004	equip301080656004	6	85	4	23	c008h_weapon901_t6	c008_weapon901_t6	c004h_weapon901_t6	c004_weapon901_t6	13000113	13000112	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000148	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301080655005	equip301080656005	6	85	5	23	c005h_weapon901_t6	c005_weapon901_t6			13000115;13000114	13000115;13000114	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000149	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301080655006	equip301080656006	6	85	6	23	c006h_weapon901_t6	c006_weapon901_t6			13000119;13000118	13000117;13000116	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000150	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301090655001	equip301090656001	6	85	1	23	c001h_weapon901_t6	c001_weapon901_t6			13000102	13000101	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000151	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301090655002	equip301090656002	6	85	2	23			c002h_weapon901_t6	c002_weapon901_t6	13000106;13000107;13000108;13000109	13000103;13000104;13000105	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000152	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301090655003	equip301090656003	6	85	3	23	c007h_weapon901_t6	c007_weapon901_t6	c003h_weapon901_t6	c003_weapon901_t6	13000111	13000110	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000153	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301090655004	equip301090656004	6	85	4	23	c008h_weapon901_t6	c008_weapon901_t6	c004h_weapon901_t6	c004_weapon901_t6	13000113	13000112	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000154	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301090655005	equip301090656005	6	85	5	23	c005h_weapon901_t6	c005_weapon901_t6			13000115;13000114	13000115;13000114	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000155	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301090655006	equip301090656006	6	85	6	23	c006h_weapon901_t6	c006_weapon901_t6			13000119;13000118	13000117;13000116	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000156	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301100655001	equip301100656001	6	85	1	23	c001h_weapon901_t6	c001_weapon901_t6			13000102	13000101	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000157	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301100655002	equip301100656002	6	85	2	23			c002h_weapon901_t6	c002_weapon901_t6	13000106;13000107;13000108;13000109	13000103;13000104;13000105	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000158	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301100655003	equip301100656003	6	85	3	23	c007h_weapon901_t6	c007_weapon901_t6	c003h_weapon901_t6	c003_weapon901_t6	13000111	13000110	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000159	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301100655004	equip301100656004	6	85	4	23	c008h_weapon901_t6	c008_weapon901_t6	c004h_weapon901_t6	c004_weapon901_t6	13000113	13000112	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000160	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301100655005	equip301100656005	6	85	5	23	c005h_weapon901_t6	c005_weapon901_t6			13000115;13000114	13000115;13000114	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000161	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301100655006	equip301100656006	6	85	6	23	c006h_weapon901_t6	c006_weapon901_t6			13000119;13000118	13000117;13000116	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000162	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301110655001	equip301110656001	6	85	1	23	c001h_weapon901_t6	c001_weapon901_t6			13000102	13000101	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000157	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301110655002	equip301110656002	6	85	2	23			c002h_weapon901_t6	c002_weapon901_t6	13000106;13000107;13000108;13000109	13000103;13000104;13000105	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000158	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301110655003	equip301110656003	6	85	3	23	c007h_weapon901_t6	c007_weapon901_t6	c003h_weapon901_t6	c003_weapon901_t6	13000111	13000110	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000159	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301110655004	equip301110656004	6	85	4	23	c008h_weapon901_t6	c008_weapon901_t6	c004h_weapon901_t6	c004_weapon901_t6	13000113	13000112	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000160	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301110655005	equip301110656005	6	85	5	23	c005h_weapon901_t6	c005_weapon901_t6			13000115;13000114	13000115;13000114	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000161	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
equip301110655006	equip301110656006	6	85	6	23	c006h_weapon901_t6	c006_weapon901_t6			13000119;13000118	13000117;13000116	item102020060003,8;item103015110401,36;item103015110415,22;item103015110416,22	1,80000000	1410000162	buff6_wp_shine::buff101_lv6;buff6_wp_shine::buff100_lv4
