流水	技能ID	技能大类	技能层级	技能icon	技能名称	技能描述	技能类型	等级	升级消耗	加成内容	解锁条件
455	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	25	item1041,4000	dg_bf445_1_sail::buff_5;25	
456	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	26	item1041,6000	dg_bf445_1_sail::buff_5;26	
457	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	27	item1041,6000	dg_bf445_1_sail::buff_5;27	
458	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	28	item1041,6000	dg_bf445_1_sail::buff_5;28	
459	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	29	item1041,6000	dg_bf445_1_sail::buff_5;29	
460	20128	2	5	skill_1305	SailBuffName_20128	SkillDesSpecial_Sail	16	30	item1041,6000	dg_bf445_1_sail::buff_5;30	
461	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	1	item1041,1000	dg_bf445_1_sail::buff_6;1	20116,4;20117,4;20118,4;20119,4;20120,4;20121,4;20122,4;20123,4
462	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	2	item1041,1000	dg_bf445_1_sail::buff_6;2	
463	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	3	item1041,1000	dg_bf445_1_sail::buff_6;3	
464	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	4	item1041,1000	dg_bf445_1_sail::buff_6;4	
465	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	5	item1041,1500	dg_bf445_1_sail::buff_6;5	
466	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	6	item1041,1500	dg_bf445_1_sail::buff_6;6	
467	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	7	item1041,1500	dg_bf445_1_sail::buff_6;7	
468	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	8	item1041,1500	dg_bf445_1_sail::buff_6;8	
469	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	9	item1041,1500	dg_bf445_1_sail::buff_6;9	
470	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	10	item1041,1500	dg_bf445_1_sail::buff_6;10	
471	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	11	item1041,2000	dg_bf445_1_sail::buff_6;11	
472	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	12	item1041,2000	dg_bf445_1_sail::buff_6;12	
473	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	13	item1041,2000	dg_bf445_1_sail::buff_6;13	
474	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	14	item1041,2000	dg_bf445_1_sail::buff_6;14	
475	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	15	item1041,2000	dg_bf445_1_sail::buff_6;15	
476	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	16	item1041,3000	dg_bf445_1_sail::buff_6;16	
477	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	17	item1041,3000	dg_bf445_1_sail::buff_6;17	
478	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	18	item1041,3000	dg_bf445_1_sail::buff_6;18	
479	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	19	item1041,3000	dg_bf445_1_sail::buff_6;19	
480	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	20	item1041,3000	dg_bf445_1_sail::buff_6;20	
481	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	21	item1041,4000	dg_bf445_1_sail::buff_6;21	
482	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	22	item1041,4000	dg_bf445_1_sail::buff_6;22	
483	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	23	item1041,4000	dg_bf445_1_sail::buff_6;23	
484	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	24	item1041,4000	dg_bf445_1_sail::buff_6;24	
485	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	25	item1041,4000	dg_bf445_1_sail::buff_6;25	
486	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	26	item1041,6000	dg_bf445_1_sail::buff_6;26	
487	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	27	item1041,6000	dg_bf445_1_sail::buff_6;27	
488	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	28	item1041,6000	dg_bf445_1_sail::buff_6;28	
489	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	29	item1041,6000	dg_bf445_1_sail::buff_6;29	
490	20129	2	5	skill_402401_1	SailBuffName_20129	SkillDesSpecial_Sail	16	30	item1041,6000	dg_bf445_1_sail::buff_6;30	
