流水id	技能宝石升级属性类型	等级	镶嵌属性	升级至次级所需经验	重置所需材料
2402	305	22	4,9;1,89;23,30;26,30	800	item17908000000001,1
2403	305	23	4,10;1,96;23,32;26,32	800	item17908000000001,1
2404	305	24	4,11;1,103;23,35;26,35	800	item17908000000001,1
2405	305	25	4,11;1,110;23,37;26,37	2500	item17908000000001,1
2406	305	26	4,12;1,118;23,40;26,40	2500	item17908000000001,1
2407	305	27	4,13;1,126;23,42;26,42	2500	item17908000000001,1
2408	305	28	4,14;1,134;23,45;26,45	2500	item17908000000001,1
2409	305	29	4,15;1,142;23,48;26,48	2500	item17908000000001,1
2410	305	30	4,15;1,150;23,50;26,50	7000	item17908000000001,1
2411	305	31	4,16;1,159;23,53;26,53	7000	item17908000000001,1
2412	305	32	4,17;1,168;23,56;26,56	7000	item17908000000001,1
2413	305	33	4,18;1,177;23,59;26,59	7000	item17908000000001,1
2414	305	34	4,19;1,186;23,62;26,62	7000	item17908000000001,1
2415	305	35	4,20;1,195;23,65;26,65	15000	item17908000000001,1
2416	305	36	4,21;1,205;23,69;26,69	15000	item17908000000001,1
2417	305	37	4,22;1,215;23,72;26,72	15000	item17908000000001,1
2418	305	38	4,23;1,225;23,75;26,75	15000	item17908000000001,1
2419	305	39	4,24;1,235;23,79;26,79	15000	item17908000000001,1
2420	305	40	4,25;1,245;23,82;26,82	7500	item17908000000001,1
2421	305	41	4,26;1,256;23,86;26,86	7500	item17908000000001,1
2422	305	42	4,27;1,267;23,89;26,89	7500	item17908000000001,1
2423	305	43	4,28;1,278;23,93;26,93	7500	item17908000000001,1
2424	305	44	4,29;1,289;23,97;26,97	7500	item17908000000001,1
2425	305	45	4,30;1,300;23,100;26,100	16500	item17908000000001,1
2426	305	46	4,32;1,312;23,104;26,104	16500	item17908000000001,1
2427	305	47	4,33;1,324;23,108;26,108	16500	item17908000000001,1
2428	305	48	4,34;1,336;23,112;26,112	16500	item17908000000001,1
2429	305	49	4,35;1,348;23,116;26,116	16500	item17908000000001,1
2430	305	50	4,36;1,360;23,120;26,120	25500	item17908000000001,1
2431	305	51	4,38;1,373;23,125;26,125	25500	item17908000000001,1
2432	305	52	4,39;1,386;23,129;26,129	25500	item17908000000001,1
2433	305	53	4,40;1,399;23,133;26,133	25500	item17908000000001,1
2434	305	54	4,42;1,412;23,138;26,138	25500	item17908000000001,1
2435	305	55	4,43;1,425;23,142;26,142	34000	item17908000000001,1
2436	305	56	4,44;1,440;23,147;26,147	34000	item17908000000001,1
2437	305	57	4,46;1,455;23,152;26,152	34000	item17908000000001,1
2438	305	58	4,47;1,470;23,157;26,157	34000	item17908000000001,1
2439	305	59	4,49;1,485;23,162;26,162	34000	item17908000000001,1
2440	305	60	4,50;1,500;23,167;26,167	21000	item17908000000001,1
2441	305	61	4,52;1,516;23,172;26,172	21000	item17908000000001,1
2442	305	62	4,54;1,532;23,178;26,178	21000	item17908000000001,1
2443	305	63	4,55;1,548;23,183;26,183	21000	item17908000000001,1
2444	305	64	4,57;1,564;23,188;26,188	21000	item17908000000001,1
2445	305	65	4,58;1,580;23,194;26,194	38500	item17908000000001,1
2446	305	66	4,60;1,597;23,199;26,199	38500	item17908000000001,1
2447	305	67	4,62;1,614;23,205;26,205	38500	item17908000000001,1
2448	305	68	4,64;1,631;23,211;26,211	38500	item17908000000001,1
2449	305	69	4,65;1,648;23,216;26,216	38500	item17908000000001,1
2450	305	70	4,67;1,665;23,222;26,222	55500	item17908000000001,1
2451	305	71	4,69;1,683;23,228;26,228	55500	item17908000000001,1
2452	305	72	4,71;1,701;23,234;26,234	55500	item17908000000001,1
2453	305	73	4,72;1,719;23,240;26,240	55500	item17908000000001,1
2454	305	74	4,74;1,737;23,246;26,246	55500	item17908000000001,1
2455	305	75	4,76;1,755;23,252;26,252	72500	item17908000000001,1
2456	305	76	4,78;1,774;23,258;26,258	72500	item17908000000001,1
2457	305	77	4,80;1,793;23,265;26,265	72500	item17908000000001,1
2458	305	78	4,82;1,812;23,271;26,271	72500	item17908000000001,1
2459	305	79	4,84;1,831;23,277;26,277	72500	item17908000000001,1
2460	305	80	4,85;1,850;23,284;26,284	45000	item17908000000001,1
2461	305	81	4,87;1,870;23,290;26,290	45000	item17908000000001,1
2462	305	82	4,89;1,890;23,297;26,297	45000	item17908000000001,1
2463	305	83	4,91;1,910;23,304;26,304	45000	item17908000000001,1
2464	305	84	4,93;1,930;23,310;26,310	45000	item17908000000001,1
2465	305	85	4,95;1,950;23,317;26,317	82500	item17908000000001,1
2466	305	86	4,98;1,972;23,324;26,324	82500	item17908000000001,1
2467	305	87	4,100;1,994;23,332;26,332	82500	item17908000000001,1
2468	305	88	4,102;1,1016;23,339;26,339	82500	item17908000000001,1
2469	305	89	4,104;1,1038;23,346;26,346	82500	item17908000000001,1
2470	305	90	4,106;1,1060;23,354;26,354	120000	item17908000000001,1
2471	305	91	4,109;1,1082;23,361;26,361	120000	item17908000000001,1
2472	305	92	4,111;1,1104;23,368;26,368	120000	item17908000000001,1
2473	305	93	4,113;1,1126;23,376;26,376	120000	item17908000000001,1
2474	305	94	4,115;1,1148;23,383;26,383	120000	item17908000000001,1
2475	305	95	4,117;1,1170;23,390;26,390	157500	item17908000000001,1
2476	305	96	4,120;1,1193;23,398;26,398	157500	item17908000000001,1
2477	305	97	4,122;1,1216;23,406;26,406	157500	item17908000000001,1
2478	305	98	4,124;1,1239;23,413;26,413	157500	item17908000000001,1
2479	305	99	4,127;1,1262;23,421;26,421	157500	item17908000000001,1
2480	305	100	4,129;1,1285;23,429;26,429	97500	item17908000000001,1
2481	305	101	4,131;1,1310;23,437;26,437	97500	item17908000000001,1
2482	305	102	4,134;1,1335;23,445;26,445	97500	item17908000000001,1
2483	305	103	4,136;1,1360;23,454;26,454	97500	item17908000000001,1
2484	305	104	4,139;1,1385;23,462;26,462	97500	item17908000000001,1
2485	305	105	4,141;1,1410;23,470;26,470	163500	item17908000000001,1
2486	305	106	4,144;1,1436;23,479;26,479	163500	item17908000000001,1
2487	305	107	4,147;1,1462;23,488;26,488	163500	item17908000000001,1
2488	305	108	4,149;1,1488;23,496;26,496	163500	item17908000000001,1
2489	305	109	4,152;1,1514;23,505;26,505	163500	item17908000000001,1
2490	305	110	4,154;1,1540;23,514;26,514	229500	item17908000000001,1
2491	305	111	4,157;1,1567;23,523;26,523	229500	item17908000000001,1
2492	305	112	4,160;1,1594;23,532;26,532	229500	item17908000000001,1
2493	305	113	4,163;1,1621;23,541;26,541	229500	item17908000000001,1
2494	305	114	4,165;1,1648;23,550;26,550	229500	item17908000000001,1
2495	305	115	4,168;1,1675;23,559;26,559	295000	item17908000000001,1
2496	305	116	4,171;1,1703;23,568;26,568	295000	item17908000000001,1
2497	305	117	4,174;1,1731;23,577;26,577	295000	item17908000000001,1
2498	305	118	4,176;1,1759;23,587;26,587	295000	item17908000000001,1
2499	305	119	4,179;1,1787;23,596;26,596	295000	item17908000000001,1
2500	305	120	4,182;1,1815;23,605;26,605	180000	item17908000000001,1
2501	305	121	4,185;1,1844;23,615;26,615	180000	item17908000000001,1
2502	305	122	4,188;1,1873;23,625;26,625	180000	item17908000000001,1
2503	305	123	4,191;1,1902;23,634;26,634	180000	item17908000000001,1
2504	305	124	4,194;1,1931;23,644;26,644	180000	item17908000000001,1
2505	305	125	4,196;1,1960;23,654;26,654	280000	item17908000000001,1
2506	305	126	4,199;1,1990;23,664;26,664	280000	item17908000000001,1
2507	305	127	4,202;1,2020;23,674;26,674	280000	item17908000000001,1
2508	305	128	4,205;1,2050;23,684;26,684	280000	item17908000000001,1
2509	305	129	4,208;1,2080;23,694;26,694	280000	item17908000000001,1
2510	305	130	4,211;1,2110;23,704;26,704	380000	item17908000000001,1
2511	305	131	4,215;1,2142;23,714;26,714	380000	item17908000000001,1
2512	305	132	4,218;1,2174;23,725;26,725	380000	item17908000000001,1
2513	305	133	4,221;1,2206;23,736;26,736	380000	item17908000000001,1
2514	305	134	4,224;1,2238;23,746;26,746	380000	item17908000000001,1
2515	305	135	4,227;1,2270;23,757;26,757	480000	item17908000000001,1
2516	305	136	4,231;1,2303;23,768;26,768	480000	item17908000000001,1
2517	305	137	4,234;1,2336;23,779;26,779	480000	item17908000000001,1
2518	305	138	4,237;1,2369;23,790;26,790	480000	item17908000000001,1
2519	305	139	4,241;1,2402;23,801;26,801	480000	item17908000000001,1
2520	305	140	4,244;1,2435;23,812;26,812	0	item17908000000001,1
2521	405	1	4,1;1,2;23,1;26,1	200	item17908000000001,1
2522	405	2	4,1;1,4;23,2;26,2	200	item17908000000001,1
2523	405	3	4,1;1,6;23,2;26,2	200	item17908000000001,1
2524	405	4	4,1;1,8;23,3;26,3	200	item17908000000001,1
2525	405	5	4,1;1,10;23,4;26,4	600	item17908000000001,1
2526	405	6	4,2;1,14;23,5;26,5	600	item17908000000001,1
2527	405	7	4,2;1,18;23,6;26,6	600	item17908000000001,1
2528	405	8	4,3;1,22;23,8;26,8	600	item17908000000001,1
2529	405	9	4,3;1,26;23,9;26,9	600	item17908000000001,1
2530	405	10	4,3;1,30;23,10;26,10	1000	item17908000000001,1
2531	405	11	4,4;1,35;23,12;26,12	1000	item17908000000001,1
2532	405	12	4,4;1,40;23,14;26,14	1000	item17908000000001,1
2533	405	13	4,5;1,45;23,15;26,15	1000	item17908000000001,1
2534	405	14	4,5;1,50;23,17;26,17	1000	item17908000000001,1
2535	405	15	4,6;1,55;23,19;26,19	2000	item17908000000001,1
2536	405	16	4,7;1,61;23,21;26,21	2000	item17908000000001,1
2537	405	17	4,7;1,67;23,23;26,23	2000	item17908000000001,1
2538	405	18	4,8;1,73;23,25;26,25	2000	item17908000000001,1
2539	405	19	4,8;1,79;23,27;26,27	2000	item17908000000001,1
2540	405	20	4,9;1,85;23,29;26,29	800	item17908000000001,1
2541	405	21	4,10;1,93;23,31;26,31	800	item17908000000001,1
2542	405	22	4,11;1,101;23,34;26,34	800	item17908000000001,1
2543	405	23	4,11;1,109;23,37;26,37	800	item17908000000001,1
2544	405	24	4,12;1,117;23,39;26,39	800	item17908000000001,1
2545	405	25	4,13;1,125;23,42;26,42	2500	item17908000000001,1
2546	405	26	4,14;1,134;23,45;26,45	2500	item17908000000001,1
2547	405	27	4,15;1,143;23,48;26,48	2500	item17908000000001,1
2548	405	28	4,16;1,152;23,51;26,51	2500	item17908000000001,1
2549	405	29	4,17;1,161;23,54;26,54	2500	item17908000000001,1
2550	405	30	4,17;1,170;23,57;26,57	7000	item17908000000001,1
2551	405	31	4,18;1,180;23,60;26,60	7000	item17908000000001,1
2552	405	32	4,19;1,190;23,64;26,64	7000	item17908000000001,1
2553	405	33	4,20;1,200;23,67;26,67	7000	item17908000000001,1
2554	405	34	4,21;1,210;23,70;26,70	7000	item17908000000001,1
2555	405	35	4,22;1,220;23,74;26,74	15000	item17908000000001,1
2556	405	36	4,24;1,232;23,78;26,78	15000	item17908000000001,1
2557	405	37	4,25;1,244;23,82;26,82	15000	item17908000000001,1
2558	405	38	4,26;1,256;23,86;26,86	15000	item17908000000001,1
2559	405	39	4,27;1,268;23,90;26,90	15000	item17908000000001,1
2560	405	40	4,28;1,280;23,94;26,94	7500	item17908000000001,1
2561	405	41	4,30;1,293;23,98;26,98	7500	item17908000000001,1
2562	405	42	4,31;1,306;23,102;26,102	7500	item17908000000001,1
2563	405	43	4,32;1,319;23,107;26,107	7500	item17908000000001,1
2564	405	44	4,34;1,332;23,111;26,111	7500	item17908000000001,1
2565	405	45	4,35;1,345;23,115;26,115	16500	item17908000000001,1
2566	405	46	4,36;1,359;23,120;26,120	16500	item17908000000001,1
2567	405	47	4,38;1,373;23,125;26,125	16500	item17908000000001,1
2568	405	48	4,39;1,387;23,129;26,129	16500	item17908000000001,1
2569	405	49	4,41;1,401;23,134;26,134	16500	item17908000000001,1
2570	405	50	4,42;1,415;23,139;26,139	25500	item17908000000001,1
2571	405	51	4,44;1,431;23,144;26,144	25500	item17908000000001,1
2572	405	52	4,45;1,447;23,149;26,149	25500	item17908000000001,1
2573	405	53	4,47;1,463;23,155;26,155	25500	item17908000000001,1
2574	405	54	4,48;1,479;23,160;26,160	25500	item17908000000001,1
2575	405	55	4,50;1,495;23,165;26,165	34000	item17908000000001,1
2576	405	56	4,52;1,512;23,171;26,171	34000	item17908000000001,1
2577	405	57	4,53;1,529;23,177;26,177	34000	item17908000000001,1
2578	405	58	4,55;1,546;23,182;26,182	34000	item17908000000001,1
2579	405	59	4,57;1,563;23,188;26,188	34000	item17908000000001,1
2580	405	60	4,58;1,580;23,194;26,194	21000	item17908000000001,1
2581	405	61	4,60;1,598;23,200;26,200	21000	item17908000000001,1
2582	405	62	4,62;1,616;23,206;26,206	21000	item17908000000001,1
2583	405	63	4,64;1,634;23,212;26,212	21000	item17908000000001,1
2584	405	64	4,66;1,652;23,218;26,218	21000	item17908000000001,1
2585	405	65	4,67;1,670;23,224;26,224	38500	item17908000000001,1
2586	405	66	4,69;1,689;23,230;26,230	38500	item17908000000001,1
2587	405	67	4,71;1,708;23,236;26,236	38500	item17908000000001,1
2588	405	68	4,73;1,727;23,243;26,243	38500	item17908000000001,1
2589	405	69	4,75;1,746;23,249;26,249	38500	item17908000000001,1
2590	405	70	4,77;1,765;23,255;26,255	55500	item17908000000001,1
2591	405	71	4,79;1,786;23,262;26,262	55500	item17908000000001,1
2592	405	72	4,81;1,807;23,269;26,269	55500	item17908000000001,1
2593	405	73	4,83;1,828;23,276;26,276	55500	item17908000000001,1
2594	405	74	4,85;1,849;23,283;26,283	55500	item17908000000001,1
2595	405	75	4,87;1,870;23,290;26,290	72500	item17908000000001,1
2596	405	76	4,90;1,892;23,298;26,298	72500	item17908000000001,1
2597	405	77	4,92;1,914;23,305;26,305	72500	item17908000000001,1
2598	405	78	4,94;1,936;23,312;26,312	72500	item17908000000001,1
2599	405	79	4,96;1,958;23,320;26,320	72500	item17908000000001,1
2600	405	80	4,98;1,980;23,327;26,327	45000	item17908000000001,1
2601	405	81	4,101;1,1004;23,335;26,335	45000	item17908000000001,1
2602	405	82	4,103;1,1028;23,343;26,343	45000	item17908000000001,1
2603	405	83	4,106;1,1052;23,351;26,351	45000	item17908000000001,1
2604	405	84	4,108;1,1076;23,359;26,359	45000	item17908000000001,1
2605	405	85	4,110;1,1100;23,367;26,367	82500	item17908000000001,1
2606	405	86	4,113;1,1125;23,375;26,375	82500	item17908000000001,1
2607	405	87	4,115;1,1150;23,384;26,384	82500	item17908000000001,1
2608	405	88	4,118;1,1175;23,392;26,392	82500	item17908000000001,1
2609	405	89	4,120;1,1200;23,400;26,400	82500	item17908000000001,1
2610	405	90	4,123;1,1225;23,409;26,409	120000	item17908000000001,1
2611	405	91	4,126;1,1251;23,417;26,417	120000	item17908000000001,1
2612	405	92	4,128;1,1277;23,426;26,426	120000	item17908000000001,1
2613	405	93	4,131;1,1303;23,435;26,435	120000	item17908000000001,1
2614	405	94	4,133;1,1329;23,443;26,443	120000	item17908000000001,1
2615	405	95	4,136;1,1355;23,452;26,452	157500	item17908000000001,1
2616	405	96	4,139;1,1382;23,461;26,461	157500	item17908000000001,1
2617	405	97	4,141;1,1409;23,470;26,470	157500	item17908000000001,1
2618	405	98	4,144;1,1436;23,479;26,479	157500	item17908000000001,1
2619	405	99	4,147;1,1463;23,488;26,488	157500	item17908000000001,1
2620	405	100	4,149;1,1490;23,497;26,497	97500	item17908000000001,1
2621	405	101	4,152;1,1519;23,507;26,507	97500	item17908000000001,1
2622	405	102	4,155;1,1548;23,516;26,516	97500	item17908000000001,1
2623	405	103	4,158;1,1577;23,526;26,526	97500	item17908000000001,1
2624	405	104	4,161;1,1606;23,536;26,536	97500	item17908000000001,1
2625	405	105	4,164;1,1635;23,545;26,545	163500	item17908000000001,1
2626	405	106	4,167;1,1665;23,555;26,555	163500	item17908000000001,1
2627	405	107	4,170;1,1695;23,565;26,565	163500	item17908000000001,1
2628	405	108	4,173;1,1725;23,575;26,575	163500	item17908000000001,1
2629	405	109	4,176;1,1755;23,585;26,585	163500	item17908000000001,1
2630	405	110	4,179;1,1785;23,595;26,595	229500	item17908000000001,1
2631	405	111	4,182;1,1817;23,606;26,606	229500	item17908000000001,1
2632	405	112	4,185;1,1849;23,617;26,617	229500	item17908000000001,1
2633	405	113	4,189;1,1881;23,627;26,627	229500	item17908000000001,1
2634	405	114	4,192;1,1913;23,638;26,638	229500	item17908000000001,1
2635	405	115	4,195;1,1945;23,649;26,649	295000	item17908000000001,1
2636	405	116	4,198;1,1977;23,659;26,659	295000	item17908000000001,1
2637	405	117	4,201;1,2009;23,670;26,670	295000	item17908000000001,1
2638	405	118	4,205;1,2041;23,681;26,681	295000	item17908000000001,1
2639	405	119	4,208;1,2073;23,691;26,691	295000	item17908000000001,1
2640	405	120	4,211;1,2105;23,702;26,702	180000	item17908000000001,1
2641	405	121	4,214;1,2139;23,713;26,713	180000	item17908000000001,1
2642	405	122	4,218;1,2173;23,725;26,725	180000	item17908000000001,1
2643	405	123	4,221;1,2207;23,736;26,736	180000	item17908000000001,1
2644	405	124	4,225;1,2241;23,747;26,747	180000	item17908000000001,1
2645	405	125	4,228;1,2275;23,759;26,759	280000	item17908000000001,1
2646	405	126	4,231;1,2310;23,770;26,770	280000	item17908000000001,1
2647	405	127	4,235;1,2345;23,782;26,782	280000	item17908000000001,1
2648	405	128	4,238;1,2380;23,794;26,794	280000	item17908000000001,1
2649	405	129	4,242;1,2415;23,805;26,805	280000	item17908000000001,1
2650	405	130	4,245;1,2450;23,817;26,817	380000	item17908000000001,1
2651	405	131	4,249;1,2487;23,829;26,829	380000	item17908000000001,1
2652	405	132	4,253;1,2524;23,842;26,842	380000	item17908000000001,1
2653	405	133	4,257;1,2561;23,854;26,854	380000	item17908000000001,1
2654	405	134	4,260;1,2598;23,866;26,866	380000	item17908000000001,1
2655	405	135	4,264;1,2635;23,879;26,879	480000	item17908000000001,1
2656	405	136	4,268;1,2673;23,891;26,891	480000	item17908000000001,1
2657	405	137	4,272;1,2711;23,904;26,904	480000	item17908000000001,1
2658	405	138	4,275;1,2749;23,917;26,917	480000	item17908000000001,1
2659	405	139	4,279;1,2787;23,929;26,929	480000	item17908000000001,1
2660	405	140	4,283;1,2825;23,942;26,942	0	item17908000000001,1
2661	505	1	4,1;1,3;23,1;26,1	200	item17908000000001,1
2662	505	2	4,1;1,6;23,2;26,2	200	item17908000000001,1
2663	505	3	4,1;1,9;23,3;26,3	200	item17908000000001,1
2664	505	4	4,2;1,12;23,4;26,4	200	item17908000000001,1
2665	505	5	4,2;1,15;23,5;26,5	600	item17908000000001,1
2666	505	6	4,2;1,19;23,7;26,7	600	item17908000000001,1
2667	505	7	4,3;1,23;23,8;26,8	600	item17908000000001,1
2668	505	8	4,3;1,27;23,9;26,9	600	item17908000000001,1
2669	505	9	4,4;1,31;23,11;26,11	600	item17908000000001,1
2670	505	10	4,4;1,35;23,12;26,12	1000	item17908000000001,1
2671	505	11	4,5;1,41;23,14;26,14	1000	item17908000000001,1
2672	505	12	4,5;1,47;23,16;26,16	1000	item17908000000001,1
2673	505	13	4,6;1,53;23,18;26,18	1000	item17908000000001,1
2674	505	14	4,6;1,59;23,20;26,20	1000	item17908000000001,1
2675	505	15	4,7;1,65;23,22;26,22	2000	item17908000000001,1
2676	505	16	4,8;1,72;23,24;26,24	2000	item17908000000001,1
2677	505	17	4,8;1,79;23,27;26,27	2000	item17908000000001,1
2678	505	18	4,9;1,86;23,29;26,29	2000	item17908000000001,1
2679	505	19	4,10;1,93;23,31;26,31	2000	item17908000000001,1
2680	505	20	4,10;1,100;23,34;26,34	800	item17908000000001,1
2681	505	21	4,11;1,109;23,37;26,37	800	item17908000000001,1
2682	505	22	4,12;1,118;23,40;26,40	800	item17908000000001,1
2683	505	23	4,13;1,127;23,43;26,43	800	item17908000000001,1
2684	505	24	4,14;1,136;23,46;26,46	800	item17908000000001,1
2685	505	25	4,15;1,145;23,49;26,49	2500	item17908000000001,1
2686	505	26	4,16;1,155;23,52;26,52	2500	item17908000000001,1
2687	505	27	4,17;1,165;23,55;26,55	2500	item17908000000001,1
2688	505	28	4,18;1,175;23,59;26,59	2500	item17908000000001,1
2689	505	29	4,19;1,185;23,62;26,62	2500	item17908000000001,1
2690	505	30	4,20;1,195;23,65;26,65	7000	item17908000000001,1
2691	505	31	4,21;1,207;23,69;26,69	7000	item17908000000001,1
2692	505	32	4,22;1,219;23,73;26,73	7000	item17908000000001,1
2693	505	33	4,24;1,231;23,77;26,77	7000	item17908000000001,1
2694	505	34	4,25;1,243;23,81;26,81	7000	item17908000000001,1
2695	505	35	4,26;1,255;23,85;26,85	15000	item17908000000001,1
2696	505	36	4,27;1,269;23,90;26,90	15000	item17908000000001,1
2697	505	37	4,29;1,283;23,95;26,95	15000	item17908000000001,1
2698	505	38	4,30;1,297;23,99;26,99	15000	item17908000000001,1
2699	505	39	4,32;1,311;23,104;26,104	15000	item17908000000001,1
2700	505	40	4,33;1,325;23,109;26,109	7500	item17908000000001,1
2701	505	41	4,34;1,339;23,113;26,113	7500	item17908000000001,1
2702	505	42	4,36;1,353;23,118;26,118	7500	item17908000000001,1
2703	505	43	4,37;1,367;23,123;26,123	7500	item17908000000001,1
2704	505	44	4,39;1,381;23,127;26,127	7500	item17908000000001,1
2705	505	45	4,40;1,395;23,132;26,132	16500	item17908000000001,1
2706	505	46	4,42;1,411;23,137;26,137	16500	item17908000000001,1
2707	505	47	4,43;1,427;23,143;26,143	16500	item17908000000001,1
2708	505	48	4,45;1,443;23,148;26,148	16500	item17908000000001,1
2709	505	49	4,46;1,459;23,153;26,153	16500	item17908000000001,1
2710	505	50	4,48;1,475;23,159;26,159	25500	item17908000000001,1
2711	505	51	4,50;1,493;23,165;26,165	25500	item17908000000001,1
2712	505	52	4,52;1,511;23,171;26,171	25500	item17908000000001,1
2713	505	53	4,53;1,529;23,177;26,177	25500	item17908000000001,1
2714	505	54	4,55;1,547;23,183;26,183	25500	item17908000000001,1
2715	505	55	4,57;1,565;23,189;26,189	34000	item17908000000001,1
2716	505	56	4,59;1,584;23,195;26,195	34000	item17908000000001,1
2717	505	57	4,61;1,603;23,201;26,201	34000	item17908000000001,1
2718	505	58	4,63;1,622;23,208;26,208	34000	item17908000000001,1
2719	505	59	4,65;1,641;23,214;26,214	34000	item17908000000001,1
2720	505	60	4,66;1,660;23,220;26,220	21000	item17908000000001,1
2721	505	61	4,69;1,681;23,227;26,227	21000	item17908000000001,1
2722	505	62	4,71;1,702;23,234;26,234	21000	item17908000000001,1
2723	505	63	4,73;1,723;23,241;26,241	21000	item17908000000001,1
2724	505	64	4,75;1,744;23,248;26,248	21000	item17908000000001,1
2725	505	65	4,77;1,765;23,255;26,255	38500	item17908000000001,1
2726	505	66	4,79;1,787;23,263;26,263	38500	item17908000000001,1
2727	505	67	4,81;1,809;23,270;26,270	38500	item17908000000001,1
2728	505	68	4,84;1,831;23,277;26,277	38500	item17908000000001,1
2729	505	69	4,86;1,853;23,285;26,285	38500	item17908000000001,1
2730	505	70	4,88;1,875;23,292;26,292	55500	item17908000000001,1
2731	505	71	4,90;1,899;23,300;26,300	55500	item17908000000001,1
2732	505	72	4,93;1,923;23,308;26,308	55500	item17908000000001,1
2733	505	73	4,95;1,947;23,316;26,316	55500	item17908000000001,1
2734	505	74	4,98;1,971;23,324;26,324	55500	item17908000000001,1
2735	505	75	4,100;1,995;23,332;26,332	72500	item17908000000001,1
2736	505	76	4,102;1,1020;23,340;26,340	72500	item17908000000001,1
2737	505	77	4,105;1,1045;23,349;26,349	72500	item17908000000001,1
2738	505	78	4,107;1,1070;23,357;26,357	72500	item17908000000001,1
2739	505	79	4,110;1,1095;23,365;26,365	72500	item17908000000001,1
2740	505	80	4,112;1,1120;23,374;26,374	45000	item17908000000001,1
2741	505	81	4,115;1,1147;23,383;26,383	45000	item17908000000001,1
2742	505	82	4,118;1,1174;23,392;26,392	45000	item17908000000001,1
2743	505	83	4,121;1,1201;23,401;26,401	45000	item17908000000001,1
2744	505	84	4,123;1,1228;23,410;26,410	45000	item17908000000001,1
2745	505	85	4,126;1,1255;23,419;26,419	82500	item17908000000001,1
2746	505	86	4,129;1,1284;23,428;26,428	82500	item17908000000001,1
2747	505	87	4,132;1,1313;23,438;26,438	82500	item17908000000001,1
2748	505	88	4,135;1,1342;23,448;26,448	82500	item17908000000001,1
2749	505	89	4,138;1,1371;23,457;26,457	82500	item17908000000001,1
2750	505	90	4,140;1,1400;23,467;26,467	120000	item17908000000001,1
2751	505	91	4,143;1,1429;23,477;26,477	120000	item17908000000001,1
2752	505	92	4,146;1,1458;23,486;26,486	120000	item17908000000001,1
2753	505	93	4,149;1,1487;23,496;26,496	120000	item17908000000001,1
2754	505	94	4,152;1,1516;23,506;26,506	120000	item17908000000001,1
2755	505	95	4,155;1,1545;23,515;26,515	157500	item17908000000001,1
2756	505	96	4,158;1,1576;23,526;26,526	157500	item17908000000001,1
2757	505	97	4,161;1,1607;23,536;26,536	157500	item17908000000001,1
2758	505	98	4,164;1,1638;23,546;26,546	157500	item17908000000001,1
2759	505	99	4,167;1,1669;23,557;26,557	157500	item17908000000001,1
2760	505	100	4,170;1,1700;23,567;26,567	97500	item17908000000001,1
2761	505	101	4,174;1,1733;23,578;26,578	97500	item17908000000001,1
2762	505	102	4,177;1,1766;23,589;26,589	97500	item17908000000001,1
2763	505	103	4,180;1,1799;23,600;26,600	97500	item17908000000001,1
2764	505	104	4,184;1,1832;23,611;26,611	97500	item17908000000001,1
2765	505	105	4,187;1,1865;23,622;26,622	163500	item17908000000001,1
2766	505	106	4,190;1,1899;23,633;26,633	163500	item17908000000001,1
2767	505	107	4,194;1,1933;23,645;26,645	163500	item17908000000001,1
2768	505	108	4,197;1,1967;23,656;26,656	163500	item17908000000001,1
2769	505	109	4,201;1,2001;23,667;26,667	163500	item17908000000001,1
2770	505	110	4,204;1,2035;23,679;26,679	229500	item17908000000001,1
2771	505	111	4,208;1,2071;23,691;26,691	229500	item17908000000001,1
2772	505	112	4,211;1,2107;23,703;26,703	229500	item17908000000001,1
2773	505	113	4,215;1,2143;23,715;26,715	229500	item17908000000001,1
2774	505	114	4,218;1,2179;23,727;26,727	229500	item17908000000001,1
2775	505	115	4,222;1,2215;23,739;26,739	295000	item17908000000001,1
2776	505	116	4,226;1,2252;23,751;26,751	295000	item17908000000001,1
2777	505	117	4,229;1,2289;23,763;26,763	295000	item17908000000001,1
2778	505	118	4,233;1,2326;23,776;26,776	295000	item17908000000001,1
2779	505	119	4,237;1,2363;23,788;26,788	295000	item17908000000001,1
2780	505	120	4,240;1,2400;23,800;26,800	180000	item17908000000001,1
2781	505	121	4,244;1,2439;23,813;26,813	180000	item17908000000001,1
2782	505	122	4,248;1,2478;23,826;26,826	180000	item17908000000001,1
2783	505	123	4,252;1,2517;23,839;26,839	180000	item17908000000001,1
2784	505	124	4,256;1,2556;23,852;26,852	180000	item17908000000001,1
2785	505	125	4,260;1,2595;23,865;26,865	280000	item17908000000001,1
2786	505	126	4,264;1,2635;23,879;26,879	280000	item17908000000001,1
2787	505	127	4,268;1,2675;23,892;26,892	280000	item17908000000001,1
2788	505	128	4,272;1,2715;23,905;26,905	280000	item17908000000001,1
2789	505	129	4,276;1,2755;23,919;26,919	280000	item17908000000001,1
2790	505	130	4,280;1,2795;23,932;26,932	380000	item17908000000001,1
2791	505	131	4,284;1,2837;23,946;26,946	380000	item17908000000001,1
2792	505	132	4,288;1,2879;23,960;26,960	380000	item17908000000001,1
2793	505	133	4,293;1,2921;23,974;26,974	380000	item17908000000001,1
2794	505	134	4,297;1,2963;23,988;26,988	380000	item17908000000001,1
2795	505	135	4,301;1,3005;23,1002;26,1002	480000	item17908000000001,1
