称号id(非流水)	称号类型	称号品质	对应ItemID	称号名	称号描述	称号获取方式描述	称号收集属性	称号装备属性	称号持续时间	对应的公会职位ID	地区渠道号
1440	1	4	item141000001422	TitleName_100001422	TitleDes_100001422	TitleWay_100001422	1,50,3,10	1,100	-1	0	5
1441	1	4	item141000001423	TitleName_100001423	TitleDes_100001422	TitleWay_100001422	1,50,3,10	1,100	-1	0	5
1442	1	4	item141000001424	TitleName_100001424	TitleDes_100001422	TitleWay_100001422	1,50,3,10	1,100	-1	0	5
1443	1	4	item141000001425	TitleName_100001425	TitleDes_100001422	TitleWay_100001422	1,50,3,10	1,100	-1	0	5
1444	1	4	item141000001426	TitleName_100001426	TitleDes_100001422	TitleWay_100001422	1,50,3,10	1,100	-1	0	5
1445	1	4	item141000001427	TitleName_100001427	TitleDes_100001422	TitleWay_100001422	1,50,3,10	1,100	-1	0	5
1446	1	4	item141000001428	TitleName_100001428	TitleDes_100001422	TitleWay_100001422	1,50,3,10	1,100	-1	0	5
1447	1	4	item141000001429	TitleName_100001429	TitleDes_100001422	TitleWay_100001422	1,50,3,10	1,100	-1	0	5
1448	1	4	item141000001430	TitleName_100001430	TitleDes_100001422	TitleWay_100001422	1,50,3,10	1,100	-1	0	5
1449	1	4	item141000001431	TitleName_100001431	TitleDes_100001422	TitleWay_100001422	1,50,3,10	1,100	-1	0	5
1450	1	4	item141000001432	TitleName_100001432	TitleDes_100001422	TitleWay_100001422	1,50,3,10	1,100	-1	0	5
1451	1	4	item141000001433	TitleName_100001433	TitleDes_100001422	TitleWay_100001422	1,50,3,10	1,100	-1	0	5
1452	1	4	item141000001434	TitleName_100001434	TitleDes_100001422	TitleWay_100001422	1,50,3,10	1,100	-1	0	5
1453	1	3	item141000002132	TitleName_100002132	TitleDes_100002132	TitleWay_100002132	3,5	3,20	-1	0	
1454	1	5	item141000002133	TitleName_100002133	TitleDes_100002133	TitleWay_100002133	1,125,3,8,4,8	30,50,32,50	-1	0	1
1455	1	4	item141000002134	TitleName_100002134	TitleDes_100002134	TitleWay_100002134	1,100,3,5	21,50,23,50	-1	0	1
1456	1	2	item141000002135	TitleName_100002135	TitleDes_100002135	TitleWay_100002135	1,50	1,100	-1	0	1
1457	1	5	item91000002029	TitleName_10002029	TitleDes_10002029	TitleWay_10002029	1,200,3,20,4,20	30,200,3,40	-1	0	1
1458	1	5	item91000002030	TitleName_10002030	TitleDes_10002030	TitleWay_10002030	1,50,3,10,4,10	23,50,25,50	-1	0	1
1459	1	5	item91000002031	TitleName_10002031	TitleDes_10002031	TitleWay_10002031	1,50,3,10,4,10	23,50,25,50	-1	0	1
1460	1	5	item91000002032	TitleName_10002032	TitleDes_10002032	TitleWay_10002032	1,50,3,10,4,10	23,50,25,50	-1	0	1
1461	1	5	item91000002033	TitleName_10002033	TitleDes_10002033	TitleWay_10002033	1,50,3,10,4,10	23,50,25,50	-1	0	1
1462	1	5	item91000002034	TitleName_10002034	TitleDes_10002034	TitleWay_10002034	1,50,3,10,4,10	23,50,25,50	-1	0	1
1463	1	5	item91000002035	TitleName_10002035	TitleDes_10002035	TitleWay_10002035	1,50,3,10,4,10	23,50,25,50	-1	0	1
1464	4	4	item141000002136	TitleName_100002136	TitleDes_100002136	TitleWay_100002136	1,50,3,10	3,20,23,20	-1	0	
1465	1	5	item141000002137	TitleName_100002137	TitleDes_100002137	TitleWay_100002137	12,50,32,50,34,50	51,100,52,50	-1	0	
1466	1	5	item91000002060	TitleName_10002060	TitleDes_10002060	TitleWay_10002060	1,200,3,20,4,20	30,200,3,40	-1	0	1
1467	1	4	item91000002061	TitleName_10002061	TitleDes_10002061	TitleWay_10002061	3,15,4,15	30,150,3,30	-1	0	1
1468	1	4	item141000001435	ItemName_141000001435	TitleDes_10001402	TitleWay_10001402	3,15,4,15	30,150,3,30	-1	0	5
1469	1	4	item141000001436	ItemName_141000001436	TitleDes_10001402	TitleWay_10001402	3,15,4,15	30,150,3,30	-1	0	5
1470	1	4	item141000001437	ItemName_141000001437	TitleDes_10001402	TitleWay_10001402	3,15,4,15	30,150,3,30	-1	0	5
1471	1	4	item141000001438	ItemName_141000001438	TitleDes_10001402	TitleWay_10001402	3,15,4,15	30,150,3,30	-1	0	5
1472	1	4	item141000001439	ItemName_141000001439	TitleDes_10001402	TitleWay_10001402	3,15,4,15	30,150,3,30	-1	0	5
1473	1	4	item141000001440	ItemName_141000001440	TitleDes_10001402	TitleWay_10001402	3,15,4,15	30,150,3,30	-1	0	5
1474	1	4	item141000001441	ItemName_141000001441	TitleDes_10001402	TitleWay_10001402	3,15,4,15	30,150,3,30	-1	0	5
1475	1	5	item141000001442	ItemName_141000001442	TitleDes_10001402	TitleWay_10001402	1,200,3,20,4,20	30,200,3,40	-1	0	5
1476	1	5	item141000001443	ItemName_141000001443	TitleDes_10001402	TitleWay_10001402	1,200,3,20,4,20	30,200,3,40	-1	0	5
1477	1	5	item141000001444	ItemName_141000001444	TitleDes_10001402	TitleWay_10001402	1,200,3,20,4,20	30,200,3,40	-1	0	5
1478	1	4	item141000001445	ItemName_141000001445	TitleDes_10001445	TitleWay_10001445	3,15,4,15	30,150,3,30	-1	0	
1479	1	4	item91000001902	ItemName_91000001902	TitleDes_10001479	TitleWay_10001479	12,100,32,100	51,20,3,20	6480000	0	
1480	1	4	item141000001446	ItemName_141000001446	TitleDes_10001480	TitleWay_10001480	3,60	23,120,25,120	-1	0	
1481	1	4	item141000001447	ItemName_141000001447	TitleDes_10001481	TitleWay_10001481	3,70	23,140,25,140	-1	0	
1482	1	4	item141000001448	ItemName_141000001448	TitleDes_10001482	TitleWay_10001482	3,80	32,120,34,120	-1	0	
1483	1	4	item141000001449	ItemName_141000001449	TitleDes_10001483	TitleWay_10001483	3,100	32,140,34,140	-1	0	
1484	1	5	item141000001450	ItemName_141000001450	TitleDes_10001484	TitleWay_10001484	3,100,12,50	32,150,206,100	-1	0	
1485	5	5	item141000001451	ItemName_141000001451	TitleDes_10001485	TitleWay_10001485	11,50,30,100	52,150,185,100	-1	0	
1486	5	5	item141000001452	ItemName_141000001452	TitleDes_10001486	TitleWay_10001486	32,100,34,100	51,150,206,100	-1	0	
1487	1	4	item141000001453	ItemName_141000001453	TitleDes_10001487	TitleWay_10001487	3,20,30,15,32,10	51,20,52,10	-1	0	
1488	1	5	item141000001454	ItemName_141000001454	TitleDes_10001402	TitleWay_10001402	1,200,3,20,4,20	30,200,3,40	-1	0	5
1489	1	5	item141000001455	ItemName_141000001455	TitleDes_10001402	TitleWay_10001402	1,200,3,20,4,20	30,200,3,40	-1	0	5
1490	1	5	item141000001456	ItemName_141000001456	TitleDes_10001402	TitleWay_10001402	1,200,3,20,4,20	30,200,3,40	-1	0	5
1491	1	4	item141000001457	ItemName_141000001457	TitleDes_10001402	TitleWay_10001402	3,15,4,15	30,150,3,30	-1	0	5
1492	1	4	item141000001458	ItemName_141000001458	TitleDes_10001402	TitleWay_10001402	3,15,4,15	30,150,3,30	-1	0	5
1493	1	4	item141000001459	ItemName_141000001459	TitleDes_10001402	TitleWay_10001402	3,15,4,15	30,150,3,30	-1	0	5
1494	1	4	item141000001460	ItemName_141000001460	TitleDes_10001402	TitleWay_10001402	3,15,4,15	30,150,3,30	-1	0	5
1495	1	4	item141000001461	ItemName_141000001461	TitleDes_10001402	TitleWay_10001402	3,15,4,15	30,150,3,30	-1	0	5
1496	1	4	item141000001462	ItemName_141000001462	TitleDes_10001402	TitleWay_10001402	3,15,4,15	30,150,3,30	-1	0	5
1497	1	5	item141000001463	ItemName_141000001463	TitleDes_10001497	TitleWay_10001497	3,20,12,10	1,200,131,50	-1	0	1
1498	1	5	item141000001464	ItemName_141000001464	TitleDes_10001498	TitleWay_10001498	3,20,21,20	1,200,132,50	-1	0	1
1499	1	4	item141000001465	ItemName_141000001465	TitleDes_10001499	TitleWay_10001499	3,15	1,150,131,30	-1	0	1
1500	1	4	item141000001466	ItemName_141000001466	TitleDes_10001500	TitleWay_10001500	3,15	1,150,132,30	-1	0	1
1501	1	4	item141000001467	ItemName_141000001467	TitleDes_10001501	TitleWay_10001501	3,15,4,15	30,150,3,30	-1	0	1
1502	1	5	item141000001468	ItemName_141000001468	TitleDes_10001502	TitleWay_10001502	1,200,3,20,4,20	3,40,206,100	-1	0	1
1503	1	6	item141000001469	ItemName_141000001469	TitleDes_10001503	TitleWay_10001503	1,300,3,30,4,30	32,150,34,150	-1	0	1
