流水	所在章节	关卡组	关卡ID	关卡类型	难度	场景ID	关卡标题	关卡头像	头像展示缩放	头像展示位置偏移	关卡位置坐标	前置关卡	前置星数	解锁等级	下一关	触发buff评分	小怪BUFF列表	精英怪buff列表	BOSS怪BUFF列表	首通奖励	推荐评分	副本介绍	显示用关卡序号	核心关展示奖励
185	11	1103	110301	2	1	1720	EpicMissionTitle110301	m908_portrait01	1.000000	0,6,0	-480.0,-132.0	11,1102,110201		70	11,1104,110401	139000	skill40402::buff_01			item8103010121003,25;item1000,250000;item18000000000003,10	139000	EpicMissionDECEpicMissionTitle110301	MissionShow1103	
186	11	1104	110401	1	1	1721	EpicMissionTitle110401	m909_portrait01	1.200000	0,14,0	-173.0,-214.0	11,1103,110301		70	11,1105,110501	145000	skill40402::buff_01			item1014,50;item8106210200001,8;item18000000000003,5	145000	EpicMissionDECEpicMissionTitle110401	MissionShow1104	item1014,50
187	11	1104	110402	1	2	1773	EpicMissionTitle110402	m909_portrait01	1.200000	0,14,0	-173.0,-214.0	11,1104,110401	11,10	70	11,1107,110702	525000	skill40402::buff_01			item1014,50;item18000000000011,2;item8103010111018,6	525000	EpicMissionDECEpicMissionTitle110402	MissionShow1104	item18000000000011,2
188	11	1104	110403	1	3	1774	EpicMissionTitle110403	m909_portrait01	1.200000	0,14,0	-173.0,-214.0	11,1104,110402	11,14	75	11,1107,110703	840000	skill40402::buff_01			item1014,60;item200000800014,2;item18000000000011,4	840000	EpicMissionDECEpicMissionTitle110403	MissionShow1104	item18000000000011,4
189	11	1105	110501	2	1	1722	EpicMissionTitle110501	m025_portrait03	1.000000	0,10,0	-74.0,-46.0	11,1104,110401		70	11,1106,110601	147000	skill40402::buff_01			item8103010121003,25;item1000,250000;item18000000000003,10	147000	EpicMissionDECEpicMissionTitle110501	MissionShow1105	
190	11	1106	110601	2	1	1723	EpicMissionTitle110601	m026_portrait01	1.000000	0,10,0	-139.0,168.0	11,1105,110501		70	11,1107,110701	149000	skill40402::buff_01			item8103010121003,25;item1000,250000;item18000000000003,10	149000	EpicMissionDECEpicMissionTitle110601	MissionShow1106	
191	11	1107	110701	1	1	1724	EpicMissionTitle110701	m911_portrait01	1.200000	0,16,0	164.0,242.0	11,1106,110601		70	11,1108,110801	157000	skill40402::buff_01			item1014,50;item1000,250000;item18000000000003,10	157000	EpicMissionDECEpicMissionTitle110701	MissionShow1107	item1014,50
192	11	1107	110702	1	2	1775	EpicMissionTitle110702	m911_portrait01	1.200000	0,16,0	164.0,242.0	11,1107,110701	11,10	70	11,1110,111002	537000	skill40402::buff_01			item1014,50;item18000000000011,2;item8103010111018,6	537000	EpicMissionDECEpicMissionTitle110702	MissionShow1107	item18000000000011,2
193	11	1107	110703	1	3	1776	EpicMissionTitle110703	m911_portrait01	1.200000	0,16,0	164.0,242.0	11,1107,110702	11,14	75	11,1110,111003	870000	skill40402::buff_01			item1014,60;item200000800014,2;item18000000000011,4	870000	EpicMissionDECEpicMissionTitle110703	MissionShow1107	item18000000000011,4
194	11	1108	110801	2	1	1725	EpicMissionTitle110801	m027_portrait01	1.000000	0,10,0	180.0,5.0	11,1107,110701		70	11,1109,110901	159000	skill40402::buff_01			item8103010121003,25;item1000,250000;item18000000000003,10	159000	EpicMissionDECEpicMissionTitle110801	MissionShow1108	
195	11	1109	110901	2	1	1726	EpicMissionTitle110901	m912_portrait01	1.000000	0,6,0	336.0,-137.0	11,1108,110801		70	11,1110,111001	161000		skill40402::buff_02		item8103010121003,25;item1000,250000;item18000000000003,10	161000	EpicMissionDECEpicMissionTitle110901	MissionShow1109	
196	11	1110	111001	1	1	1727	EpicMissionTitle111001	b001_portrait01	1.200000	0,16,0	504.0,118.0	11,1109,110901		70	11,1101,110102	170000			skill40402::buff_03	item1014,100;item8106210200001,9;item18000000000003,5	170000	EpicMissionDECEpicMissionTitle111001	MissionShow1110	item1014,100
197	11	1110	111002	1	2	1777	EpicMissionTitle111002	b001_portrait01	1.200000	0,16,0	504.0,118.0	11,1110,111001	11,10	70	11,1101,110103	550000			skill40402::buff_03	item1014,100;item18000000000011,4;item8103010111018,6	550000	EpicMissionDECEpicMissionTitle111002	MissionShow1110	item18000000000011,4
198	11	1110	111003	1	3	1778	EpicMissionTitle111003	b001_portrait01	1.200000	0,16,0	504.0,118.0	11,1110,111002	11,14	75		900000			skill40402::buff_03	item1014,120;item200000800015,2;item18000000000011,8	900000	EpicMissionDECEpicMissionTitle111003	MissionShow1110	item18000000000011,8
199	12	1201	120101	1	1	1731	EpicMissionTitle120101	m028_portrait10	1.200000	0,16,0	-466.0,187.0			70	12,1202,120201	145000		skill40402::buff_02		item1014,50;item1000,300000;item105000000032,8	145000	EpicMissionDECEpicMissionTitle120101	MissionShow1201	item1014,50
200	12	1201	120102	1	2	1779	EpicMissionTitle120102	m028_portrait10	1.200000	0,16,0	-466.0,187.0	12,1201,120101	12,10	70	12,1204,120402	575000		skill40402::buff_02		item1014,50;item105000000033,3;item8103010111018,7	575000	EpicMissionDECEpicMissionTitle120102	MissionShow1201	item105000000033,3
201	12	1201	120103	1	3	1780	EpicMissionTitle120103	m028_portrait10	1.200000	0,16,0	-466.0,187.0	12,1201,120102	12,14	75	12,1204,120403	910000		skill40402::buff_02		item1014,60;item200000800013,3;item105000000033,6	910000	EpicMissionDECEpicMissionTitle120103	MissionShow1201	item105000000033,6
202	12	1202	120201	2	1	1732	EpicMissionTitle120201	m029_portrait01	1.000000	4,10,0	-566.0,-45.0	12,1201,120101		70	12,1203,120301	147000	skill40402::buff_01			item8103010121003,30;item1000,300000;item105000000032,8	147000	EpicMissionDECEpicMissionTitle120201	MissionShow1202	
203	12	1203	120301	2	1	1733	EpicMissionTitle120301	m916_portrait05	1.000000	0,6,0	-407.0,-216.0	12,1202,120201		70	12,1204,120401	149000	skill40402::buff_01	skill40402::buff_02		item8103010121003,30;item1000,300000;item105000000032,8	149000	EpicMissionDECEpicMissionTitle120301	MissionShow1203	
204	12	1204	120401	1	1	1734	EpicMissionTitle120401	m917_portrait04	1.200000	0,16,0	-276.0,3.0	12,1203,120301		70	12,1205,120501	155000	skill40402::buff_01	skill40402::buff_02		item1014,50;item8106210200001,9;item105000000032,12	155000	EpicMissionDECEpicMissionTitle120401	MissionShow1204	item1014,50
205	12	1204	120402	1	2	1781	EpicMissionTitle120402	m917_portrait04	1.200000	0,16,0	-276.0,3.0	12,1204,120401	12,10	70	12,1207,120702	585000	skill40402::buff_01	skill40402::buff_02		item1014,50;item105000000033,3;item8103010111018,7	585000	EpicMissionDECEpicMissionTitle120402	MissionShow1204	item105000000033,3
206	12	1204	120403	1	3	1782	EpicMissionTitle120403	m917_portrait04	1.200000	0,16,0	-276.0,3.0	12,1204,120402	12,14	75	12,1207,120703	940000	skill40402::buff_01	skill40402::buff_02		item1014,60;item200000800014,3;item105000000033,6	940000	EpicMissionDECEpicMissionTitle120403	MissionShow1204	item105000000033,6
207	12	1205	120501	2	1	1735	EpicMissionTitle120501	m030_portrait04	1.000000	4,10,0	-88.0,-154.0	12,1204,120401		70	12,1206,120601	157000	skill40402::buff_01			item8103010121003,30;item1000,300000;item105000000032,8	157000	EpicMissionDECEpicMissionTitle120501	MissionShow1205	
208	12	1206	120601	2	1	1736	EpicMissionTitle120601	r001_portrait05	1.000000	0,10,0	42.0,45.0	12,1205,120501		70	12,1207,120701	159000	skill40402::buff_01			item8103010121003,30;item1000,300000;item105000000032,8	159000	EpicMissionDECEpicMissionTitle120601	MissionShow1206	
209	12	1207	120701	1	1	1739	EpicMissionTitle120701	m918_portrait01	1.200000	0,16,0	260.0,218.0	12,1206,120601		70	12,1208,120801	167000	skill40402::buff_01		skill40402::buff_03	item1014,50;item1000,300000;item105000000032,8	167000	EpicMissionDECEpicMissionTitle120701	MissionShow1207	item1014,50
210	12	1207	120702	1	2	1783	EpicMissionTitle120702	m918_portrait01	1.200000	0,16,0	260.0,218.0	12,1207,120701	12,10	70	12,1210,121002	597000	skill40402::buff_01		skill40402::buff_03	item1014,50;item105000000033,3;item8103010111018,7	597000	EpicMissionDECEpicMissionTitle120702	MissionShow1207	item105000000033,3
211	12	1207	120703	1	3	1784	EpicMissionTitle120703	m918_portrait01	1.200000	0,16,0	260.0,218.0	12,1207,120702	12,14	75	12,1210,121003	970000	skill40402::buff_01		skill40402::buff_03	item1014,60;item200000800014,3;item105000000033,6	970000	EpicMissionDECEpicMissionTitle120703	MissionShow1207	item105000000033,6
212	12	1208	120801	2	1	1738	EpicMissionTitle120801	m919_portrait01	1.000000	0,10,0	287.0,-8.0	12,1207,120701		70	12,1209,120901	169000	skill40402::buff_01			item8103010121003,30;item1000,300000;item105000000032,8	169000	EpicMissionDECEpicMissionTitle120801	MissionShow1208	
213	12	1209	120901	2	1	1737	EpicMissionTitle120901	b012_portrait01	1.000000	0,6,0	480.0,-130.0	12,1208,120801		70	12,1210,121001	171000	skill40402::buff_01			item8103010121003,30;item1000,300000;item105000000032,8	171000	EpicMissionDECEpicMissionTitle120901	MissionShow1209	
214	12	1210	121001	1	1	1740	EpicMissionTitle121001	b902_portrait01	1.200000	0,16,0	545.0,114.0	12,1209,120901		70	12,1201,120102	180000	skill40402::buff_01		skill40402::buff_03	item1014,100;item8106210200001,10;item105000000032,18	180000	EpicMissionDECEpicMissionTitle121001	MissionShow1210	item1014,100
215	12	1210	121002	1	2	1785	EpicMissionTitle121002	b902_portrait01	1.200000	0,16,0	545.0,114.0	12,1210,121001	12,10	70	12,1201,120103	610000	skill40402::buff_01		skill40402::buff_03	item1014,100;item105000000033,6;item8103010111018,7	610000	EpicMissionDECEpicMissionTitle121002	MissionShow1210	item105000000033,6
216	12	1210	121003	1	3	1786	EpicMissionTitle121003	b902_portrait01	1.200000	0,16,0	545.0,114.0	12,1210,121002	12,14	75		1000000	skill40402::buff_01		skill40402::buff_03	item1014,120;item200000800015,3;item105000000033,12	1000000	EpicMissionDECEpicMissionTitle121003	MissionShow1210	item105000000033,12
217	13	1301	130101	1	1	1790	EpicMissionTitle130101	m922_portrait01	1.200000	0,16,0	-378.0,199.9			80	13,1302,130201	155000			skill40402::buff_03	item1014,50;item1000,300000;item107300000002,15	155000	EpicMissionDECEpicMissionTitle130101	MissionShow1301	item1014,50
218	13	1301	130102	1	2	1833	EpicMissionTitle130102	m922_portrait01	1.200000	0,16,0	-378.0,199.9	13,1301,130101	13,10	80	13,1304,130402	635000			skill40402::buff_03	item1014,50;item107300000003,2;item8103010111018,7	635000	EpicMissionDECEpicMissionTitle130102	MissionShow1301	item107300000003,2
219	13	1301	130103	1	3	1834	EpicMissionTitle130103	m922_portrait01	1.200000	0,16,0	-378.0,199.9	13,1301,130102	13,14	85	13,1304,130403	1010000			skill40402::buff_03	item1014,60;item200000800013,4;item107300000003,4	1010000	EpicMissionDECEpicMissionTitle130103	MissionShow1301	item107300000003,4
220	13	1302	130201	2	1	1787	EpicMissionTitle130201	m002_portrait01	1.000000	0,10,0	-549.4,-12.8	13,1301,130101		80	13,1303,130301	157000	skill40402::buff_01			item8103010121003,30;item1000,300000;item107300000002,15	157000	EpicMissionDECEpicMissionTitle130201	MissionShow1302	
221	13	1303	130301	2	1	1788	EpicMissionTitle130301	m004_portrait01	1.000000	3,6,0	-377.1,-209.7	13,1302,130201		80	13,1304,130401	159000	skill40402::buff_01			item8103010121003,30;item1000,300000;item107300000002,15	159000	EpicMissionDECEpicMissionTitle130301	MissionShow1303	
222	13	1304	130401	1	1	1791	EpicMissionTitle130401	m005_portrait02	1.200000	0,16,0	-223.5,-16.7	13,1303,130301		80	13,1305,130501	165000	skill40402::buff_01	skill40402::buff_02		item1014,50;item8106210200001,9;item107300000002,20	165000	EpicMissionDECEpicMissionTitle130401	MissionShow1304	item1014,50
223	13	1304	130402	1	2	1835	EpicMissionTitle130402	m005_portrait02	1.200000	0,16,0	-223.5,-16.7	13,1304,130401	13,10	80	13,1307,130702	645000	skill40402::buff_01	skill40402::buff_02		item1014,50;item107300000003,2;item8103010111018,7	645000	EpicMissionDECEpicMissionTitle130402	MissionShow1304	item107300000003,2
224	13	1304	130403	1	3	1836	EpicMissionTitle130403	m005_portrait02	1.200000	0,16,0	-223.5,-16.7	13,1304,130402	13,14	85	13,1307,130703	1040000	skill40402::buff_01	skill40402::buff_02		item1014,60;item200000800014,4;item107300000003,4	1040000	EpicMissionDECEpicMissionTitle130403	MissionShow1304	item107300000003,4
225	13	1305	130501	2	1	1793	EpicMissionTitle130501	m007_portrait04	1.000000	0,6,0	-36.4,-156.5	13,1304,130401		80	13,1306,130601	167000		skill40402::buff_02		item8103010121003,30;item1000,300000;item107300000002,15	167000	EpicMissionDECEpicMissionTitle130501	MissionShow1305	
226	13	1306	130601	2	1	1792	EpicMissionTitle130601	m006_portrait01	1.000000	0,8,0	18.7,67.9	13,1305,130501		80	13,1307,130701	169000		skill40402::buff_02		item8103010121003,30;item1000,300000;item107300000002,15	169000	EpicMissionDECEpicMissionTitle130601	MissionShow1306	
227	13	1307	130701	1	1	1794	EpicMissionTitle130701	m920_portrait01	1.200000	0,16,0	201.8,221.5	13,1306,130601		80	13,1308,130801	177000	skill40402::buff_01		skill40402::buff_03	item1014,50;item1000,300000;item107300000002,15	177000	EpicMissionDECEpicMissionTitle130701	MissionShow1307	item1014,50
228	13	1307	130702	1	2	1837	EpicMissionTitle130702	m920_portrait01	1.200000	0,16,0	201.8,221.5	13,1307,130701	13,10	80	13,1310,131002	657000	skill40402::buff_01		skill40402::buff_03	item1014,50;item107300000003,2;item8103010111018,7	657000	EpicMissionDECEpicMissionTitle130702	MissionShow1307	item107300000003,2
229	13	1307	130703	1	3	1838	EpicMissionTitle130703	m920_portrait01	1.200000	0,16,0	201.8,221.5	13,1307,130702	13,14	85	13,1310,131003	1070000	skill40402::buff_01		skill40402::buff_03	item1014,60;item200000800014,4;item107300000003,4	1070000	EpicMissionDECEpicMissionTitle130703	MissionShow1307	item107300000003,4
230	13	1308	130801	2	1	1789	EpicMissionTitle130801	m003_portrait01	1.000000	0,6,0	249.1,-8.9	13,1307,130701		80	13,1309,130901	179000	skill40402::buff_01			item8103010121003,30;item1000,300000;item107300000002,15	179000	EpicMissionDECEpicMissionTitle130801	MissionShow1308	
231	13	1309	130901	2	1	1795	EpicMissionTitle130901	m007_portrait02	1.000000	0,6,0	408.6,-154.6	13,1308,130801		80	13,1310,131001	181000		skill40402::buff_02		item8103010121003,30;item1000,300000;item107300000002,15	181000	EpicMissionDECEpicMissionTitle130901	MissionShow1309	
232	13	1310	131001	1	1	1796	EpicMissionTitle131001	b004_portrait03	1.200000	0,16,0	526.7,92.5	13,1309,130901		80	13,1301,130102	190000			skill40402::buff_03	item1014,100;item8106210200001,10;item107300000002,30	190000	EpicMissionDECEpicMissionTitle131001	MissionShow1310	item1014,100
233	13	1310	131002	1	2	1839	EpicMissionTitle131002	b004_portrait03	1.200000	0,16,0	526.7,92.5	13,1310,131001	13,10	80	13,1301,130103	670000			skill40402::buff_03	item1014,100;item107300000003,4;item8103010111018,7	670000	EpicMissionDECEpicMissionTitle131002	MissionShow1310	item107300000003,4
234	13	1310	131003	1	3	1840	EpicMissionTitle131003	b004_portrait03	1.200000	0,16,0	526.7,92.5	13,1310,131002	13,14	85		1100000			skill40402::buff_03	item1014,120;item200000800015,4;item107300000003,8	1100000	EpicMissionDECEpicMissionTitle131003	MissionShow1310	item107300000003,8
235	14	1401	140101	1	1	1832	EpicMissionTitle140101	m905_portrait02	1.200000	0,16,0	-551.3,10.8			80	14,1402,140201	165000	skill40402::buff_01			item1014,50;item1000,350000;item105000000032,8	165000	EpicMissionDECEpicMissionTitle140101	MissionShow1401	item1014,50
236	14	1401	140102	1	2	1805	EpicMissionTitle140102	m905_portrait02	1.200000	0,16,0	-551.3,10.8	14,1401,140101	14,10	80	14,1404,140402	695000	skill40402::buff_01			item1014,50;item105000000033,4;item8103010111018,8	695000	EpicMissionDECEpicMissionTitle140102	MissionShow1401	item105000000033,4
237	14	1401	140103	1	3	1841	EpicMissionTitle140103	m905_portrait02	1.200000	0,16,0	-551.3,10.8	14,1401,140102	14,14	85	14,1404,140403	1110000	skill40402::buff_01			item1014,60;item200000800014,4;item105000000033,8	1110000	EpicMissionDECEpicMissionTitle140103	MissionShow1401	item105000000033,8
238	14	1402	140201	2	1	1797	EpicMissionTitle140201	m012_portrait02	1.000000	0,8,0	-378.0,194.9	14,1401,140101		80	14,1403,140301	167000	skill40402::buff_01			item8103010121003,35;item1000,350000;item105000000032,8	167000	EpicMissionDECEpicMissionTitle140201	MissionShow1402	
239	14	1403	140301	2	1	1798	EpicMissionTitle140301	m019_portrait01	1.000000	0,10,0	-106.3,234.3	14,1402,140201		80	14,1404,140401	169000	skill40402::buff_01			item8103010121003,35;item1000,350000;item105000000032,8	169000	EpicMissionDECEpicMissionTitle140301	MissionShow1403	
240	14	1404	140401	1	1	1804	EpicMissionTitle140401	m904_portrait04	1.200000	0,16,0	72.9,92.5	14,1403,140301		80	14,1405,140501	175000	skill40402::buff_01	skill40402::buff_02		item1014,50;item8106210200001,10;item105000000032,12	175000	EpicMissionDECEpicMissionTitle140401	MissionShow1404	item1014,50
241	14	1404	140402	1	2	1842	EpicMissionTitle140402	m904_portrait04	1.200000	0,16,0	72.9,92.5	14,1404,140401	14,10	80	14,1407,140702	705000	skill40402::buff_01	skill40402::buff_02		item1014,50;item105000000033,4;item8103010111018,8	705000	EpicMissionDECEpicMissionTitle140402	MissionShow1404	item105000000033,4
242	14	1404	140403	1	3	1843	EpicMissionTitle140403	m904_portrait04	1.200000	0,16,0	72.9,92.5	14,1404,140402	14,14	85	14,1407,140703	1140000	skill40402::buff_01	skill40402::buff_02		item1014,60;item200000800014,4;item105000000033,8	1140000	EpicMissionDECEpicMissionTitle140403	MissionShow1404	item105000000033,8
243	14	1405	140501	2	1	1799	EpicMissionTitle140501	m013_portrait01	1.000000	0,10,0	-182.1,20.7	14,1404,140401		80	14,1406,140601	177000	skill40402::buff_01			item8103010121003,35;item1000,350000;item105000000032,8	177000	EpicMissionDECEpicMissionTitle140501	MissionShow1405	
244	14	1406	140601	2	1	1803	EpicMissionTitle140601	m015_portrait01	1.000000	0,4,0	-285.5,-154.6	14,1405,140501		80	14,1407,140701	179000	skill40402::buff_01			item8103010121003,35;item1000,350000;item105000000032,8	179000	EpicMissionDECEpicMissionTitle140601	MissionShow1406	
245	14	1407	140701	1	1	1806	EpicMissionTitle140701	m906_portrait03	1.200000	0,16,0	-1.0,-180	14,1406,140601		80	14,1408,140801	187000			skill40402::buff_03	item1014,50;item1000,350000;item105000000032,8	187000	EpicMissionDECEpicMissionTitle140701	MissionShow1407	item1014,50
246	14	1407	140702	1	2	1845	EpicMissionTitle140702	m906_portrait03	1.200000	0,16,0	-1.0,-180	14,1407,140701	14,10	80	14,1410,141002	717000			skill40402::buff_03	item1014,50;item105000000033,4;item8103010111018,8	717000	EpicMissionDECEpicMissionTitle140702	MissionShow1407	item105000000033,4
247	14	1407	140703	1	3	1846	EpicMissionTitle140703	m906_portrait03	1.200000	0,16,0	-1.0,-180	14,1407,140702	14,14	85	14,1410,141003	1170000			skill40402::buff_03	item1014,60;item200000800014,4;item105000000033,8	1170000	EpicMissionDECEpicMissionTitle140703	MissionShow1407	item105000000033,8
248	14	1408	140801	2	1	1807	EpicMissionTitle140801	m907_portrait03	1.000000	0,6,0	280.6,-168.3	14,1407,140701		80	14,1409,140901	189000	skill40402::buff_01		skill40402::buff_03	item8103010121003,35;item1000,350000;item105000000032,8	189000	EpicMissionDECEpicMissionTitle140801	MissionShow1408	
249	14	1409	140901	2	1	1844	EpicMissionTitle140901	m905_portrait04	1.000000	0,6,0	322.9,44.3	14,1408,140801		80	14,1410,141001	191000		skill40402::buff_02		item8103010121003,35;item1000,350000;item105000000032,8	191000	EpicMissionDECEpicMissionTitle140901	MissionShow1409	
250	14	1410	141001	1	1	1808	EpicMissionTitle141001	b003_portrait01	1.100000	0,10,0	524.7,126.0	14,1409,140901		80	14,1401,140102	200000			skill40402::buff_03	item1014,100;item8106210200001,11;item105000000032,18	200000	EpicMissionDECEpicMissionTitle141001	MissionShow1410	item1014,100
251	14	1410	141002	1	2	1848	EpicMissionTitle141002	b003_portrait01	1.100000	0,10,0	524.7,126.0	14,1410,141001	14,10	80	14,1401,140103	730000			skill40402::buff_03	item1014,100;item105000000033,8;item8103010111018,8	730000	EpicMissionDECEpicMissionTitle141002	MissionShow1410	item105000000033,8
252	14	1410	141003	1	3	1849	EpicMissionTitle141003	b003_portrait01	1.100000	0,10,0	524.7,126.0	14,1410,141002	14,14	85		1200000			skill40402::buff_03	item1014,120;item200000800014,4;item105000000033,16	1200000	EpicMissionDECEpicMissionTitle141003	MissionShow1410	item105000000033,16
253	15	1501	150101	1	1	1809	EpicMissionTitle150101	m023_portrait01	1.200000	0,16,0	-530.0,196.0			80	15,1502,150201	175000	skill40402::buff_01			item1014,50;item1000,350000;item107300000002,15	175000	EpicMissionDECEpicMissionTitle150101	MissionShow1501	item1014,50
254	15	1501	150102	1	2	1850	EpicMissionTitle150102	m023_portrait01	1.200000	0,16,0	-530.0,196.0	15,1501,150101	15,10	80	15,1504,150402	755000	skill40402::buff_01			item1014,50;item107300000003,3;item8103010111018,8	755000	EpicMissionDECEpicMissionTitle150102	MissionShow1501	item107300000003,3
255	15	1501	150103	1	3	1861	EpicMissionTitle150103	m023_portrait01	1.200000	0,16,0	-530.0,196.0	15,1501,150102	15,14	85	15,1504,150403	1210000	skill40402::buff_01			item1014,60;item200000800015,4;item107300000003,6	1210000	EpicMissionDECEpicMissionTitle150103	MissionShow1501	item107300000003,6
256	15	1502	150201	2	1	1810	EpicMissionTitle150201	m024_portrait01	0.800000	0,4,0	-363.0,38.0	15,1501,150101		80	15,1503,150301	177000	skill40402::buff_01	skill40402::buff_02		item8103010121003,35;item1000,350000;item107300000002,15	177000	EpicMissionDECEpicMissionTitle150201	MissionShow1502	
257	15	1503	150301	2	1	1811	EpicMissionTitle150301	m908_portrait01	1.000000	0,6,0	-480.0,-132.0	15,1502,150201		80	15,1504,150401	179000	skill40402::buff_01			item8103010121003,35;item1000,350000;item107300000002,15	179000	EpicMissionDECEpicMissionTitle150301	MissionShow1503	
258	15	1504	150401	1	1	1812	EpicMissionTitle150401	m909_portrait01	1.200000	0,14,0	-173.0,-214.0	15,1503,150301		80	15,1505,150501	185000	skill40402::buff_01			item1014,50;item8106210200001,10;item107300000002,20	185000	EpicMissionDECEpicMissionTitle150401	MissionShow1504	item1014,50
259	15	1504	150402	1	2	1862	EpicMissionTitle150402	m909_portrait01	1.200000	0,14,0	-173.0,-214.0	15,1504,150401	15,10	80	15,1507,150702	765000	skill40402::buff_01			item1014,50;item107300000003,3;item8103010111018,8	765000	EpicMissionDECEpicMissionTitle150402	MissionShow1504	item107300000003,3
260	15	1504	150403	1	3	1863	EpicMissionTitle150403	m909_portrait01	1.200000	0,14,0	-173.0,-214.0	15,1504,150402	15,14	85	15,1507,150703	1240000	skill40402::buff_01			item1014,60;item200000800015,4;item107300000003,6	1240000	EpicMissionDECEpicMissionTitle150403	MissionShow1504	item107300000003,6
261	15	1505	150501	2	1	1813	EpicMissionTitle150501	m025_portrait03	1.000000	0,10,0	-74.0,-46.0	15,1504,150401		80	15,1506,150601	187000	skill40402::buff_01			item8103010121003,35;item1000,350000;item107300000002,15	187000	EpicMissionDECEpicMissionTitle150501	MissionShow1505	
262	15	1506	150601	2	1	1814	EpicMissionTitle150601	m026_portrait01	1.000000	0,10,0	-139.0,168.0	15,1505,150501		80	15,1507,150701	189000	skill40402::buff_01			item8103010121003,35;item1000,350000;item107300000002,15	189000	EpicMissionDECEpicMissionTitle150601	MissionShow1506	
263	15	1507	150701	1	1	1815	EpicMissionTitle150701	m911_portrait01	1.200000	0,16,0	164.0,242.0	15,1506,150601		80	15,1508,150801	197000	skill40402::buff_01			item1014,50;item1000,350000;item107300000002,15	197000	EpicMissionDECEpicMissionTitle150701	MissionShow1507	item1014,50
264	15	1507	150702	1	2	1864	EpicMissionTitle150702	m911_portrait01	1.200000	0,16,0	164.0,242.0	15,1507,150701	15,10	80	15,1510,151002	777000	skill40402::buff_01			item1014,50;item107300000003,3;item8103010111018,8	777000	EpicMissionDECEpicMissionTitle150702	MissionShow1507	item107300000003,3
265	15	1507	150703	1	3	1865	EpicMissionTitle150703	m911_portrait01	1.200000	0,16,0	164.0,242.0	15,1507,150702	15,14	85	15,1510,151003	1270000	skill40402::buff_01			item1014,60;item200000800015,4;item107300000003,6	1270000	EpicMissionDECEpicMissionTitle150703	MissionShow1507	item107300000003,6
266	15	1508	150801	2	1	1816	EpicMissionTitle150801	m027_portrait01	1.000000	0,10,0	180.0,5.0	15,1507,150701		80	15,1509,150901	199000	skill40402::buff_01			item8103010121003,35;item1000,350000;item107300000002,15	199000	EpicMissionDECEpicMissionTitle150801	MissionShow1508	
267	15	1509	150901	2	1	1817	EpicMissionTitle150901	m912_portrait01	1.000000	0,6,0	336.0,-137.0	15,1508,150801		80	15,1510,151001	201000		skill40402::buff_02		item8103010121003,35;item1000,350000;item107300000002,15	201000	EpicMissionDECEpicMissionTitle150901	MissionShow1509	
268	15	1510	151001	1	1	1818	EpicMissionTitle151001	b001_portrait01	1.200000	0,16,0	504.0,118.0	15,1509,150901		80	15,1501,150102	210000			skill40402::buff_03	item1014,100;item8106210200001,11;item107300000002,30	210000	EpicMissionDECEpicMissionTitle151001	MissionShow1510	item1014,100
269	15	1510	151002	1	2	1866	EpicMissionTitle151002	b001_portrait01	1.200000	0,16,0	504.0,118.0	15,1510,151001	15,10	80	15,1501,150103	790000			skill40402::buff_03	item1014,100;item107300000003,6;item8103010111018,8	790000	EpicMissionDECEpicMissionTitle151002	MissionShow1510	item107300000003,6
270	15	1510	151003	1	3	1867	EpicMissionTitle151003	b001_portrait01	1.200000	0,16,0	504.0,118.0	15,1510,151002	15,14	85		1300000			skill40402::buff_03	item1014,120;item200000800015,4;item107300000003,12	1300000	EpicMissionDECEpicMissionTitle151003	MissionShow1510	item107300000003,12
