奇遇ID	地图ID	奇遇类型	奇遇图标	事件描述	武艺属性要求	才艺属性要求	学徒数量	奇遇基础奖励	勋章奖励
76108	1006	1	icon_traranbox	AdventureDes76108	30,141450	3,21160;4,21160	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,10	0
76109	1006	1	icon_traranbox	AdventureDes76109	32,154890;33,154890	2,23040	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,10	0
76110	1006	1	icon_traranbox	AdventureDes76110	1,762820;3,84380	5,23040	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,10	0
76111	1006	1	icon_traranbox	AdventureDes76111	4,92670	3,23040	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,10	0
76112	1006	1	icon_traranbox	AdventureDes76112	34,179780	6,23040	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,10	0
76113	1006	1	icon_traranbox	AdventureDes76113	31,168830	5,24990;6,24990	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76114	1006	1	icon_traranbox	AdventureDes76114	34,197080;35,197080	3,24990	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76115	1006	1	icon_traranbox	AdventureDes76115	33,168830	5,24990	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76116	1006	1	icon_traranbox	AdventureDes76116	30,168830	3,24990;4,24990	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76117	1006	1	icon_traranbox	AdventureDes76117	32,183270;33,183270	2,27010	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76118	1006	1	icon_traranbox	AdventureDes76118	1,842810;3,93350	5,27010	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76119	1006	1	icon_traranbox	AdventureDes76119	4,103920	3,27010	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76120	1006	1	icon_traranbox	AdventureDes76120	34,215010	6,27010	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76121	1006	1	icon_traranbox	AdventureDes76121	33,199440	5,29260	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76122	1006	1	icon_traranbox	AdventureDes76122	30,199440;31,199440	4,29260	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76123	1006	1	icon_traranbox	AdventureDes76123	1,886760	2,29260	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76124	1006	1	icon_traranbox	AdventureDes76124	33,199440	5,29260	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76125	1006	1	icon_traranbox	AdventureDes76125	30,230250	3,33640;4,33640	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,13	0
76126	1006	1	icon_traranbox	AdventureDes76126	32,230250;33,230250	2,33640	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,13	0
76127	1006	1	icon_traranbox	AdventureDes76127	1,1013670;3,109740	5,33640	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,13	0
76128	1006	1	icon_traranbox	AdventureDes76128	4,123920	3,33640	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,13	0
76129	1006	1	icon_traranbox	AdventureDes76129	33,264220	5,38450	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,13	0
76130	1006	1	icon_traranbox	AdventureDes76130	30,264220	3,38450;4,38450	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,13	0
76131	1006	1	icon_traranbox	AdventureDes76131	32,264220;33,264220	2,38450	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,13	0
76132	1006	1	icon_traranbox	AdventureDes76132	1,1149380;3,122060	5,38450	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,13	0
76133	1006	1	icon_traranbox	AdventureDes76133	4,147520	3,41720	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,15	0
76134	1006	1	icon_traranbox	AdventureDes76134	34,343880	6,41720	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,15	0
76135	1006	1	icon_traranbox	AdventureDes76135	31,287770	5,41720;6,41720	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,15	0
76136	1006	1	icon_traranbox	AdventureDes76136	34,343880;35,343880	3,41720	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,15	0
76201	1006	2	m913_portrait01	AdventureDes76201	1,686810	2,19340	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,9	0
76202	1006	2	m913_portrait01	AdventureDes76202	33,128500	5,19340	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,9	0
76203	1006	2	m913_portrait01	AdventureDes76203	30,128500	3,19340;4,19340	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,9	0
76204	1006	2	m913_portrait01	AdventureDes76204	32,128500;33,128500	2,19340	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,9	0
76205	1006	2	m913_portrait01	AdventureDes76205	1,724320;3,80060	5,21160	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,10	0
76206	1006	2	m913_portrait01	AdventureDes76206	4,87280	3,21160	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,10	0
76207	1006	2	m913_portrait01	AdventureDes76207	34,163120	6,21160	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,10	0
76208	1006	2	m913_portrait01	AdventureDes76208	31,141450	5,21160;6,21160	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,10	0
76209	1006	2	m913_portrait01	AdventureDes76209	34,179780;35,179780	3,23040	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,10	0
76210	1006	2	m913_portrait01	AdventureDes76210	3,84380	1,23040	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,10	0
76211	1006	2	m913_portrait01	AdventureDes76211	32,154890	4,23040	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,10	0
76212	1006	2	m913_portrait01	AdventureDes76212	35,179780	1,23040;2,23040	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,10	0
76213	1006	2	m913_portrait01	AdventureDes76213	3,88810;4,98220	1,24990	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76214	1006	2	m913_portrait01	AdventureDes76214	30,168830;31,168830	4,24990	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76215	1006	2	m913_portrait01	AdventureDes76215	34,197080	6,24990	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76216	1006	2	m913_portrait01	AdventureDes76216	31,168830	5,24990;6,24990	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76217	1006	2	m913_portrait01	AdventureDes76217	34,215010;35,215010	3,27010	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76218	1006	2	m913_portrait01	AdventureDes76218	3,93350	1,27010	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76219	1006	2	m913_portrait01	AdventureDes76219	32,183270	4,27010	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76220	1006	2	m913_portrait01	AdventureDes76220	35,215010	1,27010;2,27010	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76221	1006	2	m913_portrait01	AdventureDes76221	34,235140	6,29260	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76222	1006	2	m913_portrait01	AdventureDes76222	1,886760;3,98280	5,29260	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76223	1006	2	m913_portrait01	AdventureDes76223	4,110180	3,29260	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76224	1006	2	m913_portrait01	AdventureDes76224	34,235140	6,29260	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76225	1006	2	m913_portrait01	AdventureDes76225	31,230250	5,33640;6,33640	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,13	0
76226	1006	2	m913_portrait01	AdventureDes76226	34,272790;35,272790	3,33640	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,13	0
76227	1006	2	m913_portrait01	AdventureDes76227	3,109740	1,33640	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,13	0
76228	1006	2	m913_portrait01	AdventureDes76228	32,230250	4,33640	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,13	0
76229	1006	2	m913_portrait01	AdventureDes76229	34,314390	6,38450	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,13	0
76230	1006	2	m913_portrait01	AdventureDes76230	31,264220	5,38450;6,38450	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,13	0
76231	1006	2	m913_portrait01	AdventureDes76231	34,314390;35,314390	3,38450	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,13	0
76232	1006	2	m913_portrait01	AdventureDes76232	3,122060	1,38450	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,13	0
76233	1006	2	m913_portrait01	AdventureDes76233	32,287770	4,41720	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,15	0
76234	1006	2	m913_portrait01	AdventureDes76234	35,343880	1,41720;2,41720	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,15	0
76235	1006	2	m913_portrait01	AdventureDes76235	3,128820;4,147520	1,41720	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,15	0
76236	1006	2	m913_portrait01	AdventureDes76236	30,287770;31,287770	4,41720	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,15	0
76301	1006	3	item_102020030002	AdventureDes76301	4,82050	3,19340	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,9	0
76302	1006	3	item_102020030002	AdventureDes76302	34,147090	6,19340	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,9	0
76303	1006	3	item_102020030002	AdventureDes76303	31,128500	5,19340;6,19340	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,9	0
76304	1006	3	item_102020030002	AdventureDes76304	34,147090;35,147090	3,19340	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,9	0
76305	1006	3	item_102020030002	AdventureDes76305	3,80060	1,21160	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,10	0
76306	1006	3	item_102020030002	AdventureDes76306	32,141450	4,21160	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,10	0
76307	1006	3	item_102020030002	AdventureDes76307	35,163120	1,21160;2,21160	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,10	0
76308	1006	3	item_102020030002	AdventureDes76308	3,80060;4,87280	1,21160	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,10	0
76309	1006	3	item_102020030002	AdventureDes76309	30,154890;31,154890	4,23040	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,10	0
76310	1006	3	item_102020030002	AdventureDes76310	1,762820	2,23040	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,10	0
76311	1006	3	item_102020030002	AdventureDes76311	33,154890	5,23040	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,10	0
76312	1006	3	item_102020030002	AdventureDes76312	30,154890	3,23040;4,23040	4	item127000063000,2;item127000063002,6;item127000063003,3;item127000063020,10	0
76313	1006	3	item_102020030002	AdventureDes76313	32,168830;33,168830	2,24990	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76314	1006	3	item_102020030002	AdventureDes76314	1,802310;3,88810	5,24990	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76315	1006	3	item_102020030002	AdventureDes76315	35,197080	1,24990;2,24990	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76316	1006	3	item_102020030002	AdventureDes76316	3,88810;4,98220	1,24990	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76317	1006	3	item_102020030002	AdventureDes76317	30,183270;31,183270	4,27010	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76318	1006	3	item_102020030002	AdventureDes76318	1,842810	2,27010	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76319	1006	3	item_102020030002	AdventureDes76319	33,183270	5,27010	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76320	1006	3	item_102020030002	AdventureDes76320	30,183270	3,27010;4,27010	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76321	1006	3	item_102020030002	AdventureDes76321	35,235140	1,29260;2,29260	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76322	1006	3	item_102020030002	AdventureDes76322	3,98280	1,29260	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76323	1006	3	item_102020030002	AdventureDes76323	32,199440	4,29260	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76324	1006	3	item_102020030002	AdventureDes76324	35,235140	1,29260;2,29260	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,12	0
76325	1006	3	item_102020030002	AdventureDes76325	3,109740;4,123920	1,33640	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,13	0
76326	1006	3	item_102020030002	AdventureDes76326	30,230250;31,230250	4,33640	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,13	0
76327	1006	3	item_102020030002	AdventureDes76327	1,1013670	2,33640	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,13	0
76328	1006	3	item_102020030002	AdventureDes76328	33,230250	5,33640	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,13	0
76329	1006	3	item_102020030002	AdventureDes76329	35,314390	1,38450;2,38450	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,13	0
76330	1006	3	item_102020030002	AdventureDes76330	3,122060;4,138780	1,38450	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,13	0
76331	1006	3	item_102020030002	AdventureDes76331	30,264220;31,264220	4,38450	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,13	0
76332	1006	3	item_102020030002	AdventureDes76332	1,1149380	2,38450	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,13	0
76333	1006	3	item_102020030002	AdventureDes76333	33,287770	5,41720	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,15	0
76334	1006	3	item_102020030002	AdventureDes76334	30,287770	3,41720;4,41720	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,15	0
76335	1006	3	item_102020030002	AdventureDes76335	32,287770;33,287770	2,41720	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,15	0
76336	1006	3	item_102020030002	AdventureDes76336	1,1210600;3,128820	5,41720	4	item127000063000,2;item127000063002,6;item127000063003,4;item127000063020,15	0
