流水号	渠道ID	充值id	充值类型	是否触发首冲	充值条件	客户端显示充值金额	获得基础钻石	累计充值计算钻石	是否有额外赠送	首次额外赠送	以后每次购买额外赠送	Icon图标资源	特效资源	充值钻石信息	支付产品id名字	支付产品数量	红包id,数量
750	10007	6325	8	0		3700000	0	1980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
751	10007	6326	8	0		3700000	0	1980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
752	10007	6331	8	0		5200000	0	268	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
753	10007	6332	8	0		5200000	0	268	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
754	10007	6341	8	0		5800000	0	2980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
755	10007	6342	8	0		5800000	0	2980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
756	10007	6351	8	0		6500000	0	3280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
757	10007	6352	8	0		6500000	0	3280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
758	10007	6353	8	0		6500000	0	3280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
759	10007	6354	8	0		6500000	0	3280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
760	10007	6355	8	0		6500000	0	3280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
761	10007	6356	8	0		6500000	0	3280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
762	10007	6363	8	0		7500000	0	3880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
763	10007	6362	8	0		7500000	0	3880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
764	10007	6371	8	0		9500000	0	4880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
765	10007	6372	8	0		9500000	0	4880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
766	10007	6381	8	0		10900000	0	5880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
767	10007	6382	8	0		10900000	0	5880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
768	10007	6391	8	0		11900000	0	6000	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
769	10007	6392	8	0		11900000	0	6000	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
770	10007	6393	8	0		11900000	0	6000	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
771	10007	6394	8	0		11900000	0	6000	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
772	10007	6395	8	0		11900000	0	6000	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
773	10007	6396	8	0		11900000	0	6000	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
774	10007	6397	8	0		11900000	0	6000	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
775	10007	6398	8	0		11900000	0	6000	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
776	10007	8101	12	0		250000	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
777	10007	8111	12	0		390000	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
778	10007	8121	12	0		490000	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
779	10007	8131	12	0		590000	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
780	10007	8141	12	0		990000	0	500	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
781	10007	8151	12	0		1900000	0	980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
782	10007	8161	12	0		2500000	0	1280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
783	10007	8171	12	0		3200000	0	1680	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
784	10007	8181	12	0		3500000	0	1880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
785	10007	8191	12	0		3700000	0	1980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
786	10007	8201	12	0		5200000	0	268	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
787	10007	8211	12	0		5800000	0	2980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
788	10007	8221	12	0		6500000	0	3280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
789	10007	8231	12	0		7500000	0	3880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
790	10007	8241	12	0		9500000	0	4880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
791	10007	8251	12	0		10900000	0	5880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
792	10007	8261	12	0		11900000	0	6000	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
793	10007	9001	8	0		250000	0	120	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
794	10007	9011	8	0		390000	0	180	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
795	10007	9021	8	0		490000	0	250	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
796	10007	9031	8	0		590000	0	300	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
797	10007	9041	8	0		990000	0	500	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
798	10007	9051	8	0		1900000	0	980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
799	10007	9061	8	0		2500000	0	1280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
800	10007	9071	8	0		3200000	0	1680	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
801	10007	9081	8	0		3500000	0	1880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
802	10007	9091	8	0		3700000	0	1980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
803	10007	9101	8	0		5200000	0	268	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
804	10007	9111	8	0		5800000	0	2980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
805	10007	9121	8	0		6500000	0	3280	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
806	10007	9131	8	0		7500000	0	3880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
807	10007	9141	8	0		9500000	0	4880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
808	10007	9151	8	0		10900000	0	5880	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
809	10007	9161	8	0		11900000	0	6000	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
810	0	9201	8	0	6,1941	9800	0	980	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
811	0	9202	8	0	6,1941	64800	0	6480	0	-1	-1			UI_Recharge_SpName09	UI_SdkProductName12	1	
