流水	场景ID	Npc配置ID	对象类型	出生位置	出生角度
701	3	npc_100251	ShowNpc	-30.5, 0.2, -6.6	147.809998
702	3	npc_collect_003	ShowNpc	7.3, 2.8, -38.9	93.499992
703	3	npc_10199	ShowNpc	-32.3, 0.2, -37.6	22.400000
704	3	npc_10501	ShowNpc	14.4, 2.8, -45.4	170.000000
705	3	npc_101451	ShowNpc	-8.1, 0.2, -25.3	157.000000
706	5	npc_10095	ShowNpc	-55.8, 4.5, -23.5	139.000000
707	5	npc_collect_023	ShowNpc	-40.1, 4.4, 25.9	154.800003
708	5	npc_10108	ShowNpc	21.0, 8.0, 58.8	81.499969
709	5	npc_10110	ShowNpc	21.0, 8.0, 58.8	81.499969
710	5	npc_10111	ShowNpc	-55.5, 6.6, 37.6	183.299896
711	5	npc_1008512	ShowNpc	-18.1, 4.2, -14.6	90.000000
712	5	npc_1008513	ShowNpc	14.3, 4.4, -27.4	200.000000
713	5	npc_100859	ShowNpc	-10.5, 4.4, -56.3	295.000000
714	5	npc_1008514	ShowNpc	8.0, 4.4, -45.1	30.000000
715	5	npc_1008515	ShowNpc	-8.4, 4.4, 28.4	185.000000
716	5	npc_1008516	ShowNpc	-5.6, 4.4, -27.7	116.000000
717	5	npc_1008517	ShowNpc	32.4, 8.0, 56.7	220.000000
718	5	npc_1008518	ShowNpc	5.6, 4.4, 24.2	192.000000
719	5	cannon_npc_005	ShowNpc	-62.9, 6.6, 22.6	0.000000
720	5	npc_collect_024	ShowNpc	-8.9, 3.8, 12.6	154.800003
721	5	npc_1002712	ShowNpc	-15.9, 4.4, -13.5	130.000000
722	5	npc_ring007	ShowNpc	-10.7, 4.4, 23.0	59.860001
723	5	npc_trial_5001	TrialNpc	4.3, 3.8, 13.3	324.649994
724	5	npc_trial_5002	TrialNpc	7.2, 4.5, -35.6	12.499990
725	5	npc_trial_5003	TrialNpc	-11.4, 4.5, -59.6	16.000000
726	5	npc_trial_5004	TrialNpc	-46.1, 4.5, -30.7	64.299957
727	5	ride_pub_stone_01	ShowNpc	51.4, 5.6, 24.5	14.188470
728	5	ride_pub_stone_01	ShowNpc	47.8, 5.6, 21.7	14.188470
729	5	ride_pub_stone_01	ShowNpc	38.4, 5.6, 18.0	14.188470
730	5	ride_pub_stone_01	ShowNpc	58.6, 5.6, 15.3	14.188470
731	5	ride_pub_stone_01	ShowNpc	54.0, 5.6, 10.8	14.188470
732	5	ride_pub_stone_01	ShowNpc	51.7, 5.6, 8.5	14.188470
733	5	ride_pub_stone_01	ShowNpc	48.5, 5.6, 8.4	14.188470
734	5	ride_pub_stone_01	ShowNpc	41.2, 5.6, 8.3	14.188470
735	5	ride_pub_stone_01	ShowNpc	25.3, 4.3, 9.9	14.188470
736	5	ride_pub_stone_01	ShowNpc	29.9, 4.3, 17.3	14.188470
737	5	ride_pub_stone_01	ShowNpc	27.3, 4.3, 13.8	14.188470
738	5	ride_pub_stone_01	ShowNpc	22.1, 4.5, 22.7	14.188470
739	5	ride_pub_stone_01	ShowNpc	22.3, 4.5, 28.0	14.188470
740	5	ride_pub_stone_01	ShowNpc	26.6, 4.5, 37.0	14.188470
741	5	ride_pub_stone_01	ShowNpc	17.6, 3.9, 43.3	14.188470
742	5	ride_pub_stone_01	ShowNpc	9.3, 4.5, 45.4	14.188470
743	5	ride_pub_stone_01	ShowNpc	11.1, 4.5, 40.7	14.188470
744	5	ride_pub_stone_01	ShowNpc	1.8, 4.5, 40.9	14.188470
745	5	ride_pub_stone_01	ShowNpc	-1.5, 4.4, 34.1	14.188470
746	5	ride_pub_stone_01	ShowNpc	-15.9, 4.5, 21.2	14.188470
747	5	ride_pub_stone_01	ShowNpc	-16.3, 4.5, 17.0	14.188470
748	5	ride_pub_stone_01	ShowNpc	-21.5, 4.5, 7.3	14.188470
749	5	ride_pub_stone_01	ShowNpc	-22.4, 4.3, 25.8	14.188470
750	5	ride_pub_stone_01	ShowNpc	-17.7, 4.3, 30.1	14.188470
751	5	ride_pub_stone_01	ShowNpc	-32.6, 4.5, 20.3	14.188470
752	5	ride_pub_stone_01	ShowNpc	-37.1, 4.5, 19.8	14.188470
753	5	ride_pub_stone_01	ShowNpc	-42.9, 4.5, 25.9	14.188470
754	5	ride_pub_stone_01	ShowNpc	-51.1, 6.7, 24.0	14.188470
755	5	ride_pub_stone_01	ShowNpc	-53.4, 6.5, 19.0	14.188470
756	5	ride_pub_stone_01	ShowNpc	-61.7, 6.7, 18.3	14.188470
757	5	ride_pub_stone_01	ShowNpc	-67.9, 6.7, 32.8	14.188470
758	5	ride_pub_stone_01	ShowNpc	-61.6, 6.7, 53.3	14.188470
759	5	ride_pub_stone_01	ShowNpc	-73.0, 6.8, 52.2	14.188470
760	5	ride_pub_stone_01	ShowNpc	-35.4, 4.5, 48.7	14.188470
761	5	ride_pub_stone_01	ShowNpc	-14.0, 4.5, 49.8	14.188470
762	5	ride_pub_stone_01	ShowNpc	-14.1, 3.9, 41.9	14.188470
763	5	ride_pub_stone_01	ShowNpc	28.7, 8.1, 63.9	14.188470
764	5	ride_pub_stone_01	ShowNpc	16.6, 4.5, -18.7	14.188470
765	5	ride_pub_stone_01	ShowNpc	-22.2, 4.5, -59.3	14.188470
766	5	ride_pub_stone_01	ShowNpc	-16.6, 4.5, -66.1	14.188470
767	5	ride_pub_stone_01	ShowNpc	-10.7, 4.5, -69.5	14.188470
768	5	ride_pub_stone_01	ShowNpc	-13.4, 4.5, -50.1	14.188470
769	5	ride_pub_stone_01	ShowNpc	-6.3, 4.5, -48.7	14.188470
770	5	ride_pub_stone_01	ShowNpc	-4.3, 4.5, -66.9	14.188470
771	5	ride_pub_stone_01	ShowNpc	5.7, 4.5, -59.0	14.188470
772	5	ride_pub_stone_01	ShowNpc	18.4, 4.5, -49.1	14.188470
773	5	ride_pub_stone_01	ShowNpc	15.7, 4.5, -57.6	14.188470
774	5	ride_pub_stone_01	ShowNpc	27.6, 4.5, -40.4	14.188470
775	5	ride_pub_stone_01	ShowNpc	-4.7, 4.5, -38.4	14.188470
776	5	ride_pub_stone_01	ShowNpc	16.3, 4.5, -30.8	14.188470
777	5	ride_pub_stone_01	ShowNpc	-12.7, 4.5, -30.6	14.188470
778	5	ride_pub_stone_01	ShowNpc	-24.4, 4.5, -13.1	14.188470
779	5	npc_101593	ShowNpc	23.3, 4.4, 35.4	199.600006
780	5	npc_10092	ShowNpc	-18.4, 4.5, 50.8	224.000000
781	5	npc_10090	ShowNpc	-56.7, 6.7, 27.6	237.000000
782	5	mine_npc007	ShowNpc	-13.1, 4.4, -52.1	140.000000
783	5	mine_npc008	ShowNpc	5.9, 4.4, 41.1	167.000000
784	5	npc_ring008	ShowNpc	-3.9, 4.4, -55.6	59.860001
785	5	npc_ring107	ShowNpc	-10.7, 4.4, 23.0	59.860001
786	5	npc_ring108	ShowNpc	-3.9, 4.4, -55.6	59.860001
787	5	npc_ring207	ShowNpc	-10.7, 4.4, 23.0	59.860001
788	5	npc_ring208	ShowNpc	-3.9, 4.4, -55.6	59.860001
789	5	npc_ring307	ShowNpc	-10.7, 4.4, 23.0	59.860001
790	5	npc_ring308	ShowNpc	-3.9, 4.4, -55.6	59.860001
791	5	npc_ring407	ShowNpc	-10.7, 4.4, 23.0	59.860001
792	5	npc_ring408	ShowNpc	-3.9, 4.4, -55.6	59.860001
793	5	npc_collect_025	ShowNpc	-16.4, 4.4, 13.9	154.800003
794	5	npc_10094	ShowNpc	63.0, 7.1, 23.0	255.600006
795	5	npc_100941	ShowNpc	-1.4, 4.4, -36.9	125.000000
796	5	npc_100942	ShowNpc	-13.7, 4.4, -55.4	135.000000
797	5	npc_10093	ShowNpc	61.4, 7.1, 24.9	215.100006
798	5	npc_100931	ShowNpc	-15.9, 4.4, -58.3	135.000000
799	5	npc_10091	ShowNpc	23.2, 8.0, 60.5	157.000000
800	5	npc_10089	ShowNpc	-69.8, 6.6, 30.8	116.489998
801	5	npc_10088	ShowNpc	-64.6, 6.7, 35.6	139.770004
802	5	npc_10109	ShowNpc	-10.4, 4.4, -24.8	218.100006
803	5	npc_10185	ShowNpc	13.1, 4.4, -31.6	199.100006
804	5	npc_101625	ShowNpc	-58.8, 6.6, 25.9	13.100000
805	5	collect_npc007	ShowNpc	18.5, 4.4, 19.5	140.000000
806	5	collect_npc008	ShowNpc	-20.6, 4.4, 5.8	90.000000
807	5	npc_10132	ShowNpc	13.0, 4.4, -32.8	165.000000
808	5	npc_101321	ShowNpc	-12.2, 4.4, 25.0	112.000000
809	5	npc_101322	ShowNpc	-1.7, 4.4, -27.2	162.000000
810	5	npc_101323	ShowNpc	25.7, 8.0, 56.5	38.000000
811	5	npc_101324	ShowNpc	23.4, 4.4, 35.5	205.000000
812	6	npc_trial_6001	TrialNpc	101.8, 2.5, -14.6	246.699997
813	6	npc_trial_6002	TrialNpc	38.0, -5.0, -56.1	330.200012
814	6	npc_trial_6003	TrialNpc	-4.7, -2.0, -72.4	35.099991
815	6	npc_trial_6004	TrialNpc	28.5, -5.0, -72.7	330.200012
816	6	npc_trial_6005	TrialNpc	13.2, 0.0, -5.1	79.400002
817	6	npc_trial_6006	TrialNpc	15.6, 0.0, 9.2	171.500000
818	6	npc_trial_6007	TrialNpc	21.9, 0.0, 29.3	171.500000
819	6	npc_trial_6008	TrialNpc	-33.3, 0.0, 42.8	159.199997
820	6	npc_trial_6009	TrialNpc	-2.4, 1.0, 48.6	204.199997
821	6	npc_trial_6010	TrialNpc	-58.8, -0.1, 11.6	126.900002
822	6	npc_DisasterInvadeBoss01	ShowNpc	-25.3, -2.0, -53.5	142.348297
823	6	npc_DisasterInvadeBoss02	ShowNpc	-31.9, -2.0, -63.5	87.649483
824	6	npc_DisasterInvadeBoss03	ShowNpc	-25.5, -2.0, -73.5	32.102470
825	6	npc_DisasterInvadeBoss04	ShowNpc	-12.8, -2.0, -73.5	329.815887
826	6	npc_DisasterInvadeBoss05	ShowNpc	-6.1, -2.0, -63.5	268.268188
827	6	npc_DisasterInvadeBoss06	ShowNpc	-12.0, -2.0, -53.7	221.107300
828	6	npc_DisasterInvadeBoss07	ShowNpc	-18.9, -2.7, -63.7	0.000000
829	6	npc_100851	ShowNpc	62.8, 2.8, -13.5	259.399994
830	6	npc_100852	ShowNpc	33.1, -3.2, -29.1	158.399994
831	6	npc_100853	ShowNpc	20.7, -5.0, -68.8	180.399994
832	6	npc_100858	ShowNpc	-35.6, -1.9, -63.8	210.399994
833	6	npc_100859	ShowNpc	-30.5, 0.3, -10.9	291.399994
834	6	npc_100856	ShowNpc	42.1, -5.0, -46.5	251.399994
835	6	npc_10137	ShowNpc	66.0, -5.0, -44.0	209.399994
836	6	npc_DisasterInvadeEntrance	ShowNpc	-1.4, -2.0, -70.3	136.891205
837	6	cannon_npc_006	ShowNpc	77.0, 2.1, -15.2	0.000000
838	6	npc_10136	ShowNpc	20.3, -4.9, -79.3	22.400000
839	6	npc_10511	ShowNpc	70.0, 2.5, -5.7	119.599998
840	6	npc_10504	ShowNpc	59.7, -5.0, -39.2	36.200039
841	6	npc_collect_028	ShowNpc	-27.4, 0.4, 54.7	220.000000
842	6	npc_101325	ShowNpc	-39.5, 0.3, -2.3	326.399994
843	6	npc_101012	ShowNpc	57.2, -4.9, -50.9	51.400002
844	6	npc_101351	ShowNpc	20.6, -5.0, -54.0	154.399994
845	6	npc_101352	ShowNpc	28.1, -5.0, -72.9	201.399994
846	6	npc_101353	ShowNpc	-42.0, -2.0, -69.7	23.400000
847	6	npc_101354	ShowNpc	-33.3, 0.8, -15.5	336.399994
848	6	npc_101355	ShowNpc	38.5, -5.0, -42.8	180.399994
849	6	npc_101356	ShowNpc	60.0, -5.0, -43.4	140.399994
850	6	npc_10507	ShowNpc	-44.7, -2.0, -64.5	150.000000
851	6	npc_10506	ShowNpc	9.2, 0.2, 12.5	150.000000
852	6	npc_105061	ShowNpc	-39.8, -1.9, -64.0	180.399994
853	6	npc_10505	ShowNpc	84.4, 2.5, -8.5	211.699997
854	6	npc_105051	ShowNpc	-33.5, -1.9, -59.8	180.399994
855	6	npc_collect_027	ShowNpc	-17.2, 0.1, 2.6	196.899994
856	6	collect_npc010	ShowNpc	30.7, 0.2, 30.4	185.000000
857	6	mine_npc009	ShowNpc	-67.1, 0.2, 16.9	140.000000
858	6	mine_npc010	ShowNpc	-48.6, 0.3, 57.7	150.000000
859	6	npc_10501	ShowNpc	88.9, 2.5, -10.9	222.899994
860	6	npc_10502	ShowNpc	28.1, -5.0, -47.1	153.699997
861	6	npc_10503	ShowNpc	66.2, 2.5, -11.3	153.699997
862	6	npc_10508	ShowNpc	71.3, -4.7, -44.9	236.300003
863	6	npc_10509	ShowNpc	31.8, -5.0, -43.7	170.399994
864	6	npc_10510	ShowNpc	-0.2, 0.6, -7.0	196.899994
865	6	npc_101341	ShowNpc	24.0, -5.0, -51.9	167.399994
866	6	npc_101342	ShowNpc	24.5, -5.0, -69.6	167.399994
867	6	npc_101343	ShowNpc	-39.2, -2.0, -71.1	15.400000
868	6	npc_101344	ShowNpc	-32.5, 0.5, -12.6	311.399994
869	6	npc_101345	ShowNpc	35.0, -5.0, -45.3	113.400002
870	6	npc_101346	ShowNpc	63.0, -5.0, -42.8	171.399994
871	6	npc_101626	ShowNpc	29.8, -4.9, -49.4	316.399994
872	6	collect_npc009	ShowNpc	-16.7, 1.0, 52.9	180.000000
873	6	npc_101331	ShowNpc	57.4, 2.6, -14.2	107.900002
874	6	npc_101332	ShowNpc	-14.9, 1.0, 48.5	163.399994
875	6	npc_101333	ShowNpc	23.9, 0.1, 9.9	307.399994
876	6	npc_101334	ShowNpc	41.0, -4.9, -49.9	229.399994
877	6	npc_101335	ShowNpc	57.8, -5.0, -46.0	104.400002
878	6	npc_101641	ShowNpc	16.7, 4.1, 86.0	164.399994
879	6	npc_10163	ShowNpc	20.9, 4.1, 86.1	202.399994
880	6	npc_101831	ShowNpc	-43.2, -0.1, 28.1	107.099998
881	6	npc_101601	ShowNpc	-32.1, 0.0, 27.1	234.000000
882	6	npc_D_001	ShowNpc	-33.4, 0.0, 27.2	255.500000
883	6	npc_100321	ShowNpc	-40.5, 0.0, 18.3	16.600000
884	6	npc_100331	ShowNpc	-38.6, 0.0, 22.4	62.400002
885	6	npc_100341	ShowNpc	-38.0, 0.0, 19.7	11.700000
886	6	npc_100351	ShowNpc	-45.2, -0.3, 27.4	106.300003
887	6	npc_100361	ShowNpc	-45.6, -0.3, 29.9	115.900002
888	6	npc_100421	ShowNpc	-43.9, 0.0, 31.4	134.399994
889	6	npc_100431	ShowNpc	-41.8, 0.0, 31.0	145.699997
890	6	npc_100021	ShowNpc	-41.5, 0.0, 25.0	91.500000
891	6	npc_10237	ShowNpc	29.9, -5.0, -71.4	14.900000
892	6	npc_102371	ShowNpc	-34.1, 0.7, -3.7	164.399994
893	6	npc_10238	ShowNpc	-32.4, 0.6, -2.6	160.699997
894	7	cannon_npc_007	ShowNpc	-25.9, 4.3, -28.1	0.000000
895	7	npc_105052	ShowNpc	-30.1, 5.8, 51.6	169.453705
896	7	npc_105062	ShowNpc	-11.6, 5.7, 50.2	170.453705
897	7	npc_10200	ShowNpc	-37.2, 5.7, 14.8	36.200001
898	7	npc_10200	ShowNpc	-35.9, 5.7, 14.1	155.128601
899	7	npc_10200	ShowNpc	-38.0, 5.7, 13.8	155.128601
900	7	npc_10200	ShowNpc	-36.2, 5.7, 13.6	155.128601
901	7	npc_10200	ShowNpc	11.1, 6.7, 47.4	120.453697
902	7	npc_10200	ShowNpc	10.4, 6.7, 45.2	120.453697
903	7	npc_10200	ShowNpc	9.2, 6.7, 47.9	120.453697
904	7	npc_10200	ShowNpc	9.1, 6.7, 45.4	120.453697
905	7	npc_101861	ShowNpc	-35.1, 5.7, 16.1	155.128601
906	7	npc_101862	ShowNpc	12.6, 6.7, 45.6	120.453697
907	7	npc_101863	ShowNpc	19.3, 2.9, 14.9	211.453705
908	7	npc_102321	ShowNpc	3.6, 6.7, 45.5	17.559990
909	7	npc_102322	ShowNpc	20.1, 6.9, 82.8	220.270004
910	7	npc_10194	ShowNpc	29.4, -0.8, -16.5	158.293793
911	7	npc_starawake_10001	ShowNpc	7.1, 6.3, 70.4	33.900002
912	7	npc_10196	ShowNpc	5.1, -1.6, -17.1	182.365402
913	7	npc_101913	ShowNpc	-15.9, 4.1, -23.5	228.869797
914	7	npc_101912	ShowNpc	27.4, 2.3, -45.9	214.181793
915	7	npc_101911	ShowNpc	40.1, 0.2, 7.2	184.795197
916	7	npc_101901	ShowNpc	0.8, 6.7, 50.2	170.453705
917	7	npc_10190	ShowNpc	-29.0, 4.0, -34.9	25.559420
918	7	npc_101872	ShowNpc	-27.5, 3.5, -15.1	158.174896
919	7	npc_101871	ShowNpc	-29.2, 5.8, 33.5	180.691803
920	7	npc_101972	ShowNpc	-33.5, 5.7, 17.4	174.887695
921	7	npc_101971	ShowNpc	70.0, 9.8, 21.2	209.091507
922	7	npc_10197	ShowNpc	70.0, 9.8, 21.2	209.091507
923	7	npc_10211	ShowNpc	19.6, 6.7, 44.4	293.369202
924	7	npc_10211	ShowNpc	18.2, 6.7, 41.1	293.369202
925	7	npc_10211	ShowNpc	22.9, 6.7, 43.5	293.369202
926	7	npc_10211	ShowNpc	21.2, 6.7, 39.7	293.369202
927	7	npc_10211	ShowNpc	26.0, 6.7, 42.1	293.369202
928	7	npc_10211	ShowNpc	23.7, 6.7, 37.6	293.369202
929	7	npc_10189	ShowNpc	-33.0, 4.0, -24.4	118.833702
930	7	npc_101891	ShowNpc	18.2, 6.7, 45.2	293.369202
931	7	npc_101981	ShowNpc	-33.5, 5.7, 7.6	11.979490
932	7	npc_101933	ShowNpc	-17.2, 3.7, 7.1	201.174896
933	7	npc_101932	ShowNpc	-15.7, 3.0, -37.3	153.815094
934	7	npc_101931	ShowNpc	10.4, 2.3, -48.6	124.345100
935	7	npc_101934	ShowNpc	60.6, -0.8, 2.9	191.036606
936	7	npc_101925	ShowNpc	-29.6, 5.7, 16.7	206.084595
937	7	npc_101922	ShowNpc	-18.8, 2.8, -41.0	90.577904
938	7	npc_101921	ShowNpc	11.3, 2.3, -46.0	144.900696
939	7	npc_101923	ShowNpc	59.2, -0.8, -33.8	322.186005
940	7	npc_101924	ShowNpc	65.5, 9.8, 23.7	192.339294
941	7	collect_npc011	ShowNpc	50.0, -0.7, 4.8	190.000000
942	7	collect_npc012	ShowNpc	19.0, 6.9, 76.1	240.000000
943	7	mine_npc011	ShowNpc	-12.3, 5.7, 32.4	310.000000
944	7	mine_npc012	ShowNpc	80.3, 10.1, 18.8	12.000000
945	7	npc_10231	ShowNpc	-15.9, 4.1, -23.5	239.199997
946	7	npc_102311	ShowNpc	17.5, 6.9, 80.4	348.709991
947	7	npc_102312	ShowNpc	13.6, 6.8, 81.5	6.800002
948	7	npc_102314	ShowNpc	17.5, 6.9, 80.4	348.709991
949	7	npc_10233	ShowNpc	5.1, 6.6, 52.4	193.399994
950	7	npc_10245	ShowNpc	13.2, 6.7, 48.5	193.399994
951	7	npc_102393	ShowNpc	9.9, 6.7, 81.8	60.799999
952	7	npc_102401	ShowNpc	3.1, 6.6, 55.3	153.750000
953	7	npc_102402	ShowNpc	9.0, 6.6, 54.9	234.690002
954	7	npc_102403	ShowNpc	7.6, 6.7, 49.2	340.500000
955	7	npc_102404	ShowNpc	2.4, 6.7, 50.2	33.139999
956	7	npc_10246	ShowNpc	17.3, 6.8, 81.9	348.709991
957	7	npc_10247	ShowNpc	15.9, 6.7, 86.9	234.690002
958	7	npc_10248	ShowNpc	15.9, 6.7, 86.9	340.500000
959	7	npc_10249	ShowNpc	15.9, 6.7, 86.9	33.139999
960	7	npc_10250	ShowNpc	15.9, 6.7, 86.9	33.139999
961	8	cannon_npc_008	ShowNpc	37.3, 6.9, -15.1	0.000000
962	8	npc_101926	ShowNpc	-16.8, 13.1, 50.1	240.580002
963	8	npc_101927	ShowNpc	66.2, 8.3, -32.3	10.300380
964	8	npc_101928	ShowNpc	-67.4, 8.7, 0.8	274.662598
965	8	npc_101929	ShowNpc	-22.6, -2.5, -93.6	32.005699
966	8	npc_101873	ShowNpc	-45.5, 7.1, -6.2	2.770627
967	8	npc_101874	ShowNpc	-73.3, 8.9, -3.5	342.549988
968	8	npc_10226	ShowNpc	59.4, 4.8, -43.8	299.480011
969	8	npc_10225	ShowNpc	42.6, 18.5, 22.3	339.354889
970	8	npc_102251	ShowNpc	-69.8, 8.6, 6.3	192.070099
971	8	npc_102252	ShowNpc	-41.2, 7.5, -1.5	273.790009
972	8	npc_102253	ShowNpc	-67.0, 8.5, -11.6	321.350006
973	8	npc_10217	ShowNpc	-5.8, -0.2, -45.5	241.925003
974	8	npc_102171	ShowNpc	-71.4, -2.3, -39.8	295.609985
975	8	npc_102172	ShowNpc	12.1, -2.5, -90.4	275.502106
976	8	npc_10223	ShowNpc	23.6, 6.8, -8.9	176.373093
977	8	npc_101935	ShowNpc	-28.4, -0.3, -76.6	326.550293
978	8	collect_npc013	ShowNpc	5.0, 7.8, 24.3	180.000000
979	8	collect_npc013	ShowNpc	5.0, 7.8, 24.3	180.000000
980	8	collect_npc014	ShowNpc	62.8, -0.4, -75.8	250.000000
981	8	collect_npc014	ShowNpc	62.8, -0.4, -75.8	250.000000
982	8	mine_npc013	ShowNpc	0.5, -2.5, -114.3	170.000000
983	8	mine_npc014	ShowNpc	-76.2, 8.5, -16.6	0.000000
984	8	npc_10218	ShowNpc	-24.4, -0.4, -38.1	168.202499
985	8	npc_102181	ShowNpc	-79.3, -2.8, -34.9	106.199997
986	8	npc_102182	ShowNpc	-79.3, -2.8, -34.9	102.500000
987	8	npc_10219	ShowNpc	-42.6, -0.3, -51.4	77.737762
988	8	npc_102192	ShowNpc	-23.6, 5.6, -10.2	174.246002
989	8	npc_102191	ShowNpc	-23.6, 5.6, -10.2	174.245605
990	8	npc_102201	ShowNpc	-22.9, 5.6, -14.3	347.220001
991	8	npc_10220	ShowNpc	-5.0, -2.5, -110.0	24.700001
992	8	npc_10221	ShowNpc	8.9, -2.5, -88.7	261.045288
993	8	npc_10222	ShowNpc	8.1, -2.5, -104.9	265.904510
994	8	npc_102221	ShowNpc	-19.2, 5.8, -11.1	256.945496
995	8	npc_102222	ShowNpc	-52.4, 8.3, 0.8	261.552399
996	8	npc_102223	ShowNpc	44.8, 6.8, -20.5	261.552399
997	8	npc_10224	ShowNpc	61.4, 18.5, 39.3	293.799988
998	8	npc_102241	ShowNpc	-66.0, 8.5, 5.0	226.601593
999	8	npc_102242	ShowNpc	-44.8, 8.1, 1.6	172.399994
1000	8	npc_102243	ShowNpc	-70.1, 8.8, -10.1	348.700012
1001	8	npc_10227	ShowNpc	67.9, 6.8, -21.9	198.000000
1002	8	npc_101951	ShowNpc	-70.4, 8.9, -2.7	34.497131
1003	8	npc_101952	ShowNpc	-73.5, 8.9, -3.4	0.000000
1004	8	toss_05	ShowNpc	66.8, 8.2, -32.7	73.981499
1005	8	npc_10230	ShowNpc	-4.8, -0.4, -53.9	293.799988
1006	8	npc_102301	ShowNpc	-44.6, 8.0, 2.1	293.799988
1007	8	npc_102302	ShowNpc	-38.2, 13.2, 44.8	293.799988
1008	8	npc_102303	ShowNpc	-38.2, 13.2, 44.8	293.799988
1009	8	npc_10234	ShowNpc	-75.9, 8.8, -0.5	134.800003
1010	8	npc_10241	ShowNpc	-72.4, 8.7, 0.7	188.809998
1011	8	npc_10235	ShowNpc	69.4, 7.7, -29.2	273.200012
1012	8	npc_102372	ShowNpc	-24.6, 12.9, 58.1	192.500000
1013	8	npc_102381	ShowNpc	-21.4, 12.9, 58.0	220.000000
1014	8	npc_10251	ShowNpc	-27.3, 13.2, 48.9	189.000000
1015	8	npc_10239	ShowNpc	-73.1, 8.8, -3.4	347.399994
1016	8	npc_102391	ShowNpc	-28.0, 12.9, 57.5	158.199997
1017	8	npc_10228	ShowNpc	2.0, 8.0, 15.5	214.600006
1018	8	npc_102281	ShowNpc	-75.8, 8.5, 5.6	159.164505
1019	8	npc_10243	ShowNpc	-27.3, 13.2, 48.9	189.000000
1020	9	npc_10340	ShowNpc	29.4, -2.4, -60.4	262.100006
1021	9	npc_102481	ShowNpc	29.4, -2.4, -60.4	262.100006
1022	9	npc_102491	ShowNpc	29.4, -2.4, -60.4	262.100006
1023	9	npc_10300	ShowNpc	-22.9, -2.0, -45.8	327.399994
1024	9	npc_103001	ShowNpc	-17.8, -2.0, -41.1	32.599998
1025	9	npc_10260	ShowNpc	-46.1, 8.0, 8.4	213.800003
1026	9	npc_10310	ShowNpc	17.8, 1.6, -13.5	306.500000
1027	9	npc_10330	ShowNpc	50.3, 9.0, 35.3	235.500000
1028	9	npc_1033001	ShowNpc	50.3, 9.0, 35.3	235.500000
1029	9	npc_103301	ShowNpc	22.3, -2.4, -60.6	249.199997
1030	9	npc_103311	ShowNpc	31.1, -2.4, -58.4	225.100006
1031	9	npc_103302	ShowNpc	31.1, -2.4, -52.8	183.300003
1032	9	npc_103303	ShowNpc	35.2, -2.4, -68.0	304.399994
1033	9	npc_103304	ShowNpc	38.7, -2.4, -58.7	259.000000
1034	9	npc_103305	ShowNpc	-19.3, -2.0, -44.2	44.599998
1035	9	npc_1033051	ShowNpc	-19.3, -2.0, -44.2	44.599998
1036	9	npc_10320	ShowNpc	55.4, 9.0, 39.4	220.399994
1037	9	npc_103201	ShowNpc	67.8, 2.7, -11.4	180.000000
1038	9	npc_103202	ShowNpc	2.1, -2.0, -61.8	86.300003
1039	9	npc_103204	ShowNpc	24.1, -2.4, -64.6	42.799999
1040	9	npc_103203	ShowNpc	-11.3, -2.0, -46.2	281.700012
1041	9	npc_10270	ShowNpc	-16.1, 8.6, -0.1	313.100006
1042	9	npc_102701	ShowNpc	-0.5, 4.2, 39.5	229.000000
1043	9	npc_1027011	ShowNpc	-0.5, 4.0, 39.5	229.000000
1044	9	npc_102702	ShowNpc	8.3, 4.0, 31.8	301.200012
1045	9	npc_102703	ShowNpc	26.9, -2.2, -71.7	6.700000
1046	9	npc_102704	ShowNpc	24.0, -2.4, -69.6	138.300003
1047	9	npc_102705	ShowNpc	28.3, -2.4, -68.9	195.100006
1048	9	npc_102706	ShowNpc	49.5, -2.4, -57.0	144.899994
1049	9	npc_102707	ShowNpc	46.1, -2.4, -67.0	54.000000
1050	9	npc_10280	ShowNpc	2.7, 4.0, 43.8	209.000000
1051	9	npc_10290	ShowNpc	11.8, 1.6, -15.3	163.800003
1052	9	npc_10350	ShowNpc	15.3, 4.1, 32.8	310.799988
1053	9	npc_103501	ShowNpc	12.3, 18.1, -25.2	325.600006
1054	9	npc_103502	ShowNpc	28.1, -2.4, -71.7	351.700012
1055	9	npc_103503	ShowNpc	28.7, -2.4, -61.5	351.700012
1056	9	toss_06	ShowNpc	49.4, 2.7, -36.5	174.300003
1057	9	cannon_npc_009	ShowNpc	-44.8, 8.0, -2.3	127.699997
1058	9	npc_102710	ShowNpc	46.1, -2.4, -67.0	54.000000
1059	9	npc_103205	ShowNpc	55.4, 9.0, 39.4	281.700012
1060	9	npc_103206	ShowNpc	38.8, -2.4, -49.1	170.000000
1061	9	npc_animal5091200	ShowNpc	56.1, 8.9, 24.1	346.399994
1062	9	npc_103002	ShowNpc	-26.5, -2.0, -51.4	37.700001
1063	40	npc_10513	ShowNpc	-6.4, -0.4, 0.0	185.580002
1064	40	npc_10117	ShowNpc	12.5, 0.8, 13.6	200.000000
1065	40	npc_10080	ShowNpc	17.9, 0.8, 7.4	225.000000
1066	40	npc_100801	ShowNpc	23.6, 0.8, 1.6	242.000000
1067	40	npc_10514	ShowNpc	18.0, -1.1, -34.6	223.270004
1068	41	npc_homland_landdoor	ShowNpc	-6.6, 0.7, -26.8	0.000000
