组合图鉴ID	分类页签	页签显示排序	页签名	页签描述	页签图	图鉴显示排序	图鉴名	激活需求	激活属性	增加评分	页签显示星级
30000077	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	923	CombinationName30000077	104042,1;104044,1	3,11;4,11	55	4
30000078	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	922	CombinationName30000078	104043,1;104042,1	173,50;174,50	60	4
30000079	3	3	LabelName30000001	LabelDes30000001	labelicon_30000001	921	CombinationName30000079	104042,1;104045,1;104043,1;104046,1	1,300;34,20;35,20	115	4
40000069	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	931	CombinationName40000069	105023,1	11,50	75	5
40000070	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	930	CombinationName40000070	105024,1	12,50	75	5
40000071	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	929	CombinationName40000071	105025,1	13,50	75	5
40000072	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	928	CombinationName40000072	105026,1	30,80	80	5
40000073	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	927	CombinationName40000073	105027,1	31,80	80	5
40000074	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	926	CombinationName40000074	115019,1	51,150	150	5
40000075	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	925	CombinationName40000075	115018,1	52,150	150	5
40000076	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	924	CombinationName40000076	115019,1;115018,1	184,50;185,50	225	5
40000077	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	923	CombinationName40000077	105026,1;105027,1	22,50;31,40	77	5
40000078	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	922	CombinationName40000078	105023,1;115018,1	1,300;33,100	175	5
40000079	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	921	CombinationName40000079	105024,1;105025,1	24,50;33,40	77	5
40000080	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	920	CombinationName40000080	105023,1;105025,1	3,16;1,160	80	5
40000081	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	919	CombinationName40000081	115019,1;105024,1	1,300;32,100	175	5
40000082	4	4	LabelName40000001	LabelDes40000001	labelicon_40000001	918	CombinationName40000082	115019,1;115018,1;105025,1	184,100;131,50;132,50	400	5
50000103	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	898	CombinationName50000103	115018,1;103049,1	4,60;26,50	187	6
50000104	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	897	CombinationName50000104	103047,1;104044,1	3,20	50	6
50000105	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	896	CombinationName50000105	102052,1;103050,1	3,12	30	6
50000106	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	895	CombinationName50000106	103045,1;104046,1	34,20;35,20	40	6
50000107	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	894	CombinationName50000107	104043,1;105024,1;103045,1	35,30;33,30;31,30	90	6
50000108	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	893	CombinationName50000108	105024,1;102051,1;102047,1	132,50;52,50	100	6
50000109	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	892	CombinationName50000109	105027,1;105026,1;105024,1	11,60;12,50;13,60	255	6
50000110	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	891	CombinationName50000110	102052,1;103050,1;103047,1;104044,1	23,30;25,30	45	6
50000111	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	890	CombinationName50000111	104046,1;105023,1;115019,1;115018,1	185,200;206,100	450	6
50000112	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	889	CombinationName50000112	105024,1;104045,1;103046,1;103049,1	34,60;35,80	140	6
50000113	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	888	CombinationName50000113	102046,1;102053,1;102049,1;103048,1;103052,1	1,5;3,5;4,5	26	6
50000114	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	887	CombinationName50000114	102052,1;103050,1;103047,1;104044,1;105026,1;105027,1	184,50;52,50	200	6
50000115	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	886	CombinationName50000115	115020,1	3,60	150	6
50000116	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	885	CombinationName50000116	115020,1;115014,1	12,100;32,100	250	6
50000117	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	884	CombinationName50000117	115020,1;105003,1;105007,1	3,50;51,50	175	6
50000118	5	5	LabelName50000001	LabelDes50000001	labelicon_50000001	883	CombinationName50000118	115020,1;115010,1;115012,1;115011,1	12,100;13,100;11,150	525	6
