流水id	学徒id	学徒等级	武艺属性加成	升级属性加成范围	才艺属性加成	升级属性加成范围	升级所需经验	学徒称号等级	援护技能上限
1220	apprentic_4004	80	2,3	1,880,1056,1666;3,72,108,1666;4,132,176,1666;32,380,456,1666;33,384,480,1666;30,432,576,1666	2,3	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,38,76,1666;5,38,76,1666;6,38,76,1666	1587	4	5
1221	apprentic_4004	81	3,4	1,880,1056,1666;3,72,108,1666;4,132,176,1666;32,380,456,1666;33,384,480,1666;30,432,576,1666	3,4	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,38,76,1666;5,38,76,1666;6,38,76,1666	1647	5	6
1222	apprentic_4004	82	3,4	1,880,1056,1666;3,72,108,1666;4,132,176,1666;32,380,456,1666;33,384,480,1666;30,432,576,1666	3,4	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,38,76,1666;5,38,76,1666;6,38,76,1666	1727	5	6
1223	apprentic_4004	83	3,4	1,880,1056,1666;3,72,108,1666;4,132,176,1666;32,380,456,1666;33,384,480,1666;30,432,576,1666	3,4	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,38,76,1666;5,38,76,1666;6,38,76,1666	1807	5	6
1224	apprentic_4004	84	3,4	1,880,1056,1666;3,72,108,1666;4,132,176,1666;32,380,456,1666;33,384,480,1666;30,432,576,1666	3,4	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,38,76,1666;5,38,76,1666;6,38,76,1666	1887	5	6
1225	apprentic_4004	85	3,4	1,880,1056,1666;3,72,108,1666;4,132,176,1666;32,380,456,1666;33,384,480,1666;30,432,576,1666	3,4	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,38,76,1666;5,38,76,1666;6,38,76,1666	1967	5	6
1226	apprentic_4004	86	3,4	1,880,1056,1666;3,72,108,1666;4,132,176,1666;32,380,456,1666;33,384,480,1666;30,432,576,1666	3,4	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,38,76,1666;5,38,76,1666;6,38,76,1666	2047	5	6
1227	apprentic_4004	87	3,4	1,880,1056,1666;3,72,108,1666;4,132,176,1666;32,380,456,1666;33,384,480,1666;30,432,576,1666	3,4	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,38,76,1666;5,38,76,1666;6,38,76,1666	2127	5	6
1228	apprentic_4004	88	3,4	1,880,1056,1666;3,72,108,1666;4,132,176,1666;32,380,456,1666;33,384,480,1666;30,432,576,1666	3,4	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,38,76,1666;5,38,76,1666;6,38,76,1666	2207	5	6
1229	apprentic_4004	89	3,4	1,880,1056,1666;3,72,108,1666;4,132,176,1666;32,380,456,1666;33,384,480,1666;30,432,576,1666	3,4	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,38,76,1666;5,38,76,1666;6,38,76,1666	2287	5	6
1230	apprentic_4004	90	3,4	1,880,1056,1666;3,72,108,1666;4,132,176,1666;32,380,456,1666;33,384,480,1666;30,432,576,1666	3,4	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,38,76,1666;5,38,76,1666;6,38,76,1666	2367	5	6
1231	apprentic_4004	91	3,4	1,880,1056,1666;3,72,108,1666;4,132,176,1666;32,380,456,1666;33,384,480,1666;30,432,576,1666	3,4	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,38,76,1666;5,38,76,1666;6,38,76,1666	2447	5	6
1232	apprentic_4004	92	3,4	1,880,1056,1666;3,72,108,1666;4,132,176,1666;32,380,456,1666;33,384,480,1666;30,432,576,1666	3,4	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,38,76,1666;5,38,76,1666;6,38,76,1666	2547	5	6
1233	apprentic_4004	93	3,4	1,880,1056,1666;3,72,108,1666;4,132,176,1666;32,380,456,1666;33,384,480,1666;30,432,576,1666	3,4	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,38,76,1666;5,38,76,1666;6,38,76,1666	2647	5	6
1234	apprentic_4004	94	3,4	1,880,1056,1666;3,72,108,1666;4,132,176,1666;32,380,456,1666;33,384,480,1666;30,432,576,1666	3,4	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,38,76,1666;5,38,76,1666;6,38,76,1666	2747	5	6
1235	apprentic_4004	95	3,4	1,880,1056,1666;3,72,108,1666;4,132,176,1666;32,380,456,1666;33,384,480,1666;30,432,576,1666	3,4	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,38,76,1666;5,38,76,1666;6,38,76,1666	2847	5	6
1236	apprentic_4004	96	3,4	1,880,1056,1666;3,72,108,1666;4,132,176,1666;32,380,456,1666;33,384,480,1666;30,432,576,1666	3,4	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,38,76,1666;5,38,76,1666;6,38,76,1666	2947	5	6
1237	apprentic_4004	97	3,4	1,880,1056,1666;3,72,108,1666;4,132,176,1666;32,380,456,1666;33,384,480,1666;30,432,576,1666	3,4	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,38,76,1666;5,38,76,1666;6,38,76,1666	3047	5	6
1238	apprentic_4004	98	3,4	1,880,1056,1666;3,72,108,1666;4,132,176,1666;32,380,456,1666;33,384,480,1666;30,432,576,1666	3,4	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,38,76,1666;5,38,76,1666;6,38,76,1666	3147	5	6
1239	apprentic_4004	99	3,4	1,880,1056,1666;3,72,108,1666;4,132,176,1666;32,380,456,1666;33,384,480,1666;30,432,576,1666	3,4	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,38,76,1666;5,38,76,1666;6,38,76,1666	3247	5	6
1240	apprentic_4004	100	3,4	1,880,1056,1666;3,72,108,1666;4,132,176,1666;32,380,456,1666;33,384,480,1666;30,432,576,1666	3,4	1,40,80,1666;2,40,80,1666;3,40,80,1666;4,38,76,1666;5,38,76,1666;6,38,76,1666	0	5	6
1241	apprentic_5001	1	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	7	1	2
1242	apprentic_5001	2	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	9	1	2
1243	apprentic_5001	3	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	11	1	2
1244	apprentic_5001	4	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	13	1	2
1245	apprentic_5001	5	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	15	1	2
1246	apprentic_5001	6	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	17	1	2
1247	apprentic_5001	7	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	19	1	2
1248	apprentic_5001	8	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	21	1	2
1249	apprentic_5001	9	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	23	1	2
1250	apprentic_5001	10	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	25	1	2
1251	apprentic_5001	11	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	27	1	2
1252	apprentic_5001	12	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	29	1	2
1253	apprentic_5001	13	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	31	1	2
1254	apprentic_5001	14	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	33	1	2
1255	apprentic_5001	15	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	35	1	2
1256	apprentic_5001	16	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	37	1	2
1257	apprentic_5001	17	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	39	1	2
1258	apprentic_5001	18	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	41	1	2
1259	apprentic_5001	19	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	43	1	2
1260	apprentic_5001	20	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	45	1	2
1261	apprentic_5001	21	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	47	2	3
1262	apprentic_5001	22	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	57	2	3
1263	apprentic_5001	23	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	67	2	3
1264	apprentic_5001	24	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	77	2	3
1265	apprentic_5001	25	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	87	2	3
1266	apprentic_5001	26	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	97	2	3
1267	apprentic_5001	27	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	107	2	3
1268	apprentic_5001	28	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	117	2	3
1269	apprentic_5001	29	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	127	2	3
1270	apprentic_5001	30	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	137	2	3
1271	apprentic_5001	31	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	147	2	3
1272	apprentic_5001	32	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	157	2	3
1273	apprentic_5001	33	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	167	2	3
1274	apprentic_5001	34	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	177	2	3
1275	apprentic_5001	35	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	187	2	3
1276	apprentic_5001	36	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	197	2	3
1277	apprentic_5001	37	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	207	2	3
1278	apprentic_5001	38	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	217	2	3
1279	apprentic_5001	39	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	227	2	3
1280	apprentic_5001	40	1,2	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	1,2	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	237	2	3
1281	apprentic_5001	41	2,3	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	2,3	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	247	3	4
1282	apprentic_5001	42	2,3	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	2,3	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	267	3	4
1283	apprentic_5001	43	2,3	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	2,3	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	287	3	4
1284	apprentic_5001	44	2,3	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	2,3	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	307	3	4
1285	apprentic_5001	45	2,3	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	2,3	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	327	3	4
1286	apprentic_5001	46	2,3	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	2,3	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	347	3	4
1287	apprentic_5001	47	2,3	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	2,3	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	367	3	4
1288	apprentic_5001	48	2,3	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	2,3	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	387	3	4
1289	apprentic_5001	49	2,3	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	2,3	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	407	3	4
1290	apprentic_5001	50	2,3	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	2,3	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	427	3	4
1291	apprentic_5001	51	2,3	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	2,3	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	447	3	4
1292	apprentic_5001	52	2,3	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	2,3	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	467	3	4
1293	apprentic_5001	53	2,3	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	2,3	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	487	3	4
1294	apprentic_5001	54	2,3	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	2,3	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	507	3	4
1295	apprentic_5001	55	2,3	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	2,3	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	527	3	4
1296	apprentic_5001	56	2,3	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	2,3	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	547	3	4
1297	apprentic_5001	57	2,3	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	2,3	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	567	3	4
1298	apprentic_5001	58	2,3	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	2,3	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	587	3	4
1299	apprentic_5001	59	2,3	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	2,3	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	607	3	4
1300	apprentic_5001	60	2,3	1,352,422,1666;3,30,45,1666;4,45,60,1666;33,152,182,1666;34,121,152,1666;31,230,307,1666	2,3	1,15,30,1666;2,15,30,1666;3,15,30,1666;4,16,32,1666;5,16,32,1666;6,16,32,1666	0	3	4
1301	apprentic_5002	1	1,2	1,528,633,1666;3,45,68,1666;4,68,91,1666;33,228,273,1666;34,182,228,1666;31,345,460,1666	1,2	1,22,45,1666;2,22,45,1666;3,22,45,1666;4,24,48,1666;5,24,48,1666;6,24,48,1666	7	1	2
1302	apprentic_5002	2	1,2	1,528,633,1666;3,45,68,1666;4,68,91,1666;33,228,273,1666;34,182,228,1666;31,345,460,1666	1,2	1,22,45,1666;2,22,45,1666;3,22,45,1666;4,24,48,1666;5,24,48,1666;6,24,48,1666	9	1	2
1303	apprentic_5002	3	1,2	1,528,633,1666;3,45,68,1666;4,68,91,1666;33,228,273,1666;34,182,228,1666;31,345,460,1666	1,2	1,22,45,1666;2,22,45,1666;3,22,45,1666;4,24,48,1666;5,24,48,1666;6,24,48,1666	11	1	2
1304	apprentic_5002	4	1,2	1,528,633,1666;3,45,68,1666;4,68,91,1666;33,228,273,1666;34,182,228,1666;31,345,460,1666	1,2	1,22,45,1666;2,22,45,1666;3,22,45,1666;4,24,48,1666;5,24,48,1666;6,24,48,1666	13	1	2
1305	apprentic_5002	5	1,2	1,528,633,1666;3,45,68,1666;4,68,91,1666;33,228,273,1666;34,182,228,1666;31,345,460,1666	1,2	1,22,45,1666;2,22,45,1666;3,22,45,1666;4,24,48,1666;5,24,48,1666;6,24,48,1666	15	1	2
1306	apprentic_5002	6	1,2	1,528,633,1666;3,45,68,1666;4,68,91,1666;33,228,273,1666;34,182,228,1666;31,345,460,1666	1,2	1,22,45,1666;2,22,45,1666;3,22,45,1666;4,24,48,1666;5,24,48,1666;6,24,48,1666	17	1	2
1307	apprentic_5002	7	1,2	1,528,633,1666;3,45,68,1666;4,68,91,1666;33,228,273,1666;34,182,228,1666;31,345,460,1666	1,2	1,22,45,1666;2,22,45,1666;3,22,45,1666;4,24,48,1666;5,24,48,1666;6,24,48,1666	19	1	2
1308	apprentic_5002	8	1,2	1,528,633,1666;3,45,68,1666;4,68,91,1666;33,228,273,1666;34,182,228,1666;31,345,460,1666	1,2	1,22,45,1666;2,22,45,1666;3,22,45,1666;4,24,48,1666;5,24,48,1666;6,24,48,1666	21	1	2
1309	apprentic_5002	9	1,2	1,528,633,1666;3,45,68,1666;4,68,91,1666;33,228,273,1666;34,182,228,1666;31,345,460,1666	1,2	1,22,45,1666;2,22,45,1666;3,22,45,1666;4,24,48,1666;5,24,48,1666;6,24,48,1666	23	1	2
1310	apprentic_5002	10	1,2	1,528,633,1666;3,45,68,1666;4,68,91,1666;33,228,273,1666;34,182,228,1666;31,345,460,1666	1,2	1,22,45,1666;2,22,45,1666;3,22,45,1666;4,24,48,1666;5,24,48,1666;6,24,48,1666	25	1	2
1311	apprentic_5002	11	1,2	1,528,633,1666;3,45,68,1666;4,68,91,1666;33,228,273,1666;34,182,228,1666;31,345,460,1666	1,2	1,22,45,1666;2,22,45,1666;3,22,45,1666;4,24,48,1666;5,24,48,1666;6,24,48,1666	27	1	2
1312	apprentic_5002	12	1,2	1,528,633,1666;3,45,68,1666;4,68,91,1666;33,228,273,1666;34,182,228,1666;31,345,460,1666	1,2	1,22,45,1666;2,22,45,1666;3,22,45,1666;4,24,48,1666;5,24,48,1666;6,24,48,1666	29	1	2
1313	apprentic_5002	13	1,2	1,528,633,1666;3,45,68,1666;4,68,91,1666;33,228,273,1666;34,182,228,1666;31,345,460,1666	1,2	1,22,45,1666;2,22,45,1666;3,22,45,1666;4,24,48,1666;5,24,48,1666;6,24,48,1666	31	1	2
1314	apprentic_5002	14	1,2	1,528,633,1666;3,45,68,1666;4,68,91,1666;33,228,273,1666;34,182,228,1666;31,345,460,1666	1,2	1,22,45,1666;2,22,45,1666;3,22,45,1666;4,24,48,1666;5,24,48,1666;6,24,48,1666	33	1	2
1315	apprentic_5002	15	1,2	1,528,633,1666;3,45,68,1666;4,68,91,1666;33,228,273,1666;34,182,228,1666;31,345,460,1666	1,2	1,22,45,1666;2,22,45,1666;3,22,45,1666;4,24,48,1666;5,24,48,1666;6,24,48,1666	35	1	2
1316	apprentic_5002	16	1,2	1,528,633,1666;3,45,68,1666;4,68,91,1666;33,228,273,1666;34,182,228,1666;31,345,460,1666	1,2	1,22,45,1666;2,22,45,1666;3,22,45,1666;4,24,48,1666;5,24,48,1666;6,24,48,1666	37	1	2
1317	apprentic_5002	17	1,2	1,528,633,1666;3,45,68,1666;4,68,91,1666;33,228,273,1666;34,182,228,1666;31,345,460,1666	1,2	1,22,45,1666;2,22,45,1666;3,22,45,1666;4,24,48,1666;5,24,48,1666;6,24,48,1666	39	1	2
1318	apprentic_5002	18	1,2	1,528,633,1666;3,45,68,1666;4,68,91,1666;33,228,273,1666;34,182,228,1666;31,345,460,1666	1,2	1,22,45,1666;2,22,45,1666;3,22,45,1666;4,24,48,1666;5,24,48,1666;6,24,48,1666	41	1	2
1319	apprentic_5002	19	1,2	1,528,633,1666;3,45,68,1666;4,68,91,1666;33,228,273,1666;34,182,228,1666;31,345,460,1666	1,2	1,22,45,1666;2,22,45,1666;3,22,45,1666;4,24,48,1666;5,24,48,1666;6,24,48,1666	43	1	2
1320	apprentic_5002	20	1,2	1,528,633,1666;3,45,68,1666;4,68,91,1666;33,228,273,1666;34,182,228,1666;31,345,460,1666	1,2	1,22,45,1666;2,22,45,1666;3,22,45,1666;4,24,48,1666;5,24,48,1666;6,24,48,1666	45	1	2
1321	apprentic_5002	21	1,2	1,528,633,1666;3,45,68,1666;4,68,91,1666;33,228,273,1666;34,182,228,1666;31,345,460,1666	1,2	1,22,45,1666;2,22,45,1666;3,22,45,1666;4,24,48,1666;5,24,48,1666;6,24,48,1666	47	2	3
