流水	专精ID	等级	升级所需角色等级	升级消耗	属性	评分类型	值/公式	参数1	参数2	参数3	参数4	参数5
4869	1051036	9	69		269,900	2	90					
4870	1051036	10	69		269,1000	2	100					
4871	1051037	1	71		270,100	2	10					
4872	1051037	2	71		270,200	2	20					
4873	1051037	3	71		270,300	2	30					
4874	1051037	4	71		270,400	2	40					
4875	1051037	5	71		270,500	2	50					
4876	1051037	6	71		270,600	2	60					
4877	1051037	7	71		270,700	2	70					
4878	1051037	8	71		270,800	2	80					
4879	1051037	9	71		270,900	2	90					
4880	1051037	10	71		270,1000	2	100					
4881	1051038	1	70		271,100	2	10					
4882	1051038	2	70		271,200	2	20					
4883	1051038	3	70		271,300	2	30					
4884	1051038	4	70		271,400	2	40					
4885	1051038	5	70		271,500	2	50					
4886	1051038	6	70		271,600	2	60					
4887	1051038	7	70		271,700	2	70					
4888	1051038	8	70		271,800	2	80					
4889	1051038	9	70		271,900	2	90					
4890	1051038	10	70		271,1000	2	100					
4891	1052007	1	1		3,12	2	30					
4892	1052007	2	1		3,24	2	60					
4893	1052007	3	1		3,36	2	90					
4894	1052007	4	11		3,48	2	120					
4895	1052007	5	21		3,60	2	150					
4896	1052007	6	31		3,72	2	180					
4897	1052007	7	41		3,84	2	210					
4898	1052007	8	51		3,96	2	240					
4899	1052007	9	61		3,108	2	270					
4900	1052007	10	71		3,120	2	300					
4901	1052008	1	1		4,12	2	30					
4902	1052008	2	1		4,24	2	60					
4903	1052008	3	1		4,36	2	90					
4904	1052008	4	11		4,48	2	120					
4905	1052008	5	21		4,60	2	150					
4906	1052008	6	31		4,72	2	180					
4907	1052008	7	41		4,84	2	210					
4908	1052008	8	51		4,96	2	240					
4909	1052008	9	61		4,108	2	270					
4910	1052008	10	71		4,120	2	300					
4911	1052009	1	1		1,120	2	30					
4912	1052009	2	1		1,240	2	60					
4913	1052009	3	1		1,360	2	90					
4914	1052009	4	11		1,480	2	120					
4915	1052009	5	21		1,600	2	150					
4916	1052009	6	31		1,720	2	180					
4917	1052009	7	41		1,840	2	210					
4918	1052009	8	51		1,960	2	240					
4919	1052009	9	61		1,1080	2	270					
4920	1052009	10	71		1,1200	2	300					
4921	1052801	1	1		31,280	2	210					
4922	1052801	2	1		31,320	2	240					
4923	1052801	3	1		31,360	2	270					
4924	1052801	4	11		31,400	2	300					
4925	1052801	5	21		31,440	2	330					
4926	1052801	6	31		31,480	2	360					
4927	1052801	7	41		31,520	2	390					
4928	1052801	8	51		31,560	2	420					
4929	1052801	9	61		31,600	2	450					
4930	1052801	10	71		31,640	2	480					
4931	1052002	1	1		23,26	2	30					
4932	1052002	2	1		23,52	2	60					
4933	1052002	3	1		23,78	2	90					
4934	1052002	4	11		23,104	2	120					
4935	1052002	5	21		23,130	2	150					
4936	1052002	6	31		23,156	2	180					
4937	1052002	7	41		23,182	2	210					
4938	1052002	8	51		23,208	2	240					
4939	1052002	9	61		23,234	2	270					
4940	1052002	10	71		23,260	2	300					
4941	1052005	1	1		24,26	2	30					
4942	1052005	2	1		24,52	2	60					
4943	1052005	3	1		24,78	2	90					
4944	1052005	4	11		24,104	2	120					
4945	1052005	5	21		24,130	2	150					
4946	1052005	6	31		24,156	2	180					
4947	1052005	7	41		24,182	2	210					
4948	1052005	8	51		24,208	2	240					
4949	1052005	9	61		24,234	2	270					
4950	1052005	10	71		24,260	2	300					
4951	1052010	1	1		2,10	2	30					
4952	1052010	2	1		2,20	2	60					
4953	1052010	3	1		2,30	2	90					
4954	1052010	4	11		2,40	2	120					
4955	1052010	5	21		2,50	2	150					
4956	1052010	6	31		2,60	2	180					
4957	1052010	7	41		2,70	2	210					
4958	1052010	8	51		2,80	2	240					
4959	1052010	9	61		2,90	2	270					
4960	1052010	10	71		2,100	2	300					
4961	1052012	1	1		3,13	2	32					
4962	1052012	2	1		3,26	2	65					
4963	1052012	3	1		3,39	2	97					
4964	1052012	4	11		3,52	2	130					
4965	1052012	5	21		3,65	2	162					
4966	1052012	6	31		3,78	2	195					
4967	1052012	7	41		3,91	2	227					
4968	1052012	8	51		3,104	2	260					
4969	1052012	9	61		3,117	2	292					
4970	1052012	10	71		3,130	2	325					
4971	1052014	1	1		1,130	2	32					
4972	1052014	2	1		1,260	2	65					
4973	1052014	3	1		1,390	2	97					
4974	1052014	4	11		1,520	2	130					
4975	1052014	5	21		1,650	2	162					
4976	1052014	6	31		1,780	2	195					
4977	1052014	7	41		1,910	2	227					
4978	1052014	8	51		1,1040	2	260					
4979	1052014	9	61		1,1170	2	292					
4980	1052014	10	71		1,1300	2	325					
4981	1052004	1	1		22,26	2	32					
4982	1052004	2	1		22,52	2	65					
4983	1052004	3	1		22,78	2	97					
4984	1052004	4	11		22,104	2	130					
4985	1052004	5	21		22,130	2	162					
4986	1052004	6	31		22,156	2	195					
4987	1052004	7	41		22,182	2	227					
4988	1052004	8	51		22,208	2	260					
4989	1052004	9	61		22,234	2	292					
4990	1052004	10	71		22,260	2	325					
4991	1052013	1	1		4,13	2	32					
4992	1052013	2	1		4,26	2	65					
4993	1052013	3	1		4,39	2	97					
4994	1052013	4	11		4,52	2	130					
4995	1052013	5	21		4,65	2	162					
4996	1052013	6	31		4,78	2	195					
4997	1052013	7	41		4,91	2	227					
4998	1052013	8	51		4,104	2	260					
4999	1052013	9	61		4,117	2	292					
5000	1052013	10	71		4,130	2	325					
5001	1052011	1	1		21,26	2	32					
5002	1052011	2	1		21,52	2	65					
5003	1052011	3	1		21,78	2	97					
5004	1052011	4	11		21,104	2	130					
5005	1052011	5	21		21,130	2	162					
5006	1052011	6	31		21,156	2	195					
5007	1052011	7	41		21,182	2	227					
5008	1052011	8	51		21,208	2	260					
5009	1052011	9	61		21,234	2	292					
5010	1052011	10	71		21,260	2	325					
5011	1052003	1	1		25,26	2	32					
5012	1052003	2	1		25,52	2	65					
5013	1052003	3	1		25,78	2	97					
5014	1052003	4	11		25,104	2	130					
5015	1052003	5	21		25,130	2	162					
5016	1052003	6	31		25,156	2	195					
5017	1052003	7	41		25,182	2	227					
5018	1052003	8	51		25,208	2	260					
5019	1052003	9	61		25,234	2	292					
5020	1052003	10	71		25,260	2	325					
5021	1052802	1	1		66,210	2	210					
5022	1052802	2	1		66,240	2	240					
5023	1052802	3	1		66,270	2	270					
5024	1052802	4	11		66,300	2	300					
5025	1052802	5	21		66,330	2	330					
5026	1052802	6	31		66,360	2	360					
5027	1052802	7	41		66,390	2	390					
5028	1052802	8	51		66,420	2	420					
5029	1052802	9	61		66,450	2	450					
5030	1052802	10	71		66,480	2	480					
5031	1052006	1	1		26,26	2	32					
5032	1052006	2	1		26,52	2	65					
5033	1052006	3	1		26,78	2	97					
5034	1052006	4	11		26,104	2	130					
5035	1052006	5	21		26,130	2	162					
5036	1052006	6	31		26,156	2	195					
5037	1052006	7	41		26,182	2	227					
5038	1052006	8	51		26,208	2	260					
5039	1052006	9	61		26,234	2	292					
5040	1052006	10	71		26,260	2	325					
5041	1052015	1	1		3,14	2	35					
5042	1052015	2	1		3,28	2	70					
5043	1052015	3	1		3,42	2	105					
5044	1052015	4	11		3,56	2	140					
5045	1052015	5	21		3,70	2	175					
5046	1052015	6	31		3,84	2	210					
5047	1052015	7	41		3,98	2	245					
5048	1052015	8	51		3,112	2	280					
5049	1052015	9	61		3,126	2	315					
5050	1052015	10	71		3,140	2	350					
5051	1052016	1	1		1,140	2	35					
5052	1052016	2	1		1,280	2	70					
5053	1052016	3	1		1,420	2	105					
5054	1052016	4	11		1,560	2	140					
5055	1052016	5	21		1,700	2	175					
5056	1052016	6	31		1,840	2	210					
5057	1052016	7	41		1,980	2	245					
5058	1052016	8	51		1,1120	2	280					
5059	1052016	9	61		1,1260	2	315					
5060	1052016	10	71		1,1400	2	350					
5061	1052017	1	1		23,28	2	35					
5062	1052017	2	1		23,56	2	70					
5063	1052017	3	1		23,84	2	105					
5064	1052017	4	11		23,112	2	140					
5065	1052017	5	21		23,140	2	175					
5066	1052017	6	31		23,168	2	210					
5067	1052017	7	41		23,196	2	245					
5068	1052017	8	51		23,224	2	280					
5069	1052017	9	61		23,252	2	315					
5070	1052017	10	71		23,280	2	350					
5071	1052018	1	1		4,14	2	35					
5072	1052018	2	1		4,28	2	70					
5073	1052018	3	1		4,42	2	105					
5074	1052018	4	11		4,56	2	140					
5075	1052018	5	21		4,70	2	175					
5076	1052018	6	31		4,84	2	210					
5077	1052018	7	41		4,98	2	245					
5078	1052018	8	51		4,112	2	280					
5079	1052018	9	61		4,126	2	315					
5080	1052018	10	71		4,140	2	350					
5081	1052019	1	1		24,28	2	35					
5082	1052019	2	1		24,56	2	70					
5083	1052019	3	1		24,84	2	105					
5084	1052019	4	11		24,112	2	140					
5085	1052019	5	21		24,140	2	175					
5086	1052019	6	31		24,168	2	210					
5087	1052019	7	41		24,196	2	245					
5088	1052019	8	51		24,224	2	280					
5089	1052019	9	61		24,252	2	315					
5090	1052019	10	71		24,280	2	350					
5091	1052020	1	1		21,28	2	35					
5092	1052020	2	1		21,56	2	70					
5093	1052020	3	1		21,84	2	105					
5094	1052020	4	11		21,112	2	140					
5095	1052020	5	21		21,140	2	175					
5096	1052020	6	31		21,168	2	210					
5097	1052020	7	41		21,196	2	245					
5098	1052020	8	51		21,224	2	280					
5099	1052020	9	61		21,252	2	315					
5100	1052020	10	71		21,280	2	350					
5101	1052803	1	1		30,280	2	210					
5102	1052803	2	1		30,320	2	240					
5103	1052803	3	1		30,360	2	270					
5104	1052803	4	11		30,400	2	300					
5105	1052803	5	21		30,440	2	330					
5106	1052803	6	31		30,480	2	360					
5107	1052803	7	41		30,520	2	390					
5108	1052803	8	51		30,560	2	420					
5109	1052803	9	61		30,600	2	450					
5110	1052803	10	71		30,640	2	480					
5111	1052021	1	1		22,28	2	35					
5112	1052021	2	1		22,56	2	70					
5113	1052021	3	1		22,84	2	105					
5114	1052021	4	11		22,112	2	140					
5115	1052021	5	21		22,140	2	175					
5116	1052021	6	31		22,168	2	210					
5117	1052021	7	41		22,196	2	245					
5118	1052021	8	51		22,224	2	280					
5119	1052021	9	61		22,252	2	315					
5120	1052021	10	71		22,280	2	350					
5121	1052022	1	61		4,15	2	37					
5122	1052022	2	61		4,30	2	75					
5123	1052022	3	61		4,45	2	112					
5124	1052022	4	61		4,60	2	150					
5125	1052022	5	61		4,75	2	187					
5126	1052022	6	63		4,90	2	225					
5127	1052022	7	65		4,105	2	262					
5128	1052022	8	67		4,120	2	300					
5129	1052022	9	69		4,135	2	337					
5130	1052022	10	71		4,150	2	375					
5131	1052023	1	61		1,150	2	37					
5132	1052023	2	61		1,300	2	75					
5133	1052023	3	61		1,450	2	112					
5134	1052023	4	61		1,600	2	150					
5135	1052023	5	61		1,750	2	187					
5136	1052023	6	63		1,900	2	225					
5137	1052023	7	65		1,1050	2	262					
5138	1052023	8	67		1,1200	2	300					
5139	1052023	9	69		1,1350	2	337					
5140	1052023	10	71		1,1500	2	375					
5141	1052024	1	61		3,15	2	37					
5142	1052024	2	61		3,30	2	75					
5143	1052024	3	61		3,45	2	112					
5144	1052024	4	61		3,60	2	150					
5145	1052024	5	61		3,75	2	187					
5146	1052024	6	63		3,90	2	225					
5147	1052024	7	65		3,105	2	262					
5148	1052024	8	67		3,120	2	300					
5149	1052024	9	69		3,135	2	337					
5150	1052024	10	71		3,150	2	375					
5151	1052025	1	61		24,28	2	37					
5152	1052025	2	61		24,56	2	75					
5153	1052025	3	61		24,84	2	112					
5154	1052025	4	61		24,112	2	150					
5155	1052025	5	61		24,140	2	187					
5156	1052025	6	63		24,168	2	225					
5157	1052025	7	65		24,196	2	262					
5158	1052025	8	67		24,224	2	300					
5159	1052025	9	69		24,252	2	337					
5160	1052025	10	71		24,280	2	375					
5161	1052026	1	61		22,28;15,230	2	221					
5162	1052026	2	61		22,56;15,260	2	283					
5163	1052026	3	61		22,84;15,290	2	344					
5164	1052026	4	61		22,112;15,320	2	406					
5165	1052026	5	61		22,140;15,350	2	467					
5166	1052026	6	63		22,168;15,380	2	529					
5167	1052026	7	65		22,196;15,410	2	590					
5168	1052026	8	67		22,224;15,440	2	652					
5169	1052026	9	69		22,252;15,470	2	713					
5170	1052026	10	71		22,280;15,500	2	775					
5171	1052804	1	61		11,140;13,140	2	315					
5172	1052804	2	61		11,160;13,160	2	360					
5173	1052804	3	61		11,180;13,180	2	405					
5174	1052804	4	61		11,200;13,200	2	450					
5175	1052804	5	61		11,220;13,220	2	495					
5176	1052804	6	63		11,240;13,240	2	540					
5177	1052804	7	65		11,260;13,260	2	585					
5178	1052804	8	67		11,280;13,280	2	630					
5179	1052804	9	69		11,300;13,300	2	675					
5180	1052804	10	71		11,320;13,320	2	720					
5181	1052027	1	61		26,28;187,230	2	221					
5182	1052027	2	61		26,56;187,260	2	283					
5183	1052027	3	61		26,84;187,290	2	344					
5184	1052027	4	61		26,112;187,320	2	406					
5185	1052027	5	61		26,140;187,350	2	467					
5186	1052027	6	63		26,168;187,380	2	529					
5187	1052027	7	65		26,196;187,410	2	590					
5188	1052027	8	67		26,224;187,440	2	652					
5189	1052027	9	69		26,252;187,470	2	713					
5190	1052027	10	71		26,280;187,500	2	775					
5191	10521001	1	62		211,50	2	10					
5192	10521001	2	62		211,100	2	20					
5193	10521001	3	62		211,150	2	30					
5194	10521001	4	62		211,200	2	40					
5195	10521001	5	62		211,250	2	50					
5196	10521001	6	62		211,300	2	60					
5197	10521001	7	62		211,350	2	70					
5198	10521001	8	62		211,400	2	80					
5199	10521001	9	64		211,450	2	90					
5200	10521001	10	64		211,500	2	100					
5201	10521001	11	64		211,550	2	110					
5202	10521001	12	66		211,600	2	120					
5203	10521001	13	66		211,650	2	130					
5204	10521001	14	66		211,700	2	140					
5205	10521001	15	68		211,750	2	150					
5206	10521001	16	68		211,800	2	160					
5207	10521001	17	68		211,850	2	170					
5208	10521001	18	70		211,900	2	180					
5209	10521001	19	70		211,950	2	190					
5210	10521001	20	70		211,1000	2	200					
5211	10521002	1	62		212,150	2	10					
5212	10521002	2	62		212,300	2	20					
5213	10521002	3	62		212,450	2	30					
5214	10521002	4	62		212,600	2	40					
5215	10521002	5	62		212,750	2	50					
5216	10521002	6	62		212,900	2	60					
5217	10521002	7	62		212,1050	2	70					
5218	10521002	8	62		212,1200	2	80					
5219	10521002	9	64		212,1350	2	90					
5220	10521002	10	64		212,1500	2	100					
5221	10521002	11	64		212,1650	2	110					
5222	10521002	12	66		212,1800	2	120					
5223	10521002	13	66		212,1950	2	130					
5224	10521002	14	66		212,2100	2	140					
5225	10521002	15	68		212,2250	2	150					
5226	10521002	16	68		212,2400	2	160					
5227	10521002	17	68		212,2550	2	170					
5228	10521002	18	70		212,2700	2	180					
5229	10521002	19	70		212,2850	2	190					
5230	10521002	20	70		212,3000	2	200					
5231	10521003	1	62		213,100	2	10					
5232	10521003	2	62		213,200	2	20					
5233	10521003	3	62		213,300	2	30					
5234	10521003	4	62		213,400	2	40					
5235	10521003	5	62		213,500	2	50					
5236	10521003	6	62		213,600	2	60					
5237	10521003	7	62		213,700	2	70					
5238	10521003	8	62		213,800	2	80					
5239	10521003	9	64		213,900	2	90					
5240	10521003	10	64		213,1000	2	100					
5241	10521003	11	64		213,1100	2	110					
5242	10521003	12	66		213,1200	2	120					
5243	10521003	13	66		213,1300	2	130					
5244	10521003	14	66		213,1400	2	140					
5245	10521003	15	68		213,1500	2	150					
5246	10521003	16	68		213,1600	2	160					
5247	10521003	17	68		213,1700	2	170					
5248	10521003	18	70		213,1800	2	180					
5249	10521003	19	70		213,1900	2	190					
5250	10521003	20	70		213,2000	2	200					
5251	1052028	1	61		4,18	2	45					
5252	1052028	2	61		4,36	2	90					
5253	1052028	3	61		4,54	2	135					
5254	1052028	4	61		4,72	2	180					
5255	1052028	5	61		4,90	2	225					
5256	1052028	6	61		4,108	2	270					
5257	1052028	7	61		4,126	2	315					
5258	1052028	8	61		4,144	2	360					
5259	1052028	9	61		4,162	2	405					
5260	1052028	10	61		4,180	2	450					
5261	1052029	1	61		1,180	2	45					
5262	1052029	2	61		1,360	2	90					
5263	1052029	3	61		1,540	2	135					
5264	1052029	4	61		1,720	2	180					
5265	1052029	5	61		1,900	2	225					
5266	1052029	6	61		1,1080	2	270					
5267	1052029	7	61		1,1260	2	315					
5268	1052029	8	61		1,1440	2	360					
5269	1052029	9	61		1,1620	2	405					
5270	1052029	10	61		1,1800	2	450					
5271	1052030	1	61		3,18	2	45					
5272	1052030	2	61		3,36	2	90					
5273	1052030	3	61		3,54	2	135					
5274	1052030	4	61		3,72	2	180					
5275	1052030	5	61		3,90	2	225					
5276	1052030	6	61		3,108	2	270					
5277	1052030	7	61		3,126	2	315					
5278	1052030	8	61		3,144	2	360					
5279	1052030	9	61		3,162	2	405					
5280	1052030	10	61		3,180	2	450					
5281	1052031	1	61		25,32	2	45					
5282	1052031	2	61		25,64	2	90					
5283	1052031	3	61		25,96	2	135					
5284	1052031	4	61		25,128	2	180					
5285	1052031	5	61		25,160	2	225					
5286	1052031	6	61		25,192	2	270					
5287	1052031	7	61		25,224	2	315					
5288	1052031	8	61		25,256	2	360					
5289	1052031	9	61		25,288	2	405					
5290	1052031	10	61		25,320	2	450					
5291	1052032	1	61		21,32;15,230	2	229					
5292	1052032	2	61		21,64;15,260	2	298					
5293	1052032	3	61		21,96;15,290	2	367					
5294	1052032	4	61		21,128;15,320	2	436					
5295	1052032	5	61		21,160;15,350	2	505					
5296	1052032	6	61		21,192;15,380	2	574					
5297	1052032	7	61		21,224;15,410	2	643					
5298	1052032	8	61		21,256;15,440	2	712					
5299	1052032	9	61		21,288;15,470	2	781					
5300	1052032	10	61		21,320;15,500	2	850					
5301	1052805	1	63		31,210	2	210					
5302	1052805	2	63		31,240	2	240					
5303	1052805	3	63		31,270	2	270					
5304	1052805	4	63		31,300	2	300					
5305	1052805	5	63		31,330	2	330					
5306	1052805	6	63		31,360	2	360					
5307	1052805	7	63		31,390	2	390					
5308	1052805	8	63		31,420	2	420					
5309	1052805	9	63		31,450	2	450					
5310	1052805	10	63		31,480	2	480					
5311	1052034	1	65		23,32;187,230	2	229					
5312	1052034	2	65		23,64;187,260	2	298					
5313	1052034	3	65		23,96;187,290	2	367					
5314	1052034	4	65		23,128;187,320	2	436					
5315	1052034	5	65		23,160;187,350	2	505					
5316	1052034	6	65		23,192;187,380	2	574					
5317	1052034	7	65		23,224;187,410	2	643					
5318	1052034	8	65		23,256;187,440	2	712					
5319	1052034	9	65		23,288;187,470	2	781					
5320	1052034	10	65		23,320;187,500	2	850					
5321	1052035	1	67		268,100	2	10					
5322	1052035	2	67		268,200	2	20					
5323	1052035	3	67		268,300	2	30					
5324	1052035	4	67		268,400	2	40					
5325	1052035	5	67		268,500	2	50					
5326	1052035	6	67		268,600	2	60					
5327	1052035	7	67		268,700	2	70					
5328	1052035	8	67		268,800	2	80					
5329	1052035	9	67		268,900	2	90					
5330	1052035	10	67		268,1000	2	100					
5331	1052036	1	69		269,100	2	10					
5332	1052036	2	69		269,200	2	20					
5333	1052036	3	69		269,300	2	30					
5334	1052036	4	69		269,400	2	40					
5335	1052036	5	69		269,500	2	50					
5336	1052036	6	69		269,600	2	60					
5337	1052036	7	69		269,700	2	70					
5338	1052036	8	69		269,800	2	80					
5339	1052036	9	69		269,900	2	90					
5340	1052036	10	69		269,1000	2	100					
5341	1052037	1	71		270,100	2	10					
5342	1052037	2	71		270,200	2	20					
5343	1052037	3	71		270,300	2	30					
5344	1052037	4	71		270,400	2	40					
5345	1052037	5	71		270,500	2	50					
5346	1052037	6	71		270,600	2	60					
5347	1052037	7	71		270,700	2	70					
5348	1052037	8	71		270,800	2	80					
5349	1052037	9	71		270,900	2	90					
5350	1052037	10	71		270,1000	2	100					
5351	1052038	1	70		271,100	2	10					
5352	1052038	2	70		271,200	2	20					
5353	1052038	3	70		271,300	2	30					
5354	1052038	4	70		271,400	2	40					
5355	1052038	5	70		271,500	2	50					
5356	1052038	6	70		271,600	2	60					
5357	1052038	7	70		271,700	2	70					
5358	1052038	8	70		271,800	2	80					
5359	1052038	9	70		271,900	2	90					
5360	1052038	10	70		271,1000	2	100					
5361	1061007	1	1		3,12	2	30					
5362	1061007	2	1		3,24	2	60					
5363	1061007	3	1		3,36	2	90					
5364	1061007	4	11		3,48	2	120					
5365	1061007	5	21		3,60	2	150					
5366	1061007	6	31		3,72	2	180					
5367	1061007	7	41		3,84	2	210					
5368	1061007	8	51		3,96	2	240					
5369	1061007	9	61		3,108	2	270					
5370	1061007	10	71		3,120	2	300					
5371	1061008	1	1		4,12	2	30					
5372	1061008	2	1		4,24	2	60					
5373	1061008	3	1		4,36	2	90					
5374	1061008	4	11		4,48	2	120					
5375	1061008	5	21		4,60	2	150					
5376	1061008	6	31		4,72	2	180					
5377	1061008	7	41		4,84	2	210					
5378	1061008	8	51		4,96	2	240					
5379	1061008	9	61		4,108	2	270					
5380	1061008	10	71		4,120	2	300					
5381	1061009	1	1		1,120	2	30					
5382	1061009	2	1		1,240	2	60					
5383	1061009	3	1		1,360	2	90					
5384	1061009	4	11		1,480	2	120					
5385	1061009	5	21		1,600	2	150					
5386	1061009	6	31		1,720	2	180					
5387	1061009	7	41		1,840	2	210					
5388	1061009	8	51		1,960	2	240					
5389	1061009	9	61		1,1080	2	270					
5390	1061009	10	71		1,1200	2	300					
5391	1061801	1	1		51,210	2	210					
5392	1061801	2	1		51,240	2	240					
5393	1061801	3	1		51,270	2	270					
5394	1061801	4	11		51,300	2	300					
5395	1061801	5	21		51,330	2	330					
5396	1061801	6	31		51,360	2	360					
5397	1061801	7	41		51,390	2	390					
5398	1061801	8	51		51,420	2	420					
5399	1061801	9	61		51,450	2	450					
5400	1061801	10	71		51,480	2	480					
5401	1061002	1	1		23,26	2	30					
5402	1061002	2	1		23,52	2	60					
5403	1061002	3	1		23,78	2	90					
5404	1061002	4	11		23,104	2	120					
5405	1061002	5	21		23,130	2	150					
5406	1061002	6	31		23,156	2	180					
5407	1061002	7	41		23,182	2	210					
5408	1061002	8	51		23,208	2	240					
5409	1061002	9	61		23,234	2	270					
5410	1061002	10	71		23,260	2	300					
5411	1061005	1	1		24,26	2	30					
5412	1061005	2	1		24,52	2	60					
5413	1061005	3	1		24,78	2	90					
5414	1061005	4	11		24,104	2	120					
5415	1061005	5	21		24,130	2	150					
5416	1061005	6	31		24,156	2	180					
5417	1061005	7	41		24,182	2	210					
5418	1061005	8	51		24,208	2	240					
5419	1061005	9	61		24,234	2	270					
5420	1061005	10	71		24,260	2	300					
5421	1061010	1	1		2,10	2	30					
5422	1061010	2	1		2,20	2	60					
5423	1061010	3	1		2,30	2	90					
5424	1061010	4	11		2,40	2	120					
5425	1061010	5	21		2,50	2	150					
5426	1061010	6	31		2,60	2	180					
5427	1061010	7	41		2,70	2	210					
5428	1061010	8	51		2,80	2	240					
5429	1061010	9	61		2,90	2	270					
5430	1061010	10	71		2,100	2	300					
5431	1061012	1	1		3,13	2	32					
5432	1061012	2	1		3,26	2	65					
5433	1061012	3	1		3,39	2	97					
5434	1061012	4	11		3,52	2	130					
5435	1061012	5	21		3,65	2	162					
5436	1061012	6	31		3,78	2	195					
5437	1061012	7	41		3,91	2	227					
5438	1061012	8	51		3,104	2	260					
5439	1061012	9	61		3,117	2	292					
5440	1061012	10	71		3,130	2	325					
5441	1061014	1	1		1,130	2	32					
5442	1061014	2	1		1,260	2	65					
5443	1061014	3	1		1,390	2	97					
5444	1061014	4	11		1,520	2	130					
5445	1061014	5	21		1,650	2	162					
5446	1061014	6	31		1,780	2	195					
5447	1061014	7	41		1,910	2	227					
5448	1061014	8	51		1,1040	2	260					
5449	1061014	9	61		1,1170	2	292					
5450	1061014	10	71		1,1300	2	325					
5451	1061004	1	1		22,26	2	32					
5452	1061004	2	1		22,52	2	65					
5453	1061004	3	1		22,78	2	97					
5454	1061004	4	11		22,104	2	130					
5455	1061004	5	21		22,130	2	162					
5456	1061004	6	31		22,156	2	195					
5457	1061004	7	41		22,182	2	227					
5458	1061004	8	51		22,208	2	260					
5459	1061004	9	61		22,234	2	292					
5460	1061004	10	71		22,260	2	325					
5461	1061013	1	1		4,13	2	32					
5462	1061013	2	1		4,26	2	65					
5463	1061013	3	1		4,39	2	97					
5464	1061013	4	11		4,52	2	130					
5465	1061013	5	21		4,65	2	162					
5466	1061013	6	31		4,78	2	195					
5467	1061013	7	41		4,91	2	227					
5468	1061013	8	51		4,104	2	260					
5469	1061013	9	61		4,117	2	292					
5470	1061013	10	71		4,130	2	325					
5471	1061011	1	1		21,26	2	32					
5472	1061011	2	1		21,52	2	65					
5473	1061011	3	1		21,78	2	97					
5474	1061011	4	11		21,104	2	130					
5475	1061011	5	21		21,130	2	162					
5476	1061011	6	31		21,156	2	195					
5477	1061011	7	41		21,182	2	227					
5478	1061011	8	51		21,208	2	260					
5479	1061011	9	61		21,234	2	292					
5480	1061011	10	71		21,260	2	325					
5481	1061003	1	1		25,26	2	32					
5482	1061003	2	1		25,52	2	65					
5483	1061003	3	1		25,78	2	97					
5484	1061003	4	11		25,104	2	130					
5485	1061003	5	21		25,130	2	162					
5486	1061003	6	31		25,156	2	195					
5487	1061003	7	41		25,182	2	227					
5488	1061003	8	51		25,208	2	260					
5489	1061003	9	61		25,234	2	292					
5490	1061003	10	71		25,260	2	325					
5491	1061802	1	1		11,210	2	210					
5492	1061802	2	1		11,240	2	240					
5493	1061802	3	1		11,270	2	270					
5494	1061802	4	11		11,300	2	300					
5495	1061802	5	21		11,330	2	330					
5496	1061802	6	31		11,360	2	360					
5497	1061802	7	41		11,390	2	390					
5498	1061802	8	51		11,420	2	420					
5499	1061802	9	61		11,450	2	450					
5500	1061802	10	71		11,480	2	480					
5501	1061006	1	1		26,26	2	32					
5502	1061006	2	1		26,52	2	65					
5503	1061006	3	1		26,78	2	97					
5504	1061006	4	11		26,104	2	130					
5505	1061006	5	21		26,130	2	162					
5506	1061006	6	31		26,156	2	195					
5507	1061006	7	41		26,182	2	227					
5508	1061006	8	51		26,208	2	260					
5509	1061006	9	61		26,234	2	292					
5510	1061006	10	71		26,260	2	325					
5511	1061015	1	1		3,14	2	35					
5512	1061015	2	1		3,28	2	70					
5513	1061015	3	1		3,42	2	105					
5514	1061015	4	11		3,56	2	140					
5515	1061015	5	21		3,70	2	175					
5516	1061015	6	31		3,84	2	210					
5517	1061015	7	41		3,98	2	245					
5518	1061015	8	51		3,112	2	280					
5519	1061015	9	61		3,126	2	315					
5520	1061015	10	71		3,140	2	350					
5521	1061016	1	1		1,140	2	35					
5522	1061016	2	1		1,280	2	70					
5523	1061016	3	1		1,420	2	105					
5524	1061016	4	11		1,560	2	140					
5525	1061016	5	21		1,700	2	175					
5526	1061016	6	31		1,840	2	210					
5527	1061016	7	41		1,980	2	245					
5528	1061016	8	51		1,1120	2	280					
5529	1061016	9	61		1,1260	2	315					
5530	1061016	10	71		1,1400	2	350					
5531	1061017	1	1		23,28	2	35					
5532	1061017	2	1		23,56	2	70					
5533	1061017	3	1		23,84	2	105					
5534	1061017	4	11		23,112	2	140					
5535	1061017	5	21		23,140	2	175					
5536	1061017	6	31		23,168	2	210					
5537	1061017	7	41		23,196	2	245					
5538	1061017	8	51		23,224	2	280					
5539	1061017	9	61		23,252	2	315					
5540	1061017	10	71		23,280	2	350					
5541	1061018	1	1		4,14	2	35					
5542	1061018	2	1		4,28	2	70					
5543	1061018	3	1		4,42	2	105					
5544	1061018	4	11		4,56	2	140					
5545	1061018	5	21		4,70	2	175					
5546	1061018	6	31		4,84	2	210					
5547	1061018	7	41		4,98	2	245					
5548	1061018	8	51		4,112	2	280					
5549	1061018	9	61		4,126	2	315					
5550	1061018	10	71		4,140	2	350					
5551	1061019	1	1		24,28	2	35					
5552	1061019	2	1		24,56	2	70					
