流水ID	编号	步骤	内容类型	提示内容	提示内容位置	提示内容弹出方式	提示内容字体大小	文字居中	方向	引导框大小	引导框位置偏移	引导出现延迟	目标是否旋转	旋转速度和半径	关键步	是否依赖上一个引导	开启条件类型	开启条件内容	是否反复触发	相对层级	是否强制	是否遮罩	是否全屏触发	重新引导版本	步骤名字	前置对象路径	不添加触发对象	触发对象路径	触发NPC	移动位置	移动提示特效半径	人声语音	适用渠道
239	1093	0	0	GuideText10720	60;-2	1	20	1	1	0.8;0.8	0;-2	0.000000	0				4	10100240,0,3		0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	100097	
240	1093	1	0	GuideText10721	60;-2	1	20	1	1	0.9;0.9	0;-2	0.000000	0		1		0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_169	0	0	0	100141	
241	1093	2	0	GuideText10724	-40;0	0	20	1	3	0.7;0.7		0.500000	0				0			0				0				MercenaryPanel/MyRoot/PanelTabPageRoot/PanelTabPage/ToggleGroup/TabsRoot/EquipToggle	0	0	0	0	
242	1093	3	0	GuideText10725	10;0	0	20	1	3	1;1	0;-2	0.000000	0			1	0			0				0				MercenaryPanel/MyRoot/MercenaryListPageRoot/MercenaryListPage(Clone)/ListRoot/FixedScrollView/Viewport/Content/1	0	0	0	0	
243	1093	4	0	GuideText10726	60;-2	1	20	1	1	0.8;0.8	0;-2	0.000000	0			1	0			0				0				MercenaryPanel/MyRoot/MercenaryListPageRoot/MercenaryListPage(Clone)/MercenaryInfoPage/MercenaryInfoPage(Clone)/Root/Info/SkillTitle/FixedScrollView/Viewport/Content/0	0	0	0	0	
244	1093	5	0	GuideText10727	-40;0	0	20	1	3	0.8;0.8	0;-2	0.000000	0				0			0				0				MercenaryFriendTipsPanel/FixedScrollView/Viewport/Content/0/CommonRoot/ButtonRoot/ActiveBtn	0	0	0	0	
245	1080	0	0	GuideText10800	60;-2	1	20	1	1	0.8;0.8	0;-2	0.000000	0				4	10100240,1,3		0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	100097	
246	1080	1	0	GuideText10801	60;-2	1	20	1	1	0.9;0.9	0;-2	0.000000	0			1	0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_169	0	0	0	100141	
247	1080	2	0	GuideText10802	-40;0	0	20	1	3	0.7;0.7		0.000000	0		1		0			0				0				MercenaryPanel/MyRoot/PanelTabPageRoot/PanelTabPage/ToggleGroup/TabsRoot/EquipToggle (3)	0	0	0	100153	
248	1080	3	0	GuideText10803	-30;0	0	20	1	3	1;1		0.000000	0				0			0				0				MercenaryPanel/MyRoot/MercenaryListPageRoot/MercenarySoulPage(Clone)/ShowRoot/Cell1/AddBtn	0	0	0	100154	
249	1080	4	0	GuideText10804	0;-20	1	20	1	0	1;1		0.000000	0				0			0				0				MercenarySoulPlayedPage/Root/FixedScrollView/Viewport/Content/0	0	0	0	0	
250	1080	5	0	GuideText10805	-40;0	0	20	1	3	1;1		0.000000	0			1	0			0				0				MercenaryPanel/MyRoot/PanelTabPageRoot/PanelTabPage/ToggleGroup/TabsRoot/EquipToggle	0	0	0	0	
251	1080	6	0	GuideText10806	60;-2	0	20	1	3	1;1	0;-2	0.000000	0			1	0			0				0				MercenaryPanel/MyRoot/MercenaryListPageRoot/MercenaryListPage(Clone)/ListRoot/FixedScrollView/Viewport/Content/1	0	0	0	0	
252	1080	7	0	GuideText10807	60;-2	1	20	1	1	0.8;0.8	0;-2	0.000000	0			1	0			0				0				MercenaryPanel/MyRoot/MercenaryListPageRoot/MercenaryListPage(Clone)/MercenaryInfoPage/MercenaryInfoPage(Clone)/Root/Tabs/Toggle1	0	0	0	0	
253	1080	8	0	GuideText10808	0;-2	1	20	1	1	1;1	0;-2	0.000000	0			1	0			0				0				MercenaryPanel/MyRoot/MercenaryListPageRoot/MercenaryListPage(Clone)/MercenaryInfoPage/MercenaryInfoPage(Clone)/Root/Advance/LevelUpBtn	0	0	0	0	
254	1081	0	0	GuideText10811	0;0	0	20	1	0	1;0.8		0.000000	0				0			0				0				AdventurePanel/Window/MyRoot/RightPanel/ActivityPanelRoot/AdventureActivityPage(Clone)/Panel/FixedScrollView/Viewport/Content/UI_FuncName_183/OpenState	0	0	0	100156	
255	1081	1	0	GuideText10812	5;0	0	20	1	1	1;1		0.000000	0				0			0				0				StarTracePanel/MyRoot/RightRoot/GoBtn	0	0	0	100157	
256	1092	0	0	GuideText10811	0;0	0	20	1	0	1;0.8		0.000000	0				3	10200220,0,3		0				0				AdventurePanel/Window/MyRoot/RightPanel/ActivityPanelRoot/AdventureActivityPage(Clone)/Panel/FixedScrollView/Viewport/Content/UI_FuncName_183/OpenState	0	0	0	100156	
257	1092	1	0	GuideText10812	5;0	0	20	1	1	1;1		0.000000	0				0			0				0				StarTracePanel/MyRoot/RightRoot/GoBtn	0	0	0	100157	
258	1073	0	0	GuideText10730	40;0	1	20	1	1	1;1		0.000000	0				3	510860,1,3	1	0				0				MercenaryPanel/MyRoot/MercenaryListPageRoot/MercenaryListPage(Clone)/MercenaryInfoPage/MercenaryInfoPage(Clone)/Root/Tabs/Toggle1	0	0	0	100144	
259	1073	1	0	GuideText10731	-40;0	1	20	1	1	1;1		0.000000	0		1	1	0			0				0				MercenaryPanel/MyRoot/MercenaryListPageRoot/MercenaryListPage(Clone)/MercenaryInfoPage/MercenaryInfoPage(Clone)/Root/Advance/LevelUpBtn	0	0	0	100145	
260	1074	0	0	GuideText10740	40;0	1	20	1	1	1;1		0.000000	0				3	510870,1,3	1	0				0				MercenaryPanel/MyRoot/MercenaryListPageRoot/MercenaryListPage(Clone)/MercenaryInfoPage/MercenaryInfoPage(Clone)/Root/Tabs/Toggle2	0	0	0	100146	
261	1074	1	1	GuideText10741	0.4;0.3	2	0		0			0.000000	0			1	0			0				0					0	0	0	100147	
262	1075	0	0	GuideText10750	40;0	1	20	1	1	1;1		0.000000	0				3	510880,1,3	1	0				0				MercenaryPanel/MyRoot/MercenaryListPageRoot/MercenaryListPage(Clone)/MercenaryInfoPage/MercenaryInfoPage(Clone)/Root/Tabs/Toggle3	0	0	0	0	
263	1075	1	0	GuideText10751	-20;0	1	20	1	1	1;1		0.000000	0			1	0			0				0				MercenaryPanel/MyRoot/MercenaryListPageRoot/MercenaryListPage(Clone)/MercenaryInfoPage/MercenaryInfoPage(Clone)/Root/Soul/SkillInfo/Down/SkillIcon1/SkillIcon	0	0	0	100149	
264	1075	2	0	GuideText10752	-20;0	1	20	1	1	1;1		0.000000	0		1	1	0			0				0				MercenarySkillTipsPanel/PanelRoot/Button	0	0	0	100012	
265	1076	0	0	GuideText10760	40;0	1	20	1	1	1;1		0.000000	0				3	510890,1,3	1	0				0				MercenaryPanel/MyRoot/MercenaryListPageRoot/MercenaryListPage(Clone)/MercenaryInfoPage/MercenaryInfoPage(Clone)/Root/Tabs/Toggle3	0	0	0	0	
266	1076	1	0	GuideText10761	-40;0	1	20	1	1	1;1		0.000000	0		1	1	0			0				0				MercenaryPanel/MyRoot/MercenaryListPageRoot/MercenaryListPage(Clone)/MercenaryInfoPage/MercenaryInfoPage(Clone)/Root/Soul/LevelUpBtn	0	0	0	100150	
267	1076	2	1	GuideText10762	0.4;0.3	2	0		0			0.000000	0			1	0			0				0					0	0	0	100151	
268	1077	0	0	GuideText10770	-40;0	1	20	1	3	0.7;0.7		0.000000	0				3	510900,1,3	1	0				0				MercenaryPanel/MyRoot/PanelTabPageRoot/PanelTabPage/ToggleGroup/TabsRoot/EquipToggle (3)	0	0	0	0	
269	1077	1	1	GuideText10771	0.4;0.3	2	0		0			0.000000	0			1	0			0				0					0	0	0	0	
270	1078	0	1	GuideText10780	0.65;0.65	1	20	1	3	1.1;0.7		0.000000	0				3	510930,0,3	1	0				0				StrengthenPanel/MyRoot/ShineWeaponLvUpRoot/ShineWeaponPage(Clone)/AvatarRoot/PropRoot/LevelUpBtn	0	0	0	0	
271	1079	0	0	GuideText10790	40;0	1	20	1	1	1;1		0.000000	0				3	510950,0,3	1	0				0				PetPanel/MyRoot/PetPageRoot/PetInfoPage(Clone)/ToggleGroupHorizontal/Toggle3	0	0	0	100152	
272	1082	0	0	GuideText10820	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				3	510970,0,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	100097	
273	1082	1	0	GuideText10821	60;-2	0	20	1	1	0.9;0.9	0;-2	0.000000	0				0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_194	0	0	0	100165	
274	1082	2	0	GuideText10822	-40;0	1	20	1	3	0.7;0.7	0;70	0.000000	0				0			0				0				StarChildPanel/MyRoot/PanelTabPageRoot/PanelTabPage/ToggleGroup/TabsRoot/EquipToggle (2)	0	0	0	100166	
275	1082	3	1	GuideText10823	0.5;0.5	1	20	1	3	1.1;0.7		0.000000	0				0			0				0				StarChildPanel/MyRoot/PageRoot/GameObject (1)/StarChildLevelPage(Clone)/RightRoot/LevelTitle/Button	0	0	0	100167	
276	1083	0	0	GuideText10830	60;1	0	20	1	1	0.5;0.5	0;-2	0.000000	0				3	510970,6,3	1	0				0				MainPanel/JoystickPageRoot/JoystickSkillPage(Clone)/SkillPanel/StarChildBtn/SkillIconRoot/SkillIcon(Clone)	0	0	0	100168	
277	1084	0	0	GuideText10840	0.5;1	1	20	1	0	1;1		0.000000	0				1	25		0			1	0				SailPortPanel/Root/TopRoot/SailCurrencyPageRoot/SailCurrencyPage(Clone)/Root/Currency1	0	0	0	0	
278	1084	1	0	GuideText10841	0.5;1	1	20	1	0	1;1		0.000000	0			1	1	25		0			1	0				SailPortPanel/Root/TopRoot/SailCurrencyPageRoot/SailCurrencyPage(Clone)/Root/Currency2	0	0	0	0	
279	1084	2	0	GuideText10842	0.5;1	1	20	1	0	1;1		0.000000	0			1	1	25		0			1	0				SailPortPanel/Root/TopRoot/SailCurrencyPageRoot/SailCurrencyPage(Clone)/Root/Currency3	0	0	0	0	
280	1084	3	0	GuideText10843	1;1	0	20	1	3	1;1		0.000000	0			1	1	25		0			1	0				SailPortPanel/Root/LeftRoot/PortEventArea	0	0	0	0	
281	1084	4	0	GuideText10844	0;0	1	20	1	1	1;1		0.000000	0			1	1	25		0			1	0				SailPortPanel/Root/ShopBtn	0	0	0	0	
282	1084	5	0	GuideText10845	0;0	1	20	1	1	1;1		0.000000	0			1	1	25		0			1	0				SailPortPanel/Root/BottomRoot/SetSailBtn	0	0	0	0	
283	1084	6	0	GuideText10846	0;0	1	20	1	1	1;1		0.000000	0		1	1	1	25		0	1	1		0		SailPortPanel/Root/ShopBtn		SailPortPanel/Root/ShopBtn	0	0	0	0	
284	1085	0	0	GuideText10847	0;0	1	20	1	1	1;1		0.000000	0				1	25		0			1	0				SailShopPanel/Window/MyRoot/FixedScrollView	0	0	0	0	
285	1085	1	0	GuideText10848	0;0	1	20	1	1	1;1		0.000000	0			1	1	25		0			1	0				SailShopPanel/Window/MyRoot/MineScrollView	0	0	0	0	
286	1085	2	0	GuideText10849	1;1	0	20	1	3	1;1		0.000000	0			1	1	25		0			1	0				SailShopPanel/Window/MyRoot/DeliverBtn	0	0	0	0	
287	1086	0	0	GuideText10860	0;0	0	20	1	3	1;1		0.000000	0		1		1	1		0				0				OpenServerActivityPanel/Window/MyRoot/PageRoot/Page_9603_71/CookiesActivityPage(Clone)/Root/ItemRoot/Cell_12/SelectBigRewardBtn	0	0	0	0	
288	2006	0	0	GuideText20060	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				4	10100180,3,3		0	1	1		0		MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn		MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	100015	
289	2006	1	0	GuideText20061	60;-2	0	20	1	1	0.9;0.9	0;-2	0.000000	0				0			0	1	1		0		MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_18		MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_18	0	0	0	100030	
290	2006	2	0	GuideText20062	10;0	1	20	1	3	1;1		0.000000	0		1		0			0	1	1		0		SettingPanel/Window/MyRoot/TabsRoot/Tab4		SettingPanel/Window/MyRoot/TabsRoot/Tab4	0	0	0	100031	
291	2006	3	0	GuideText20063	0;20	0	20	1	2	0.8;0.8		0.000000	0				0			0	1	1		0		SettingPanel/Window/MyRoot/BattleSettingPage/BattleSettingPage(Clone)/FoodSetArea/PanelRecoverHP/IconRoot		SettingPanel/Window/MyRoot/BattleSettingPage/BattleSettingPage(Clone)/FoodSetArea/PanelRecoverHP/IconRoot/ButtonChangeItem	0	0	0	100032	
292	2006	4	0	GuideText20064	50;0	0	20	1	3	1;1		0.000000	0			1	0			0	1	1		0		SettingPanel/Window/MyRoot/BattleSettingPage/BattleSettingPage(Clone)/FoodSetArea/PanelMid/FixedScrollView/Viewport/Content/0/Button		SettingPanel/Window/MyRoot/BattleSettingPage/BattleSettingPage(Clone)/FoodSetArea/PanelMid/FixedScrollView/Viewport/Content/0/Button	0	0	0	100033	
293	2006	5	0	GuideText20065	0;20	0	20	1	2	0.8;0.8		0.000000	0			1	0			0	1	1		0		SettingPanel/Window/MyRoot/BattleSettingPage/BattleSettingPage(Clone)/FoodSetArea/PanelRecoverMP/IconRoot		SettingPanel/Window/MyRoot/BattleSettingPage/BattleSettingPage(Clone)/FoodSetArea/PanelRecoverMP/IconRoot/ButtonChangeItem	0	0	0	100034	
294	2006	6	0	GuideText20066	50;0	0	20	1	3	1;1		0.000000	0			1	0			0	1	1		0		SettingPanel/Window/MyRoot/BattleSettingPage/BattleSettingPage(Clone)/FoodSetArea/PanelMid/FixedScrollView/Viewport/Content/0/Button		SettingPanel/Window/MyRoot/BattleSettingPage/BattleSettingPage(Clone)/FoodSetArea/PanelMid/FixedScrollView/Viewport/Content/0/Button	0	0	0	100035	
295	2006	7	0	GuideText20067	50;-9	0	20	1	1	0.5;0.5	-4;-5	0.000000	0			1	0			0	1	1		0		SettingPanel/System/ExitBtn		SettingPanel/System/ExitBtn	0	0	0	0	
296	10001	0	0	GuideText100010	70;15	0	20	1	3	0.35;0.6	90;15	0.000000	0				4	9999		0				0				MainPanel/JoystickTouch/JoystickTouchPageRoot/JoystickTouchPage(Clone)/TouchAreaPanel	0	0	0	0	
297	10002	0	0	GuideText100020	0;0	0	20	1	1	1;1		0.000000	0				4	10000020,2,3		0				0				MainPanel/JoystickPageRoot/JoystickSkillPage(Clone)/SkillPanel/NormalAtkButton	0	0	0	0	
298	10003	0	0	GuideText100030	0;14	0	20	1	2	0.85;0.85		0.000000	0		1		4	10000030,0,3	1	0				0				MainPanel/JoystickPageRoot/JoystickSkillPage(Clone)/SkillPanel/Skill0AtkButton	0	0	0	0	
299	10005	0	0	GuideText100050	0;0	0	20	1	1	1;1		0.000000	2				4	10000070,0,3		0				0				MainPanel/JoystickPageRoot/JoystickSkillPage(Clone)/SkillPanel/Skill1AtkButton	0	0	0	100162	
300	10006	0	0	GuideText100060	0;0	0	20	1	0	1;1		0.000000	0				4	10000025,0,3		0				0				QuickUsePanel/Root/MyRoot/UseBtn	0	0	0	100163	
301	10007	0	0	GuideText100070	10;0	0	20	1	3	0.89;0.64	-6;0	0.000000	0				0			0				0				MainPanel/LeftSafeArea/TaskTeamPage(Clone)/Root/ContainerPageRoot/ContainerPage(Clone)/Viewport/Content/10000010	0	0	0	0	
302	10008	0	0	GuideText100080	0;0	0	20	1	0	1;1		0.000000	0				4	10000050,1,3		0				0				QuickUsePanel/Root/MyRoot/UseBtn	0	0	0	0	
303	10009	0	0			0	0		0			0.000000	0				1	9999		0				0					0	0	0	0	
304	10010	0	0			0	0		0			0.000000	0				1	9999		0				0					0	0	0	0	
305	10011	0	0			0	0		0			0.000000	0				1	9999		0				0					0	0	0	0	
306	1087	0	0	GuideText10870	0	1	20	1	0	0.9;0.9		0.000000	0				3	640070,0,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/TopRectMask/TopAreaSecRoot/FuncBtn_139	0	0	0	0	
307	1087	1	0	GuideText10871	0	1	20	1	1	1;1		0.000000	0				0			0	1			0		TradingPanel/Window/MyRoot/PagesRoot/ShopPage/ShopPage(Clone)/MyRoot/ContentRoot/BuyPage/Root/ItemInfo/BuyBtn		TradingPanel/Window/MyRoot/PagesRoot/ShopPage/ShopPage(Clone)/MyRoot/ContentRoot/BuyPage/Root/ItemInfo/BuyBtn	0	0	0	0	
308	1088	0	0	GuideText10880	0	1	20	1	0	1;1		0.000000	0		1		3	640050,0,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/TopRectMask/TopAreaSecRoot/FuncBtn_154	0	0	0	0	
309	1088	1	0	GuideText10881	0;50	1	20	1	2	1;0.8		0.000000	0				0			0				0				HomelandEditViewPanel/Root/SelectViewRoot/ObjectListPage/SingleScrollView/Viewport/Content/item144300007010	0	0	0	0	
310	1088	2	0	GuideText10882	0	1	20	1	1	1;1		0.000000	0			1	0			0				0				HomelandEditViewPanel/Root/CameraBtn	0	0	0	0	
311	1088	3	0	GuideText10883	0	1	20	1	1	1;1		0.000000	0			1	0			0				0				HomelandEditMovePanel/PlaceUIPage/ArrangeArea/ConfirmButton	0	0	0	0	
312	1088	4	0	GuideText10884	0	1	20	1	1	1;1		0.000000	0			1	0			0				0				HomelandEditViewPanel/Root/RightBtnRoot/SaveBtn	0	0	0	0	
313	1089	0	0	GuideText10890	0	1	20	1	0	1;1		0.000000	0				4	640195,0,3		0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/TopRectMask/TopAreaSecRoot/FuncBtn_299	0	0	0	0	
314	1089	1	0	GuideText10891	0	0	20	1	3	1;1		0.000000	0			1	0			0			1	0				HomelandCannonPanel/FriendList/MenuCell/Toggle1	0	0	0	0	
315	1089	2	0	GuideText10892	0	0	20	1	3	1;1		0.000000	0			1	0			0			1	0				HomelandCannonPanel/FriendList/MenuCell/Toggle2	0	0	0	0	
316	1089	3	0	GuideText10893	0	1	20	1	1	1;1		0.000000	0		1	1	0			0			1	0				HomelandCannonPanel/TransferBtn	0	0	0	0	
317	1090	0	0	GuideText10900	0	1	20	1	0	1;1		0.000000	0				0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/TopRectMask/TopAreaSecRoot/FuncBtn_300	0	0	0	0	
318	1090	1	0	GuideText10901	0	0	20	1	3	1;1		0.000000	0			1	0			0			1	0				HomelandGuestBookPanel/Window/MyRoot/MenuCell/Toggle1	0	0	0	0	
319	1090	2	0	GuideText10902	0	0	20	1	3	1;1		0.000000	0			1	0			0			1	0				HomelandGuestBookPanel/Window/MyRoot/MenuCell/Toggle2	0	0	0	0	
320	1090	3	0	GuideText10903	0	1	20	1	2	1;1		0.000000	0		1	1	0			0				0				HomelandGuestBookPanel/Window/MyRoot/JournalPage/MessageBtn	0	0	0	0	
321	1091	0	0	GuideText10910	0	1	20	1	0	1;1		0.000000	0				3	650010,1,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/TopRectMask/TopAreaSecRoot/FuncBtn_154	0	0	0	0	
322	1091	1	0	GuideText10911	0	0	20	1	3	1;1		0.000000	0				0			0				0				HomelandEditViewPanel/Root/SelectViewRoot/LeftMenuPage/SingleScrollView/Viewport/Content/Menu_Decorate_14	0	0	0	0	
323	1091	2	0	GuideText10912	0;50	1	20	1	2	1;0.8		0.000000	0		1		0			0				0				HomelandEditViewPanel/Root/SelectViewRoot/ObjectListPage/SingleScrollView/Viewport/Content/item144300015001	0	0	0	0	
324	1091	3	0	GuideText10913	0	1	20	1	1	1;1		0.000000	0		1	1	0			0				0				HomelandEditMovePanel/PlaceUIPage/ArrangeArea/ConfirmButton	0	0	0	0	
325	1091	4	0	GuideText10914	0	1	20	1	1	1;1		0.000000	0		1	1	0			0				0				HomelandEditViewPanel/Root/RightBtnRoot/SaveBtn	0	0	0	0	
326	1094	0	0	GuideText10940	-60;0	0	20	1	3	1;1		0.000000	0				3	650050,5,3	1	0				0				CookingPanel/Left/CookingMainPage/ExploreRecipeBtn	0	0	0	0	
327	1094	1	0	GuideText10941	0	0	20	1	3	1;1		0.000000	0			1	0			0				0				CookingPanel/Left/ExploreMainPage/Viewport/ListPage/GranaryPage/ItemRoot/item144000000001/ItemIcon(Clone)	0	0	0	0	
328	1094	2	0	GuideText10942	0	0	20	1	0	1;1		0.000000	0			1	0			0				0				CookingPanel/Left/ExploreMainPage/Viewport/ListPage/GranaryPage/ItemRoot/item144100000002/ItemIcon(Clone)	0	0	0	0	
329	1094	3	0	GuideText10943	0	0	20	1	0	1;1		0.000000	0			1	0			0				0				CookingPanel/Left/ExploreMainPage/Viewport/ListPage/GranaryPage/ItemRoot/item144400000004/ItemIcon(Clone)	0	0	0	0	
330	1094	4	0	GuideText10944	-60;0	1	20	1	1	1;1		0.000000	0		1	1	0			0				0				CookingPanel/Right/ExplorePage/Buttom/CookBtn	0	0	0	0	
331	1095	0	0	GuideText10950	60;-2	1	20	1	1	1;1		0.000000	0				5	432		0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_432	0	0	0	0	
332	1096	0	0	GuideText10310	-20;0	0	20	1	1	1;1		0.000000	0		1		3	511113,1,3	1	0				0				ConversationPanel/Root/FuncBg/BtnRoot/MenuOpt_magic_transform	0	0	0	0	
333	1096	1	1	GuideText10961	0.5;0.5	1	20	1	0	1;1		0.000000	0			1	0			0				0					0	0	0	100079	
334	1096	2	1	GuideText10962	0.5;0.2	2	20	1	0	1;1		0.000000	0			1	0			0				0					0	0	0	100080	
335	1097	0	0	GuideText10971	0.5;0.2	2	20	1	1	1;1		0.000000	0		1		3	511115,0,3	1	0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/NoSpreadRoot/FuncBtn_7	0	0	0	100080	
336	1097	1	0	GuideText10972	0.5;0.2	2	20	1	0	1;1		0.000000	0				0			0				0				BagPanel/MyRoot/EquipBagPageRoot/EquipBagPage(Clone)/PartRoot/Part1/EquipIcon/ItemIcon(Clone)	0	0	0	100080	
337	1097	2	1	GuideText10975	0.5;0.5	1	20	1	0	1;1		0.000000	0			1	0			0				0					0	0	0	100079	
338	1097	3	0	GuideText10973	0.5;0.2	2	20	1	0	1;1		0.000000	0			1	0			0				0				EquipItemTipsPanel/Right/ItemTipsPanel(Clone)/Root/Scroll View/Viewport/Content/MagicArea/Button	0	0	0	100080	
339	1097	4	0	GuideText10974	0.5;0.2	2	20	1	0	1;1		0.000000	0			1	0			0				0				EquipOtherMagicTipsPanel/Root/TopArea/ActiveBtn	0	0	0	100080	
340	1098	0	0	GuideText10981	-20;0	2	20	1	1	1;1		0.000000	0		1		3	511116,0,3	1	0				0				ConversationPanel/Root/FuncBg/BtnRoot/MenuOpt_magic_baptize	0	0	0	100080	
341	1098	1	1	GuideText10982	0.5;0.5	1	20	1	0	1;1		0.000000	0			1	0			0				0					0	0	0	100079	
342	1098	2	0	GuideText10983	0.5;0.2	2	20	1	0	1;1		0.000000	0				0			0				0				MagicPropBaptizePanel/Right/MyRoot/ImageBg/SwitchBtn	0	0	0	100080	
343	1098	3	0	GuideText10984	0.5;0.2	2	20	1	0	1;1		0.000000	0			1	0			0				0				MagicPropBaptizePanel/Right/MyRoot/EquipBaptize/BaptizeBtn	0	0	0	100080	
344	1098	4	0	GuideText10985	8;0	2	20	1	0	0.6;0.6	8;0	0.000000	0			1	0			0				0				MagicPropBaptizePanel/Right/CloseBtn	0	0	0	100080	
345	1099	0	0	GuideText10991	-20;0	2	20	1	1	1;1		0.000000	0		1		3	511117,0,3	1	0				0				ConversationPanel/Root/FuncBg/BtnRoot/MenuOpt_magic_smelt	0	0	0	100080	
346	1099	1	1	GuideText10992	0.5;0.5	1	20	1	0	1;1		0.000000	0			1	0			0				0					0	0	0	100079	
347	1099	2	0	GuideText10993	0.5;0.2	2	20	1	0	1;1		0.000000	0				0			0				0				MagicPropSmeltPanel/Right/MyRoot/SmeltRoot/SelectSmeltPropRoot/Title/SwitchBtn	0	0	0	100080	
348	1099	3	0	GuideText10994	0.5;0.2	2	20	1	0	1;1		0.000000	0			1	0			0				0				MagicPropSmeltPanel/Right/MyRoot/SmeltRoot/SmeltBtn	0	0	0	100080	
349	1099	4	0	GuideText10995	0.5;0.2	2	20	1	0	0.6;0.6	8;0	0.000000	0			1	0			0				0				MagicPropSmeltPanel/Right/CloseBtn	0	0	0	100080	
350	1100	0	0	GuideText10971	0.5;0.2	2	20	1	0	1;1		0.000000	0		1		5	445		0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/NoSpreadRoot/FuncBtn_7	0	0	0	100080	
351	1100	1	0	GuideText10976	0.5;0.2	2	20	1	0	1;1		0.000000	0				0			0				0				BagPanel/MyRoot/EquipBagPageRoot/EquipBagPage(Clone)/PartRoot/Part1/EquipIcon/ItemIcon(Clone)	0	0	0	100080	
352	1100	2	0	GuideText10973	0.5;0.2	2	20	1	0	1;1		0.000000	0			1	0			0				0				EquipItemTipsPanel/Right/ItemTipsPanel(Clone)/Root/Scroll View/Viewport/Content/MagicArea/Button	0	0	0	100080	
353	1100	3	0	GuideText10974	0.5;0.2	2	20	1	0	1;1		0.000000	0			1	0			0				0				EquipOtherMagicTipsPanel/Root/TopArea/ActiveBtn	0	0	0	100080	
354	1101	0	0	GuideText20000	0.5;0.2	2	20	1	0	1;1		0.000000	0		1		5	325		0				0				PanelRoot/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/NoSpreadRoot/FuncBtn_7	0	0	0	0	
355	1101	1	0	GuideText20001	0.5;0.2	2	20	1	0	1;1		0.000000	0				0			0				0				BagPanel/MyRoot/PanelTabPageRoot/PanelTabPage(Clone)/ToggleGroup/TabsRoot/EquipToggle (3)	0	0	0	0	
356	1101	2	0	GuideText20002	0.5;0.2	2	20	1	0	1;1		0.000000	0			1	0			0				0				BagPanel/MyRoot/SoulEquipPageRoot/SoulEquipPage(Clone)/BagListRoot/Scroll View/Viewport/Content/PrefabCell(Clone)/ItemIconRoot	0	0	0	0	
357	1101	3	0	GuideText20003	0.5;0.2	2	20	1	0	1;1		0.000000	0			1	0			0				0				ItemTipsPanel/Root/ButtonArea/Common/RightButtonGreen	0	0	0	0	
358	1102	0	0	GuideText20004	0.5;0.2	2	20	1	0	1;1		0.000000	0		1		5	452		0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	0	
359	1102	1	0	GuideText20005	0;20	2	20	1	2	1;1		0.000000	0			1	0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_452	0	0	0	0	
360	1102	2	0	GuideText20006	0;20	2	20	1	2	1;1		0.000000	0				0			0				0				CrossServerCampJoinPanel/MyRoot/JoinBtn	0	0	0	0	
361	1103	0	0	GuideText20007	0.5;0.2	2	20	1	0	1;1		0.000000	0		1		4	820030,0,3		0				0				MainPanel/MiniMapPage/ButtonLeave	0	0	0	0	
