流水Id	配置ID	常规/活动	展示佣兵编号	展示道具ID	概率描述的语言	模型显示	UI界面模型倍数	UI界面模型位置	背景图名称	模型喊话语言	常规宣传语言	活动宣传语言
111	112	2	soldier_npc_10037;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10037	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery251;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery151
112	113	2	soldier_npc_10030;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10030	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery71;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery104
113	114	2	soldier_npc_10036;soldier_npc_10019;soldier_npc_10017;soldier_npc_10016;soldier_npc_10015;soldier_npc_10010;soldier_npc_10013;soldier_npc_10009;soldier_npc_10008;soldier_npc_10007;soldier_npc_10006;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10036	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery73;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery106
114	115	2	soldier_npc_10038;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10038	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery250;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery150
115	116	2	soldier_npc_10037;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10037	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery251;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery151
116	117	2	soldier_npc_10027;soldier_npc_10019;soldier_npc_10017;soldier_npc_10016;soldier_npc_10015;soldier_npc_10010;soldier_npc_10013;soldier_npc_10009;soldier_npc_10008;soldier_npc_10007;soldier_npc_10006;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10027	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery69;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery105
117	118	2	soldier_npc_10032;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10032	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery87;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery110
118	119	2	soldier_npc_10020;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10020	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery35;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery111
119	120	2	soldier_npc_10021;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10021	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery33;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery112
120	121	2	soldier_npc_10022;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10022	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery31;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery109
121	122	2	soldier_npc_10026;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10026	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery41;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery92
122	123	2	soldier_npc_10023;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10023	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery27;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery99
123	124	2	soldier_npc_10039;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10039	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery260;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery161
124	125	2	soldier_npc_10024;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10024	0.800000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery37;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery83
125	126	2	soldier_npc_10025;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10025	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery39;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery103
126	127	2	soldier_npc_10030;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10030	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery71;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery104
127	128	2	soldier_npc_10036;soldier_npc_10019;soldier_npc_10017;soldier_npc_10016;soldier_npc_10015;soldier_npc_10010;soldier_npc_10013;soldier_npc_10009;soldier_npc_10008;soldier_npc_10007;soldier_npc_10006;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10036	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery73;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery106
128	129	2	soldier_npc_10027;soldier_npc_10019;soldier_npc_10017;soldier_npc_10016;soldier_npc_10015;soldier_npc_10010;soldier_npc_10013;soldier_npc_10009;soldier_npc_10008;soldier_npc_10007;soldier_npc_10006;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10027	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery69;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery105
129	130	2	soldier_npc_10032;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10032	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery87;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery110
130	131	2	soldier_npc_10020;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10020	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery35;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery111
131	132	2	soldier_npc_10021;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10021	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery33;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery112
132	133	2	soldier_npc_10033;soldier_npc_10034;soldier_npc_10035;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105100000020;item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_3	soldier_npc_10033	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery93;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery94
133	134	2	soldier_npc_10034;soldier_npc_10033;soldier_npc_10035;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105100000022;item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_3	soldier_npc_10034	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery95;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery96
134	135	2	soldier_npc_10035;soldier_npc_10033;soldier_npc_10034;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105100000018;item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_3	soldier_npc_10035	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery97;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery98
135	136	2	soldier_npc_10022;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10022	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery31;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery109
136	137	2	soldier_npc_10026;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10026	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery41;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery92
137	138	2	soldier_npc_10023;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10023	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery27;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery99
138	139	2	soldier_npc_10040;soldier_npc_10016;soldier_npc_10017;soldier_npc_10019;soldier_npc_10012;soldier_npc_10013;soldier_npc_10007;soldier_npc_10008;soldier_npc_10009;soldier_npc_10010;soldier_npc_10015;soldier_npc_10001;soldier_npc_10002;soldier_npc_10003;soldier_npc_10004;soldier_npc_10005	item105000000030;item105000000031;item105000000032;item105000000001;item105000000002;item105000000003;item105000000004;item105000000005;item105000000006;item105000000007;item105000000008;item105000000009;item105000000010;item105000000011;item105000000012;item105000000013;item105000000014;item105000000015;item105000000016;item105000000017;item105000000018;item105000000019;item105000000035;item105000000036;item105000000037;item105000000038;item105000000039;item105000000040;item105000000041;item105000000042;item105000000043;item105000000022;item105000000023;item105000000024;item105000000025	Soldier_Probability_2	soldier_npc_10040	1.000000	0;0;0	bg_zbtj	SoldierLottery_Notice_1		Soldier_LotteryTittle01;Soldier_Lottery262;Soldier_Lottery02;Soldier_Lottery03;Soldier_Lottery263
