流水ID	职业ID	装备部位ID	装备星铸等级	装备孔位等级限制	升级到当前等级消耗道具	基础属性加成	显示属性值	显示属性加成值	总览中显示的技能描述	技能增强显示条件	孔位图标	更换技能特效未实装显示文字	视频跳转链接	技能视频预览	技能视频预览（url）	技能视频预览框显示描述
258	4	3	8	50	item102020061003,2;item102020061002,80	3,580;51,350	3,500;51,300	3,80;51,50	buffname_priest02_01	eqp_bf22_priest02::buff01_lv1,8,eqp_bf22_priest02::buff01_effect,10	skill_1304					
259	4	3	9	50	item102020061003,3;item102020061006,2;item102020061002,90	3,680;51,400	3,580;51,350	3,100;51,50	buffname_priest02_02	eqp_bf22_priest02::buff01_lv2,9,eqp_bf22_priest02::buff01_effect,10	skill_1304					
260	4	3	10	50	item102020061004,1;item102020061003,6;item102020061006,2	3,840;51,500	3,680;51,400	3,160;51,100	buffname_priest02_03	eqp_bf22_priest02::buff01_lv3,10,eqp_bf22_priest02::buff01_effect,10	skill1304_starforge			hero_104_skill1304.mp4		buffname_eqp_bf22_priest02;eqp_bf22_priest02::buff01_effect;Lock_StarForge_Level_Rome_10
261	4	4	1	60	item102020061001,30	4,50	4,50			eqp_bf22_priest03::buff01_lv1,8,eqp_bf22_priest03::buff01_effect,10	starforge01_icon					
262	4	4	2	60	item102020061001,40	4,70	4,50	4,20		eqp_bf22_priest03::buff01_lv1,8,eqp_bf22_priest03::buff01_effect,10	starforge01_icon					
263	4	4	3	60	item102020061001,45	4,90	4,70	4,20		eqp_bf22_priest03::buff01_lv1,8,eqp_bf22_priest03::buff01_effect,10	starforge01_icon					
264	4	4	4	60	item102020061003,1;item102020061001,120	4,180;52,100	4,90;52,0	4,90;52,100		eqp_bf22_priest03::buff01_lv1,8,eqp_bf22_priest03::buff01_effect,10	starforge02_icon					
265	4	4	5	60	item102020061002,30	4,250;52,150	4,180;52,100	4,70;52,50		eqp_bf22_priest03::buff01_lv1,8,eqp_bf22_priest03::buff01_effect,10	starforge02_icon					
266	4	4	6	60	item102020061002,55	4,330;52,200	4,250;52,150	4,80;52,50		eqp_bf22_priest03::buff01_lv1,8,eqp_bf22_priest03::buff01_effect,10	starforge03_icon					
267	4	4	7	60	item102020061003,2;item102020061002,75	4,450;52,300	4,330;52,200	4,120;52,100		eqp_bf22_priest03::buff01_lv1,8,eqp_bf22_priest03::buff01_effect,10	starforge03_icon					
268	4	4	8	60	item102020061003,2;item102020061002,150	4,550;52,350	4,450;52,300	4,100;52,50	buffname_priest03_01	eqp_bf22_priest03::buff01_lv1,8,eqp_bf22_priest03::buff01_effect,10	skill_1307					
269	4	4	9	60	item102020061003,3;item102020061002,180;item102020061006,2	4,700;52,400	4,550;52,350	4,150;52,50	buffname_priest03_02	eqp_bf22_priest03::buff01_lv2,9,eqp_bf22_priest03::buff01_effect,10	skill_1307					
270	4	4	10	60	item102020061004,2;item102020061003,8;item102020061006,4	4,850;52,500	4,700;52,400	4,150;52,100	buffname_priest03_03	eqp_bf22_priest03::buff01_lv3,10,eqp_bf22_priest03::buff01_effect,10	skill1307_starforge			hero_104_skill1307.mp4		buffname_eqp_bf22_priest03;eqp_bf22_priest03::buff01_effect;Lock_StarForge_Level_Rome_10
271	4	5	1	70	item102020061001,60	1,800	1,800			eqp_bf22_priest04::buff01_lv1,8,eqp_bf22_priest04::buff01_effect,10	starforge01_icon					
272	4	5	2	70	item102020061001,90	1,1300	1,800	1,500		eqp_bf22_priest04::buff01_lv1,8,eqp_bf22_priest04::buff01_effect,10	starforge01_icon					
273	4	5	3	70	item102020061001,120	1,1800	1,1300	1,500		eqp_bf22_priest04::buff01_lv1,8,eqp_bf22_priest04::buff01_effect,10	starforge01_icon					
274	4	5	4	70	item102020061001,140;item102020061003,2	1,2800;31,100	1,1800;31,0	1,1000;31,100		eqp_bf22_priest04::buff01_lv1,8,eqp_bf22_priest04::buff01_effect,10	starforge02_icon					
275	4	5	5	70	item102020061002,60	1,4000;31,150	1,2800;31,100	1,1200;31,50		eqp_bf22_priest04::buff01_lv1,8,eqp_bf22_priest04::buff01_effect,10	starforge02_icon					
276	4	5	6	70	item102020061002,80	1,5100;31,200	1,4000;31,150	1,1100;31,50		eqp_bf22_priest04::buff01_lv1,8,eqp_bf22_priest04::buff01_effect,10	starforge03_icon					
277	4	5	7	70	item102020061002,130;item102020061003,3	1,6600;31,300	1,5100;31,200	1,1500;31,100		eqp_bf22_priest04::buff01_lv1,8,eqp_bf22_priest04::buff01_effect,10	starforge03_icon					
278	4	5	8	70	item102020061002,180;item102020061003,3	1,7500;31,350	1,6600;31,300	1,900;31,50	buffname_priest04_01	eqp_bf22_priest04::buff01_lv1,8,eqp_bf22_priest04::buff01_effect,10	skill_1305					
279	4	5	9	70	item102020061002,210;item102020061003,4;item102020061006,3	1,9500;31,400	1,7500;31,350	1,2000;31,50	buffname_priest04_02	eqp_bf22_priest04::buff01_lv2,9,eqp_bf22_priest04::buff01_effect,10	skill_1305					
280	4	5	10	70	item102020061004,3;item102020061003,10;item102020061006,6	1,12000;31,500	1,9500;31,400	1,2500;31,100	buffname_priest04_03	eqp_bf22_priest04::buff01_lv3,10,eqp_bf22_priest04::buff01_effect,10	skill1305_starforge			hero_104_skill1305.mp4		buffname_eqp_bf22_priest04;eqp_bf22_priest04::buff01_effect;Lock_StarForge_Level_Rome_10
281	4	6	1	75	item102020061001,80	3,100	3,100			eqp_bf22_priest05::buff01_lv1,8,eqp_bf22_priest05::buff01_effect,10	starforge01_icon					
282	4	6	2	75	item102020061001,120	3,170	3,100	3,70		eqp_bf22_priest05::buff01_lv1,8,eqp_bf22_priest05::buff01_effect,10	starforge01_icon					
283	4	6	3	75	item102020061001,120	3,240	3,170	3,70		eqp_bf22_priest05::buff01_lv1,8,eqp_bf22_priest05::buff01_effect,10	starforge01_icon					
284	4	6	4	75	item102020061001,180;item102020061003,2	3,450;33,100	3,240;33,0	3,210;33,100		eqp_bf22_priest05::buff01_lv1,8,eqp_bf22_priest05::buff01_effect,10	starforge02_icon					
285	4	6	5	75	item102020061002,90	3,630;33,150	3,450;33,100	3,180;33,50		eqp_bf22_priest05::buff01_lv1,8,eqp_bf22_priest05::buff01_effect,10	starforge02_icon					
286	4	6	6	75	item102020061002,100	3,800;33,200	3,630;33,150	3,170;33,50		eqp_bf22_priest05::buff01_lv1,8,eqp_bf22_priest05::buff01_effect,10	starforge03_icon					
287	4	6	7	75	item102020061002,150;item102020061003,4	3,1000;33,300	3,800;33,200	3,200;33,100		eqp_bf22_priest05::buff01_lv1,8,eqp_bf22_priest05::buff01_effect,10	starforge03_icon					
288	4	6	8	75	item102020061002,220;item102020061003,4	3,1200;33,350	3,1000;33,300	3,200;33,50	buffname_priest05_01	eqp_bf22_priest05::buff01_lv1,8,eqp_bf22_priest05::buff01_effect,10	skill_1302					
289	4	6	9	75	item102020061002,260;item102020061003,5;item102020061006,4	3,1400;33,400	3,1200;33,350	3,200;33,50	buffname_priest05_02	eqp_bf22_priest05::buff01_lv2,9,eqp_bf22_priest05::buff01_effect,10	skill_1302					
290	4	6	10	75	item102020061004,4;item102020061003,12;item102020061006,8	3,1600;33,500	3,1400;33,400	3,200;33,100	buffname_priest05_03	eqp_bf22_priest05::buff01_lv3,10,eqp_bf22_priest05::buff01_effect,10	skill1302_starforge			hero_104_skill1302.mp4		buffname_eqp_bf22_priest05;eqp_bf22_priest05::buff01_effect;Lock_StarForge_Level_Rome_10
291	4	7	1	80	item102020061001,80	4,100	4,100			eqp_bf22_priest06::buff01_lv1,8,eqp_bf22_priest06::buff01_effect,10	starforge01_icon					
292	4	7	2	80	item102020061001,120	4,170	4,100	4,70		eqp_bf22_priest06::buff01_lv1,8,eqp_bf22_priest06::buff01_effect,10	starforge01_icon					
293	4	7	3	80	item102020061001,130	4,240	4,170	4,70		eqp_bf22_priest06::buff01_lv1,8,eqp_bf22_priest06::buff01_effect,10	starforge01_icon					
294	4	7	4	80	item102020061001,180;item102020061003,2	4,450;34,100	4,240;34,0	4,210;34,100		eqp_bf22_priest06::buff01_lv1,8,eqp_bf22_priest06::buff01_effect,10	starforge02_icon					
295	4	7	5	80	item102020061002,90	4,630;34,150	4,450;34,100	4,180;34,50		eqp_bf22_priest06::buff01_lv1,8,eqp_bf22_priest06::buff01_effect,10	starforge02_icon					
296	4	7	6	80	item102020061002,130	4,800;34,200	4,630;34,150	4,170;34,50		eqp_bf22_priest06::buff01_lv1,8,eqp_bf22_priest06::buff01_effect,10	starforge03_icon					
297	4	7	7	80	item102020061002,165;item102020061003,4	4,1000;34,300	4,800;34,200	4,200;34,100		eqp_bf22_priest06::buff01_lv1,8,eqp_bf22_priest06::buff01_effect,10	starforge03_icon					
298	4	7	8	80	item102020061002,260;item102020061003,5	4,1200;34,350	4,1000;34,300	4,200;34,50	buffname_priest06_01	eqp_bf22_priest06::buff01_lv1,8,eqp_bf22_priest06::buff01_effect,10	skill_1303					
299	4	7	9	80	item102020061002,330;item102020061003,6;item102020061006,4	4,1400;34,400	4,1200;34,350	4,200;34,50	buffname_priest06_02	eqp_bf22_priest06::buff01_lv2,9,eqp_bf22_priest06::buff01_effect,10	skill_1303					
300	4	7	10	80	item102020061004,4;item102020061003,12;item102020061006,8	4,1600;34,500	4,1400;34,400	4,200;34,100	buffname_priest06_03	eqp_bf22_priest06::buff01_lv3,10,eqp_bf22_priest06::buff01_effect,10	skill1303_starforge			hero_104_skill1303.mp4		buffname_eqp_bf22_priest06;eqp_bf22_priest06::buff01_effect;Lock_StarForge_Level_Rome_10
301	4	8	1	85	item102020061001,120	3,120	3,120			eqp_bf22_priest07::buff01_lv1,8,eqp_bf22_priest07::buff01_effect,10	starforge01_icon					
302	4	8	2	85	item102020061001,180	3,200	3,120	3,80		eqp_bf22_priest07::buff01_lv1,8,eqp_bf22_priest07::buff01_effect,10	starforge01_icon					
303	4	8	3	85	item102020061001,195	3,280	3,200	3,80		eqp_bf22_priest07::buff01_lv1,8,eqp_bf22_priest07::buff01_effect,10	starforge01_icon					
304	4	8	4	85	item102020061001,270;item102020061003,3	3,530;173,200	3,280;173,0	3,250;173,200		eqp_bf22_priest07::buff01_lv1,8,eqp_bf22_priest07::buff01_effect,10	starforge02_icon					
305	4	8	5	85	item102020061002,120	3,740;173,300	3,530;173,200	3,210;173,100		eqp_bf22_priest07::buff01_lv1,8,eqp_bf22_priest07::buff01_effect,10	starforge02_icon					
306	4	8	6	85	item102020061002,170	3,940;173,400	3,740;173,300	3,200;173,100		eqp_bf22_priest07::buff01_lv1,8,eqp_bf22_priest07::buff01_effect,10	starforge03_icon					
307	4	8	7	85	item102020061002,210;item102020061003,5	3,1180;173,600	3,940;173,400	3,240;173,200		eqp_bf22_priest07::buff01_lv1,8,eqp_bf22_priest07::buff01_effect,10	starforge03_icon					
308	4	8	8	85	item102020061002,340;item102020061003,6	3,1420;173,700	3,1180;173,600	3,240;173,100	buffname_priest07_01	eqp_bf22_priest07::buff01_lv1,8,eqp_bf22_priest07::buff01_effect,10	skill_1313					
309	4	8	9	85	item102020061002,430;item102020061003,7;item102020061006,5	3,1660;173,800	3,1420;173,700	3,240;173,100	buffname_priest07_02	eqp_bf22_priest07::buff01_lv2,9,eqp_bf22_priest07::buff01_effect,10	skill_1313					
310	4	8	10	85	item102020061003,14;item102020061004,5;item102020061006,10	3,1900;173,1000	3,1660;173,800	3,240;173,200	buffname_priest07_03	eqp_bf22_priest07::buff01_lv3,10,eqp_bf22_priest07::buff01_effect,10	skill1313_starforge			hero_104_skill1313.mp4		buffname_eqp_bf22_priest07;eqp_bf22_priest07::buff01_effect;Lock_StarForge_Level_Rome_10
311	4	9	1	90	item102020061001,150	3,120	3,120			eqp_bf22_priest08::buff01_lv1,8,eqp_bf22_priest08::buff01_effect,10	starforge01_icon					
312	4	9	2	90	item102020061001,210	3,200	3,120	3,80		eqp_bf22_priest08::buff01_lv1,8,eqp_bf22_priest08::buff01_effect,10	starforge01_icon					
313	4	9	3	90	item102020061001,235	3,280	3,200	3,80		eqp_bf22_priest08::buff01_lv1,8,eqp_bf22_priest08::buff01_effect,10	starforge01_icon					
314	4	9	4	90	item102020061001,480;item102020061003,3	3,530;32,200	3,280;32,0	3,250;32,200		eqp_bf22_priest08::buff01_lv1,8,eqp_bf22_priest08::buff01_effect,10	starforge02_icon					
315	4	9	5	90	item102020061002,150	3,740;32,300	3,530;32,200	3,210;32,100		eqp_bf22_priest08::buff01_lv1,8,eqp_bf22_priest08::buff01_effect,10	starforge02_icon					
316	4	9	6	90	item102020061002,230	3,940;32,400	3,740;32,300	3,200;32,100		eqp_bf22_priest08::buff01_lv1,8,eqp_bf22_priest08::buff01_effect,10	starforge03_icon					
317	4	9	7	90	item102020061002,280;item102020061003,6	3,1180;32,600	3,940;32,400	3,240;32,200		eqp_bf22_priest08::buff01_lv1,8,eqp_bf22_priest08::buff01_effect,10	starforge03_icon					
318	4	9	8	90	item102020061002,420;item102020061003,7	3,1420;32,700	3,1180;32,600	3,240;32,100	buffname_priest08_01	eqp_bf22_priest08::buff01_lv1,8,eqp_bf22_priest08::buff01_effect,10	skill_1308					
319	4	9	9	90	item102020061002,510;item102020061003,8;item102020061006,6	3,1660;32,800	3,1420;32,700	3,240;32,100	buffname_priest08_02	eqp_bf22_priest08::buff01_lv2,9,eqp_bf22_priest08::buff01_effect,10	skill_1308					
320	4	9	10	90	item102020061003,16;item102020061004,5;item102020061006,12	3,1900;32,1000	3,1660;32,800	3,240;32,200	buffname_priest08_03	eqp_bf22_priest08::buff01_lv3,10,eqp_bf22_priest08::buff01_effect,10	skill1308_starforge			hero_104_skill1308.mp4		buffname_eqp_bf22_priest08;eqp_bf22_priest08::buff01_effect;Lock_StarForge_Level_Rome_10
321	5	2	1	40	item102020061001,10	1,400	1,400			eqp_bf22_assassin01::buff01_lv1,8,eqp_bf22_assassin01::buff01_effect,10	starforge01_icon					
322	5	2	2	40	item102020061001,20	1,700	1,400	1,300		eqp_bf22_assassin01::buff01_lv1,8,eqp_bf22_assassin01::buff01_effect,10	starforge01_icon					
323	5	2	3	40	item102020061001,25	1,1000	1,700	1,300		eqp_bf22_assassin01::buff01_lv1,8,eqp_bf22_assassin01::buff01_effect,10	starforge01_icon					
324	5	2	4	40	item102020061003,1;item102020061001,30	1,2000;30,100	1,1000;30,0	1,1000;30,100		eqp_bf22_assassin01::buff01_lv1,8,eqp_bf22_assassin01::buff01_effect,10	starforge02_icon					
325	5	2	5	40	item102020061002,10	1,2300;30,150	1,2000;30,100	1,300;30,50		eqp_bf22_assassin01::buff01_lv1,8,eqp_bf22_assassin01::buff01_effect,10	starforge02_icon					
326	5	2	6	40	item102020061002,25	1,3000;30,200	1,2300;30,150	1,700;30,50		eqp_bf22_assassin01::buff01_lv1,8,eqp_bf22_assassin01::buff01_effect,10	starforge03_icon					
327	5	2	7	40	item102020061003,2;item102020061002,50	1,4400;30,300	1,3000;30,200	1,1400;30,100		eqp_bf22_assassin01::buff01_lv1,8,eqp_bf22_assassin01::buff01_effect,10	starforge03_icon					
328	5	2	8	40	item102020061003,2;item102020061002,75	1,5300;30,350	1,4400;30,300	1,900;30,50	buffname_assassin01_01	eqp_bf22_assassin01::buff01_lv1,8,eqp_bf22_assassin01::buff01_effect,10	skill_1408					
329	5	2	9	40	item102020061003,3;item102020061006,1;item102020061002,80	1,6000;30,400	1,5300;30,350	1,700;30,50	buffname_assassin01_02	eqp_bf22_assassin01::buff01_lv2,9,eqp_bf22_assassin01::buff01_effect,10	skill_1408					
330	5	2	10	40	item102020061004,1;item102020061003,5;item102020061006,2	1,6700;30,500	1,6000;30,400	1,700;30,100	buffname_assassin01_03	eqp_bf22_assassin01::buff01_lv3,10,eqp_bf22_assassin01::buff01_effect,10	skill1408_starforge			hero_105_skill1408.mp4		buffname_eqp_bf22_assassin01;eqp_bf22_assassin01::buff01_effect;Lock_StarForge_Level_Rome_10
331	5	3	1	50	item102020061001,20	3,50	3,50			eqp_bf22_assassin02::buff01_lv1,8,eqp_bf22_assassin02::buff01_effect,10	starforge01_icon					
332	5	3	2	50	item102020061001,25	3,75	3,50	3,25		eqp_bf22_assassin02::buff01_lv1,8,eqp_bf22_assassin02::buff01_effect,10	starforge01_icon					
333	5	3	3	50	item102020061001,30	3,100	3,75	3,25		eqp_bf22_assassin02::buff01_lv1,8,eqp_bf22_assassin02::buff01_effect,10	starforge01_icon					
334	5	3	4	50	item102020061003,1;item102020061001,55	3,180;51,100	3,100;51,0	3,80;51,100		eqp_bf22_assassin02::buff01_lv1,8,eqp_bf22_assassin02::buff01_effect,10	starforge02_icon					
335	5	3	5	50	item102020061002,20	3,250;51,150	3,180;51,100	3,70;51,50		eqp_bf22_assassin02::buff01_lv1,8,eqp_bf22_assassin02::buff01_effect,10	starforge02_icon					
336	5	3	6	50	item102020061002,45	3,350;51,200	3,250;51,150	3,100;51,50		eqp_bf22_assassin02::buff01_lv1,8,eqp_bf22_assassin02::buff01_effect,10	starforge03_icon					
337	5	3	7	50	item102020061003,2;item102020061002,65	3,500;51,300	3,350;51,200	3,150;51,100		eqp_bf22_assassin02::buff01_lv1,8,eqp_bf22_assassin02::buff01_effect,10	starforge03_icon					
338	5	3	8	50	item102020061003,2;item102020061002,80	3,580;51,350	3,500;51,300	3,80;51,50	buffname_assassin02_01	eqp_bf22_assassin02::buff01_lv1,8,eqp_bf22_assassin02::buff01_effect,10	skill_1407					
339	5	3	9	50	item102020061003,3;item102020061006,2;item102020061002,90	3,680;51,400	3,580;51,350	3,100;51,50	buffname_assassin02_02	eqp_bf22_assassin02::buff01_lv2,9,eqp_bf22_assassin02::buff01_effect,10	skill_1407					
340	5	3	10	50	item102020061004,1;item102020061003,6;item102020061006,2	3,840;51,500	3,680;51,400	3,160;51,100	buffname_assassin02_03	eqp_bf22_assassin02::buff01_lv3,10,eqp_bf22_assassin02::buff01_effect,10	skill1407_starforge			hero_105_skill1407.mp4		buffname_eqp_bf22_assassin02;eqp_bf22_assassin02::buff01_effect;Lock_StarForge_Level_Rome_10
341	5	4	1	60	item102020061001,30	4,50	4,50			eqp_bf22_assassin03::buff01_lv1,8,eqp_bf22_assassin03::buff01_effect,10	starforge01_icon					
342	5	4	2	60	item102020061001,40	4,70	4,50	4,20		eqp_bf22_assassin03::buff01_lv1,8,eqp_bf22_assassin03::buff01_effect,10	starforge01_icon					
343	5	4	3	60	item102020061001,45	4,90	4,70	4,20		eqp_bf22_assassin03::buff01_lv1,8,eqp_bf22_assassin03::buff01_effect,10	starforge01_icon					
344	5	4	4	60	item102020061003,1;item102020061001,120	4,180;52,100	4,90;52,0	4,90;52,100		eqp_bf22_assassin03::buff01_lv1,8,eqp_bf22_assassin03::buff01_effect,10	starforge02_icon					
345	5	4	5	60	item102020061002,30	4,250;52,150	4,180;52,100	4,70;52,50		eqp_bf22_assassin03::buff01_lv1,8,eqp_bf22_assassin03::buff01_effect,10	starforge02_icon					
346	5	4	6	60	item102020061002,55	4,330;52,200	4,250;52,150	4,80;52,50		eqp_bf22_assassin03::buff01_lv1,8,eqp_bf22_assassin03::buff01_effect,10	starforge03_icon					
347	5	4	7	60	item102020061003,2;item102020061002,75	4,450;52,300	4,330;52,200	4,120;52,100		eqp_bf22_assassin03::buff01_lv1,8,eqp_bf22_assassin03::buff01_effect,10	starforge03_icon					
348	5	4	8	60	item102020061003,2;item102020061002,150	4,550;52,350	4,450;52,300	4,100;52,50	buffname_assassin03_01	eqp_bf22_assassin03::buff01_lv1,8,eqp_bf22_assassin03::buff01_effect,10	skill_1401					
349	5	4	9	60	item102020061003,3;item102020061002,180;item102020061006,2	4,700;52,400	4,550;52,350	4,150;52,50	buffname_assassin03_02	eqp_bf22_assassin03::buff01_lv2,9,eqp_bf22_assassin03::buff01_effect,10	skill_1401					
350	5	4	10	60	item102020061004,2;item102020061003,8;item102020061006,4	4,850;52,500	4,700;52,400	4,150;52,100	buffname_assassin03_03	eqp_bf22_assassin03::buff01_lv3,10,eqp_bf22_assassin03::buff01_effect,10	skill1401_starforge			hero_105_skill1401.mp4		buffname_eqp_bf22_assassin03;eqp_bf22_assassin03::buff01_effect;Lock_StarForge_Level_Rome_10
351	5	5	1	70	item102020061001,60	1,800	1,800			eqp_bf22_assassin04::buff01_lv1,8,eqp_bf22_assassin04::buff01_effect,10	starforge01_icon					
352	5	5	2	70	item102020061001,90	1,1300	1,800	1,500		eqp_bf22_assassin04::buff01_lv1,8,eqp_bf22_assassin04::buff01_effect,10	starforge01_icon					
353	5	5	3	70	item102020061001,120	1,1800	1,1300	1,500		eqp_bf22_assassin04::buff01_lv1,8,eqp_bf22_assassin04::buff01_effect,10	starforge01_icon					
354	5	5	4	70	item102020061001,140;item102020061003,2	1,2800;31,100	1,1800;31,0	1,1000;31,100		eqp_bf22_assassin04::buff01_lv1,8,eqp_bf22_assassin04::buff01_effect,10	starforge02_icon					
355	5	5	5	70	item102020061002,60	1,4000;31,150	1,2800;31,100	1,1200;31,50		eqp_bf22_assassin04::buff01_lv1,8,eqp_bf22_assassin04::buff01_effect,10	starforge02_icon					
356	5	5	6	70	item102020061002,80	1,5100;31,200	1,4000;31,150	1,1100;31,50		eqp_bf22_assassin04::buff01_lv1,8,eqp_bf22_assassin04::buff01_effect,10	starforge03_icon					
357	5	5	7	70	item102020061002,130;item102020061003,3	1,6600;31,300	1,5100;31,200	1,1500;31,100		eqp_bf22_assassin04::buff01_lv1,8,eqp_bf22_assassin04::buff01_effect,10	starforge03_icon					
358	5	5	8	70	item102020061002,180;item102020061003,3	1,7500;31,350	1,6600;31,300	1,900;31,50	buffname_assassin04_01	eqp_bf22_assassin04::buff01_lv1,8,eqp_bf22_assassin04::buff01_effect,10	skill_1402					
359	5	5	9	70	item102020061002,210;item102020061003,4;item102020061006,3	1,9500;31,400	1,7500;31,350	1,2000;31,50	buffname_assassin04_02	eqp_bf22_assassin04::buff01_lv2,9,eqp_bf22_assassin04::buff01_effect,10	skill_1402					
360	5	5	10	70	item102020061004,3;item102020061003,10;item102020061006,6	1,12000;31,500	1,9500;31,400	1,2500;31,100	buffname_assassin04_03	eqp_bf22_assassin04::buff01_lv3,10,eqp_bf22_assassin04::buff01_effect,10	skill1402_starforge			hero_105_skill1305.mp4		buffname_eqp_bf22_assassin04;eqp_bf22_assassin04::buff01_effect;Lock_StarForge_Level_Rome_10
361	5	6	1	75	item102020061001,80	3,100	3,100			eqp_bf22_assassin05::buff01_lv1,8,eqp_bf22_assassin05::buff01_effect,10	starforge01_icon					
362	5	6	2	75	item102020061001,120	3,170	3,100	3,70		eqp_bf22_assassin05::buff01_lv1,8,eqp_bf22_assassin05::buff01_effect,10	starforge01_icon					
363	5	6	3	75	item102020061001,120	3,240	3,170	3,70		eqp_bf22_assassin05::buff01_lv1,8,eqp_bf22_assassin05::buff01_effect,10	starforge01_icon					
364	5	6	4	75	item102020061001,180;item102020061003,2	3,450;33,100	3,240;33,0	3,210;33,100		eqp_bf22_assassin05::buff01_lv1,8,eqp_bf22_assassin05::buff01_effect,10	starforge02_icon					
365	5	6	5	75	item102020061002,90	3,630;33,150	3,450;33,100	3,180;33,50		eqp_bf22_assassin05::buff01_lv1,8,eqp_bf22_assassin05::buff01_effect,10	starforge02_icon					
366	5	6	6	75	item102020061002,100	3,800;33,200	3,630;33,150	3,170;33,50		eqp_bf22_assassin05::buff01_lv1,8,eqp_bf22_assassin05::buff01_effect,10	starforge03_icon					
367	5	6	7	75	item102020061002,150;item102020061003,4	3,1000;33,300	3,800;33,200	3,200;33,100		eqp_bf22_assassin05::buff01_lv1,8,eqp_bf22_assassin05::buff01_effect,10	starforge03_icon					
368	5	6	8	75	item102020061002,220;item102020061003,4	3,1200;33,350	3,1000;33,300	3,200;33,50	buffname_assassin05_01	eqp_bf22_assassin05::buff01_lv1,8,eqp_bf22_assassin05::buff01_effect,10	skill_1405					
369	5	6	9	75	item102020061002,260;item102020061003,5;item102020061006,4	3,1400;33,400	3,1200;33,350	3,200;33,50	buffname_assassin05_02	eqp_bf22_assassin05::buff01_lv2,9,eqp_bf22_assassin05::buff01_effect,10	skill_1405					
370	5	6	10	75	item102020061004,4;item102020061003,12;item102020061006,8	3,1600;33,500	3,1400;33,400	3,200;33,100	buffname_assassin05_03	eqp_bf22_assassin05::buff01_lv3,10,eqp_bf22_assassin05::buff01_effect,10	skill1405_starforge			hero_105_skill1405.mp4		buffname_eqp_bf22_assassin05;eqp_bf22_assassin05::buff01_effect;Lock_StarForge_Level_Rome_10
371	5	7	1	80	item102020061001,80	4,100	4,100			eqp_bf22_assassin06::buff01_lv1,8,eqp_bf22_assassin06::buff01_effect,10	starforge01_icon					
372	5	7	2	80	item102020061001,120	4,170	4,100	4,70		eqp_bf22_assassin06::buff01_lv1,8,eqp_bf22_assassin06::buff01_effect,10	starforge01_icon					
373	5	7	3	80	item102020061001,130	4,240	4,170	4,70		eqp_bf22_assassin06::buff01_lv1,8,eqp_bf22_assassin06::buff01_effect,10	starforge01_icon					
374	5	7	4	80	item102020061001,180;item102020061003,2	4,450;34,100	4,240;34,0	4,210;34,100		eqp_bf22_assassin06::buff01_lv1,8,eqp_bf22_assassin06::buff01_effect,10	starforge02_icon					
375	5	7	5	80	item102020061002,90	4,630;34,150	4,450;34,100	4,180;34,50		eqp_bf22_assassin06::buff01_lv1,8,eqp_bf22_assassin06::buff01_effect,10	starforge02_icon					
376	5	7	6	80	item102020061002,130	4,800;34,200	4,630;34,150	4,170;34,50		eqp_bf22_assassin06::buff01_lv1,8,eqp_bf22_assassin06::buff01_effect,10	starforge03_icon					
377	5	7	7	80	item102020061002,165;item102020061003,4	4,1000;34,300	4,800;34,200	4,200;34,100		eqp_bf22_assassin06::buff01_lv1,8,eqp_bf22_assassin06::buff01_effect,10	starforge03_icon					
378	5	7	8	80	item102020061002,260;item102020061003,5	4,1200;34,350	4,1000;34,300	4,200;34,50	buffname_assassin06_01	eqp_bf22_assassin06::buff01_lv1,8,eqp_bf22_assassin06::buff01_effect,10	skill_1406					
379	5	7	9	80	item102020061002,330;item102020061003,6;item102020061006,4	4,1400;34,400	4,1200;34,350	4,200;34,50	buffname_assassin06_02	eqp_bf22_assassin06::buff01_lv2,9,eqp_bf22_assassin06::buff01_effect,10	skill_1406					
380	5	7	10	80	item102020061004,4;item102020061003,12;item102020061006,8	4,1600;34,500	4,1400;34,400	4,200;34,100	buffname_assassin06_03	eqp_bf22_assassin06::buff01_lv3,10,eqp_bf22_assassin06::buff01_effect,10	skill1406_starforge			hero_105_skill1406.mp4		buffname_eqp_bf22_assassin06;eqp_bf22_assassin06::buff01_effect;Lock_StarForge_Level_Rome_10
381	5	8	1	85	item102020061001,120	3,120	3,120			eqp_bf22_assassin07::buff01_lv1,8,eqp_bf22_assassin07::buff01_effect,10	starforge01_icon					
382	5	8	2	85	item102020061001,180	3,200	3,120	3,80		eqp_bf22_assassin07::buff01_lv1,8,eqp_bf22_assassin07::buff01_effect,10	starforge01_icon					
383	5	8	3	85	item102020061001,195	3,280	3,200	3,80		eqp_bf22_assassin07::buff01_lv1,8,eqp_bf22_assassin07::buff01_effect,10	starforge01_icon					
384	5	8	4	85	item102020061001,270;item102020061003,3	3,530;173,200	3,280;173,0	3,250;173,200		eqp_bf22_assassin07::buff01_lv1,8,eqp_bf22_assassin07::buff01_effect,10	starforge02_icon					
385	5	8	5	85	item102020061002,120	3,740;173,300	3,530;173,200	3,210;173,100		eqp_bf22_assassin07::buff01_lv1,8,eqp_bf22_assassin07::buff01_effect,10	starforge02_icon					
386	5	8	6	85	item102020061002,170	3,940;173,400	3,740;173,300	3,200;173,100		eqp_bf22_assassin07::buff01_lv1,8,eqp_bf22_assassin07::buff01_effect,10	starforge03_icon					
