流水	纹章ID	类别	品质	进阶等级	分解返还材料(不包含觉醒材料）	属性值	物品等级	物品等级描述	默认孔数	最多锁属性数量	底图	插槽坐标	未鉴定纹章ID	觉醒最大孔位数量
444	item171001030502	badge_10305	4	14	item8171000101061,263;item171000101012,75;item171000101031,5	1,11160;25,380;11,370	778	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070502	2
445	item171001030502	badge_10305	4	15	item8171000101061,293;item171000101012,75;item171000101031,5	1,11448;25,390;11,380	778	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070502	2
446	item171001030502	badge_10305	4	16	item8171000101061,325;item171000101012,75;item171000101031,5	1,11736;25,390;11,380	778	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070502	2
447	item171001030502	badge_10305	4	17	item8171000101061,359;item171000101012,75;item171000101031,5	1,12024;25,390;11,380	778	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070502	2
448	item171001030502	badge_10305	4	18	item8171000101061,395;item171000101012,75;item171000101031,5	1,12312;25,390;11,380	778	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070502	2
449	item171001030502	badge_10305	4	19	item8171000101061,433;item171000101012,75;item171000101031,5	1,12600;25,390;11,380	778	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070502	2
450	item171001030502	badge_10305	4	20	item8171000101061,473;item171000101012,75;item171000101031,5	1,12888;25,400;11,390	778	2	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070502	2
451	item171001030503	badge_10305	4	0	item8171000101061,50;item171000101012,75;item171000101031,5	1,6400;25,320;11,300	687	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070503	2
452	item171001030503	badge_10305	4	1	item8171000101061,54;item171000101012,75;item171000101031,5	1,6592;25,320;11,300	687	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070503	2
453	item171001030503	badge_10305	4	2	item8171000101061,59;item171000101012,75;item171000101031,5	1,6848;25,320;11,300	687	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070503	2
454	item171001030503	badge_10305	4	3	item8171000101061,65;item171000101012,75;item171000101031,5	1,7104;25,320;11,300	687	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070503	2
455	item171001030503	badge_10305	4	4	item8171000101061,73;item171000101012,75;item171000101031,5	1,7360;25,320;11,300	687	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070503	2
456	item171001030503	badge_10305	4	5	item8171000101061,83;item171000101012,75;item171000101031,5	1,7616;25,329;11,309	687	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070503	2
457	item171001030503	badge_10305	4	6	item8171000101061,95;item171000101012,75;item171000101031,5	1,7872;25,329;11,309	687	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070503	2
458	item171001030503	badge_10305	4	7	item8171000101061,109;item171000101012,75;item171000101031,5	1,8128;25,329;11,309	687	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070503	2
459	item171001030503	badge_10305	4	8	item8171000101061,125;item171000101012,75;item171000101031,5	1,8384;25,329;11,309	687	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070503	2
460	item171001030503	badge_10305	4	9	item8171000101061,143;item171000101012,75;item171000101031,5	1,8640;25,329;11,309	687	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070503	2
461	item171001030503	badge_10305	4	10	item8171000101061,163;item171000101012,75;item171000101031,5	1,8896;25,338;11,318	687	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070503	2
462	item171001030503	badge_10305	4	11	item8171000101061,185;item171000101012,75;item171000101031,5	1,9152;25,338;11,318	687	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070503	2
463	item171001030503	badge_10305	4	12	item8171000101061,209;item171000101012,75;item171000101031,5	1,9408;25,338;11,318	687	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070503	2
464	item171001030503	badge_10305	4	13	item8171000101061,235;item171000101012,75;item171000101031,5	1,9664;25,338;11,318	687	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070503	2
465	item171001030503	badge_10305	4	14	item8171000101061,263;item171000101012,75;item171000101031,5	1,9920;25,338;11,318	687	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070503	2
466	item171001030503	badge_10305	4	15	item8171000101061,293;item171000101012,75;item171000101031,5	1,10176;25,347;11,327	687	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070503	2
467	item171001030503	badge_10305	4	16	item8171000101061,325;item171000101012,75;item171000101031,5	1,10432;25,347;11,327	687	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070503	2
468	item171001030503	badge_10305	4	17	item8171000101061,359;item171000101012,75;item171000101031,5	1,10688;25,347;11,327	687	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070503	2
469	item171001030503	badge_10305	4	18	item8171000101061,395;item171000101012,75;item171000101031,5	1,10944;25,347;11,327	687	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070503	2
470	item171001030503	badge_10305	4	19	item8171000101061,433;item171000101012,75;item171000101031,5	1,11200;25,347;11,327	687	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070503	2
471	item171001030503	badge_10305	4	20	item8171000101061,473;item171000101012,75;item171000101031,5	1,11456;25,356;11,336	687	1	3	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001070503	2
472	item171001040101	badge_10401	5	0	item8171000101061,100;item171000101012,300;item171000101032,10	1,9000;3,900;32,500;34,700	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
473	item171001040101	badge_10401	5	1	item8171000101061,105;item171000101012,300;item171000101032,10	1,9270;3,900;32,500;34,700	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
474	item171001040101	badge_10401	5	2	item8171000101061,112;item171000101012,300;item171000101032,10	1,9540;3,900;32,500;34,700	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
475	item171001040101	badge_10401	5	3	item8171000101061,121;item171000101012,300;item171000101032,10	1,9810;3,900;32,500;34,700	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
476	item171001040101	badge_10401	5	4	item8171000101061,132;item171000101012,300;item171000101032,10	1,10080;3,900;32,500;34,700	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
477	item171001040101	badge_10401	5	5	item8171000101061,145;item171000101012,300;item171000101032,10	1,10350;3,927;32,515;34,721	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
478	item171001040101	badge_10401	5	6	item8171000101061,160;item171000101012,300;item171000101032,10	1,10620;3,927;32,515;34,721	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
479	item171001040101	badge_10401	5	7	item8171000101061,177;item171000101012,300;item171000101032,10	1,10890;3,927;32,515;34,721	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
480	item171001040101	badge_10401	5	8	item8171000101061,196;item171000101012,300;item171000101032,10	1,11160;3,927;32,515;34,721	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
481	item171001040101	badge_10401	5	9	item8171000101061,217;item171000101012,300;item171000101032,10	1,11430;3,927;32,515;34,721	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
482	item171001040101	badge_10401	5	10	item8171000101061,240;item171000101012,300;item171000101032,10	1,11700;3,954;32,530;34,742	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
483	item171001040101	badge_10401	5	11	item8171000101061,265;item171000101012,300;item171000101032,10	1,11970;3,954;32,530;34,742	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
484	item171001040101	badge_10401	5	12	item8171000101061,292;item171000101012,300;item171000101032,10	1,12240;3,954;32,530;34,742	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
485	item171001040101	badge_10401	5	13	item8171000101061,321;item171000101012,300;item171000101032,10	1,12510;3,954;32,530;34,742	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
486	item171001040101	badge_10401	5	14	item8171000101061,352;item171000101012,300;item171000101032,10	1,12780;3,954;32,530;34,742	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
487	item171001040101	badge_10401	5	15	item8171000101061,385;item171000101012,300;item171000101032,10	1,13050;3,981;32,545;34,763	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
488	item171001040101	badge_10401	5	16	item8171000101061,420;item171000101012,300;item171000101032,10	1,13320;3,981;32,545;34,763	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
489	item171001040101	badge_10401	5	17	item8171000101061,457;item171000101012,300;item171000101032,10	1,13590;3,981;32,545;34,763	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
490	item171001040101	badge_10401	5	18	item8171000101061,496;item171000101012,300;item171000101032,10	1,13860;3,981;32,545;34,763	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
491	item171001040101	badge_10401	5	19	item8171000101061,537;item171000101012,300;item171000101032,10	1,14130;3,981;32,545;34,763	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
492	item171001040101	badge_10401	5	20	item8171000101061,580;item171000101012,300;item171000101032,10	1,14400;3,1008;32,560;34,784	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
493	item171001040101	badge_10401	5	21	item8171000101061,625;item171000101012,300;item171000101032,10	1,14670;3,1008;32,560;34,784	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
494	item171001040101	badge_10401	5	22	item8171000101061,672;item171000101012,300;item171000101032,10	1,14940;3,1008;32,560;34,784	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
495	item171001040101	badge_10401	5	23	item8171000101061,721;item171000101012,300;item171000101032,10	1,15210;3,1008;32,560;34,784	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
496	item171001040101	badge_10401	5	24	item8171000101061,772;item171000101012,300;item171000101032,10	1,15480;3,1008;32,560;34,784	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
497	item171001040101	badge_10401	5	25	item8171000101061,825;item171000101012,300;item171000101032,10	1,15750;3,1035;32,575;34,805	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
498	item171001040101	badge_10401	5	26	item8171000101061,880;item171000101012,300;item171000101032,10	1,16020;3,1035;32,575;34,805	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
499	item171001040101	badge_10401	5	27	item8171000101061,937;item171000101012,300;item171000101032,10	1,16290;3,1035;32,575;34,805	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
500	item171001040101	badge_10401	5	28	item8171000101061,996;item171000101012,300;item171000101032,10	1,16560;3,1035;32,575;34,805	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
501	item171001040101	badge_10401	5	29	item8171000101061,1057;item171000101012,300;item171000101032,10	1,16830;3,1035;32,575;34,805	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
502	item171001040101	badge_10401	5	30	item8171000101061,1120;item171000101012,300;item171000101032,10	1,17100;3,1062;32,590;34,826	1710	3	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080101	3
503	item171001040102	badge_10401	5	0	item8171000101061,100;item171000101012,300;item171000101032,10	1,8100;3,810;32,450;34,630	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
504	item171001040102	badge_10401	5	1	item8171000101061,105;item171000101012,300;item171000101032,10	1,8343;3,810;32,450;34,630	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
505	item171001040102	badge_10401	5	2	item8171000101061,112;item171000101012,300;item171000101032,10	1,8586;3,810;32,450;34,630	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
506	item171001040102	badge_10401	5	3	item8171000101061,121;item171000101012,300;item171000101032,10	1,8829;3,810;32,450;34,630	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
507	item171001040102	badge_10401	5	4	item8171000101061,132;item171000101012,300;item171000101032,10	1,9072;3,810;32,450;34,630	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
508	item171001040102	badge_10401	5	5	item8171000101061,145;item171000101012,300;item171000101032,10	1,9315;3,834;32,463;34,648	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
509	item171001040102	badge_10401	5	6	item8171000101061,160;item171000101012,300;item171000101032,10	1,9558;3,834;32,463;34,648	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
510	item171001040102	badge_10401	5	7	item8171000101061,177;item171000101012,300;item171000101032,10	1,9801;3,834;32,463;34,648	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
511	item171001040102	badge_10401	5	8	item8171000101061,196;item171000101012,300;item171000101032,10	1,10044;3,834;32,463;34,648	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
512	item171001040102	badge_10401	5	9	item8171000101061,217;item171000101012,300;item171000101032,10	1,10287;3,834;32,463;34,648	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
513	item171001040102	badge_10401	5	10	item8171000101061,240;item171000101012,300;item171000101032,10	1,10530;3,858;32,476;34,666	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
514	item171001040102	badge_10401	5	11	item8171000101061,265;item171000101012,300;item171000101032,10	1,10773;3,858;32,476;34,666	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
515	item171001040102	badge_10401	5	12	item8171000101061,292;item171000101012,300;item171000101032,10	1,11016;3,858;32,476;34,666	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
516	item171001040102	badge_10401	5	13	item8171000101061,321;item171000101012,300;item171000101032,10	1,11259;3,858;32,476;34,666	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
517	item171001040102	badge_10401	5	14	item8171000101061,352;item171000101012,300;item171000101032,10	1,11502;3,858;32,476;34,666	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
518	item171001040102	badge_10401	5	15	item8171000101061,385;item171000101012,300;item171000101032,10	1,11745;3,882;32,489;34,684	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
519	item171001040102	badge_10401	5	16	item8171000101061,420;item171000101012,300;item171000101032,10	1,11988;3,882;32,489;34,684	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
520	item171001040102	badge_10401	5	17	item8171000101061,457;item171000101012,300;item171000101032,10	1,12231;3,882;32,489;34,684	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
521	item171001040102	badge_10401	5	18	item8171000101061,496;item171000101012,300;item171000101032,10	1,12474;3,882;32,489;34,684	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
522	item171001040102	badge_10401	5	19	item8171000101061,537;item171000101012,300;item171000101032,10	1,12717;3,882;32,489;34,684	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
523	item171001040102	badge_10401	5	20	item8171000101061,580;item171000101012,300;item171000101032,10	1,12960;3,906;32,502;34,702	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
524	item171001040102	badge_10401	5	21	item8171000101061,625;item171000101012,300;item171000101032,10	1,13203;3,906;32,502;34,702	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
525	item171001040102	badge_10401	5	22	item8171000101061,672;item171000101012,300;item171000101032,10	1,13446;3,906;32,502;34,702	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
526	item171001040102	badge_10401	5	23	item8171000101061,721;item171000101012,300;item171000101032,10	1,13689;3,906;32,502;34,702	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
527	item171001040102	badge_10401	5	24	item8171000101061,772;item171000101012,300;item171000101032,10	1,13932;3,906;32,502;34,702	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
528	item171001040102	badge_10401	5	25	item8171000101061,825;item171000101012,300;item171000101032,10	1,14175;3,930;32,515;34,720	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
529	item171001040102	badge_10401	5	26	item8171000101061,880;item171000101012,300;item171000101032,10	1,14418;3,930;32,515;34,720	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
530	item171001040102	badge_10401	5	27	item8171000101061,937;item171000101012,300;item171000101032,10	1,14661;3,930;32,515;34,720	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
531	item171001040102	badge_10401	5	28	item8171000101061,996;item171000101012,300;item171000101032,10	1,14904;3,930;32,515;34,720	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
532	item171001040102	badge_10401	5	29	item8171000101061,1057;item171000101012,300;item171000101032,10	1,15147;3,930;32,515;34,720	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
533	item171001040102	badge_10401	5	30	item8171000101061,1120;item171000101012,300;item171000101032,10	1,15390;3,954;32,528;34,738	1539	2	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080102	3
534	item171001040103	badge_10401	5	0	item8171000101061,100;item171000101012,300;item171000101032,10	1,7200;3,720;32,400;34,560	1368	1	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080103	3
535	item171001040103	badge_10401	5	1	item8171000101061,105;item171000101012,300;item171000101032,10	1,7416;3,720;32,400;34,560	1368	1	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080103	3
536	item171001040103	badge_10401	5	2	item8171000101061,112;item171000101012,300;item171000101032,10	1,7632;3,720;32,400;34,560	1368	1	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080103	3
537	item171001040103	badge_10401	5	3	item8171000101061,121;item171000101012,300;item171000101032,10	1,7848;3,720;32,400;34,560	1368	1	4	3	icon_wenzhang;bg_opposite_wenzhang	135,168;187,40;165,-95;83,-228;-3,-139;-90,-228;-173,-95;-192,40;-141,168;0,130	item171001080103	3
