流水	任务类型	任务参数	任务目标	任务参数2	任务目标2	显示类型	显示内容	任务描述	奖励	链接命令	链接参数	开放等级
14084	1	1857	14			1	14	contract_task_des_14084	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14085	2	103,115,111	1857			2	103,115,111	contract_task_des_14085	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14086	2	118,159,125	1857			2	118,159,125	contract_task_des_14086	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14087	1	1857	1			1	1	contract_task_des_14087	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14088	1	1857	3			1	3	contract_task_des_14088	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14089	1	1857	5			1	5	contract_task_des_14089	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14090	1	1857	8			1	8	contract_task_des_14090	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14091	1	1857	15			1	15	contract_task_des_14091	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14092	2	114,162,111	1857			2	114,162,111	contract_task_des_14092	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14093	2	113,116,127	1857			2	113,116,127	contract_task_des_14093	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
24001	1	1857	4			1	4	contract_task_des_24001	item100900001001,100	LinkUI	MauDungeonActivityPanel;1;0;1859	0
24002	1	1857	15			1	15	contract_task_des_24002	item100900001001,100	LinkUI	MauDungeonActivityPanel;1;0;1859	0
24003	1	1857	20			1	20	contract_task_des_24003	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
24004	1	1857	25			1	25	contract_task_des_24004	item140000011024,1	LinkUI	MauDungeonActivityPanel;1;0;1859	0
24005	3	1857	1			1	1	contract_task_des_24005	item100900001001,100	LinkUI	MauDungeonActivityPanel;1;0;1859	0
24006	3	1857	5			1	5	contract_task_des_24006	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
24007	3	1857	10			1	10	contract_task_des_24007	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
24008	3	1857	15			1	15	contract_task_des_24008	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
24009	1	1858	1			1	1	contract_task_des_24009	item100900001001,125	LinkUI	MauDungeonActivityPanel;2;0;1860	0
24010	1	1858	3			1	3	contract_task_des_24010	item100900001001,125	LinkUI	MauDungeonActivityPanel;2;0;1860	0
24011	1	1858	5			1	5	contract_task_des_24011	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
24012	1	1858	8			1	8	contract_task_des_24012	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
24013	1	1858	12			1	12	contract_task_des_24013	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
24014	1	1858	16			1	16	contract_task_des_24014	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
24015	1	1858	20			1	20	contract_task_des_24015	item100900001001,150	LinkUI	MauDungeonActivityPanel;2;0;1860	0
24016	1	1858	25			1	25	contract_task_des_24016	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
24017	1	1858	30			1	30		item100900001001,80	LinkUI	MauDungeonActivityPanel;2;0;1860	0
24018	1	1858	35			1	35	contract_task_des_24018	item100900001001,50	LinkUI	MauDungeonActivityPanel;2;0;1860	0
24019	1	1858	42			1	42	contract_task_des_24019	item140000011025,1	LinkUI	MauDungeonActivityPanel;2;0;1860	0
24020	2	201,215,218	1858			2	201,215,218	contract_task_des_24020	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
24021	2	205,222,210	1858			2	205,222,210	contract_task_des_24021	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
24022	2	209,245,253	1858			2	209,245,253	contract_task_des_24022	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
24023	2	211,217,247	1858			2	211,217,247	contract_task_des_24023	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
24024	2	213,228,254	1858			2	213,228,254	contract_task_des_24024	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
24025	2	214,227,248	1858			2	214,227,248	contract_task_des_24025	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
24026	2	203,247,255	1858			2	203,247,255	contract_task_des_24026	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
24027	2	206,223,256	1858			2	206,223,256	contract_task_des_24027	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
15001	1	1550,1551,1552	1			1	1	contract_task_des_15001	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15002	1	1550,1551,1552	3			1	3	contract_task_des_15002	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15003	1	1550,1551,1552	5			1	5	contract_task_des_15003	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15004	2	101,110	1550,1551,1552			2	101,110	contract_task_des_15004	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15005	2	104,107,111	1550,1551,1552			2	104,107,111	contract_task_des_15005	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15006	1	1550,1551,1552	1			1	1	contract_task_des_15006	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15007	1	1550,1551,1552	3			1	3	contract_task_des_15007	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15008	1	1550,1551,1552	5			1	5	contract_task_des_15008	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15009	1	1550,1551,1552	8			1	8	contract_task_des_15009	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15010	2	107,112	1550,1551,1552			2	107,112	contract_task_des_15010	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15011	2	105,120,121	1550,1551,1552			2	105,120,121	contract_task_des_15011	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15012	1	1550,1551,1552	1			1	1	contract_task_des_15012	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15013	1	1550,1551,1552	3			1	3	contract_task_des_15013	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15014	1	1550,1551,1552	5			1	5	contract_task_des_15014	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15015	1	1550,1551,1552	8			1	8	contract_task_des_15015	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15016	2	122,108	1550,1551,1552			2	122,108	contract_task_des_15016	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15017	2	102,118,112	1550,1551,1552			2	102,118,112	contract_task_des_15017	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15018	1	1550,1551,1552	1			1	1	contract_task_des_15018	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15019	1	1550,1551,1552	3			1	3	contract_task_des_15019	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15020	1	1550,1551,1552	5			1	5	contract_task_des_15020	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15021	1	1550,1551,1552	8			1	8	contract_task_des_15021	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15022	2	123,118	1550,1551,1552			2	123,118	contract_task_des_15022	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15023	2	105,109,114	1550,1551,1552			2	105,109,114	contract_task_des_15023	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15024	1	1550,1551,1552	1			1	1	contract_task_des_15024	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15025	1	1550,1551,1552	3			1	3	contract_task_des_15025	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15026	1	1550,1551,1552	5			1	5	contract_task_des_15026	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15027	1	1550,1551,1552	8			1	8	contract_task_des_15027	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15028	1	1550,1551,1552	12			1	12	contract_task_des_15028	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15029	2	113,109	1550,1551,1552			2	113,109	contract_task_des_15029	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15030	2	106,116,114	1550,1551,1552			2	106,116,114	contract_task_des_15030	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15031	1	1550,1551,1552	1			1	1	contract_task_des_15031	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15032	1	1550,1551,1552	3			1	3	contract_task_des_15032	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15033	1	1550,1551,1552	5			1	5	contract_task_des_15033	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15034	1	1550,1551,1552	8			1	8	contract_task_des_15034	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15035	1	1550,1551,1552	12			1	12	contract_task_des_15035	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15036	2	115,117	1550,1551,1552			2	115,117	contract_task_des_15036	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15037	2	141,109,103	1550,1551,1552			2	141,109,103	contract_task_des_15037	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15038	1	1550,1551,1552	1			1	1	contract_task_des_15038	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15039	1	1550,1551,1552	3			1	3	contract_task_des_15039	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15040	1	1550,1551,1552	5			1	5	contract_task_des_15040	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15041	1	1550,1551,1552	8			1	8	contract_task_des_15041	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15042	1	1550,1551,1552	12			1	12	contract_task_des_15042	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15043	2	123,124	1550,1551,1552			2	123,124	contract_task_des_15043	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15044	2	163,106,109	1550,1551,1552			2	163,106,109	contract_task_des_15044	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15045	1	1550,1551,1552	1			1	1	contract_task_des_15045	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15046	1	1550,1551,1552	3			1	3	contract_task_des_15046	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15047	1	1550,1551,1552	5			1	5	contract_task_des_15047	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15048	1	1550,1551,1552	8			1	8	contract_task_des_15048	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15049	1	1550,1551,1552	12			1	12	contract_task_des_15049	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15050	2	122,112,106	1550,1551,1552			2	122,112,106	contract_task_des_15050	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15051	2	115,164,103	1550,1551,1552			2	115,164,103	contract_task_des_15051	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15052	1	1550,1551,1552	1			1	1	contract_task_des_15052	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15053	1	1550,1551,1552	3			1	3	contract_task_des_15053	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15054	1	1550,1551,1552	5			1	5	contract_task_des_15054	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15055	1	1550,1551,1552	8			1	8	contract_task_des_15055	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15056	1	1550,1551,1552	12			1	12	contract_task_des_15056	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15057	2	114,139,103	1550,1551,1552			2	114,139,103	contract_task_des_15057	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15058	2	110,165,109	1550,1551,1552			2	110,165,109	contract_task_des_15058	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15059	1	1550,1551,1552	1			1	1	contract_task_des_15059	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15060	1	1550,1551,1552	3			1	3	contract_task_des_15060	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15061	1	1550,1551,1552	5			1	5	contract_task_des_15061	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15062	1	1550,1551,1552	8			1	8	contract_task_des_15062	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15063	1	1550,1551,1552	12			1	12	contract_task_des_15063	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15064	2	167,140,109	1550,1551,1552			2	167,140,109	contract_task_des_15064	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15065	2	120,118,121	1550,1551,1552			2	120,118,121	contract_task_des_15065	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15066	2	111,116,166	1550,1551,1552			2	111,116,166	contract_task_des_15066	item100900001001,100	LinkUI	MauDungeonActivityPanel;1;0;1550	76
15067	1	1550,1551,1552	1			1	1	contract_task_des_15067	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15068	1	1550,1551,1552	3			1	3	contract_task_des_15068	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15069	1	1550,1551,1552	5			1	5	contract_task_des_15069	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15070	1	1550,1551,1552	8			1	8	contract_task_des_15070	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15071	1	1550,1551,1552	12			1	12	contract_task_des_15071	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15072	2	169,139,106	1550,1551,1552			2	169,139,106	contract_task_des_15072	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15073	2	124,125,123	1550,1551,1552			2	124,125,123	contract_task_des_15073	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15074	2	112,117,166	1550,1551,1552			2	112,117,166	contract_task_des_15074	item100900001001,100	LinkUI	MauDungeonActivityPanel;1;0;1550	76
15075	1	1550,1551,1552	1			1	1	contract_task_des_15075	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15076	1	1550,1551,1552	3			1	3	contract_task_des_15076	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15077	1	1550,1551,1552	5			1	5	contract_task_des_15077	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15078	1	1550,1551,1552	8			1	8	contract_task_des_15078	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15079	1	1550,1551,1552	13			1	13	contract_task_des_15079	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15080	2	106,168,113	1550,1551,1552			2	106,168,113	contract_task_des_15080	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15081	2	115,117,127	1550,1551,1552			2	115,117,127	contract_task_des_15081	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15082	2	111,141,166	1550,1551,1552			2	111,141,166	contract_task_des_15082	item100900001001,100	LinkUI	MauDungeonActivityPanel;1;0;1550	76
15083	1	1550,1551,1552	1			1	1	contract_task_des_15083	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15084	1	1550,1551,1552	3			1	3	contract_task_des_15084	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15085	1	1550,1551,1552	5			1	5	contract_task_des_15085	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15086	1	1550,1551,1552	8			1	8	contract_task_des_15086	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15087	1	1550,1551,1552	14			1	14	contract_task_des_15087	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15088	2	103,115,111	1550,1551,1552			2	103,115,111	contract_task_des_15088	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15089	2	118,170,125	1550,1551,1552			2	118,170,125	contract_task_des_15089	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15090	2	121,122,166	1550,1551,1552			2	121,122,166	contract_task_des_15090	item100900001001,100	LinkUI	MauDungeonActivityPanel;1;0;1550	76
15091	1	1550,1551,1552	1			1	1	contract_task_des_15091	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15092	1	1550,1551,1552	3			1	3	contract_task_des_15092	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15093	1	1550,1551,1552	5			1	5	contract_task_des_15093	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15094	1	1550,1551,1552	8			1	8	contract_task_des_15094	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15095	1	1550,1551,1552	15			1	15	contract_task_des_15095	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15096	2	114,171,111	1550,1551,1552			2	114,171,111	contract_task_des_15096	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15097	2	113,116,127	1550,1551,1552			2	113,116,127	contract_task_des_15097	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
15098	2	124,140,166	1550,1551,1552			2	124,140,166	contract_task_des_15098	item100900001001,100	LinkUI	MauDungeonActivityPanel;1;0;1550	76
25001	1	1550,1551,1552	4			1	4	contract_task_des_25001	item100900001001,100	LinkUI	MauDungeonActivityPanel;1;0;1550	0
25002	1	1550,1551	15			1	15	contract_task_des_25002	item100900001001,100	LinkUI	MauDungeonActivityPanel;1;0;1550	0
25003	1	1550,1551	20			1	20	contract_task_des_25003	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
25004	1	1550,1551,1552	25			1	25	contract_task_des_25004	item140000011024,1	LinkUI	MauDungeonActivityPanel;1;0;1550	0
25005	3	1550,1551,1552	1			1	1	contract_task_des_25005	item100900001001,100	LinkUI	MauDungeonActivityPanel;1;0;1550	0
25006	3	1550,1551,1552	5			1	5	contract_task_des_25006	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
25007	3	1550,1551,1552	10			1	10	contract_task_des_25007	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
25008	3	1550,1551,1552	15			1	15	contract_task_des_25008	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
25009	1	1553,1554,1555,1556,1557	1			1	1	contract_task_des_25009	item100900001001,125	LinkUI	MauDungeonActivityPanel;2;0;1553	0
25010	1	1553,1554,1555,1556,1557	3			1	3	contract_task_des_25010	item100900001001,125	LinkUI	MauDungeonActivityPanel;2;0;1553	0
25011	1	1553,1554,1555,1556,1557	5			1	5	contract_task_des_25011	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	0
25012	1	1553,1554,1555,1556,1557	8			1	8	contract_task_des_25012	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	0
25013	1	1553,1554,1555,1556,1557	12			1	12	contract_task_des_25013	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	0
25014	1	1553,1554,1555,1556,1557	16			1	16	contract_task_des_25014	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	0
25015	1	1554,1555,1556,1557	20			1	20	contract_task_des_25015	item100900001001,150	LinkUI	MauDungeonActivityPanel;2;0;1553	0
25016	1	1554,1555,1556,1557	25			1	25	contract_task_des_25016	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	0
25017	1	1554,1555,1556,1557	30			1	30	contract_task_des_25017	item100900001001,80	LinkUI	MauDungeonActivityPanel;2;0;1553	0
25018	1	1553,1554,1555,1556,1557	35			1	35	contract_task_des_25018	item100900001001,50	LinkUI	MauDungeonActivityPanel;2;0;1553	0
25019	1	1553,1554,1555,1556,1557	42			1	42	contract_task_des_25019	item140000011025,1	LinkUI	MauDungeonActivityPanel;2;0;1553	0
25020	2	201,215,218,210	1553,1554,1555,1556,1557			2	201215218210	contract_task_des_25020	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	0
25021	2	205,222,210	1553,1554,1555,1556,1557			2	205,222,210	contract_task_des_25021	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	0
25022	2	209,167,257	1553,1554,1555,1556,1557			2	209,167,257	contract_task_des_25022	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	0
25023	2	214,217,259	1553,1554,1555,1556,1557			2	214,217,259	contract_task_des_25023	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	0
25024	2	213,228,168	1553,1554,1555,1556,1557			2	213,228,168	contract_task_des_25024	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	0
25025	2	211,227,169	1553,1554,1555,1556,1557			2	211,227,169	contract_task_des_25025	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	0
25026	2	203,225,170	1553,1554,1555,1556,1557			2	203,225,170	contract_task_des_25026	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	0
25027	2	206,223,171	1553,1554,1555,1556,1557			2	206,223,171	contract_task_des_25027	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	0
25028	2	209,220,258	1553,1554,1555,1556,1557			2	209,220,258	contract_task_des_25028	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	76
25029	2	224,217,260	1553,1554,1555,1556,1557			2	224,217,260	contract_task_des_25029	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1553	76
25030	4	258	1553,1554,1555,1556,1557	1553,1554,1555,1556,1557	20	3	258;20	contract_task_des_25028	item100900001001,150	LinkUI	MauDungeonActivityPanel;2;0;1553	76
25031	4	258,260	1553,1554,1555,1556,1557	1553,1554,1555,1556,1557	45	3	258,260;45	contract_task_des_25029	item91000001575,1	LinkUI	MauDungeonActivityPanel;2;0;1553	76
16001	1	1550,1551,1552	1			1	1	contract_task_des_16001	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16002	1	1550,1551,1552	3			1	3	contract_task_des_16002	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16003	1	1550,1551,1552	5			1	5	contract_task_des_16003	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16004	2	101,110	1550,1551,1552			2	101,110	contract_task_des_16004	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16005	2	104,107,111	1550,1551,1552			2	104,107,111	contract_task_des_16005	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16006	1	1550,1551,1552	1			1	1	contract_task_des_16006	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16007	1	1550,1551,1552	3			1	3	contract_task_des_16007	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16008	1	1550,1551,1552	5			1	5	contract_task_des_16008	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16009	1	1550,1551,1552	8			1	8	contract_task_des_16009	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16010	2	107,112	1550,1551,1552			2	107,112	contract_task_des_16010	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16011	2	105,120,173	1550,1551,1552			2	105,120,173	contract_task_des_16011	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16012	1	1550,1551,1552	1			1	1	contract_task_des_16012	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16013	1	1550,1551,1552	3			1	3	contract_task_des_16013	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16014	1	1550,1551,1552	5			1	5	contract_task_des_16014	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16015	1	1550,1551,1552	8			1	8	contract_task_des_16015	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16016	2	174,108	1550,1551,1552			2	174,108	contract_task_des_16016	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16017	2	102,172,112	1550,1551,1552			2	102,172,112	contract_task_des_16017	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16018	1	1550,1551,1552	1			1	1	contract_task_des_16018	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16019	1	1550,1551,1552	3			1	3	contract_task_des_16019	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16020	1	1550,1551,1552	5			1	5	contract_task_des_16020	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16021	1	1550,1551,1552	8			1	8	contract_task_des_16021	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16022	2	175,172	1550,1551,1552			2	175,172	contract_task_des_16022	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16023	2	105,109,114	1550,1551,1552			2	105,109,114	contract_task_des_16023	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16024	1	1550,1551,1552	1			1	1	contract_task_des_16024	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16025	1	1550,1551,1552	3			1	3	contract_task_des_16025	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16026	1	1550,1551,1552	5			1	5	contract_task_des_16026	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16027	1	1550,1551,1552	8			1	8	contract_task_des_16027	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16028	1	1550,1551,1552	12			1	12	contract_task_des_16028	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16029	2	113,109	1550,1551,1552			2	113,109	contract_task_des_16029	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16030	2	106,116,126	1550,1551,1552			2	106,116,126	contract_task_des_16030	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16031	1	1550,1551,1552	1			1	1	contract_task_des_16031	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16032	1	1550,1551,1552	3			1	3	contract_task_des_16032	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16033	1	1550,1551,1552	5			1	5	contract_task_des_16033	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16034	1	1550,1551,1552	8			1	8	contract_task_des_16034	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16035	1	1550,1551,1552	12			1	12	contract_task_des_16035	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16036	2	115,117	1550,1551,1552			2	115,117	contract_task_des_16036	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16037	2	141,109,103	1550,1551,1552			2	141,109,103	contract_task_des_16037	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1550	0
16038	1	1550,1551,1552	1			1	1	contract_task_des_16038	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1550	0
